date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2008-04-17,sh.601958,20.6000,22.6800,20.6000,22.5500,16.5700,333613920,7134387992.0000,3,82.680030,1,36.089320,19.077505,23.770106,12.041228,,0,
2008-04-18,sh.601958,21.3700,21.5700,20.3000,20.3000,22.5500,127132365,2633620965.0000,3,31.507401,1,-9.977827,17.173985,21.398366,10.839775,,0,-9.977827050997778
2008-04-21,sh.601958,21.5800,22.3300,20.0200,20.8300,20.3000,172426127,3725921212.0000,3,42.732621,1,2.610841,17.622369,21.957042,11.122784,,0,2.61083743842363
2008-04-22,sh.601958,19.7100,19.8800,18.7500,19.5200,20.8300,100450881,1923539307.0000,3,24.894890,1,-6.289004,16.514097,20.576163,10.423271,,0,-6.289006240998551
2008-04-23,sh.601958,18.9900,21.1000,18.5200,20.5500,19.5200,87127053,1752306406.0000,3,21.592826,1,5.276633,17.385487,21.661893,10.973270,,0,5.276639344262302
2008-04-24,sh.601958,22.3800,22.6100,21.7900,22.6100,20.5500,143940545,3222235039.0000,3,35.672998,1,10.024340,19.128266,23.833352,12.073267,,0,10.024330900243307
2008-04-25,sh.601958,22.6100,24.8700,22.3000,24.4400,22.6100,133208935,3222178287.0000,3,33.013367,1,8.093763,20.676462,25.762368,13.050448,,0,8.093763821318012
2008-04-28,sh.601958,23.7000,25.4800,22.7800,24.3000,24.4400,91202579,2204430672.0000,3,22.602870,1,-0.572837,20.558021,25.614793,12.975691,,0,-0.5728314238952592
2008-04-29,sh.601958,25.3000,26.7300,24.3000,25.9600,24.3000,84810726,2202303362.0000,3,21.018767,1,6.831275,17.908961,23.052707,11.958310,-57.770486,0,6.83127572016462
2008-04-30,sh.601958,26.1000,27.1500,25.5000,25.9200,25.9600,72788722,1908815851.0000,3,18.039336,1,-0.154079,17.881366,23.017187,11.939884,-57.681471,0,-0.15408320493065508
2008-05-05,sh.601958,26.1900,27.4700,26.0900,26.9800,25.9200,57505776,1546848746.0000,3,14.251741,1,4.089504,18.612626,23.958476,12.428167,-60.040359,0,4.089506172839497
2008-05-06,sh.601958,26.5200,26.8000,25.7000,25.9700,26.9800,53171994,1391290798.0000,3,13.177694,1,-3.743515,17.915860,23.061587,11.962916,-57.792740,0,-3.7435137138621233
2008-05-07,sh.601958,25.7000,26.5200,24.6000,24.6500,25.9700,53258412,1353742163.0000,3,13.199111,1,-5.082787,17.005235,21.889416,11.354867,-54.855257,0,-5.0827878321139774
2008-05-08,sh.601958,24.7100,26.9500,24.7100,26.6900,24.6500,50734088,1307813021.0000,3,12.573504,1,8.275866,18.412564,23.700954,12.294580,-59.395003,0,8.275862068965534
2008-05-09,sh.601958,26.7500,26.8800,25.1000,26.0700,26.6900,47829976,1250616687.0000,3,11.853773,1,-2.322971,17.984846,23.150388,12.008981,-58.015276,0,-2.322967403521925
2008-05-12,sh.601958,25.2700,26.2900,24.7100,25.4200,26.0700,33388316,849052745.0000,3,8.274676,1,-2.493286,17.536433,22.573182,11.709562,-56.568789,0,-2.4932873034138825
2008-05-13,sh.601958,24.6500,25.4400,23.8000,24.1800,25.4200,42587969,1044152523.0000,3,10.554639,1,-4.878048,16.680997,21.472052,11.138364,-53.809336,0,-4.878048780487809
2008-05-14,sh.601958,24.2500,25.6900,24.2500,25.1900,24.1800,32927844,831426165.0000,3,8.160556,1,4.177007,17.377763,22.368940,11.603614,-56.056955,0,4.177005789909027
2008-05-15,sh.601958,25.5000,25.6400,24.5000,24.5400,25.1900,25884281,645322690.0000,3,6.414940,1,-2.580388,16.929349,21.791735,11.304196,-54.610467,0,-2.5803890432711474
2008-05-16,sh.601958,24.7600,25.3200,24.2200,25.0900,24.5400,22240491,553033989.0000,3,5.511894,1,2.241235,17.308776,22.280140,11.557550,-55.834418,0,2.241238793806044
2008-05-19,sh.601958,24.9900,25.4800,24.3800,25.0900,25.0900,15890937,397208758.0000,3,3.938274,1,0.000000,17.308776,22.280140,11.557550,-55.834418,0,0.0
2008-05-20,sh.601958,25.2500,25.6200,24.0000,24.0200,25.0900,26435502,658739968.0000,3,6.551549,1,-4.264646,16.570618,21.329970,11.064661,-53.453277,0,-4.264647269828615
2008-05-21,sh.601958,24.1200,24.4800,22.8000,24.2900,24.0200,35268257,833071063.0000,3,8.740584,1,1.124065,16.756882,21.569733,11.189035,-54.054126,0,1.1240632805995077
2008-05-22,sh.601958,24.2900,24.2900,24.2900,24.2900,24.2900,0,0.0000,3,,0,0.000000,16.756882,21.569733,11.189035,-54.054126,0,0.0
2008-05-23,sh.601958,23.5600,23.8700,22.4700,22.6900,24.2900,29232835,673743838.0000,3,7.244817,1,-6.587074,15.653094,20.148919,10.452005,-50.493541,0,-6.587072869493616
2008-05-26,sh.601958,22.4100,22.6000,21.6800,21.7600,22.6900,16003323,352872115.0000,3,3.966127,1,-4.098723,15.011517,19.323070,10.023606,-48.423951,0,-4.098721903922431
2008-05-27,sh.601958,22.1000,22.6600,21.5200,22.4700,21.7600,14872666,331482490.0000,3,3.685915,1,3.262863,15.501323,19.953557,10.350664,-50.003961,0,3.262867647058809
2008-05-28,sh.601958,22.4700,23.1100,21.9300,22.7600,22.4700,15787014,356055598.0000,3,3.912519,1,1.290614,15.701385,20.211079,10.484250,-50.649317,0,1.2906097018246632
2008-05-29,sh.601958,22.6000,22.7600,21.6100,21.6400,22.7600,14845276,329313717.0000,3,3.679127,1,-4.920918,14.928733,19.216509,9.968329,-48.156907,0,-4.920913884007039
2008-05-30,sh.601958,21.7300,22.0000,21.2200,21.7700,21.6400,11638685,251602762.0000,3,2.884432,1,0.600744,15.018416,19.331950,10.028213,-48.446205,0,0.600739371534198
2008-06-02,sh.601958,21.5300,23.3700,21.4000,22.8100,21.7700,22790311,513641960.0000,3,5.648156,1,4.777212,15.735878,20.255480,10.507282,-50.760585,0,4.777216352779057
2008-06-03,sh.601958,22.4000,22.7200,21.9800,22.1700,22.8100,13363616,298747684.0000,3,3.311925,1,-2.805784,15.294363,19.687154,10.212470,-49.336351,0,-2.805786935554566
2008-06-04,sh.601958,22.0800,22.0800,21.1900,21.4100,22.1700,11748150,252748818.0000,3,2.911561,1,-3.428057,14.770064,19.012267,9.862381,-47.645073,0,-3.428055931438889
2008-06-05,sh.601958,21.2800,21.7700,21.1100,21.5700,21.4100,7416249,159542650.0000,3,1.837980,1,0.747314,14.880443,19.154349,9.936084,-48.001132,0,0.7473143390938741
2008-06-06,sh.601958,21.6800,21.9700,21.3300,21.8000,21.5700,7806889,169226120.0000,3,1.934793,1,1.066294,15.039112,19.358591,10.042032,-48.512966,0,1.066295781177562
2008-06-10,sh.601958,20.8000,21.3000,19.6200,19.6200,21.8000,15046021,303063360.0000,3,3.728878,1,-9.999992,13.535201,17.422732,9.037829,-43.661669,0,-9.999999999999998
2008-06-11,sh.601958,19.4000,19.4000,18.6100,18.8800,19.6200,16356407,310124337.0000,3,4.053632,1,-3.771670,13.024699,16.765605,8.696953,-42.014899,0,-3.771661569826712
2008-06-12,sh.601958,18.9100,19.5900,18.5500,19.4100,18.8800,18917833,361892246.0000,3,4.688434,1,2.807207,13.390329,17.236250,8.941094,-43.194343,0,2.807203389830515
2008-06-13,sh.601958,19.2500,19.4600,18.0000,18.1100,19.4100,15904326,297573018.0000,3,3.941593,1,-6.697575,12.493501,16.081838,8.342257,-40.301367,0,-6.697578567748586
2008-06-16,sh.601958,18.1100,18.4900,17.5800,18.1200,18.1100,12601279,227888985.0000,3,3.122994,1,0.055219,12.500400,16.090719,8.346863,-40.323621,0,0.0552181115405892
2008-06-17,sh.601958,18.1300,18.3400,17.0100,17.1800,18.1200,14169722,250341766.0000,3,3.511703,1,-5.187641,11.851924,15.255990,7.913858,-38.231778,0,-5.1876379690949275
2008-06-18,sh.601958,17.1500,18.7900,16.8000,18.7000,17.1800,26302002,474403197.0000,3,6.518464,1,8.847500,12.900523,16.605764,8.614037,-41.614333,0,8.847497089639123
2008-06-19,sh.601958,18.3500,18.3500,16.8300,16.8300,18.7000,22016806,386029286.0000,3,5.456457,1,-10.000000,11.610470,14.945187,7.752633,-37.452900,0,-10.000000000000009
2008-06-20,sh.601958,17.0800,18.2000,16.2000,17.4000,16.8300,22090077,383527657.0000,3,5.474616,1,3.386807,12.003695,15.451352,8.015200,-38.721358,0,3.3868092691622165
2008-06-23,sh.601958,17.0800,17.8700,16.7800,17.4000,17.4000,13493676,233426827.0000,3,3.344158,1,0.000000,12.003695,15.451352,8.015200,-38.721358,0,0.0
2008-06-24,sh.601958,17.1900,18.1300,17.0200,17.8600,17.4000,14683536,260796591.0000,3,3.639042,1,2.643684,12.321034,15.859836,8.227096,-39.745026,0,2.643678160919549
2008-06-25,sh.601958,17.8000,18.8200,17.6600,18.5400,17.8600,19571791,360813188.0000,3,4.850506,1,3.807392,12.790144,16.463682,8.540334,-41.258275,0,3.807390817469214
2008-06-26,sh.601958,18.5500,19.5000,17.9800,18.8900,18.5400,31238962,583263924.0000,3,7.741998,1,1.887802,13.031598,16.774485,8.701559,-42.037153,0,1.8878101402373337
2008-06-27,sh.601958,18.1800,18.4800,17.0800,17.2900,18.8900,24448619,435039364.0000,3,6.059137,1,-8.470082,11.927810,15.353671,7.964529,-38.476568,0,-8.470089994706198
2008-06-30,sh.601958,17.0800,17.4700,16.7000,17.0200,17.2900,11256030,191983842.0000,3,2.789599,1,-1.561599,11.741545,15.113909,7.840155,-37.875719,0,-1.5615962984384057
2008-07-01,sh.601958,17.1000,17.4800,16.6600,17.1900,17.0200,11991566,204627794.0000,3,2.971887,1,0.998825,11.858823,15.264870,7.918465,-38.254031,0,0.9988249118684012
2008-07-02,sh.601958,17.2000,17.9800,17.1000,17.4700,17.1900,13369204,235042919.0000,3,3.313310,1,1.628847,12.051986,15.513513,8.047445,-38.877134,0,1.6288539848749117
2008-07-03,sh.601958,17.2600,18.7400,17.0100,18.2700,17.4700,22666933,410142815.0000,3,5.617579,1,4.579286,12.603880,16.223920,8.415960,-40.657426,0,4.579278763594741
2008-07-04,sh.601958,18.2000,18.3600,17.4800,17.7200,18.2700,17282027,308836122.0000,3,4.283030,1,-3.010406,12.224453,15.735515,8.162606,-39.433475,0,-3.0103995621237
2008-07-07,sh.601958,17.7600,18.7600,17.7600,18.6700,17.7200,19859675,366450305.0000,3,4.921853,1,5.361178,12.879827,16.579123,8.600218,-41.547572,0,5.361173814898446
2008-07-08,sh.601958,18.7800,19.1500,18.2800,18.6400,18.6700,20659399,387098074.0000,3,5.120049,1,-0.160689,12.859131,16.552483,8.586398,-41.480811,0,-0.16068559185860032
