date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2011-09-29,sh.601996,12.8000,13.9100,12.6000,13.2300,14.0000,14342539,189767558.0000,3,30.568071,1,-5.500003,4.206208,31.210005,3.579724,-127.755339,0,
2011-09-30,sh.601996,13.0000,13.5600,12.7300,13.0800,13.2300,8350004,110498185.0000,3,17.796257,1,-1.133800,4.158519,30.856150,3.539137,-126.306866,0,-1.13378684807256
2011-10-10,sh.601996,13.0000,13.0800,12.1500,12.6700,13.0800,6165817,77678599.0000,3,13.141127,1,-3.134600,4.028168,29.888947,3.428201,-122.347705,0,-3.1345565749235527
2011-10-11,sh.601996,12.9700,13.8400,12.7700,13.1100,12.6700,8349171,110231861.0000,3,17.794482,1,3.472800,4.168057,30.926921,3.547255,-126.596560,0,3.4727703235990504
2011-10-12,sh.601996,12.6900,13.7500,12.4200,13.5400,13.1100,8549547,112808231.0000,3,18.221541,1,3.279900,4.304767,31.941305,3.663602,-130.748850,0,3.279938977879482
2011-10-13,sh.601996,13.4000,14.8900,13.3300,14.8900,13.5400,19871994,288050263.0000,3,42.352928,1,9.970500,4.733972,35.126000,4.028880,-143.785109,0,9.970457902511098
2011-10-14,sh.601996,15.1600,15.1800,14.3000,14.5700,14.8900,20764060,305084317.0000,3,44.254177,1,-2.149100,4.632234,34.371109,3.942296,-140.695033,0,-2.149093351242448
2011-10-17,sh.601996,14.4600,15.6900,14.3800,15.1700,14.5700,25206636,378687691.0000,3,53.722583,1,4.118100,4.822992,35.786529,4.104642,-146.488926,0,4.11805078929306
2011-10-18,sh.601996,14.7900,14.9300,14.0400,14.0700,15.1700,14183975,205596436.0000,3,30.230126,1,-7.251200,4.473269,33.191593,3.807008,-135.866789,0,-7.25115359261701
2011-10-19,sh.601996,14.1100,14.4300,13.6300,14.2900,14.0700,11272685,157705646.0000,3,24.025330,1,1.563600,4.543214,33.710580,3.866535,-137.991216,0,1.5636105188344018
2011-10-20,sh.601996,14.0000,14.1000,13.6500,14.0100,14.2900,7571767,104994811.0000,3,16.137611,1,-1.959400,4.454194,33.050051,3.790773,-135.287400,0,-1.9594121763470862
2011-10-21,sh.601996,13.8000,13.9500,12.6100,12.6300,14.0100,11535790,150102250.0000,3,24.586083,1,-9.850100,4.015451,29.794585,3.417378,-121.961446,0,-9.850107066381153
2011-10-24,sh.601996,12.5200,12.9700,12.0300,12.7700,12.6300,7600506,95179968.0000,3,16.198862,1,1.108500,1.969705,30.219224,3.390906,4.143318,0,1.1084718923198622
2011-10-25,sh.601996,12.6300,13.6500,12.5800,13.1600,12.7700,9653929,126122183.0000,3,20.575296,1,3.054000,2.029860,31.142129,3.494466,4.269856,0,3.0540328895849678
2011-10-26,sh.601996,12.9000,13.3600,12.8800,12.9600,13.1600,8089254,105912390.0000,3,17.240524,1,-1.519800,1.999011,30.668844,3.441358,4.204964,0,-1.5197568389057725
2011-10-27,sh.601996,12.9900,13.0600,12.7500,12.8100,12.9600,5909468,75944167.0000,3,12.594774,1,-1.157400,1.975875,30.313880,3.401528,4.156296,0,-1.157407407407407
2011-10-28,sh.601996,13.0700,13.3500,12.9100,13.2400,12.8100,8250993,108328046.0000,3,17.585237,1,3.356800,2.042200,31.331442,3.515708,4.295812,0,3.3567525370804097
2011-10-31,sh.601996,13.2100,13.3800,13.0600,13.3100,13.2400,5349576,70601561.0000,3,11.401483,1,0.528700,2.052997,31.497092,3.534296,4.318524,0,0.5287009063444037
2011-11-01,sh.601996,13.1700,13.3000,12.8200,12.9700,13.3100,5671041,73949615.0000,3,12.086618,1,-2.554500,2.000554,30.692508,3.444014,4.208209,0,-2.554470323065361
2011-11-02,sh.601996,12.6500,13.4200,12.4800,13.2700,12.9700,7532117,96805581.0000,3,16.053105,1,2.313000,2.046827,31.402435,3.523675,4.305546,0,2.313030069390898
2011-11-03,sh.601996,13.2900,13.7400,13.0600,13.2400,13.2700,9972934,134131628.0000,3,21.255188,1,-0.226100,2.042200,31.331442,3.515708,4.295812,0,-0.22607385079125297
2011-11-04,sh.601996,13.2500,13.5200,13.1300,13.4500,13.2400,6332386,84487560.0000,3,13.496134,1,1.586100,2.074591,31.828391,3.571471,4.363948,0,1.5861027190332333
2011-11-07,sh.601996,13.4000,13.7900,13.3200,13.4600,13.4500,6715640,91051928.0000,3,14.312958,1,0.074300,2.076134,31.852056,3.574127,4.367193,0,0.07434944237918462
2011-11-08,sh.601996,13.4900,13.5600,13.0500,13.0700,13.4600,4753390,62815296.0000,3,10.130840,1,-2.897500,2.015978,30.929150,3.470567,4.240655,0,-2.8974739970282326
2011-11-09,sh.601996,13.1000,13.1700,12.8000,13.1600,13.0700,4387479,57184389.0000,3,9.350978,1,0.688600,2.029860,31.142129,3.494466,4.269856,0,0.6885998469777999
2011-11-10,sh.601996,12.9000,13.0500,12.7500,12.7700,13.1600,3770963,48580771.0000,3,8.037006,1,-2.963500,1.969705,30.219224,3.390906,4.143318,0,-2.9635258358662653
2011-11-11,sh.601996,12.7700,12.8800,12.6100,12.6800,12.7700,2674058,34082748.0000,3,5.699186,1,-0.704800,1.955823,30.006245,3.367008,4.114116,0,-0.7047768206734473
2011-11-14,sh.601996,12.8200,13.0500,12.7300,12.9800,12.6800,2982633,38544989.0000,3,6.356848,1,2.365900,2.002096,30.716172,3.446669,4.211454,0,2.3659305993690927
2011-11-15,sh.601996,13.0000,13.9000,13.0000,13.6700,12.9800,12230813,165913334.0000,3,26.067376,1,5.315900,2.108525,32.349004,3.629889,4.435329,0,5.31587057010785
2011-11-16,sh.601996,13.5500,13.6500,13.1700,13.3200,13.6700,6455461,86288800.0000,3,13.758442,1,-2.560400,2.054539,31.520756,3.536951,4.321769,0,-2.560351133869787
2011-11-17,sh.601996,13.3800,13.6900,13.2900,13.4700,13.3200,5976300,80696387.0000,3,12.737212,1,1.126100,2.077676,31.875720,3.576782,4.370438,0,1.1261261261261257
2011-11-18,sh.601996,13.4400,13.4400,12.7200,12.7800,13.4700,5418028,70224801.0000,3,11.547374,1,-5.122500,1.971247,30.242888,3.393562,4.146562,0,-5.122494432071278
2011-11-21,sh.601996,12.8300,12.9700,12.6400,12.9400,12.7800,2535092,32506861.0000,3,5.403009,1,1.252000,1.995926,30.621515,3.436047,4.198475,0,1.2519561815336422
2011-11-22,sh.601996,12.7800,12.9200,12.4600,12.7500,12.9400,2741716,34768438.0000,3,5.843384,1,-1.468300,1.966620,30.171895,3.385595,4.136828,0,-1.4683153013910322
2011-11-23,sh.601996,12.7000,12.8500,12.5100,12.6500,12.7500,1726867,21894659.0000,3,3.680450,1,-0.784300,1.951195,29.935253,3.359042,4.104383,0,-0.7843137254901933
2011-11-24,sh.601996,12.5500,12.6300,12.3000,12.5000,12.6500,2851825,35512892.0000,3,6.078058,1,-1.185800,1.928059,29.580289,3.319211,4.055714,0,-1.1857707509881465
2011-11-25,sh.601996,12.5500,13.0800,12.5000,12.7200,12.5000,4070762,52151820.0000,3,8.675963,1,1.760000,1.961993,30.100902,3.377629,4.127095,0,1.760000000000006
2011-11-28,sh.601996,12.7200,12.8700,12.5200,12.6400,12.7200,2159867,27452532.0000,3,4.603297,1,-0.628900,1.949653,29.911589,3.356386,4.101138,0,-0.6289308176100628
2011-11-29,sh.601996,12.7900,12.9400,12.6900,12.9200,12.6400,2906758,37267185.0000,3,6.195136,1,2.215200,1.992841,30.574187,3.430737,4.191986,0,2.215189873417711
2011-11-30,sh.601996,12.9100,12.9100,11.9600,11.9900,12.9200,5212661,64254206.0000,3,11.109678,1,-7.198100,1.849394,28.373413,3.183787,3.890241,0,-7.198142414860675
2011-12-01,sh.601996,12.3000,12.4500,12.0700,12.1000,11.9900,3701837,45399542.0000,3,7.889678,1,0.917400,1.866361,28.633720,3.212996,3.925931,0,0.917431192660545
2011-12-02,sh.601996,12.0100,12.0200,11.3700,11.5300,12.1000,3307378,38428294.0000,3,7.048973,1,-4.710700,1.778441,27.284859,3.061640,3.740991,0,-4.710743801652894
2011-12-05,sh.601996,11.5000,11.5300,10.9500,11.0200,11.5300,2017125,22505589.0000,3,4.299073,1,-4.423200,1.699777,26.077983,2.926217,3.575518,0,-4.423243712055502
2011-12-06,sh.601996,10.9800,11.1900,10.9600,11.1300,11.0200,1403037,15544361.0000,3,2.990275,1,0.998200,1.716743,26.338290,2.955426,3.611208,0,0.9981851179673429
2011-12-07,sh.601996,11.0900,11.3000,11.0600,11.1900,11.1300,1294455,14494580.0000,3,2.758855,1,0.539100,1.725998,26.480275,2.971358,3.630675,0,0.5390835579514697
2011-12-08,sh.601996,11.2000,11.2900,10.9700,11.1900,11.1900,1386395,15455102.0000,3,2.954806,1,0.000000,1.725998,26.480275,2.971358,3.630675,0,0.0
2011-12-09,sh.601996,11.0600,11.1800,10.9700,11.0100,11.1900,1079716,11919519.0000,3,2.301185,1,-1.608600,1.698234,26.054319,2.923561,3.572273,0,-1.608579088471851
2011-12-12,sh.601996,11.0300,11.1100,10.9800,11.0000,11.0100,821329,9070209.0000,3,1.750488,1,-0.090800,1.696692,26.030655,2.920906,3.569028,0,-0.09082652134423386
2011-12-13,sh.601996,10.9600,11.0200,10.3800,10.4100,11.0000,1618087,17183330.0000,3,3.448608,1,-5.363600,1.605687,24.634465,2.764239,3.377599,0,-5.36363636363636
2011-12-14,sh.601996,10.4100,10.5200,10.1700,10.2100,10.4100,968987,10041150.0000,3,2.065190,1,-1.921200,1.574838,24.161180,2.711132,3.312707,0,-1.9212295869356355
2011-12-15,sh.601996,10.1400,10.2000,9.8700,9.8800,10.2100,1489650,14936992.0000,3,3.174872,1,-3.232100,1.523938,23.380261,2.623505,3.205636,0,-3.2321253672869754
2011-12-16,sh.601996,9.9700,10.2000,9.9000,10.1700,9.8800,1341476,13478848.0000,3,2.859071,1,2.935200,1.568669,24.066523,2.700510,3.299729,0,2.9352226720647634
2011-12-19,sh.601996,10.1200,10.2000,9.8600,10.1300,10.1700,1078208,10794440.0000,3,2.297971,1,-0.393300,1.562499,23.971866,2.689889,3.286751,0,-0.3933136676499416
2011-12-20,sh.601996,10.1000,10.3300,10.0500,10.0700,10.1300,1376012,14011449.0000,3,2.932677,1,-0.592300,1.553244,23.829881,2.673957,3.267283,0,-0.5923000987166915
2011-12-21,sh.601996,10.1800,10.2400,9.7300,9.7400,10.0700,1304747,13062726.0000,3,2.780791,1,-3.277100,1.502343,23.048961,2.586329,3.160212,0,-3.277060575968227
2011-12-22,sh.601996,9.5800,9.5800,9.0900,9.3300,9.7400,1658629,15529258.0000,3,3.535015,1,-4.209400,1.439103,22.078728,2.477459,3.027185,0,-4.20944558521561
2011-12-23,sh.601996,9.3100,9.5600,9.1600,9.4400,9.3300,1138471,10723517.0000,3,2.426409,1,1.179000,1.456070,22.339034,2.506668,3.062875,0,1.1789924973204746
2011-12-26,sh.601996,9.4400,9.5800,9.3600,9.3700,9.4400,846150,8002142.0000,3,1.803389,1,-0.741500,1.445273,22.173385,2.488081,3.040163,0,-0.7415254237288171
2011-12-27,sh.601996,9.3600,9.4000,9.0300,9.0400,9.3700,749093,6886926.0000,3,1.596532,1,-3.521900,1.394372,21.392465,2.400454,2.933092,0,-3.521878335112061
2011-12-28,sh.601996,9.0400,9.0400,9.0400,9.0400,9.0400,0,0.0000,3,,0,0.000000,1.394372,21.392465,2.400454,2.933092,0,0.0
2011-12-29,sh.601996,9.0400,9.0400,8.6800,8.8200,9.0400,4065168,35752136.0000,3,6.934780,1,-2.433600,1.360438,20.871852,2.342035,2.861712,0,-2.433628318584058
2011-12-30,sh.601996,8.8200,9.0500,8.7900,8.9200,8.8200,3160088,28144883.0000,3,5.390802,1,1.133800,1.375863,21.108494,2.368589,2.894158,0,1.1337868480725488
2012-01-04,sh.601996,8.9900,9.0700,8.3100,8.3700,8.9200,3135531,27505999.0000,3,5.348910,1,-6.165900,1.291028,19.806962,2.222544,2.715706,0,-6.165919282511223
2012-01-05,sh.601996,8.2500,8.2800,7.8100,7.8500,8.3700,3576047,28714107.0000,3,6.100387,1,-6.212700,1.210821,18.576422,2.084465,2.546988,0,-6.2126642771804015
2012-01-06,sh.601996,7.8700,8.0700,7.7500,8.0200,7.8500,2030271,16021949.0000,3,3.463444,1,2.165600,1.237042,18.978714,2.129606,2.602146,0,2.165605095541401
2012-01-09,sh.601996,7.9900,8.4600,7.9100,8.4300,8.0200,3295307,27141578.0000,3,5.621472,1,5.112200,1.300283,19.948947,2.238476,2.735174,0,5.112219451371569
2012-01-10,sh.601996,8.4500,9.2700,8.4200,9.2700,8.4300,6521076,58546351.0000,3,11.124319,1,9.964400,1.429848,21.936743,2.461527,3.007718,0,9.964412811387891
2012-01-11,sh.601996,9.3000,10.0500,9.2700,9.5400,9.2700,9799916,93507952.0000,3,16.717700,1,2.912600,1.471494,22.575677,2.533222,3.095321,0,2.9126213592232997
2012-01-12,sh.601996,9.5700,9.9900,9.4600,9.9500,9.5400,6752082,65335321.0000,3,11.518393,1,4.297700,1.534735,23.545910,2.642092,3.228348,0,4.2976939203354325
2012-01-13,sh.601996,9.9800,10.2000,9.6500,9.7000,9.9500,10320338,102031823.0000,3,17.605490,1,-2.512600,1.496174,22.954304,2.575708,3.147234,0,-2.5125628140703515
2012-01-16,sh.601996,9.6000,9.8400,9.3300,9.5400,9.7000,3972826,38247225.0000,3,6.777253,1,-1.649500,1.471494,22.575677,2.533222,3.095321,0,-1.6494845360824795
2012-01-17,sh.601996,9.5500,10.1600,9.5500,10.1400,9.5400,11226328,110481850.0000,3,19.151020,1,6.289300,1.564041,23.995531,2.692544,3.289995,0,6.28930817610065
2012-01-18,sh.601996,10.0500,10.0600,9.1900,9.3300,10.1400,7879400,75749693.0000,3,13.441488,1,-7.988200,1.439103,22.078728,2.477459,3.027185,0,-7.98816568047338
2012-01-19,sh.601996,9.3200,9.8300,9.3100,9.6600,9.3300,4508651,43126089.0000,3,7.691319,1,3.537000,1.490004,22.859648,2.565086,3.134256,0,3.536977491961424
