date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-08-16,sh.601997,10.1900,12.2300,10.1900,12.2300,8.4900,286995,3498525.0000,3,0.057399,1,44.051800,1.830208,8.725470,3.648420,-9.746263,0,
2016-08-17,sh.601997,13.4500,13.4500,13.4500,13.4500,12.2300,162858,2190440.0000,3,0.032572,1,9.975500,2.012780,9.595876,4.012367,-10.718498,0,9.97547015535567
2016-08-18,sh.601997,14.8000,14.8000,14.8000,14.8000,13.4500,291602,4315710.0000,3,0.058320,1,10.037200,2.214806,10.559031,4.415096,-11.794333,0,10.037174721189611
2016-08-19,sh.601997,16.2800,16.2800,16.2800,16.2800,14.8000,1376923,22416306.0000,3,0.275385,1,10.000000,2.436287,11.614934,4.856605,-12.973766,0,10.000000000000009
2016-08-22,sh.601997,17.9100,17.9100,17.9100,17.9100,16.2800,4954477,88734683.0000,3,0.990895,1,10.012300,2.680215,12.777854,5.342862,-14.272736,0,10.012285012285016
2016-08-23,sh.601997,19.5000,19.7000,19.0900,19.7000,17.9100,116978204,2288453920.0000,3,23.395641,1,9.994400,2.948087,14.054926,5.876850,-15.699213,0,9.994416527079842
2016-08-24,sh.601997,20.5500,21.2000,20.3800,20.5600,19.7000,259073828,5363313408.0000,3,51.814766,1,4.365500,3.076785,14.668492,6.133403,-16.384559,0,4.365482233502527
2016-08-25,sh.601997,20.2000,20.8000,19.7400,20.7700,20.5600,172531082,3504082656.0000,3,34.506216,1,1.021400,3.108211,14.818316,6.196050,-16.551911,0,1.021400778210113
2016-08-26,sh.601997,20.6500,20.6600,19.5500,19.5800,20.7700,142817653,2863292576.0000,3,28.563531,1,-5.729400,2.930129,13.969313,5.841052,-15.603583,0,-5.729417428984118
2016-08-29,sh.601997,19.2000,19.3100,18.5800,18.6700,19.5800,103836558,1969536000.0000,3,20.767312,1,-4.647600,2.793948,13.320075,5.569584,-14.878391,0,-4.647599591419804
2016-08-30,sh.601997,18.8100,18.9200,18.5300,18.6200,18.6700,60252081,1127119904.0000,3,12.050416,1,-0.267800,2.786466,13.284403,5.554668,-14.838545,0,-0.26780931976433386
2016-08-31,sh.601997,18.6500,20.1000,18.5400,19.3900,18.6200,124722055,2406548160.0000,3,24.944411,1,4.135300,2.901696,13.833758,5.784372,-15.452170,0,4.135338345864659
2016-09-01,sh.601997,19.2400,19.3200,18.5900,18.6200,19.3900,82600466,1560641664.0000,3,16.520093,1,-3.971100,2.786466,13.284403,5.554668,-14.838545,0,-3.971119133574008
2016-09-02,sh.601997,18.4100,18.8900,18.2800,18.5600,18.6200,53172136,989840464.0000,3,10.634427,1,-0.322200,2.777487,13.241596,5.536769,-14.790731,0,-0.3222341568206333
2016-09-05,sh.601997,18.6800,18.7200,17.8200,17.9000,18.5600,69588740,1269127504.0000,3,13.917748,1,-3.556034,2.678719,12.770720,5.339879,-14.264767,0,-3.5560344827586188
2016-09-06,sh.601997,17.7800,18.1600,17.6500,18.0200,17.9000,47469532,849307136.0000,3,9.493906,1,0.670396,2.696676,12.856334,5.375677,-14.360397,0,0.6703910614525244
2016-09-07,sh.601997,17.9300,18.0800,17.6800,17.7100,18.0200,44255358,790159904.0000,3,8.851072,1,-1.720318,2.650285,12.635165,5.283199,-14.113353,0,-1.720310765815758
2016-09-08,sh.601997,17.6700,17.9400,17.6000,17.7500,17.7100,32477334,576781296.0000,3,6.495467,1,0.225866,2.656271,12.663703,5.295132,-14.145230,0,0.22586109542630517
2016-09-09,sh.601997,17.7500,17.8700,17.5200,17.5300,17.7500,26812659,473962000.0000,3,5.362532,1,-1.239433,2.623348,12.506744,5.229502,-13.969909,0,-1.2394366197183038
2016-09-12,sh.601997,17.2000,17.4400,16.9300,16.9800,17.5300,41505872,712970272.0000,3,8.301174,1,-3.137485,2.541041,12.114348,5.065427,-13.531606,0,-3.137478608100408
