date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-04-23,sh.603021,12.5700,12.5700,12.5700,12.5700,8.7300,45300,569421.0000,3,0.171591,1,43.986260,2.742610,22.892750,1.878889,-48.156092,0,
2015-04-24,sh.603021,13.8300,13.8300,13.8300,13.8300,12.5700,11300,156279.0000,3,0.042803,1,10.023900,3.017526,25.187488,2.067227,-52.983194,0,10.023866348448696
2015-04-27,sh.603021,15.2100,15.2100,15.2100,15.2100,13.8300,14200,215982.0000,3,0.053788,1,9.978300,3.318624,27.700774,2.273501,-58.270020,0,9.97830802603037
2015-04-28,sh.603021,16.7300,16.7300,16.7300,16.7300,15.2100,12200,204106.0000,3,0.046212,1,9.993400,3.650268,30.469030,2.500701,-64.093191,0,9.993425378040754
2015-04-29,sh.603021,18.4000,18.4000,18.4000,18.4000,16.7300,40900,752560.0000,3,0.154924,1,9.982100,4.087056,30.762037,2.640220,-178.247121,0,9.982068141063948
2015-04-30,sh.603021,20.2400,20.2400,20.2400,20.2400,18.4000,68900,1394536.0000,3,0.260985,1,10.000000,4.495762,33.838241,2.904242,-196.071833,0,10.000000000000009
2015-05-04,sh.603021,22.2600,22.2600,22.2600,22.2600,20.2400,85085,1893992.0000,3,0.322292,1,9.980200,4.944450,37.215378,3.194092,-215.640266,0,9.980237154150217
2015-05-05,sh.603021,24.4900,24.4900,24.4900,24.4900,22.2600,103600,2537164.0000,3,0.392424,1,10.018000,5.439783,40.943603,3.514075,-237.243042,0,10.017969451931696
2015-05-06,sh.603021,26.9400,26.9400,26.5100,26.9400,24.4900,3954524,106491597.0000,3,14.979258,1,10.004100,5.983983,45.039635,3.865626,-260.977034,0,10.004083299305844
2015-05-07,sh.603021,26.9400,29.6300,26.0000,29.6300,26.9400,16679703,467638128.0000,3,63.180693,1,9.985100,6.581493,49.536911,4.251615,-287.035988,0,9.98515219005196
2015-05-08,sh.603021,27.1000,32.1900,27.1000,30.1100,29.6300,14276868,417256032.0000,3,54.079045,1,1.620000,6.688112,50.339399,4.320490,-291.685913,0,1.61997975025312
2015-05-11,sh.603021,30.0000,33.1200,29.3100,33.1200,30.1100,11451967,361199968.0000,3,43.378663,1,9.996700,7.356701,55.371667,4.752395,-320.844817,0,9.996678844237783
2015-05-12,sh.603021,33.3000,36.4300,33.1200,36.4300,33.1200,11492378,405237872.0000,3,43.531735,1,9.994000,8.091927,60.905490,5.227348,-352.909924,0,9.99396135265702
2015-05-13,sh.603021,36.5100,40.0700,34.5000,40.0700,36.4300,9309173,354894320.0000,3,35.262019,1,9.991800,8.900453,66.991023,5.749652,-388.171854,0,9.991765028822396
2015-05-14,sh.603021,42.4000,44.0800,41.0000,44.0800,40.0700,5864457,255273600.0000,3,22.213852,1,10.007500,9.791165,73.695141,6.325048,-427.018102,0,10.00748689792863
2015-05-15,sh.603021,48.2000,48.4900,44.5000,48.4900,44.0800,3709186,178347267.0000,3,14.049947,1,10.004500,10.770726,81.067999,6.957840,-469.739287,0,10.004537205081675
