date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-01-13,sh.603039,21.4600,21.4600,21.4600,21.4600,14.9000,9247,198441.0000,3,0.055471,1,44.026840,5.354707,19.833094,3.356937,-104.676001,0,
2017-01-16,sh.603039,23.6100,23.6100,23.6100,23.6100,21.4600,3900,92079.0000,3,0.023395,1,10.018650,5.891176,21.820100,3.693257,-115.163112,0,10.018639328984147
2017-01-17,sh.603039,25.9700,25.9700,25.9700,25.9700,23.6100,4500,116865.0000,3,0.026995,1,9.995758,6.480044,24.001186,4.062426,-126.674546,0,9.995764506565008
2017-01-18,sh.603039,28.5700,28.5700,28.5700,28.5700,25.9700,2200,62854.0000,3,0.013197,1,10.011550,7.128797,26.404077,4.469138,-139.356633,0,10.011551790527529
2017-01-19,sh.603039,31.4300,31.4300,31.4300,31.4300,28.5700,11200,352016.0000,3,0.067187,1,10.010500,7.842425,29.047258,4.916521,-153.306930,0,10.010500525026256
2017-01-20,sh.603039,34.5700,34.5700,34.5700,34.5700,31.4300,41400,1431198.0000,3,0.248350,1,9.990453,8.625919,31.949211,5.407704,-168.622990,0,9.990454979319118
2017-01-23,sh.603039,38.0300,38.0300,38.0300,38.0300,34.5700,26000,988780.0000,3,0.155969,1,10.008680,9.489259,35.146904,5.948943,-185.499922,0,10.008678044547302
2017-01-24,sh.603039,41.8300,41.8300,41.8300,41.8300,38.0300,15800,660914.0000,3,0.094781,1,9.992120,10.437437,38.658822,6.543368,-204.035281,0,9.992111490928202
2017-01-25,sh.603039,46.0100,46.0100,46.0100,46.0100,41.8300,50000,2300500.0000,3,0.299940,1,9.992819,11.480432,42.521932,7.197236,-224.424176,0,9.992828113793916
2017-01-26,sh.603039,50.6100,50.6100,50.6100,50.6100,46.0100,90800,4595388.0000,3,0.544691,1,9.997832,12.628225,46.773201,7.916803,-246.861716,0,9.997826559443613
2017-02-03,sh.603039,55.6700,55.6700,55.6700,55.6700,50.6100,117500,6541225.0000,3,0.704859,1,9.998019,13.890798,51.449597,8.708327,-271.543009,0,9.998024105907932
2017-02-06,sh.603039,61.2400,61.2400,61.2400,61.2400,55.6700,355500,21770820.0000,3,2.132573,1,10.005400,15.280627,56.597329,9.579629,-298.711943,0,10.005388898868329
2017-02-07,sh.603039,67.3600,67.3600,67.3600,67.3600,61.2400,188431,12692712.0000,3,1.130360,1,9.993466,16.807691,62.253365,10.536966,-328.563627,0,9.99346832135859
2017-02-08,sh.603039,74.1000,74.1000,74.1000,74.1000,67.3600,80685,5978759.0000,3,0.484013,1,10.005940,18.489459,68.482398,11.591288,-361.439501,0,10.005938242280287
2017-02-09,sh.603039,81.5100,81.5100,78.0200,81.5100,74.1000,8559379,688110112.0000,3,51.346005,1,10.000010,20.338404,75.330638,12.750417,-397.583451,0,10.000000000000009
2017-02-10,sh.603039,81.9700,81.9700,76.2100,76.7600,81.5100,9643208,762624416.0000,3,57.847678,1,-5.827506,19.153183,70.940741,12.007386,-374.414252,0,-5.82750582750583
2017-02-13,sh.603039,76.1500,79.9800,76.1500,78.2300,76.7600,6408891,502624480.0000,3,38.445657,1,1.915061,19.519978,72.299299,12.237335,-381.584509,0,1.9150599270453261
2017-02-14,sh.603039,79.5000,84.5000,79.1000,80.1400,78.2300,6058996,491542240.0000,3,36.346707,1,2.441513,19.996562,74.064499,12.536111,-390.900966,0,2.4415185990029453
2017-02-15,sh.603039,79.1600,83.2900,79.1000,80.0700,80.1400,5571203,451098928.0000,3,33.420534,1,-0.087347,19.979095,73.999806,12.525161,-390.559525,0,-0.0873471425006378
2017-02-16,sh.603039,79.1100,79.4500,77.0800,77.8300,80.0700,3816348,298202848.0000,3,22.893509,1,-2.797549,19.420169,71.929623,12.174763,-379.633419,0,-2.7975521418758476
2017-02-17,sh.603039,77.7000,79.4300,75.5500,75.7400,77.8300,2664671,205975875.0000,3,15.984829,1,-2.685345,18.898672,69.998068,11.847830,-369.438971,0,-2.6853398432481135
2017-02-20,sh.603039,75.0000,76.1800,72.0000,75.2500,75.7400,2993214,221550359.0000,3,17.955693,1,-0.646947,18.776407,69.545216,11.771180,-367.048885,0,-0.6469500924214389
2017-02-21,sh.603039,74.2800,77.4800,73.8100,76.4600,75.2500,1533001,116708253.0000,3,9.196167,1,1.607972,19.078327,70.663484,11.960458,-372.950934,0,1.6079734219269115
2017-02-22,sh.603039,76.0000,79.4900,75.5800,79.3800,76.4600,2213873,171878338.0000,3,13.280582,1,3.818988,19.806926,73.362116,12.417226,-387.193894,0,3.818990321736848
2017-02-23,sh.603039,79.5000,82.3800,78.2500,79.6300,79.3800,2712865,217830999.0000,3,16.273935,1,0.314941,19.869306,73.593163,12.456333,-388.413326,0,0.3149407911312574
2017-02-24,sh.603039,78.8000,81.9700,78.3100,79.9800,79.6300,1903708,152694244.0000,3,11.419964,1,0.439541,19.956638,73.916629,12.511083,-390.120530,0,0.4395328393821618
2017-02-27,sh.603039,79.5900,79.5900,76.9000,77.5900,79.9800,1527900,119146166.0000,3,9.165567,1,-2.988256,19.360285,71.707818,12.137221,-378.462764,0,-2.9882470617654366
2017-02-28,sh.603039,77.1200,80.6900,77.1200,79.8000,77.5900,1400640,110760046.0000,3,8.402160,1,2.848314,19.911725,73.750275,12.482926,-389.242539,0,2.8483051939682813
