date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-04-15,sh.603068,26.8300,26.8300,26.8300,26.8300,18.6300,26700,716361.0000,3,0.076993,1,44.015030,8.567464,30.034976,6.814772,57.452909,0,
2019-04-16,sh.603068,29.5100,29.5100,29.5100,29.5100,26.8300,10892,321423.0000,3,0.031409,1,9.988820,9.423253,33.035116,7.495487,63.191776,0,9.988818486768558
2019-04-17,sh.603068,32.4600,32.4600,32.4600,32.4600,29.5100,17103,555163.0000,3,0.049319,1,9.996607,10.365259,36.337508,8.244782,69.508812,0,9.996611318197225
2019-04-18,sh.603068,35.7100,35.7100,35.7100,35.7100,32.4600,22662,809260.0000,3,0.065349,1,10.012320,11.403062,39.975736,9.070276,76.468259,0,10.012322858903255
2019-04-19,sh.603068,39.2800,39.2800,39.2800,39.2800,35.7100,103157,4052007.0000,3,0.297468,1,9.997199,12.543049,43.972191,9.977050,84.112944,0,9.997199663959666
2019-04-22,sh.603068,43.2100,43.2100,43.2100,43.2100,39.2800,94139,4067746.0000,3,0.271463,1,10.005090,13.797993,48.371649,10.975263,92.528521,0,10.005091649694497
2019-04-23,sh.603068,47.5300,47.5300,47.5300,47.5300,43.2100,86521,4112343.0000,3,0.249495,1,9.997685,15.177472,53.207694,12.072535,101.779232,0,9.997685720897941
2019-04-24,sh.603068,52.2800,52.2800,52.2800,52.2800,47.5300,367494,19212586.0000,3,1.059721,1,9.993689,16.694262,58.525105,13.279027,111.950731,0,9.993688196928252
2019-04-25,sh.603068,57.5100,57.5100,57.5100,57.5100,52.2800,416333,23943311.0000,3,1.200555,1,10.003830,18.364327,64.379854,14.607437,123.150086,0,10.003825554705426
2019-04-26,sh.603068,63.2600,63.2600,55.3000,57.1500,57.5100,22397485,1323215628.0000,3,64.586300,1,-0.625973,18.249370,63.976851,14.515998,122.379194,0,-0.6259780907668211
2019-04-29,sh.603068,57.0000,57.9900,51.4400,51.4400,57.1500,14011668,745586652.0000,3,40.404616,1,-9.991256,16.426030,57.584763,13.065668,110.151981,0,-9.991251093613297
2019-04-30,sh.603068,49.3300,50.4700,48.2300,50.0500,51.4400,9477987,468072747.0000,3,27.331109,1,-2.702176,15.406392,55.703584,12.525274,439.675886,0,-2.702177293934682
2019-05-06,sh.603068,47.6700,51.4000,46.3600,47.5800,50.0500,8201684,399816283.0000,3,23.650710,1,-4.935060,14.646077,52.954576,11.907144,417.977596,0,-4.935064935064936
2019-05-07,sh.603068,48.5000,49.8600,46.9800,48.0300,47.5800,6800340,328597874.0000,3,19.609737,1,0.945769,14.784596,53.455407,12.019759,421.930725,0,0.9457755359394859
2019-05-08,sh.603068,46.0000,48.5000,45.3000,46.3400,48.0300,7373841,345247666.0000,3,21.263508,1,-3.518631,14.264380,51.574507,11.596827,407.084527,0,-3.518634186966474
2019-05-09,sh.603068,48.1900,50.9700,48.1800,48.9500,46.3400,13942557,700065226.0000,3,40.205325,1,5.632284,15.067790,54.479329,12.249994,430.012680,0,5.632283124730253
2019-05-10,sh.603068,49.5700,53.8500,48.5800,52.6400,48.9500,15153911,770875621.0000,3,43.698435,1,7.538301,16.203646,58.586147,13.173435,462.428345,0,7.538304392236972
2019-05-13,sh.603068,50.0000,51.3300,49.5000,50.3300,52.6400,9503538,478724661.0000,3,27.404789,1,-4.388293,15.492582,56.015212,12.595346,442.135611,0,-4.38829787234043
2019-05-14,sh.603068,49.2100,50.1000,45.3000,48.3600,50.3300,11400344,541030659.0000,3,32.874496,1,-3.914169,14.886176,53.822683,12.102343,424.829687,0,-3.914166501092786
2019-05-15,sh.603068,47.9500,48.7300,47.3100,48.1200,48.3600,7027536,337579574.0000,3,20.264889,1,-0.496281,14.812300,53.555573,12.042282,422.721351,0,-0.496277915632759
2019-05-16,sh.603068,48.3200,50.0000,47.3600,49.4300,48.1200,8784852,427575504.0000,3,25.332357,1,2.722364,15.215544,55.013549,12.370116,434.229352,0,2.722360764754783
2019-05-17,sh.603068,50.0000,54.3700,50.0000,50.1000,49.4300,13695449,715248126.0000,3,39.492754,1,1.355448,15.421783,55.759231,12.537787,440.115123,0,1.355452154562009
2019-05-20,sh.603068,52.0000,54.8500,50.6500,52.8000,50.1000,12833667,673308548.0000,3,37.007685,1,5.389223,16.252897,58.764220,13.213476,463.833902,0,5.3892215568862145
2019-05-21,sh.603068,50.7900,50.9300,47.6000,49.7000,52.8000,10647318,523254143.0000,3,30.703040,1,-5.871210,15.298655,55.314048,12.437685,436.601230,0,-5.8712121212121104
2019-05-22,sh.603068,50.0000,53.8800,50.0000,51.6700,49.7000,11357539,587517743.0000,3,32.751062,1,3.963778,15.905061,57.506577,12.930688,453.907154,0,3.963782696177054
2019-05-23,sh.603068,52.3000,52.4000,47.7400,47.9000,51.6700,9947149,492551253.0000,3,28.684004,1,-7.296297,14.744579,53.310722,11.987226,420.788710,0,-7.296303464292631
2019-05-24,sh.603068,45.9700,46.9700,44.1300,44.5000,47.9000,8935899,404153478.0000,3,25.767922,1,-7.098124,13.697991,49.526663,11.136358,390.920618,0,-7.098121085594988
2019-05-27,sh.603068,44.4000,46.6800,43.7800,46.6000,44.5000,7549943,345350334.0000,3,21.771323,1,4.719098,14.344413,51.863876,11.661894,409.368557,0,4.719101123595504
2019-05-28,sh.603068,46.4000,49.2000,45.7200,47.6100,46.6000,9272477,438461196.0000,3,26.738492,1,2.167387,14.655311,52.987964,11.914652,418.241138,0,2.1673819742489275
2019-05-29,sh.603068,47.0000,52.3700,46.6000,52.3700,47.6100,11389945,572657473.0000,3,32.844509,1,9.997896,16.120535,58.285648,13.105866,460.056467,0,9.997899600924164
