date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-05-06,sh.603101,12.6900,12.6900,12.6900,12.6900,8.8100,54008,685362.0000,3,0.090013,1,44.040900,4.644934,29.372809,1.143411,-78.487032,0,
2016-05-09,sh.603101,13.9600,13.9600,13.9600,13.9600,12.6900,27811,388242.0000,3,0.046352,1,10.007900,5.109794,32.312405,1.257842,-86.341920,0,10.007880220646182
2016-05-10,sh.603101,15.3600,15.3600,15.3600,15.3600,13.9600,19746,303299.0000,3,0.032910,1,10.028700,5.622237,35.552904,1.383987,-95.000851,0,10.028653295128919
2016-05-11,sh.603101,16.9000,16.9000,16.9000,16.9000,15.3600,31963,540175.0000,3,0.053272,1,10.026000,6.185925,39.117453,1.522746,-104.525676,0,10.026041666666652
2016-05-12,sh.603101,18.5900,18.5900,18.5900,18.5900,16.9000,146477,2723007.0000,3,0.244128,1,10.000000,6.804518,43.029198,1.675021,-114.978244,0,10.000000000000009
2016-05-13,sh.603101,20.4500,20.4500,20.4500,20.4500,18.5900,214095,4378243.0000,3,0.356825,1,10.005400,7.485335,47.334432,1.842613,-126.482253,0,10.00537923614846
2016-05-16,sh.603101,22.5000,22.5000,22.5000,22.5000,20.4500,314312,7072020.0000,3,0.523853,1,10.024400,8.235699,52.079449,2.027325,-139.161403,0,10.02444987775062
2016-05-17,sh.603101,24.7500,24.7500,24.7500,24.7500,22.5000,292709,7244548.0000,3,0.487848,1,10.000000,9.059269,57.287394,2.230057,-153.077544,0,10.000000000000009
2016-05-18,sh.603101,27.2300,27.2300,25.5500,25.8900,24.7500,35054404,918993088.0000,3,58.424007,1,4.606100,9.476545,59.926086,2.332775,-160.128388,0,4.6060606060606135
2016-05-19,sh.603101,24.3400,24.8700,23.3000,23.6300,25.8900,24489886,584578480.0000,3,40.816477,1,-8.729200,8.649314,54.694994,2.129142,-146.150398,0,-8.729239088451147
2016-05-20,sh.603101,22.8000,23.0700,22.0100,22.8700,23.6300,17627309,397231504.0000,3,29.378848,1,-3.216200,8.371131,52.935866,2.060663,-141.449835,0,-3.2162505289885623
2016-05-23,sh.603101,22.7100,23.9800,22.6500,23.4300,22.8700,17690325,414428880.0000,3,29.483875,1,2.448600,8.576108,54.232066,2.111121,-144.913408,0,2.448622649759513
2016-05-24,sh.603101,23.0200,23.2000,22.2200,22.4400,23.4300,12356114,278414992.0000,3,20.593523,1,-4.225400,8.213737,51.940570,2.021919,-138.790306,0,-4.225352112676051
2016-05-25,sh.603101,22.6800,23.9800,22.5300,23.3200,22.4400,17490609,408109136.0000,3,29.151015,1,3.921600,8.535845,53.977455,2.101210,-144.233063,0,3.9215686274509665
2016-05-26,sh.603101,22.8900,24.1900,22.2200,24.0600,23.3200,17011278,394857648.0000,3,28.352130,1,3.173200,8.806708,55.690291,2.167886,-148.809927,0,3.1732418524871298
2016-05-27,sh.603101,23.9100,25.4900,23.7800,24.3200,24.0600,21268505,525841840.0000,3,35.447508,1,1.080600,8.901876,56.292098,2.191313,-150.418015,0,1.0806317539484578
2016-05-30,sh.603101,23.6400,24.2300,22.0000,23.5900,24.3200,13215986,309892336.0000,3,22.026643,1,-3.001600,8.634673,54.602409,2.125537,-145.903000,0,-3.0016447368421018
2016-05-31,sh.603101,23.6900,25.4600,23.6900,24.8800,23.5900,18871302,466531456.0000,3,31.452170,1,5.468400,9.106853,57.588297,2.241771,-153.881587,0,5.468418821534549
2016-06-01,sh.603101,24.7800,27.3700,24.6100,27.3700,24.8800,17635786,471826528.0000,3,29.392977,1,10.008000,10.018271,63.351756,2.466128,-169.282116,0,10.008038585209022
2016-06-02,sh.603101,27.8800,30.0000,26.3500,28.8200,27.3700,33930695,937652016.0000,3,56.551158,1,5.297800,10.549016,66.707987,2.596778,-178.250295,0,5.2977712824260115
2016-06-03,sh.603101,28.2000,29.9500,27.6100,28.0000,28.8200,26601623,761011456.0000,3,44.336038,1,-2.845200,10.248870,64.809981,2.522893,-173.178635,0,-2.84524635669674
2016-06-06,sh.603101,27.7000,28.5000,27.4200,27.9100,28.0000,13607645,379704672.0000,3,22.679408,1,-0.321400,10.215927,64.601663,2.514784,-172.621990,0,-0.3214285714285725
2016-06-07,sh.603101,28.0600,29.9800,27.6500,29.4100,27.9100,22285570,642226256.0000,3,37.142617,1,5.374400,10.764974,68.073626,2.649939,-181.899417,0,5.374417771408102
2016-06-08,sh.603101,28.7800,32.3500,28.2000,30.5800,29.4100,28038500,849214096.0000,3,46.730833,1,3.978200,11.193230,70.781757,2.755360,-189.135810,0,3.9782386943216563
2016-06-13,sh.603101,29.0000,29.5900,27.5200,27.5200,30.5800,18116470,515451488.0000,3,30.194117,1,-10.006500,10.073175,63.698952,2.479644,-170.209859,0,-10.006540222367555
2016-06-14,sh.603101,26.9800,28.0000,25.8500,27.8000,27.5200,12388573,336293296.0000,3,20.647622,1,1.017400,10.175664,64.347052,2.504873,-171.941645,0,1.0174418604651292
2016-06-15,sh.603101,26.8900,29.3200,26.7000,28.4700,27.8000,15813245,451263968.0000,3,26.355408,1,2.410100,10.420905,65.897863,2.565242,-176.085562,0,2.410071942446046
2016-06-16,sh.603101,28.2300,29.0500,27.4000,27.7400,28.4700,12551670,352200368.0000,3,20.919450,1,-2.564100,10.153702,64.208174,2.499466,-171.570548,0,-2.564102564102566
2016-06-17,sh.603101,27.9000,28.8900,27.6000,28.6700,27.7400,14389186,407034352.0000,3,23.981977,1,3.352600,10.494111,66.360791,2.583262,-177.322553,0,3.352559480894035
2016-06-20,sh.603101,28.1000,30.5000,27.8500,29.8300,28.6700,20214989,594492288.0000,3,33.691648,1,4.046000,10.918707,69.045776,2.687782,-184.497096,0,4.046041158004865
2016-06-21,sh.603101,29.9800,30.9800,29.2400,29.5900,29.8300,20643303,616976848.0000,3,34.405505,1,-0.804600,10.830860,68.490262,2.666157,-183.012708,0,-0.8045591686221876
2016-06-22,sh.603101,29.1200,30.0200,28.8000,29.4600,29.5900,11320737,332997024.0000,3,18.867895,1,-0.439300,10.783275,68.189358,2.654444,-182.208664,0,-0.439337614058799
2016-06-23,sh.603101,29.2900,30.2800,28.5000,29.8100,29.4600,13489759,397989312.0000,3,22.482932,1,1.188100,10.911386,68.999483,2.685980,-184.373397,0,1.1880515953835546
2016-06-24,sh.603101,29.7800,29.8800,27.2600,28.6700,29.8100,12360185,357347536.0000,3,20.600308,1,-3.824200,10.494111,66.360791,2.583262,-177.322553,0,-3.8242200603824106
2016-06-27,sh.603101,28.0100,29.8200,28.0100,29.5800,28.6700,11763677,345305904.0000,3,19.606128,1,3.174000,10.827199,68.467115,2.665256,-182.950858,0,3.174049529124501
2016-06-28,sh.603101,29.5000,30.6900,29.2200,30.3300,29.5800,15808514,476279984.0000,3,26.347523,1,2.535500,11.101723,70.203097,2.732834,-187.589572,0,2.535496957403649
2016-06-29,sh.603101,30.5600,31.9800,30.0000,31.8500,30.3300,24040680,749158144.0000,3,40.067800,1,5.011500,11.658090,73.721353,2.869791,-196.990698,0,5.011539729640635
2016-06-30,sh.603101,30.4200,31.1000,29.2000,29.8200,31.8500,16211392,490214208.0000,3,27.018987,1,-6.373600,10.915047,69.022629,2.686881,-184.435247,0,-6.373626373626373
2016-07-01,sh.603101,29.8500,30.7500,29.6500,30.3100,29.8200,9859498,298650320.0000,3,16.432497,1,1.643200,11.094402,70.156804,2.731032,-187.465873,0,1.6431924882629012
2016-07-04,sh.603101,29.9600,31.5000,29.6000,31.4000,30.3100,12927188,401704368.0000,3,21.545313,1,3.596200,11.493376,72.679764,2.829244,-194.207470,0,3.596172880237547
2016-07-05,sh.603101,31.8300,33.9500,31.2900,32.8800,31.4000,22861346,742572432.0000,3,38.102243,1,4.713400,12.035102,76.105434,2.962597,-203.361198,0,4.713375796178365
2016-07-06,sh.603101,32.9500,33.3600,31.3600,32.4200,32.8800,15811053,511710048.0000,3,26.351755,1,-1.399000,11.866727,75.040699,2.921150,-200.516120,0,-1.3990267639902743
2016-07-07,sh.603101,32.0100,35.4800,32.0000,34.4500,32.4200,21475670,719199792.0000,3,35.792783,1,6.261600,12.609771,79.739423,3.104060,-213.071571,0,6.261566933991358
2016-07-08,sh.603101,34.3000,35.5000,33.6200,34.3400,34.4500,17990739,622549168.0000,3,29.984565,1,-0.319300,12.569507,79.484812,3.094148,-212.391226,0,-0.3193033381712618
2016-07-11,sh.603101,33.7100,34.3400,31.2400,31.9900,34.3400,15137397,494649312.0000,3,25.228995,1,-6.843300,11.709334,74.045403,2.882405,-197.856591,0,-6.843331391962737
