date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-06-29,sh.603117,8.5400,8.5400,8.5400,8.5400,5.9300,28200,240828.0000,3,0.047000,1,44.013490,3.592450,32.389048,8.163326,305.433964,0,
2015-06-30,sh.603117,9.3900,9.3900,9.3900,9.3900,8.5400,16300,153057.0000,3,0.027167,1,9.953200,3.950013,35.612782,8.975835,335.834300,0,9.953161592505877
2015-07-01,sh.603117,10.3300,10.3300,10.3300,10.3300,9.3900,5532,57146.0000,3,0.009220,1,10.010600,4.345435,39.177853,9.874374,369.453496,0,10.010649627263035
2015-07-02,sh.603117,11.3600,11.3600,11.3600,11.3600,10.3300,58800,667968.0000,3,0.098000,1,9.971000,4.778716,43.084261,10.858944,406.291550,0,9.970958373668925
2015-07-03,sh.603117,12.5000,12.5000,12.5000,12.5000,11.3600,475760,5947000.0000,3,0.792933,1,10.035200,5.258271,47.407857,11.948662,447.063765,0,10.035211267605648
2015-07-06,sh.603117,13.7500,13.7500,13.7500,13.7500,12.5000,268300,3689125.0000,3,0.447167,1,10.000000,5.784098,52.148643,13.143528,491.770142,0,10.000000000000009
2015-07-07,sh.603117,15.1300,15.1300,15.1300,15.1300,13.7500,4352550,65854082.0000,3,7.254250,1,10.036400,6.364611,57.382470,14.462660,541.125981,0,10.036363636363642
2015-07-08,sh.603117,13.6200,13.6200,13.6200,13.6200,15.1300,2172400,29588088.0000,3,3.620667,1,-9.980200,5.729412,51.655601,13.019262,487.120679,0,-9.980171844018514
2015-07-09,sh.603117,12.2600,14.9800,12.2600,14.9800,13.6200,25102550,332794416.0000,3,41.837583,1,9.985300,6.301512,56.813576,14.319276,535.761216,0,9.985315712187969
2015-07-10,sh.603117,16.4800,16.4800,16.4800,16.4800,14.9800,1216471,20047442.0000,3,2.027452,1,10.013400,6.932504,62.502519,15.753116,589.408868,0,10.01335113484647
2015-07-13,sh.603117,18.1300,18.1300,17.4800,18.1300,16.4800,13216284,239467176.0000,3,22.027140,1,10.012100,7.626596,68.760356,17.330339,648.421285,0,10.012135922330078
2015-07-14,sh.603117,19.5800,19.9400,18.7800,19.9400,18.1300,8666921,169600662.0000,3,14.444868,1,9.983500,8.387993,75.625014,19.060505,713.156118,0,9.983452840595719
2015-07-15,sh.603117,21.0000,21.7300,17.9500,17.9500,19.9400,32309295,626825904.0000,3,53.848825,1,-9.979900,7.550877,68.077683,17.158278,641.983567,0,-9.979939819458384
2015-07-16,sh.603117,16.1600,18.3600,16.1600,16.2500,17.9500,20877880,352945840.0000,3,34.796467,1,-9.470800,6.835752,61.630214,15.533260,581.182895,0,-9.470752089136491
2015-07-17,sh.603117,16.1800,17.7700,15.9600,17.7400,16.2500,17088499,287309184.0000,3,28.480832,1,9.169200,7.462538,67.281231,16.957541,634.472896,0,9.16923076923075
2015-07-20,sh.603117,17.1000,17.7300,16.3300,16.7100,17.7400,15845775,270223328.0000,3,26.409625,1,-5.806100,7.029256,63.374823,15.972971,597.634841,0,-5.806087936865822
2015-07-21,sh.603117,16.1500,18.3800,15.7600,18.3800,16.7100,18218345,313711296.0000,3,30.363908,1,9.994000,7.731761,69.708513,17.569312,657.362560,0,9.994015559545177
2015-07-22,sh.603117,17.9000,18.8300,17.4600,17.8100,18.3800,16039547,289984512.0000,3,26.732578,1,-3.101200,7.491984,67.546715,17.024453,636.976453,0,-3.101196953210017
2015-07-23,sh.603117,17.8100,19.5900,17.5500,19.5900,17.8100,14054044,264240091.0000,3,23.423407,1,9.994400,8.240762,74.297594,18.725943,700.638333,0,9.994385176866928
2015-07-24,sh.603117,20.7100,21.5500,20.1300,21.3800,19.5900,30550554,647586176.0000,3,50.917590,1,9.137300,8.993746,81.086399,20.436991,764.657864,0,9.13731495661052
2015-07-27,sh.603117,19.3000,22.8400,19.2400,20.3500,21.3800,27310155,584579776.0000,3,45.516925,1,-4.817600,8.560465,77.179991,19.452421,727.819810,0,-4.8175865294667775
