date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-01-05,sh.603161,24.1200,24.1200,24.1200,24.1200,16.7500,21910,528469.0000,3,0.065599,1,44.000010,5.115764,31.339914,3.823321,240.708362,0,
2018-01-08,sh.603161,26.5300,26.5300,26.5300,26.5300,24.1200,10340,274320.0000,3,0.030958,1,9.991707,5.626916,34.471307,4.205336,264.759239,0,9.991708126036492
2018-01-09,sh.603161,29.1800,29.1800,29.1800,29.1800,26.5300,8400,245112.0000,3,0.025150,1,9.988690,6.188972,37.914540,4.625394,291.205224,0,9.988692046739533
2018-01-10,sh.603161,32.1000,32.1000,32.1000,32.1000,29.1800,41397,1328844.0000,3,0.123943,1,10.006850,6.808293,41.708593,5.088251,320.345706,0,10.006854009595623
2018-01-11,sh.603161,35.3100,35.3100,35.3100,35.3100,32.1000,146016,5155825.0000,3,0.437174,1,10.000010,7.489122,45.879452,5.597076,352.380276,0,10.000000000000009
2018-01-12,sh.603161,38.8400,38.8400,36.6300,36.9900,35.3100,18537582,700312752.0000,3,55.501743,1,4.757860,7.845444,48.062331,5.863377,369.146033,0,4.7578589634664326
2018-01-15,sh.603161,34.4000,34.7400,33.2900,33.3400,36.9900,12597725,423774914.0000,3,37.717740,1,-9.867536,7.071293,43.319766,5.284806,332.720431,0,-9.867531765341974
2018-01-16,sh.603161,32.8100,34.0000,31.9000,33.6800,33.3400,8931316,298160918.0000,3,26.740467,1,1.019796,7.143405,43.761539,5.338700,336.113501,0,1.0197960407918316
2018-01-17,sh.603161,33.0500,33.9600,32.4900,32.7400,33.6800,7400088,244051912.0000,3,22.155952,1,-2.790970,6.944035,42.540166,5.189699,326.732661,0,-2.7909738717339594
2018-01-18,sh.603161,32.0000,32.4700,31.1700,31.4100,32.7400,7090068,224695821.0000,3,21.227749,1,-4.062315,6.661947,40.812053,4.978877,313.459770,0,-4.0623091020158935
2018-01-19,sh.603161,31.3000,33.6500,31.1700,32.4900,31.4100,8592045,278290445.0000,3,25.724686,1,3.438401,6.891011,42.215332,5.150071,324.237757,0,3.4383954154727947
2018-01-22,sh.603161,31.5000,31.7900,30.6800,30.7500,32.4900,5862018,181886067.0000,3,17.550952,1,-5.355499,6.521963,39.954493,4.874259,306.873223,0,-5.355493998153282
2018-01-23,sh.603161,30.6000,31.4500,30.4000,31.0300,30.7500,4232544,131162926.0000,3,12.672287,1,0.910571,6.581350,40.318306,4.918642,309.667516,0,0.9105691056910503
2018-01-24,sh.603161,31.2000,31.9700,31.0400,31.0700,31.0300,5016443,157570249.0000,3,15.019290,1,0.128904,6.589834,40.370279,4.924983,310.066700,0,0.1289075088623859
2018-01-25,sh.603161,30.7900,31.7900,30.5700,31.5900,31.0700,5898060,184618144.0000,3,17.658862,1,1.673642,6.700124,41.045933,5.007409,315.256101,0,1.673640167364021
2018-01-26,sh.603161,31.4000,32.4800,31.2000,31.3000,31.5900,5609746,178341574.0000,3,16.795647,1,-0.918015,6.638616,40.669126,4.961441,312.362012,0,-0.9180120291231386
2018-01-29,sh.603161,30.8000,32.3700,30.4800,31.9400,31.3000,6707779,210954620.0000,3,20.083171,1,2.044733,6.774358,41.500699,5.062889,318.748967,0,2.0447284345047834
2018-01-30,sh.603161,31.7100,32.3500,31.5000,32.0400,31.9400,4967377,158414308.0000,3,14.872386,1,0.313088,6.795567,41.630633,5.078740,319.746929,0,0.3130870381966133
2018-01-31,sh.603161,31.6600,31.9200,29.1500,29.2000,32.0400,5686857,172734721.0000,3,17.026518,1,-8.863920,6.193214,37.940527,4.628564,291.404817,0,-8.863920099875156
2018-02-01,sh.603161,28.9800,29.6600,27.6600,28.1200,29.2000,4274825,122292966.0000,3,12.798877,1,-3.698630,5.964150,36.537247,4.457371,280.626830,0,-3.6986301369862917
2018-02-02,sh.603161,28.1600,28.6700,27.3100,28.1500,28.1200,3305491,93216242.0000,3,9.896680,1,0.106681,5.970512,36.576227,4.462126,280.926219,0,0.10668563300142431
2018-02-05,sh.603161,27.2500,27.7000,26.6000,26.8200,28.1500,3503920,95239214.0000,3,10.490778,1,-4.724689,5.688424,34.848114,4.251305,267.653328,0,-4.724689165186491
2018-02-06,sh.603161,26.2700,26.2700,24.1700,24.4600,26.8200,3944861,100124211.0000,3,11.810961,1,-8.799406,5.187877,31.781688,3.877215,244.101432,0,-8.799403430275909
2018-02-07,sh.603161,25.2000,25.3800,23.6100,25.0600,24.4600,3678683,91447277.0000,3,11.014021,1,2.452986,5.315135,32.561287,3.972323,250.089202,0,2.452984464431718
2018-02-08,sh.603161,24.8000,25.7800,24.5200,25.5800,25.0600,3031837,76918201.0000,3,9.077356,1,2.075022,5.425425,33.236941,4.054749,255.278603,0,2.0750199521149204
2018-02-09,sh.603161,24.8500,25.5500,24.2500,24.6200,25.5800,2757191,68351421.0000,3,8.255063,1,-3.752928,5.221812,31.989581,3.902577,245.698171,0,-3.7529319781078874
