date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-05-09,sh.603229,11.2500,11.2500,11.2500,11.2500,7.8100,16900,190125.0000,3,0.042250,1,44.046100,7.049533,31.080884,9.151481,19.827441,0,
2017-05-10,sh.603229,12.3800,12.3800,12.3800,12.3800,11.2500,5065,62705.0000,3,0.012663,1,10.044450,7.757620,34.202786,10.070696,21.818997,0,10.044444444444455
2017-05-11,sh.603229,13.6200,13.6200,13.6200,13.6200,12.3800,6100,83082.0000,3,0.015250,1,10.016150,8.534635,37.628591,11.079392,24.004421,0,10.016155088852985
2017-05-12,sh.603229,14.9800,14.9800,14.9800,14.9800,13.6200,11130,166727.0000,3,0.027825,1,9.985313,9.386845,41.385924,12.185705,26.401339,0,9.985315712187969
2017-05-15,sh.603229,16.4800,16.4800,16.4800,16.4800,14.9800,16165,266399.0000,3,0.040413,1,10.013350,10.326783,45.530042,13.405902,29.044997,0,10.01335113484647
2017-05-16,sh.603229,18.1300,18.1300,18.1300,18.1300,16.4800,31330,568013.0000,3,0.078325,1,10.012130,11.360715,50.088572,14.748119,31.953022,0,10.012135922330078
2017-05-17,sh.603229,19.9400,19.9400,19.9400,19.9400,18.1300,58520,1166889.0000,3,0.146300,1,9.983460,12.494906,55.089141,16.220491,35.143037,0,9.983452840595719
2017-05-18,sh.603229,21.9300,21.9300,21.9300,21.9300,19.9400,212345,4656726.0000,3,0.530863,1,9.979939,13.741891,60.587004,17.839286,38.650291,0,9.979939819458373
2017-05-19,sh.603229,24.1200,24.1200,24.1200,24.1200,21.9300,206330,4976680.0000,3,0.515825,1,9.986322,15.114200,66.637416,19.620774,42.510033,0,9.98632010943914
2017-05-22,sh.603229,23.0300,23.0300,21.7100,21.7100,24.1200,16898549,373948640.0000,3,42.246372,1,-9.991715,13.604033,59.979200,17.660324,38.262554,0,-9.99170812603648
2017-05-23,sh.603229,20.7000,21.6700,20.3300,20.8600,21.7100,14409813,300403328.0000,3,36.024532,1,-3.915240,13.071402,57.630866,16.968879,36.764481,0,-3.9152464302165013
2017-05-24,sh.603229,20.4000,21.9600,20.4000,21.4800,20.8600,13331372,283420512.0000,3,33.328430,1,2.972190,13.459909,59.343768,17.473227,37.857193,0,2.9721955896452545
2017-05-25,sh.603229,21.5000,21.7900,20.0200,20.8300,21.4800,11031480,230884446.0000,3,27.578700,1,-3.026069,13.052603,57.547984,16.944475,36.711608,0,-3.026070763500943
2017-05-26,sh.603229,21.0200,22.9100,21.0200,22.9100,20.8300,17589861,396305760.0000,3,43.974652,1,9.985598,14.355983,63.294494,18.636482,40.377481,0,9.98559769563132
2017-05-31,sh.603229,25.2000,25.2000,23.0800,23.8000,22.9100,24233148,593685744.0000,3,60.582870,1,3.884764,14.913680,65.753337,19.360465,41.946052,0,3.8847664775207402
2017-06-01,sh.603229,24.5000,26.1800,24.0900,26.1800,23.8000,28662552,737634128.0000,3,71.656380,1,10.000000,16.405048,72.328671,21.296512,46.140657,0,9.999999999999986
2017-06-02,sh.603229,23.9900,24.5900,23.5600,23.5600,26.1800,21429926,509424896.0000,3,53.574815,1,-10.007640,14.763290,65.090278,19.165234,41.523067,0,-10.007639419404125
2017-06-05,sh.603229,24.6200,25.2900,23.0000,23.0500,23.5600,20121784,490174880.0000,3,50.304460,1,-2.164687,14.443711,63.681278,18.750367,40.624223,0,-2.164685908319175
2017-06-06,sh.603229,21.3100,22.4400,21.2100,21.9700,23.0500,14359322,311557056.0000,3,35.898305,1,-4.685466,13.766956,60.697513,17.871825,38.720788,0,-4.685466377440351
2017-06-07,sh.603229,21.8100,23.3300,21.6200,22.6700,21.9700,13150168,296347776.0000,3,32.875420,1,3.186167,14.205593,62.631435,18.441250,39.954496,0,3.1861629494765786
2017-06-08,sh.603229,22.1900,22.4400,21.2700,21.6000,22.6700,11389936,249284057.0000,3,28.474840,1,-4.719893,13.535104,59.675298,17.570843,38.068686,0,-4.719894133215707
2017-06-09,sh.603229,21.5600,22.5100,21.4500,22.4100,21.6000,9594182,211701660.0000,3,23.985455,1,3.749998,14.042671,61.913121,18.229749,39.496262,0,3.7499999999999867
2017-06-12,sh.603229,21.8300,23.4900,21.5100,22.1000,22.4100,11865368,266389543.0000,3,29.663420,1,-1.383309,13.848417,61.056670,17.977575,38.949906,0,-1.38331102186523
