date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-07-31,sh.603233,29.6600,35.6000,29.6600,35.6000,24.7200,25528,907015.0000,3,0.063804,1,44.012940,9.908829,32.904816,2.175920,638.516100,0,
2017-08-01,sh.603233,39.1600,39.1600,39.1600,39.1600,35.6000,13700,536492.0000,3,0.034241,1,10.000000,10.899711,36.195298,2.393512,702.367710,0,9.999999999999986
2017-08-02,sh.603233,43.0800,43.0800,43.0800,43.0800,39.1600,421796,18170972.0000,3,1.054226,1,10.010220,11.990796,39.818525,2.633108,772.676224,0,10.010214504596537
2017-08-03,sh.603233,43.0800,46.9900,41.0300,43.9000,43.0800,18957276,814591248.0000,3,47.381345,1,1.903435,12.219033,40.576445,2.683227,787.383618,0,1.9034354688950872
2017-08-04,sh.603233,42.0000,43.5000,41.7800,41.8500,43.9000,10746520,454349840.0000,3,26.859585,1,-4.669711,11.648440,38.681645,2.557928,750.615134,0,-4.669703872437347
2017-08-07,sh.603233,42.0500,43.7800,41.8500,42.2900,41.8500,7848904,334366224.0000,3,19.617356,1,1.051380,11.770909,39.088334,2.584822,758.506906,0,1.0513739545997547
2017-08-08,sh.603233,41.2700,41.2900,39.2300,39.7200,42.2900,8436415,338577680.0000,3,21.085766,1,-6.077086,11.055581,36.712902,2.427740,712.411783,0,-6.0770867817450895
2017-08-09,sh.603233,39.3700,40.1500,38.0300,38.2400,39.7200,5681904,221449553.0000,3,14.201210,1,-3.726081,10.643641,35.344949,2.337280,685.866732,0,-3.726082578046319
2017-08-10,sh.603233,38.2400,38.8800,37.6300,37.9100,38.2400,3787016,144235433.0000,3,9.465174,1,-0.862975,10.551789,35.039932,2.317110,679.947903,0,-0.8629707112970841
2017-08-11,sh.603233,37.2800,37.2800,36.2900,36.3100,37.9100,4190858,153996213.0000,3,10.474526,1,-4.220518,10.106449,33.561064,2.219316,651.250550,0,-4.220522289633333
2017-08-14,sh.603233,36.2900,36.7300,36.0000,36.5200,36.3100,2859256,104225543.0000,3,7.146353,1,0.578350,10.164899,33.755165,2.232152,655.017078,0,0.5783530707794027
2017-08-15,sh.603233,36.5900,37.7900,36.4100,37.6000,36.5200,4576285,171055729.0000,3,11.437853,1,2.957278,10.465504,34.753401,2.298163,674.387791,0,2.957283680175249
2017-08-16,sh.603233,37.5000,38.2400,37.3000,37.7600,37.6000,3265385,123785877.0000,3,8.161422,1,0.425532,10.510038,34.901288,2.307942,677.257526,0,0.42553191489360653
2017-08-17,sh.603233,37.7300,37.7300,36.9000,37.2700,37.7600,2613226,97229861.0000,3,6.531432,1,-1.297664,10.373653,34.448385,2.277993,668.468962,0,-1.2976694915254106
2017-08-18,sh.603233,37.1000,37.1600,36.6100,36.7100,37.2700,1960570,72241710.0000,3,4.900200,1,-1.502553,10.217784,33.930781,2.243765,658.424888,0,-1.5025489669975967
2017-08-21,sh.603233,36.9000,37.4900,36.7400,37.4800,36.7100,2204699,82049222.0000,3,5.510370,1,2.097522,10.432104,34.642486,2.290828,672.235489,0,2.0975211114137693
2017-08-22,sh.603233,37.5200,39.5000,37.4100,38.9800,37.4800,5105306,196309927.0000,3,12.760075,1,4.002134,10.849611,36.028925,2.382510,699.139258,0,4.002134471718244
2017-08-23,sh.603233,38.8600,39.4500,38.1100,38.6200,38.9800,3485112,135064536.0000,3,8.710602,1,-0.923552,10.749409,35.696180,2.360506,692.682353,0,-0.9235505387378162
2017-08-24,sh.603233,38.7200,39.9400,38.5100,38.6900,38.6200,4950027,194358768.0000,3,12.371975,1,0.181252,10.768893,35.760880,2.364785,693.937862,0,0.18125323666493554
2017-08-25,sh.603233,38.2000,39.9900,38.0600,39.7500,38.6900,5164334,203047416.0000,3,12.907608,1,2.739730,11.063931,36.740631,2.429574,712.949859,0,2.7397260273972712
2017-08-28,sh.603233,39.9100,41.3800,39.5000,40.9800,39.7500,6287485,254236154.0000,3,15.714784,1,3.094338,11.406286,37.877510,2.504753,735.010949,0,3.0943396226414954
2017-08-29,sh.603233,40.8600,43.7700,40.1000,41.4200,40.9800,9451707,397387552.0000,3,23.623362,1,1.073691,10.551372,35.897066,2.427908,268.670749,0,1.0736944851146957
