date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-04-16,sh.603317,16.1500,19.3800,16.1500,19.3800,13.4600,32664,618170.0000,3,0.079051,1,43.982160,7.034345,30.032759,5.667184,72.620157,0,
2019-04-17,sh.603317,21.3200,21.3200,21.3200,21.3200,19.3800,16186,345086.0000,3,0.039172,1,10.010320,7.738505,33.039134,6.234487,79.889668,0,10.010319917440658
2019-04-18,sh.603317,23.4500,23.4500,23.4500,23.4500,21.3200,33884,794580.0000,3,0.082004,1,9.990624,8.511630,36.339948,6.857351,87.871140,0,9.9906191369606
2019-04-19,sh.603317,25.8000,25.8000,25.8000,25.8000,23.4500,78216,2017973.0000,3,0.189293,1,10.021310,9.364608,39.981692,7.544549,96.676990,0,10.021321961620465
2019-04-22,sh.603317,28.3800,28.3800,28.3800,28.3800,25.8000,157446,4468317.0000,3,0.381041,1,10.000000,10.301069,43.979861,8.299004,106.344689,0,9.999999999999986
2019-04-23,sh.603317,31.2200,31.2200,31.2200,31.2200,28.3800,771488,24085855.0000,3,1.867106,1,10.007050,11.331901,48.380946,9.129489,116.986652,0,10.007047216349552
2019-04-24,sh.603317,33.0100,34.3400,32.1100,34.3400,31.2200,28249273,945512139.0000,3,68.367069,1,9.993597,12.464366,53.215941,10.041853,128.677823,0,9.993593850096104
2019-04-25,sh.603317,33.0000,37.4700,32.8000,35.8100,34.3400,24137494,840269907.0000,3,58.416007,1,4.280726,12.997930,55.493968,10.471717,134.186163,0,4.2807221898660375
2019-04-26,sh.603317,36.2000,39.3900,36.2000,39.3900,35.8100,17541369,662298390.0000,3,42.452490,1,9.997202,14.297361,61.041815,11.518596,147.601032,0,9.997207483943038
2019-04-29,sh.603317,40.4400,41.7700,35.4500,35.4500,39.3900,18382552,687038210.0000,3,44.488267,1,-10.002540,12.867262,54.936084,10.366444,132.837182,0,-10.002538715409992
2019-04-30,sh.603317,35.5000,38.6200,35.5000,36.8100,35.4500,15490961,570865863.0000,3,37.490225,1,3.836391,12.550616,53.090364,10.315526,65.143197,0,3.8363892806769995
2019-05-06,sh.603317,34.5300,38.9600,34.5100,38.2500,36.8100,20175694,749237352.0000,3,48.827914,1,3.911977,13.041593,55.167248,10.719067,67.691587,0,3.9119804400977953
2019-05-07,sh.603317,38.0000,40.2400,36.1000,39.0600,38.2500,18681214,715970542.0000,3,45.211070,1,2.117651,13.317768,56.335496,10.946059,69.125056,0,2.117647058823535
2019-05-08,sh.603317,37.3000,39.0000,36.5000,36.9600,39.0600,14744575,552892759.0000,3,35.683870,1,-5.376350,12.601759,53.306706,10.357562,65.408655,0,-5.376344086021511
2019-05-09,sh.603317,35.9100,37.5000,33.2600,33.3200,36.9600,14329767,502076467.0000,3,34.679978,1,-9.848484,11.360677,48.056803,9.337499,58.966893,0,-9.848484848484851
2019-05-10,sh.603317,33.2300,34.8400,33.1800,34.5200,33.3200,12106642,410906087.0000,3,29.299714,1,3.601443,11.769825,49.787540,9.673783,61.090551,0,3.601440576230508
2019-05-13,sh.603317,33.5100,34.5800,33.2000,33.8800,34.5200,7282899,246985542.0000,3,17.625603,1,-1.853996,11.551612,48.864480,9.494431,59.957933,0,-1.8539976825028948
2019-05-14,sh.603317,33.3600,34.9400,33.3600,33.6700,33.8800,8162664,279441896.0000,3,19.754753,1,-0.619843,11.480012,48.561601,9.435582,59.586293,0,-0.6198347107438051
2019-05-15,sh.603317,33.9700,35.8000,33.3000,35.3900,33.6700,10560185,365733736.0000,3,25.557079,1,5.108409,12.066457,51.042325,9.917589,62.630203,0,5.108405108405112
2019-05-16,sh.603317,34.8700,38.9300,34.8600,38.9300,35.3900,12891853,482519972.0000,3,31.200031,1,10.002830,13.273444,56.148000,10.909629,68.894993,0,10.002825656965243
2019-05-17,sh.603317,38.0000,38.4700,36.3500,36.7200,38.9300,10706468,400182420.0000,3,25.911104,1,-5.676854,12.519929,52.960559,10.290305,64.983923,0,-5.676855895196509
2019-05-20,sh.603317,36.2100,36.5500,33.0600,34.4900,36.7200,7377771,255490931.0000,3,17.855206,1,-6.072983,11.759596,49.744272,9.665376,61.037459,0,-6.072984749455335
2019-05-21,sh.603317,34.4900,35.4400,34.4100,34.5000,34.4900,4788327,167162601.0000,3,11.588400,1,0.028989,11.763006,49.758695,9.668178,61.055157,0,0.02899391127861861
2019-05-22,sh.603317,33.9300,34.1800,32.6100,33.1500,34.5000,6809631,226689971.0000,3,16.480230,1,-3.913039,11.302714,47.811615,9.289858,58.666042,0,-3.913043478260869
2019-05-23,sh.603317,32.5000,32.6800,31.5300,31.7000,33.1500,4959483,158857546.0000,3,12.002621,1,-4.374059,10.808327,45.720308,8.883515,56.099955,0,-4.374057315233781
2019-05-24,sh.603317,31.4000,32.9500,31.4000,32.6000,31.7000,3646326,117395355.0000,3,8.824603,1,2.839109,11.115188,47.018361,9.135728,57.692699,0,2.8391167192429068
2019-05-27,sh.603317,32.7000,33.6700,32.2600,33.0100,32.6000,3526884,116041820.0000,3,8.535537,1,1.257668,11.254980,47.609696,9.250625,58.418282,0,1.2576687116564234
2019-05-28,sh.603317,33.0000,34.2500,32.7900,33.2200,33.0100,3574063,120064816.0000,3,8.649717,1,0.636180,11.326581,47.912575,9.309475,58.789922,0,0.6361708573159763
2019-05-29,sh.603317,33.2000,34.4500,33.0100,33.8000,33.2200,3655431,124150701.0000,3,8.846638,1,1.745930,11.524336,48.749098,9.472012,59.816356,0,1.7459361830222786
2019-05-30,sh.603317,33.5000,37.1800,33.0000,36.6000,33.8000,9369340,336760320.0000,3,22.675073,1,8.284022,12.479015,52.787485,10.256676,64.771557,0,8.284023668639072
2019-05-31,sh.603317,36.0300,39.9200,35.4500,37.6000,36.6000,11765346,444295956.0000,3,28.473732,1,2.732241,12.819971,54.229766,10.536913,66.541272,0,2.732240437158473
2019-06-03,sh.603317,37.1700,37.8700,35.0700,35.4300,37.6000,7514702,271097214.0000,3,18.186597,1,-5.771272,12.080095,51.100016,9.928799,62.700991,0,-5.771276595744689
2019-06-04,sh.603317,35.6200,37.2000,34.8100,35.4400,35.4300,6317529,226986543.0000,3,15.289276,1,0.028220,12.083505,51.114439,9.931601,62.718688,0,0.028224668360143923
2019-06-05,sh.603317,35.4000,36.4900,34.4900,36.0300,35.4400,5297450,188511976.0000,3,12.820547,1,1.664786,12.284669,51.965385,10.096941,63.762820,0,1.6647855530474098
2019-06-06,sh.603317,35.5000,39.6300,35.0200,37.0200,36.0300,10108093,383072824.0000,3,24.462955,1,2.747715,12.622216,53.393243,10.374376,65.514838,0,2.747710241465451
2019-06-10,sh.603317,37.6800,40.7200,37.0600,40.7200,37.0200,8661135,339594157.0000,3,20.961121,1,9.994599,13.883756,58.729683,11.411253,72.062782,0,9.994597514856828
2019-06-11,sh.603317,42.8100,44.3000,39.0000,41.9600,40.7200,14600742,608950559.0000,3,35.335774,1,3.045181,14.306542,60.518111,11.758747,74.257228,0,3.045186640471509
2019-06-12,sh.603317,40.2700,41.2700,39.0300,39.1700,41.9600,11669653,467448157.0000,3,28.242142,1,-6.649192,13.355273,56.494147,10.976885,69.319724,0,-6.6491897044804515
2019-06-13,sh.603317,38.4700,40.0800,38.1100,39.9200,39.1700,7081042,277558055.0000,3,17.137081,1,1.914731,13.610991,57.575858,11.187063,70.647010,0,1.9147306612203208
2019-06-14,sh.603317,39.5500,39.8700,36.7100,36.7400,39.9200,6757848,257475753.0000,3,16.354908,1,-7.965923,12.526749,52.989404,10.295909,65.019317,0,-7.965931863727449
2019-06-17,sh.603317,36.5000,37.6400,36.4600,37.0000,36.7400,3404049,126096554.0000,3,8.238260,1,0.707671,12.615397,53.364397,10.368771,65.479443,0,0.7076755579749516
2019-06-18,sh.603317,37.0000,38.2600,36.0300,38.1000,36.8000,4672267,174018182.0000,3,11.307519,1,3.532607,12.990450,54.950906,10.677032,67.426129,0,2.972972972972987
2019-06-19,sh.603317,38.3100,39.9600,38.3100,39.2700,38.1000,5944163,232687083.0000,3,14.385680,1,3.070872,13.389369,56.638375,11.004909,69.496696,0,3.070866141732287
2019-06-20,sh.603317,38.5300,39.6300,38.0000,39.3700,39.2700,4922710,191942318.0000,3,11.913625,1,0.254643,13.423465,56.782603,11.032933,69.673667,0,0.2546473134708238
2019-06-21,sh.603317,39.3600,40.2000,38.5800,38.8000,39.3700,4650388,182698860.0000,3,11.254569,1,-1.447802,13.229119,55.960503,10.873198,68.664930,0,-1.4478028956057876
2019-06-24,sh.603317,38.1000,38.7100,37.7600,38.2200,38.8000,3342941,127636396.0000,3,8.090370,1,-1.494840,13.031364,55.123980,10.710660,67.638495,0,-1.494845360824737
2019-06-25,sh.603317,38.2400,40.8000,38.0200,40.5600,38.2200,8411359,334796738.0000,3,20.356629,1,6.122449,13.829203,58.498918,11.366415,71.779628,0,6.1224489795918435
2019-06-26,sh.603317,39.7900,42.5000,39.7500,40.1400,40.5600,8202773,336181635.0000,3,19.851822,1,-1.035508,13.686001,57.893160,11.248715,71.036347,0,-1.0355029585798814
2019-06-27,sh.603317,40.5000,43.5500,40.0000,43.5500,40.1400,9368508,391481294.0000,3,22.673059,1,8.495266,14.848664,62.811338,12.204324,77.071074,0,8.495266567015447
2019-06-28,sh.603317,43.1400,44.4500,40.8900,41.9500,43.5500,9219642,392852033.0000,3,22.312783,1,-3.673934,14.303133,60.503688,11.755944,74.239531,0,-3.6739380022961954
2019-07-01,sh.603317,42.4200,46.1500,41.6200,46.1500,41.9500,8955811,398369356.0000,3,21.674276,1,10.011920,15.735151,66.561268,12.932940,81.672333,0,10.011918951132293
2019-07-02,sh.603317,46.9500,49.1000,45.0500,46.3800,46.1500,13920674,654607786.0000,3,33.689918,1,0.498374,15.813571,66.892993,12.997395,82.079367,0,0.4983748645720487
2019-07-03,sh.603317,45.1500,48.7000,45.0100,45.3400,46.3800,11183499,522367189.0000,3,27.065583,1,-2.242348,15.458976,65.393021,12.705948,80.238864,0,-2.2423458387235806
2019-07-04,sh.603317,45.0100,45.8500,42.8100,44.4100,45.3400,9032478,396968099.0000,3,21.859821,1,-2.051170,15.141886,64.051699,12.445328,78.593029,0,-2.051168945743287
2019-07-05,sh.603317,44.3000,46.2000,44.0600,46.2000,44.4100,7615307,343064502.0000,3,18.430075,1,4.030626,15.752199,66.633382,12.946952,81.760818,0,4.030623733393401
