date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2015-04-24,sh.603318,9.3900,9.3900,9.3900,9.3900,6.5200,33100,310809.0000,3,0.109967,1,44.018410,3.937904,31.542462,3.119220,62.334455,0,
2015-04-27,sh.603318,10.3300,10.3300,10.3300,10.3300,9.3900,7900,81607.0000,3,0.026246,1,10.010600,4.332113,34.700067,3.431474,68.574539,0,10.010649627263035
2015-04-28,sh.603318,11.3600,11.3600,11.3600,11.3600,10.3300,42500,482800.0000,3,0.141196,1,9.971000,4.764067,38.159996,3.773625,75.412078,0,9.970958373668925
2015-04-29,sh.603318,12.5000,12.5000,12.5000,12.5000,11.3600,16600,207500.0000,3,0.055150,1,10.035200,5.319778,41.458368,4.126907,-111.704835,0,10.035211267605648
2015-04-30,sh.603318,13.7500,13.7500,13.7500,13.7500,12.5000,24300,334125.0000,3,0.080731,1,10.000000,5.851755,45.604205,4.539597,-122.875319,0,10.000000000000009
2015-05-04,sh.603318,15.1300,15.1300,15.1300,15.1300,13.7500,33000,499290.0000,3,0.109635,1,10.036400,6.439059,50.181209,4.995208,-135.207533,0,10.036363636363642
2015-05-05,sh.603318,16.6400,16.6400,16.6400,16.6400,15.1300,142600,2372864.0000,3,0.473754,1,9.980200,7.081688,55.189380,5.493738,-148.701477,0,9.980171844018514
2015-05-06,sh.603318,18.3000,18.3000,18.3000,18.3000,16.6400,185200,3389160.0000,3,0.615282,1,9.976000,7.788155,60.695051,6.041791,-163.535879,0,9.975961538461542
2015-05-07,sh.603318,20.1300,20.1300,20.1300,20.1300,18.3000,479599,9654328.0000,3,1.593352,1,10.000000,8.566970,66.764557,6.645971,-179.889467,0,9.999999999999986
2015-05-08,sh.603318,22.1400,22.1400,22.1400,22.1400,20.1300,287615,6367796.0000,3,0.955532,1,9.985100,9.422390,73.431062,7.309577,-197.851605,0,9.98509687034279
2015-05-11,sh.603318,24.3500,24.3500,24.3500,24.3500,22.1400,72350,1761723.0000,3,0.240365,1,9.981900,10.362927,80.760902,8.039214,-217.601019,0,9.981933152664869
2015-05-12,sh.603318,26.7900,26.7900,26.7900,26.7900,24.3500,69350,1857887.0000,3,0.230399,1,10.020500,11.401348,88.853575,8.844787,-239.405803,0,10.020533880903471
2015-05-13,sh.603318,29.4700,29.4700,29.4700,29.4700,26.7900,119515,3522107.0000,3,0.397060,1,10.003700,12.541908,97.742250,9.729595,-263.355320,0,10.00373273609556
2015-05-14,sh.603318,32.4200,32.4200,32.4200,32.4200,29.4700,86300,2797846.0000,3,0.286711,1,10.010200,13.797376,107.526424,10.703545,-289.717661,0,10.01017984390906
2015-05-15,sh.603318,35.6600,35.6600,35.6600,35.6600,32.4200,162600,5798316.0000,3,0.540199,1,9.993800,15.176262,118.272434,11.773240,-318.671555,0,9.993830968537921
2015-05-18,sh.603318,39.2300,39.2300,39.2300,39.2300,35.6600,81900,3212937.0000,3,0.272093,1,10.011200,16.695590,130.112944,12.951884,-350.574456,0,10.011217049915878
2015-05-19,sh.603318,43.1500,43.1500,43.1500,43.1500,39.2300,51900,2239485.0000,3,0.172425,1,9.992400,18.363873,143.114288,14.246082,-385.605092,0,9.992352791231207
2015-05-20,sh.603318,47.4700,47.4700,47.4700,47.4700,43.1500,101500,4818205.0000,3,0.337209,1,10.011600,20.202388,157.442300,15.672341,-424.210283,0,10.01158748551565
2015-05-21,sh.603318,52.2200,52.2200,52.2200,52.2200,47.4700,53100,2772882.0000,3,0.176412,1,10.006300,22.223903,173.196480,17.240566,-466.658121,0,10.006319780914264
2015-05-22,sh.603318,57.4400,57.4400,57.4400,57.4400,52.2200,87963,5052595.0000,3,0.292236,1,9.996200,24.445443,190.509495,18.963962,-513.306060,0,9.996170049789344
2015-05-25,sh.603318,63.1800,63.1800,63.1800,63.1800,57.4400,129100,8156538.0000,3,0.428904,1,9.993000,26.888285,209.547178,20.859037,-564.600920,0,9.993036211699158
2015-05-26,sh.603318,69.5000,69.5000,69.5000,69.5000,63.1800,51400,3572300.0000,3,0.170764,1,10.003200,29.577964,230.508529,22.945602,-621.078885,0,10.003165558721117
2015-05-27,sh.603318,76.4500,76.4500,76.4500,76.4500,69.5000,36500,2790425.0000,3,0.121262,1,10.000000,32.535761,253.559382,25.240162,-683.186774,0,10.000000000000009
2015-05-28,sh.603318,84.1000,84.1000,83.5600,84.0700,76.4500,3117900,262198826.0000,3,10.358472,1,9.967300,35.778697,278.832403,27.755924,-751.282041,0,9.96729888816219
2015-05-29,sh.603318,83.5000,92.4800,75.7100,92.4800,84.0700,14215920,1235465136.0000,3,47.228970,1,10.003600,39.357844,306.725593,30.532507,-826.437055,0,10.003568454859057
2015-06-01,sh.603318,101.7000,101.7300,86.0800,88.0300,92.4800,16292105,1569626160.0000,3,54.126595,1,-4.811900,37.464003,291.966414,29.063328,-786.670133,0,-4.811851211072671
2015-06-02,sh.603318,80.0000,83.0000,79.2300,79.2300,88.0300,4383400,350256720.0000,3,14.562791,1,-9.996600,33.718879,262.779723,26.157986,-708.029929,0,-9.996592070884924
2015-06-03,sh.603318,71.3100,83.0000,71.3100,74.5400,79.2300,10424812,785080672.0000,3,34.633927,1,-5.919500,31.722899,247.224543,24.609570,-666.118275,0,-5.919474946358704
2015-06-04,sh.603318,70.8800,72.4800,67.0900,67.0900,74.5400,5593313,382097424.0000,3,18.582435,1,-9.994600,28.552311,222.515355,22.149934,-599.542193,0,-9.994633753689296
2015-06-05,sh.603318,66.2000,68.8800,62.9600,64.3700,67.0900,7484049,490426576.0000,3,24.863950,1,-4.054200,27.394727,213.494014,21.251919,-575.235221,0,-4.054255477716495
2015-06-08,sh.603318,63.7800,63.8600,59.2000,59.4500,64.3700,6729427,408345872.0000,3,22.356900,1,-7.643300,25.300863,197.176000,19.627569,-531.268197,0,-7.643312101910826
2015-06-09,sh.603318,58.4800,61.0000,57.6700,59.2100,59.4500,4376495,259989298.0000,3,14.539850,1,-0.403700,25.198723,196.380000,19.548332,-529.123465,0,-0.4037005887300271
2015-06-10,sh.603318,58.4900,65.1300,57.5200,65.1300,59.2100,8421231,531367328.0000,3,27.977512,1,9.998300,27.718170,216.014683,21.502835,-582.026875,0,9.998311096098632
2015-06-11,sh.603318,66.0000,71.6400,64.2200,71.6400,65.1300,6809894,473441520.0000,3,22.624233,1,9.995400,30.488710,237.606201,23.652128,-640.202753,0,9.99539382772916
2015-06-12,sh.603318,77.0000,78.0900,68.1000,72.0900,71.6400,9602866,706162656.0000,3,31.903209,1,0.628100,30.680222,239.098703,23.800697,-644.224127,0,0.628140703517599
2015-06-15,sh.603318,65.0200,71.0600,64.8800,64.8800,72.0900,4867742,319505760.0000,3,16.171900,1,-10.001400,27.611774,215.185516,21.420297,-579.792778,0,-10.001387154945219
2015-06-16,sh.603318,60.1100,66.3000,60.1000,62.1800,64.8800,3581294,226022502.0000,3,11.897987,1,-4.161500,26.462702,206.230508,20.528885,-555.664534,0,-4.161528976572127
2015-06-17,sh.603318,61.6500,64.5000,60.5000,63.2200,62.1800,2388028,150268680.0000,3,7.933648,1,1.672600,26.905308,209.679844,20.872244,-564.958376,0,1.672563525249271
2015-06-18,sh.603318,64.0000,64.0000,56.9000,58.0800,63.2200,3294047,197012540.0000,3,10.943678,1,-8.130300,24.717815,192.632163,19.175260,-519.025348,0,-8.130338500474533
2015-06-19,sh.603318,58.0000,58.0000,52.3000,55.6400,58.0800,3348087,182573512.0000,3,11.123213,1,-4.201100,23.679395,184.539490,18.369687,-497.220564,0,-4.201101928374651
2015-06-23,sh.603318,56.3800,61.2000,55.6400,61.2000,55.6400,3219735,188474976.0000,3,10.696794,1,9.992800,26.045632,202.980172,20.205335,-546.906874,0,9.992810927390373
2015-06-24,sh.603318,63.8000,67.3200,61.2600,65.2400,61.2000,6697495,428053392.0000,3,22.250814,1,6.601300,27.764984,216.379517,21.539152,-583.009877,0,6.60130718954246
2015-06-25,sh.603318,63.5800,67.4800,63.0000,65.1200,65.2400,3794838,247218756.0000,3,12.607435,1,-0.183900,27.713914,215.981516,21.499533,-581.937511,0,-0.18393623543836446
2015-06-26,sh.603318,64.9900,70.2000,61.3000,68.4900,65.1200,6799052,457894432.0000,3,22.588213,1,5.175100,29.148126,227.158693,22.612147,-612.053134,0,5.175061425061411
2015-06-29,sh.603318,73.9000,75.3400,70.0000,75.3400,68.4900,7474120,550369056.0000,3,24.830963,1,10.001500,32.063364,249.877878,24.873692,-673.267384,0,10.001460067163093
2015-06-30,sh.603318,75.8000,82.8700,71.7000,82.8700,75.3400,6578830,518803536.0000,3,21.856578,1,9.994700,35.267998,274.852400,27.359741,-740.558377,0,9.994690735333167
2015-07-01,sh.603318,87.0000,91.1600,84.0000,91.1600,82.8700,9051980,805048416.0000,3,30.073023,1,10.003600,38.796075,302.347590,30.096706,-814.641024,0,10.003620127911184
2015-07-02,sh.603318,87.0000,89.9900,82.0400,82.2300,91.1600,4198788,349568864.0000,3,13.949462,1,-9.796000,34.995626,272.729731,27.148443,-734.839090,0,-9.795963141728825
2015-07-03,sh.603318,74.0100,74.0100,74.0100,74.0100,82.2300,521400,38588814.0000,3,1.732226,1,-9.996400,31.497340,245.466708,24.434589,-661.381990,0,-9.996351696461147
2015-07-06,sh.603318,81.0000,81.0000,66.6100,66.6100,74.0100,6646218,471592800.0000,3,22.080458,1,-9.998700,28.348032,220.923354,21.991461,-595.252727,0,-9.998648831239032
2015-07-07,sh.603318,59.9500,59.9500,59.9500,59.9500,66.6100,568300,34069585.0000,3,1.888040,1,-9.998500,25.513654,198.834335,19.792645,-535.736391,0,-9.998498723915327
2015-07-08,sh.603318,59.9500,59.9500,59.9500,59.9500,59.9500,0,0.0000,3,,0,0.000000,25.513654,198.834335,19.792645,-535.736391,0,0.0
2015-07-09,sh.603318,59.9500,59.9500,59.9500,59.9500,59.9500,0,0.0000,3,,0,0.000000,25.513654,198.834335,19.792645,-535.736391,0,0.0
2015-07-10,sh.603318,59.9500,59.9500,59.9500,59.9500,59.9500,0,0.0000,3,,0,0.000000,25.513654,198.834335,19.792645,-535.736391,0,0.0
2015-07-13,sh.603318,60.4000,65.9500,53.9600,65.9500,59.9500,17453443,1059145648.0000,3,57.984860,1,10.008300,28.067147,218.734352,21.773560,-589.354712,0,10.00834028356965
2015-07-14,sh.603318,62.0000,66.5800,59.3600,59.3600,65.9500,10550998,659150992.0000,3,35.053150,1,-9.992400,25.262560,196.877500,19.597855,-530.463923,0,-9.992418498862776
2015-07-15,sh.603318,53.4200,54.7500,53.4200,53.4200,59.3600,2210600,118251252.0000,3,7.344186,1,-10.006700,22.734602,177.176484,17.636749,-477.381785,0,-10.006738544474391
2015-07-16,sh.603318,48.0800,53.4200,48.0800,48.0800,53.4200,11435786,557957392.0000,3,37.992645,1,-9.996200,20.461993,159.465468,15.873734,-429.661479,0,-9.99625608386373
2015-07-17,sh.603318,45.9000,51.0000,45.0000,49.0900,48.0800,11024422,526053664.0000,3,36.625987,1,2.100700,20.891831,162.815305,16.207188,-438.687230,0,2.1006655574043354
2015-07-20,sh.603318,48.0000,51.7900,47.0000,48.4700,49.0900,7571241,372956880.0000,3,25.153625,1,-1.263000,20.627970,160.758970,16.002494,-433.146670,0,-1.2629863515991158
2015-07-21,sh.603318,47.0000,51.3500,46.3800,51.1900,48.4700,6995864,341073904.0000,3,23.242073,1,5.611700,21.785554,169.780311,16.900509,-457.453642,0,5.611718588817816
2015-07-22,sh.603318,52.0900,54.1200,49.5000,52.6500,51.1900,8158322,427163456.0000,3,27.104060,1,2.852100,22.406904,174.622648,17.382531,-470.500767,0,2.8521195546005185
2015-07-23,sh.603318,51.8800,56.6500,50.6100,55.1000,52.6500,8769125,473536192.0000,3,29.133306,1,4.653400,23.449580,182.748488,18.191405,-492.394915,0,4.653371320038002
2015-07-24,sh.603318,55.5800,56.5000,50.0000,51.1300,55.1000,8390347,451421520.0000,3,27.874907,1,-7.205100,21.760019,169.581310,16.880699,-456.917459,0,-7.205081669691471
2015-07-27,sh.603318,48.0000,50.0000,46.0200,46.0200,51.1300,5392096,258718699.0000,3,17.913940,1,-9.994100,19.585294,152.633129,15.193620,-411.252522,0,-9.994132603168392
2015-07-28,sh.603318,41.4300,44.3000,41.4200,41.4200,46.0200,5377765,224843607.0000,3,17.866329,1,-9.995700,17.627615,137.376450,13.674918,-370.145143,0,-9.995654063450676
2015-07-29,sh.603318,42.0000,45.5600,40.0100,45.5600,41.4200,5772254,245424546.0000,3,19.176924,1,9.995200,19.389526,151.107461,15.041750,-407.141784,0,9.995171414775461
