date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-06-20,sh.603335,4.3400,5.2100,4.3400,5.2100,3.6200,16218,83626.0000,3,0.025605,1,43.922660,3.661485,26.305090,1.828396,-94.490283,0,
2017-06-21,sh.603335,5.7300,5.7300,5.7300,5.7300,5.2100,10610,60795.0000,3,0.016751,1,9.980806,4.026931,28.930550,2.010884,-103.921175,0,9.98080614203456
2017-06-22,sh.603335,6.3000,6.3000,6.3000,6.3000,5.7300,16190,101997.0000,3,0.025560,1,9.947647,4.427515,31.808459,2.210920,-114.258883,0,9.947643979057585
2017-06-23,sh.603335,6.9300,6.9300,6.9300,6.9300,6.3000,31219,216348.0000,3,0.049288,1,9.999994,4.870267,34.989304,2.432012,-125.684771,0,10.000000000000009
2017-06-26,sh.603335,7.6200,7.6200,7.6200,7.6200,6.9300,45384,345826.0000,3,0.071651,1,9.956711,5.355185,38.473088,2.674160,-138.198840,0,9.956709956709965
2017-06-27,sh.603335,8.3800,8.3800,8.3800,8.3800,7.6200,78007,653699.0000,3,0.123156,1,9.973756,5.889298,42.310299,2.940874,-151.982451,0,9.973753280839915
2017-06-28,sh.603335,9.2200,9.2200,9.2200,9.2200,8.3800,75260,693897.0000,3,0.118819,1,10.023870,6.479633,46.551427,3.235664,-167.216969,0,10.023866348448696
2017-06-29,sh.603335,10.1400,10.1400,10.1400,10.1400,9.2200,125162,1269143.0000,3,0.197603,1,9.978309,7.126191,51.196471,3.558528,-183.902393,0,9.97830802603037
2017-06-30,sh.603335,11.1500,11.1500,11.1500,11.1500,10.1400,343631,3831486.0000,3,0.542518,1,9.960545,7.835999,56.295923,3.912977,-202.220087,0,9.960552268244571
2017-07-03,sh.603335,12.2700,12.2700,12.2700,12.2700,11.1500,329050,4037444.0000,3,0.519498,1,10.044850,8.623113,61.950760,4.306030,-222.532777,0,10.044843049327357
2017-07-04,sh.603335,13.5000,13.5000,13.5000,13.5000,12.2700,365838,4938813.0000,3,0.577578,1,10.024450,9.487533,68.160983,4.737685,-244.840464,0,10.02444987775062
2017-07-05,sh.603335,14.8500,14.8500,14.8500,14.8500,13.5000,699627,10389461.0000,3,1.104558,1,10.000000,10.436286,74.977081,5.211454,-269.324510,0,9.999999999999986
2017-07-06,sh.603335,16.3400,16.3400,16.3400,16.3400,14.8500,647980,10587993.0000,3,1.023019,1,10.033670,11.483429,82.500034,5.734354,-296.347643,0,10.033670033670038
2017-07-07,sh.603335,17.9700,17.9700,17.9700,17.9700,16.3400,871551,15661771.0000,3,1.375988,1,9.975515,12.628960,90.729841,6.306386,-325.909862,0,9.975520195838428
