date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-09-26,sh.603363,6.9000,6.9000,6.9000,6.9000,4.7900,28416,196070.0000,3,0.047360,1,44.050110,6.125318,31.715282,0.582106,-68.089484,0,
2017-09-27,sh.603363,7.5900,7.5900,7.5900,7.5900,6.9000,3800,28842.0000,3,0.006333,1,10.000000,6.737850,34.886811,0.640317,-74.898432,0,9.999999999999986
2017-09-28,sh.603363,8.3500,8.3500,8.3500,8.3500,7.5900,14186,118453.0000,3,0.023643,1,10.013180,7.412523,38.380088,0.704433,-82.398143,0,10.013175230566528
2017-09-29,sh.603363,9.1900,9.1900,9.1900,9.1900,8.3500,19672,180786.0000,3,0.032787,1,10.059870,8.158213,42.241079,0.775298,-90.687298,0,10.059880239520957
2017-10-09,sh.603363,10.1100,10.1100,10.1100,10.1100,9.1900,24408,246765.0000,3,0.040680,1,10.010880,8.974923,46.469783,0.852913,-99.765896,0,10.010881392818272
2017-10-10,sh.603363,11.1200,11.1200,11.1200,11.1200,10.1100,72147,802275.0000,3,0.120245,1,9.990111,9.871527,51.112165,0.938119,-109.732617,0,9.990108803165176
2017-10-11,sh.603363,12.2300,12.2300,12.2300,12.2300,11.1200,131972,1614018.0000,3,0.219953,1,9.982012,10.856904,56.214189,1.031763,-120.686143,0,9.982014388489224
2017-10-12,sh.603363,13.4500,13.4500,13.4500,13.4500,12.2300,72623,976779.0000,3,0.121038,1,9.975472,11.939932,61.821819,1.134686,-132.725153,0,9.97547015535567
2017-10-13,sh.603363,14.8000,14.8000,14.8000,14.8000,13.4500,246408,3646838.0000,3,0.410680,1,10.037180,13.138363,68.026983,1.248576,-146.047008,0,10.037174721189611
2017-10-16,sh.603363,16.2800,16.2800,16.2800,16.2800,14.8000,275684,4488136.0000,3,0.459473,1,10.000000,14.452200,74.829681,1.373434,-160.651709,0,10.000000000000009
2017-10-17,sh.603363,17.9100,17.9100,17.9100,17.9100,16.2800,353632,6333549.0000,3,0.589387,1,10.012280,15.899195,82.321842,1.510946,-176.736616,0,10.012285012285016
2017-10-18,sh.603363,19.7000,19.7000,19.7000,19.7000,17.9100,423402,8341019.0000,3,0.705670,1,9.994422,17.488227,90.549429,1.661956,-194.400410,0,9.994416527079842
2017-10-19,sh.603363,21.6700,21.6700,21.6700,21.6700,19.7000,418011,9058298.0000,3,0.696685,1,9.999996,19.237050,99.604372,1.828152,-213.840451,0,10.000000000000009
2017-10-20,sh.603363,23.8400,23.8400,22.1000,22.6200,21.6700,41060829,944618667.0000,3,68.434715,1,4.383945,20.080391,103.970969,1.908297,-223.215090,0,4.383940932164276
2017-10-23,sh.603363,21.4200,21.6200,20.4000,20.7200,22.6200,29600044,617493553.0000,3,49.333407,1,-8.399652,18.393709,95.237776,1.748007,-204.465812,0,-8.39964633068082
2017-10-24,sh.603363,20.8900,21.1000,18.8800,19.0600,20.7200,24917816,491722373.0000,3,41.529693,1,-8.011582,16.920082,87.607722,1.607964,-188.084863,0,-8.011583011583012
2017-10-25,sh.603363,18.5400,19.7000,18.5400,19.3000,19.0600,17165500,329363368.0000,3,28.609167,1,1.259180,17.133136,88.710862,1.628211,-190.453193,0,1.2591815320042166
2017-10-26,sh.603363,19.0200,19.0500,18.2000,18.3100,19.3000,15077820,278450265.0000,3,25.129700,1,-5.129532,16.254286,84.160409,1.544691,-180.683833,0,-5.129533678756482
2017-10-27,sh.603363,18.1500,18.5500,17.7000,17.7600,18.3100,10212370,184399905.0000,3,17.020617,1,-3.003819,15.766036,81.632379,1.498291,-175.256410,0,-3.0038230475150085
2017-10-30,sh.603363,17.5200,17.7000,16.2400,16.3500,17.7600,12337735,207000663.0000,3,20.562892,1,-7.939188,14.514341,75.151430,1.379339,-161.342472,0,-7.939189189189189
2017-10-31,sh.603363,16.4000,16.7500,16.3200,16.6100,16.3500,7825254,129516205.0000,3,13.042090,1,1.590215,8.807403,58.839141,1.406594,27.600720,0,1.5902140672782838
