date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2014-12-04,sh.603368,31.4600,37.7600,31.4600,37.7600,26.2200,18300,690378.0000,3,0.081333,1,44.012200,7.313775,25.996588,0.781285,50.361400,0,
2014-12-05,sh.603368,41.5400,41.5400,41.5400,41.5400,37.7600,14000,581560.0000,3,0.062222,1,10.010600,8.045927,28.599001,0.859496,55.402875,0,10.010593220338993
2014-12-08,sh.603368,45.6900,45.6900,45.6900,45.6900,41.5400,20900,954921.0000,3,0.092889,1,9.990400,8.849745,31.456147,0.945363,60.937827,0,9.9903707270101
2014-12-09,sh.603368,50.2600,50.2600,50.2600,50.2600,45.6900,59650,2998009.0000,3,0.265111,1,10.002200,9.734913,34.602450,1.039920,67.032944,0,10.002188662727086
2014-12-10,sh.603368,55.2900,55.2900,55.2900,55.2900,50.2600,98800,5462652.0000,3,0.439111,1,10.008000,10.709179,38.065449,1.143994,73.741573,0,10.007958615200963
2014-12-11,sh.603368,60.7000,60.8200,56.0100,60.8200,55.2900,10689097,628060064.0000,3,47.507098,1,10.001800,11.780291,41.872682,1.258415,81.117064,0,10.001808645324651
2014-12-12,sh.603368,59.6500,60.7000,57.5000,57.8100,60.8200,6518821,382169616.0000,3,28.972538,1,-4.949000,11.197281,39.800390,1.196135,77.102556,0,-4.949029924366977
2014-12-15,sh.603368,57.5000,57.5000,54.5100,56.0100,57.8100,4854309,270057472.0000,3,21.574707,1,-3.113700,10.848637,38.561146,1.158892,74.701854,0,-3.1136481577581754
2014-12-16,sh.603368,55.8000,56.5000,54.3000,54.5100,56.0100,3279639,179817229.0000,3,14.576173,1,-2.678100,10.558100,37.528443,1.127856,72.701268,0,-2.678093197643283
2014-12-17,sh.603368,54.5000,54.5000,52.3100,52.4000,54.5100,3543015,188401575.0000,3,15.746733,1,-3.870800,10.149412,36.075773,1.084198,69.887112,0,-3.870849385433861
2014-12-18,sh.603368,52.6000,53.7800,52.0400,52.5000,52.4000,2675942,141366975.0000,3,11.893076,1,0.190800,10.168781,36.144620,1.086267,70.020484,0,0.1908396946564972
2014-12-19,sh.603368,52.2000,52.2200,49.0100,49.2900,52.5000,3483553,174178981.0000,3,15.482458,1,-6.114300,9.547033,33.934635,1.019850,65.739232,0,-6.1142857142857165
2014-12-22,sh.603368,48.8100,48.8100,45.5500,45.6000,49.2900,2906650,135343487.0000,3,12.918444,1,-7.486300,8.832313,31.394185,0.943501,60.817792,0,-7.486305538648807
2014-12-23,sh.603368,46.0000,50.1600,46.0000,50.1600,45.6000,4955181,245037927.0000,3,22.023027,1,10.000000,9.715544,34.533603,1.037851,66.899571,0,9.999999999999986
2014-12-24,sh.603368,50.1600,52.6000,49.0000,51.4100,50.1600,5022111,253752553.0000,3,22.320493,1,2.492000,9.957658,35.394189,1.063714,68.566726,0,2.492025518341312
2014-12-25,sh.603368,50.5200,50.9900,48.6700,49.4700,51.4100,2971723,146858730.0000,3,13.207658,1,-3.773600,9.581897,34.058559,1.023574,65.979302,0,-3.7735849056603765
2014-12-26,sh.603368,49.0000,49.9900,48.7000,49.2000,49.4700,1879993,92834795.0000,3,8.355524,1,-0.545800,9.529600,33.872673,1.017987,65.619197,0,-0.5457853244390409
2014-12-29,sh.603368,48.7500,48.8000,46.8600,48.1800,49.2000,2556851,122075922.0000,3,11.363782,1,-2.073200,9.332036,33.170434,0.996883,64.258799,0,-2.073170731707319
2014-12-30,sh.603368,48.0000,53.0000,47.8200,52.0000,48.1800,5129866,263215153.0000,3,22.799404,1,7.928600,10.071935,35.800386,1.075922,69.353622,0,7.928601079286013
2014-12-31,sh.603368,50.2500,52.9900,50.0200,51.4000,52.0000,2200722,112775244.0000,3,9.780987,1,-1.153800,9.955721,35.387304,1.063507,68.553388,0,-1.1538461538461608
2015-01-05,sh.603368,51.1000,51.6600,49.4600,49.9600,51.4000,1538993,77017184.0000,3,6.839969,1,-2.801600,9.676806,34.395909,1.033712,66.632826,0,-2.801556420233464
2015-01-06,sh.603368,49.3800,51.2300,48.5000,50.6000,49.9600,2781209,138326729.0000,3,12.360929,1,1.281000,9.800768,34.836529,1.046955,67.486410,0,1.2810248198558805
2015-01-07,sh.603368,50.0100,50.1000,48.8000,48.9300,50.6000,1627780,79960939.0000,3,7.234578,1,-3.300400,9.477304,33.686786,1.012401,65.259091,0,-3.300395256916999
2015-01-08,sh.603368,49.0400,49.3000,45.0000,47.1000,48.9300,3130662,149655622.0000,3,13.914053,1,-3.740000,9.122849,32.426888,0.974537,62.818377,0,-3.7400367872470808
2015-01-09,sh.603368,46.3600,47.6000,46.3600,46.6800,47.1000,1099761,51553863.0000,3,4.887827,1,-0.891700,9.041499,32.137731,0.965847,62.258213,0,-0.8917197452229297
2015-01-12,sh.603368,46.6000,46.6000,45.6300,45.8100,46.6800,1178485,54180153.0000,3,5.237711,1,-1.863800,8.872988,31.538763,0.947846,61.097874,0,-1.8637532133676027
2015-01-13,sh.603368,45.7200,46.9900,45.6000,46.9800,45.8100,1047243,48765577.0000,3,4.654413,1,2.554000,9.099606,32.344272,0.972054,62.658330,0,2.5540275049115824
