date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-10-20,sh.603466,19.8700,23.8500,19.8700,23.8500,16.5600,11921,283918.0000,3,0.033114,1,44.021750,4.762005,23.081574,2.523189,24.169853,0,
2017-10-23,sh.603466,26.2400,26.2400,26.2400,26.2400,23.8500,12517,328446.0000,3,0.034769,1,10.020960,5.239203,25.394570,2.776037,26.591905,0,10.020964360586992
2017-10-24,sh.603466,28.8600,28.8600,28.8600,28.8600,26.2400,10394,299971.0000,3,0.028872,1,9.984759,5.762325,27.930156,3.053218,29.247042,0,9.984756097560975
2017-10-25,sh.603466,31.7500,31.7500,31.7500,31.7500,28.8600,8721,276892.0000,3,0.024225,1,10.013860,6.339356,30.727042,3.358963,32.175800,0,10.013860013860022
2017-10-26,sh.603466,34.9300,34.9300,34.9300,34.9300,31.7500,13400,468062.0000,3,0.037222,1,10.015750,6.974290,33.804586,3.695388,35.398447,0,10.015748031496052
2017-10-27,sh.603466,38.4200,38.4200,38.4200,38.4200,34.9300,65021,2498107.0000,3,0.180614,1,9.991405,7.671120,37.182141,4.064609,38.935251,0,9.991411394217021
2017-10-30,sh.603466,42.2600,42.2600,42.2600,42.2600,38.4200,150389,6355439.0000,3,0.417747,1,9.994795,8.437833,40.898419,4.470859,42.826750,0,9.994794377928162
2017-10-31,sh.603466,46.4900,46.4900,46.4900,46.4900,42.2600,185215,8610645.0000,3,0.514486,1,10.009470,9.282415,44.992132,4.918368,47.113478,0,10.009465215333657
2017-11-01,sh.603466,51.1400,51.1400,51.1400,51.1400,46.4900,213763,10931840.0000,3,0.593786,1,10.002150,10.210856,49.492313,5.410310,51.825840,0,10.002151000215086
2017-11-02,sh.603466,56.2500,56.2500,56.2500,56.2500,51.1400,266773,15005981.0000,3,0.741036,1,9.992179,11.231143,54.437674,5.950918,57.004370,0,9.992178333985136
2017-11-03,sh.603466,61.8800,61.8800,61.8800,61.8800,56.2500,452758,28016665.0000,3,1.257661,1,10.008890,12.355256,59.886280,6.546539,62.709874,0,10.00888888888889
2017-11-06,sh.603466,68.0700,68.0700,68.0700,68.0700,61.8800,1985811,135174155.0000,3,5.516142,1,10.003230,13.591181,65.876844,7.201405,68.982888,0,10.003232062055577
2017-11-07,sh.603466,72.8900,74.8800,70.0700,74.8800,68.0700,26085300,1877125281.0000,3,72.459167,1,10.004400,14.950898,72.467431,7.921862,75.884217,0,10.004407227853672
2017-11-08,sh.603466,72.1100,79.5000,72.1000,74.1200,74.8800,21038031,1589445248.0000,3,58.438975,1,-1.014950,14.799152,71.731918,7.841459,75.114025,0,-1.0149572649572502
2017-11-09,sh.603466,76.1000,81.5300,74.5900,81.5300,74.1200,17882854,1406208939.0000,3,49.674594,1,9.997295,16.278668,78.903174,8.625393,82.623400,0,9.997301672962756
2017-11-10,sh.603466,83.0000,84.0000,77.9000,78.6100,81.5300,16307184,1303097941.0000,3,45.297733,1,-3.581501,15.695647,76.077254,8.316475,79.664240,0,-3.5815037409542505
2017-11-13,sh.603466,80.6000,81.5000,77.6000,79.1400,78.6100,11310338,898126803.0000,3,31.417606,1,0.674213,15.801470,76.590178,8.372545,80.201348,0,0.6742144765297109
2017-11-14,sh.603466,77.6100,78.3500,74.7700,74.9900,79.1400,11002234,839988112.0000,3,30.561761,1,-5.243874,14.972861,72.573887,7.933500,75.995692,0,-5.243871619914087
2017-11-15,sh.603466,73.3300,74.1000,68.8800,68.9800,74.9900,9628345,683077677.0000,3,26.745403,1,-8.014395,13.772876,66.757524,7.297677,69.905092,0,-8.01440192025602
