date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-06-07,sh.603496,16.9700,20.3600,16.9700,20.3600,14.1400,7500,152361.0000,3,0.030000,1,43.988690,7.251291,31.942777,7.949213,42.441784,0,
2017-06-08,sh.603496,22.4000,22.4000,22.4000,22.4000,20.3600,3500,78400.0000,3,0.014000,1,10.019640,7.977845,35.143330,8.745696,46.694301,0,10.019646365422386
2017-06-09,sh.603496,24.6400,24.6400,24.6400,24.6400,22.4000,6224,153359.0000,3,0.024896,1,9.999999,8.775629,38.657663,9.620265,51.363731,0,10.000000000000009
2017-06-12,sh.603496,27.1000,27.1000,27.1000,27.1000,24.6400,20848,564981.0000,3,0.083392,1,9.983770,9.651768,42.517154,10.580730,56.491766,0,9.983766233766245
2017-06-13,sh.603496,29.8100,29.8100,29.8100,29.8100,27.1000,21124,629706.0000,3,0.084496,1,9.999996,10.616945,46.768869,11.638803,62.140943,0,9.999999999999986
2017-06-14,sh.603496,32.7900,32.7900,32.7900,32.7900,29.8100,34500,1131255.0000,3,0.138000,1,9.996651,11.678283,51.444187,12.802293,68.352952,0,9.996645420999673
2017-06-15,sh.603496,36.0700,36.0700,36.0700,36.0700,32.7900,74700,2694429.0000,3,0.298800,1,10.003050,12.846467,56.590175,14.082912,75.190332,0,10.003049710277523
2017-06-16,sh.603496,39.6800,39.6800,39.6800,39.6800,36.0700,189018,7500234.0000,3,0.756072,1,10.008320,14.132182,62.253899,15.492375,82.715619,0,10.008317161075686
2017-06-19,sh.603496,43.6500,43.6500,38.8500,39.1900,39.6800,14857869,608786112.0000,3,59.431476,1,-1.234883,13.957667,61.485139,15.301063,81.694181,0,-1.2348790322580738
2017-06-20,sh.603496,38.3100,40.5000,37.7900,38.6000,39.1900,10441207,407597968.0000,3,41.764828,1,-1.505487,13.747536,60.559488,15.070708,80.464287,0,-1.5054860933911618
2017-06-21,sh.603496,37.9200,38.4000,35.9100,36.3200,38.6000,8982516,332383184.0000,3,35.930064,1,-5.906733,12.935506,56.982399,14.180521,75.711474,0,-5.9067357512953444
