date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-08-08,sh.603535,21.8400,21.8400,21.8400,21.8400,15.1700,23700,517608.0000,3,0.063032,1,43.968360,4.194951,30.660123,3.610437,52.395882,0,
2017-08-09,sh.603535,24.0200,24.0200,24.0200,24.0200,21.8400,7420,178228.0000,3,0.019734,1,9.981687,4.613678,33.720520,3.970819,57.625874,0,9.98168498168499
2017-08-10,sh.603535,26.4200,26.4200,26.4200,26.4200,24.0200,19756,521954.0000,3,0.052543,1,9.991672,5.074662,37.089765,4.367571,63.383663,0,9.99167360532891
2017-08-11,sh.603535,29.0600,29.0600,29.0600,29.0600,26.4200,140960,4096298.0000,3,0.374894,1,9.992428,5.581744,40.795933,4.803997,69.717231,0,9.99242997728993
2017-08-14,sh.603535,31.9700,31.9700,26.8000,28.8600,29.0600,19214756,554431024.0000,3,51.103074,1,-0.688227,5.543328,40.515163,4.770934,69.237416,0,-0.6882312456985562
2017-08-15,sh.603535,28.2700,30.1800,27.8400,30.0000,28.8600,14755843,426992032.0000,3,39.244263,1,3.950102,5.762295,42.115554,4.959391,71.972365,0,3.950103950103956
2017-08-16,sh.603535,29.3700,30.9000,29.1000,29.7500,30.0000,12647581,378638368.0000,3,33.637184,1,-0.833333,5.714276,41.764591,4.918063,71.372596,0,-0.8333333333333304
2017-08-17,sh.603535,29.0000,30.4000,28.5000,29.4600,29.7500,9549935,282399008.0000,3,25.398763,1,-0.974793,5.658574,41.357474,4.870122,70.676863,0,-0.9747899159663787
2017-08-18,sh.603535,28.7900,29.0200,28.1300,28.5000,29.4600,7639695,217823969.0000,3,20.318338,1,-3.258653,5.474181,40.009776,4.711422,68.373747,0,-3.258655804480659
2017-08-21,sh.603535,28.4100,30.5000,28.2700,30.1700,28.5000,9919386,292558272.0000,3,26.381346,1,5.859650,5.794948,42.354209,4.987495,72.380209,0,5.859649122807031
2017-08-22,sh.603535,30.0200,31.9500,29.7100,30.8000,30.1700,13662634,421587264.0000,3,36.336793,1,2.088164,5.915957,43.238635,5.091642,73.891629,0,2.088167053364276
2017-08-23,sh.603535,30.3200,32.7000,29.6300,31.7500,30.8000,13640132,424944992.0000,3,36.276947,1,3.084418,6.098429,44.572295,5.248689,76.170753,0,3.0844155844155896
2017-08-24,sh.603535,31.2000,33.0000,30.0100,30.1200,31.7500,14260341,451260352.0000,3,37.926439,1,-5.133856,5.785345,42.284016,4.979229,72.260255,0,-5.133858267716529
2017-08-25,sh.603535,29.4700,32.4800,29.4700,31.7700,30.1200,13049221,403933504.0000,3,34.705375,1,5.478086,6.102271,44.600372,5.251995,76.218735,0,5.478087649402386
2017-08-28,sh.603535,32.2000,34.9500,32.0000,34.9500,31.7700,22665904,771167136.0000,3,60.281660,1,10.009440,6.713074,49.064620,5.777691,83.847806,0,10.009442870632679
2017-08-29,sh.603535,34.0000,38.3800,32.7400,35.1900,34.9500,25877875,911414528.0000,3,68.824136,1,0.686689,6.759173,49.401545,5.817366,84.423585,0,0.6866952789699399
