date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-04-07,sh.603538,20.2000,20.2000,20.2000,20.2000,14.0300,12411,250702.0000,3,0.041370,1,43.977200,3.512651,30.744474,4.193134,66.244392,0,
2017-04-10,sh.603538,22.2200,22.2200,22.2200,22.2200,20.2000,4300,95546.0000,3,0.014333,1,9.999992,3.863916,33.818922,4.612448,72.868831,0,10.000000000000009
2017-04-11,sh.603538,24.4400,24.4400,24.4400,24.4400,22.2200,6526,159495.0000,3,0.021753,1,9.991005,4.249959,37.197770,5.073278,80.149156,0,9.990999099909992
2017-04-12,sh.603538,26.8800,26.8800,26.8800,26.8800,24.4400,4480,120422.0000,3,0.014933,1,9.983627,4.674260,40.911459,5.579775,88.150954,0,9.983633387888702
2017-04-13,sh.603538,29.5700,29.5700,29.5700,29.5700,26.8800,10587,313058.0000,3,0.035290,1,10.007440,5.142034,45.005649,6.138168,96.972608,0,10.007440476190489
2017-04-14,sh.603538,32.5300,32.5300,32.5300,32.5300,29.5700,17861,581018.0000,3,0.059537,1,10.010140,5.656759,49.510780,6.752607,106.679707,0,10.010145417653039
2017-04-17,sh.603538,35.7800,35.7800,35.7800,35.7800,32.5300,508404,18190695.0000,3,1.694680,1,9.990778,6.221913,54.457292,7.427245,117.337839,0,9.99077774362127
2017-04-18,sh.603538,34.7900,39.3000,33.3400,37.7700,35.7800,14908770,533679856.0000,3,49.695900,1,5.561771,6.567961,57.486079,7.840331,123.863896,0,5.561766349916164
2017-04-19,sh.603538,35.0000,40.7900,35.0000,39.3600,37.7700,13151854,496688960.0000,3,43.839513,1,4.209691,6.844452,59.906065,8.170385,129.078182,0,4.209690230341523
2017-04-20,sh.603538,38.1400,39.4700,36.6300,37.1100,39.3600,9002927,341321696.0000,3,30.009757,1,-5.716463,6.453191,56.481557,7.703328,121.699475,0,-5.716463414634143
2017-04-21,sh.603538,37.2200,37.9400,35.0000,35.2700,37.1100,6598753,239822148.0000,3,21.995843,1,-4.958232,6.133227,53.681070,7.321379,115.665332,0,-4.958232282403651
2017-04-24,sh.603538,34.2000,34.7000,31.8600,32.8900,35.2700,6470735,214781797.0000,3,21.569117,1,-6.747948,5.719360,50.058701,6.827336,107.860300,0,-6.747944428692943
2017-04-25,sh.603538,32.8800,33.9300,32.6700,32.9900,32.8900,5089749,169899826.0000,3,16.965830,1,0.304051,3.584759,49.525028,6.652177,8.488087,0,0.3040437823046638
2017-04-26,sh.603538,32.6000,33.7600,32.5000,32.9900,32.9900,4306818,142939678.0000,3,14.356060,1,0.000000,3.584759,49.525028,6.652177,8.488087,0,0.0
2017-04-27,sh.603538,32.7600,36.2900,32.7500,36.2900,32.9900,6610084,228366814.0000,3,22.033613,1,10.003030,3.943344,54.479032,7.317596,9.337154,0,10.003031221582281
2017-04-28,sh.603538,36.7900,37.5000,35.7600,36.2800,36.2900,7575331,277850464.0000,3,25.251103,1,-0.027562,3.942257,54.464020,7.315580,9.334581,0,-0.027555800496004146
2017-05-02,sh.603538,35.6000,36.3900,35.0700,36.0100,36.2800,4880812,173954658.0000,3,16.269373,1,-0.744213,3.912919,54.058693,7.261136,9.265112,0,-0.7442116868798365
2017-05-03,sh.603538,35.7600,38.2000,35.6000,37.9600,36.0100,8111283,301108688.0000,3,27.037610,1,5.415164,4.124810,56.986059,7.654339,9.766832,0,5.4151624548736566
2017-05-04,sh.603538,37.3000,37.4800,36.0500,36.3300,37.9600,5518982,202332640.0000,3,18.396607,1,-4.293986,3.947691,54.539081,7.325662,9.347445,0,-4.29399367755533
2017-05-05,sh.603538,35.8000,36.2600,33.8000,33.9700,36.3300,4332737,153295252.0000,3,14.442457,1,-6.496010,3.691248,50.996217,6.849786,8.740234,0,-6.496008808147535
2017-05-08,sh.603538,33.5000,34.7700,33.0300,33.9900,33.9700,3808450,129371144.0000,3,12.694833,1,0.058877,3.693421,51.026242,6.853819,8.745380,0,0.05887547836327389
2017-05-09,sh.603538,33.8700,35.4000,33.4000,35.2300,33.9900,3787337,131720172.0000,3,12.624457,1,3.648125,3.828162,52.887746,7.103856,9.064423,0,3.648131803471588
2017-05-10,sh.603538,35.0500,35.6000,32.4000,32.5000,35.2300,5176564,176022881.0000,3,17.255213,1,-7.749076,3.531515,48.789434,6.553372,8.362014,0,-7.749077490774903
2017-05-11,sh.603538,32.0000,33.5000,31.5100,33.4200,32.5000,4191407,136493821.0000,3,13.971357,1,2.830764,3.631484,50.170550,6.738883,8.598723,0,2.8307692307692367
