date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-04-06,sh.603586,30.7700,30.7700,30.7700,30.7700,21.3700,14447,444534.0000,3,0.027518,1,43.986890,6.509352,31.095242,4.992280,-351.957229,0,
2017-04-07,sh.603586,33.8500,33.8500,33.8500,33.8500,30.7700,4200,142170.0000,3,0.008000,1,10.009740,7.160921,34.207798,5.491995,-387.187267,0,10.009749756256102
2017-04-10,sh.603586,37.2400,37.2400,37.2400,37.2400,33.8500,11040,411130.0000,3,0.021029,1,10.014780,7.878071,37.633630,6.042006,-425.963186,0,10.014771048744464
2017-04-11,sh.603586,40.9600,40.9600,40.9600,40.9600,37.2400,27043,1107681.0000,3,0.051510,1,9.989251,8.665032,41.392951,6.645557,-468.513751,0,9.98925886143931
2017-04-12,sh.603586,45.0600,45.0600,45.0600,45.0600,40.9600,35194,1585842.0000,3,0.067036,1,10.009770,9.532382,45.536288,7.310762,-515.410879,0,10.009765625
2017-04-13,sh.603586,49.5700,49.5700,49.5700,49.5700,45.0600,87696,4347091.0000,3,0.167040,1,10.008870,10.486466,50.093959,8.042487,-566.997720,0,10.008877052818455
2017-04-14,sh.603586,52.0000,52.0000,45.3000,46.4900,49.5700,20549204,1002169776.0000,3,39.141341,1,-6.213431,9.834896,46.981404,7.542772,-531.767683,0,-6.213435545692958
2017-04-17,sh.603586,42.5000,43.3900,41.8400,41.8400,46.4900,9679274,408887536.0000,3,18.436712,1,-10.002150,8.851195,42.282253,6.788333,-478.579476,0,-10.002151000215099
2017-04-18,sh.603586,41.0000,42.4000,40.5800,40.8300,41.8400,7078976,293593392.0000,3,13.483764,1,-2.413954,8.637531,41.261577,6.624465,-467.026769,0,-2.4139579349904516
2017-04-19,sh.603586,40.6100,43.0000,39.6900,42.7400,40.8300,11178594,468077232.0000,3,21.292560,1,4.677932,9.041589,43.191766,6.934353,-488.873968,0,4.677932892481018
2017-04-20,sh.603586,42.0900,42.4800,40.1200,41.1300,42.7400,7633467,316427200.0000,3,14.539937,1,-3.766964,8.700995,41.564748,6.673139,-470.458266,0,-3.766963032288251
2017-04-21,sh.603586,40.8200,41.4500,39.3500,39.6300,41.1300,5900349,238376975.0000,3,11.238760,1,-3.646973,8.383672,40.048893,6.429771,-453.300780,0,-3.6469730123997124
2017-04-24,sh.603586,39.3600,39.3600,37.0200,37.8800,39.6300,5406062,206192428.0000,3,10.297261,1,-4.415847,8.013462,38.280395,6.145842,-433.283713,0,-4.4158465808730725
2017-04-25,sh.603586,38.2000,39.3500,38.0600,38.3000,37.8800,4797556,185225117.0000,3,9.138202,1,1.108760,8.102313,38.704835,6.213985,-438.087809,0,1.1087645195353657
2017-04-26,sh.603586,38.4500,39.1500,38.0500,38.9200,38.3000,4600914,178434205.0000,3,8.763646,1,1.618796,8.233473,39.331388,6.314577,-445.179570,0,1.6187989556135873
2017-04-27,sh.603586,38.6200,41.4700,37.3500,40.4300,38.9200,8633752,342699344.0000,3,16.445242,1,3.879759,8.552911,40.857349,6.559567,-462.451439,0,3.8797533401849993
2017-04-28,sh.603586,40.0000,41.1600,39.8100,40.1800,40.4300,5296784,213736873.0000,3,10.089112,1,-0.618353,4.235820,39.685145,6.090740,9.269839,0,-0.6183527083848617
2017-05-02,sh.603586,39.9600,40.5900,39.5100,39.6800,40.1800,3881053,155136369.0000,3,7.392482,1,-1.244400,4.183109,39.191303,6.014947,9.154486,0,-1.2444001991040343
2017-05-03,sh.603586,39.3500,41.2000,39.0100,41.1300,39.6800,7142357,287564928.0000,3,13.604490,1,3.654236,4.335970,40.623445,6.234747,9.489012,0,3.654233870967749
2017-05-04,sh.603586,40.7300,40.9200,39.8100,40.0000,41.1300,5490362,221161917.0000,3,10.457832,1,-2.747389,4.216844,39.507362,6.063455,9.228312,0,-2.7473863360077844
2017-05-05,sh.603586,39.8000,40.4800,38.7000,38.7800,40.0000,4377511,173832625.0000,3,8.338116,1,-3.050003,4.088231,38.302388,5.878519,8.946848,0,-3.049999999999997
2017-05-08,sh.603586,38.4200,39.1800,37.1300,37.1800,38.7800,3987301,152484228.0000,3,7.594859,1,-4.125834,3.919557,36.722093,5.635981,8.577716,0,-4.125838060856113
2017-05-09,sh.603586,37.2500,38.2000,37.1800,37.9100,37.1800,3049188,115019640.0000,3,5.807977,1,1.963420,3.996514,37.443103,5.746639,8.746133,0,1.9634211941904178
2017-05-10,sh.603586,37.9200,38.0500,36.0000,36.1600,37.9100,4568058,170010765.0000,3,8.701063,1,-4.616197,3.812027,35.714656,5.481363,8.342394,0,-4.616196254286464
2017-05-11,sh.603586,35.8400,36.6900,35.1300,36.5500,36.1600,4145106,149193252.0000,3,7.895440,1,1.078538,3.853141,36.099852,5.540482,8.432370,0,1.0785398230088505
2017-05-12,sh.603586,36.4500,36.7500,35.7900,36.2800,36.5500,3730280,135272496.0000,3,7.105295,1,-0.738715,3.824678,35.833178,5.499553,8.370079,0,-0.7387140902872624
2017-05-15,sh.603586,36.5800,36.5800,35.8100,35.9000,36.2800,2670327,96433591.0000,3,5.086337,1,-1.047402,3.784618,35.457858,5.441950,8.282410,0,-1.0474090407938341
2017-05-16,sh.603586,35.8600,36.5800,34.7000,36.5500,35.9000,4639104,165598778.0000,3,8.836389,1,1.810578,3.853141,36.099852,5.540482,8.432370,0,1.810584958217265
2017-05-17,sh.603586,36.2500,37.1500,36.1900,36.5800,36.5500,4125344,151360982.0000,3,7.857798,1,0.082086,3.856304,36.129483,5.545029,8.439291,0,0.08207934336526002
2017-05-18,sh.603586,36.1000,36.3800,35.6200,35.6600,36.5800,3053051,109820393.0000,3,5.815335,1,-2.515041,3.759317,35.220813,5.405570,8.227040,0,-2.5150355385456624
2017-05-19,sh.603586,35.5500,36.1000,35.3500,35.3900,35.6600,2475916,88250745.0000,3,4.716030,1,-0.757152,3.730853,34.954139,5.364641,8.164749,0,-0.7571508693213547
2017-05-22,sh.603586,35.2200,35.6800,33.4400,33.6700,35.3900,3806285,131223728.0000,3,7.250067,1,-4.860134,3.549529,33.255322,5.103913,7.767932,0,-4.860129980220396
2017-05-23,sh.603586,33.7000,33.9500,31.9100,32.3300,33.6700,3785365,124249663.0000,3,7.210219,1,-3.979793,3.408264,31.931826,4.900787,7.458783,0,-3.9798039798039864
2017-05-24,sh.603586,32.2400,33.1900,32.0000,32.9900,32.3300,3196455,104753711.0000,3,6.088486,1,2.041447,3.477842,32.583697,5.000834,7.611050,0,2.041447571914645
2017-05-25,sh.603586,32.7200,33.1100,32.0300,33.0200,32.9900,3287830,107498128.0000,3,6.262533,1,0.090933,3.481005,32.613328,5.005382,7.617972,0,0.09093664746893104
2017-05-26,sh.603586,32.8600,36.2500,32.8400,34.8600,33.0200,6536631,225432457.0000,3,12.450726,1,5.572381,3.674980,34.430666,5.284301,8.042474,0,5.572380375529962
2017-05-31,sh.603586,36.3600,37.1000,35.0100,35.0900,34.8600,7357369,266377584.0000,3,14.014036,1,0.659781,3.699227,34.657834,5.319166,8.095537,0,0.6597819850832076
2017-06-01,sh.603586,34.5500,34.8400,33.0900,33.2700,35.0900,4136345,140981824.0000,3,7.878752,1,-5.186662,3.507360,32.860249,5.043278,7.675649,0,-5.186662866913649
2017-06-02,sh.603586,33.1900,35.6300,33.0000,35.4000,33.2700,5543776,191265488.0000,3,10.559573,1,6.402167,3.731907,34.964016,5.366157,8.167056,0,6.402164111812425
2017-06-05,sh.603586,36.0500,36.7800,35.4500,35.5800,35.4000,6074864,218767376.0000,3,11.571170,1,0.508475,3.750883,35.141799,5.393443,8.208584,0,0.5084745762711895
2017-06-06,sh.603586,35.1900,35.8200,35.0300,35.7800,35.5800,3110209,110195808.0000,3,5.924208,1,0.562105,3.771967,35.339336,5.423760,8.254725,0,0.5621135469364935
2017-06-07,sh.603586,35.5400,36.9600,35.4600,36.4400,35.7800,5618054,204218674.0000,3,10.701055,1,1.844606,3.841545,35.991207,5.523807,8.406992,0,1.8446059250978086
2017-06-08,sh.603586,36.3900,36.3900,35.4000,35.5500,36.4400,4792846,171925170.0000,3,9.129230,1,-2.442369,3.747720,35.112168,5.388895,8.201662,0,-2.4423710208562044
2017-06-09,sh.603586,35.4300,35.6900,34.9500,35.2100,35.5500,3091869,108903095.0000,3,5.889274,1,-0.956400,3.711877,34.776356,5.337356,8.123222,0,-0.956399437412081
2017-06-12,sh.603586,34.5900,34.5900,33.3900,33.8000,35.2100,3512974,119406723.0000,3,6.691379,1,-4.004544,3.563233,33.383721,5.123619,7.797924,0,-4.004544163589896
2017-06-13,sh.603586,33.4800,34.7900,33.4800,34.4400,33.8000,2934953,100860713.0000,3,5.590387,1,1.893489,3.630703,34.015839,5.220634,7.945577,0,1.8934911242603603
2017-06-14,sh.603586,34.4000,34.6800,33.7800,33.9200,34.4400,2503683,85173498.0000,3,4.768920,1,-1.509874,3.575884,33.502243,5.141809,7.825609,0,-1.5098722415795462
2017-06-15,sh.603586,33.9600,36.8900,33.9000,36.0000,33.9200,7298164,259115802.0000,3,13.901265,1,6.132081,3.795160,35.556626,5.457109,8.305481,0,6.132075471698117
2017-06-16,sh.603586,35.9000,36.4900,35.2300,35.8800,36.0000,5450628,194901048.0000,3,10.382149,1,-0.333330,3.782509,35.438104,5.438919,8.277796,0,-0.33333333333332993
2017-06-19,sh.603586,35.6300,35.9900,35.5200,35.8400,35.8800,2742061,97940964.0000,3,5.222973,1,-0.111485,3.778292,35.398597,5.432855,8.268568,0,-0.11148272017836858
2017-06-20,sh.603586,35.9800,36.1000,35.0800,35.5100,35.8400,3527341,125522007.0000,3,6.718745,1,-0.920764,3.743503,35.072661,5.382832,8.192434,0,-0.9207589285714413
2017-06-21,sh.603586,35.7500,36.1000,35.1100,35.4500,35.5100,3028369,107694957.0000,3,5.768322,1,-0.168960,3.737178,35.013400,5.373737,8.178592,0,-0.1689664883131381
2017-06-22,sh.603586,35.3800,35.4800,34.2400,34.3300,35.4500,3132444,109211205.0000,3,5.966560,1,-3.159376,3.619107,33.907194,5.203960,7.920199,0,-3.1593794076163695
2017-06-23,sh.603586,34.3400,34.7000,32.7800,33.6700,34.3300,4031570,135499944.0000,3,7.679181,1,-1.922527,3.549529,33.255322,5.103913,7.767932,0,-1.9225167491989437
2017-06-26,sh.603586,33.5400,34.0600,33.4300,33.8900,33.6700,2579047,86940949.0000,3,4.912470,1,0.653404,3.572721,33.472613,5.137262,7.818687,0,0.6534006534006487
2017-06-27,sh.603586,33.9300,34.2900,33.6200,34.0400,33.8900,2545848,86509010.0000,3,4.849234,1,0.442613,3.588534,33.620765,5.160000,7.853294,0,0.44260843906756
2017-06-28,sh.603586,33.8100,33.8300,33.1900,33.3000,34.0400,2157744,72072976.0000,3,4.109989,1,-2.173918,3.510523,32.889879,5.047826,7.682570,0,-2.1739130434782705
2017-06-29,sh.603586,33.3400,33.8300,33.3200,33.5200,33.3000,1858219,62407026.0000,3,3.539465,1,0.660664,3.533715,33.107170,5.081175,7.733325,0,0.6606606606606835
2017-06-30,sh.603586,33.3500,34.3900,33.2600,34.0500,33.5200,3053323,103648758.0000,3,5.815853,1,1.581142,3.589589,33.630642,5.161516,7.855601,0,1.5811455847255296
2017-07-03,sh.603586,34.0400,34.6700,33.8700,34.4600,34.0500,2677411,92029315.0000,3,5.099830,1,1.204111,3.632811,34.035593,5.223666,7.950191,0,1.2041116005873764
2017-07-04,sh.603586,34.4200,34.5900,34.0300,34.1000,34.4600,1899931,65050029.0000,3,3.618916,1,-1.044691,3.594860,33.680026,5.169095,7.867136,0,-1.0446894950667418
2017-07-05,sh.603586,34.1000,34.6000,34.0000,34.5600,34.1000,2784888,95823728.0000,3,5.304549,1,1.348982,3.643353,34.134361,5.238825,7.973262,0,1.3489736070381175
2017-07-06,sh.603586,34.5900,34.7500,33.5000,34.0500,34.5600,3232614,110507675.0000,3,6.157360,1,-1.475700,3.589589,33.630642,5.161516,7.855601,0,-1.4756944444444642
2017-07-07,sh.603586,34.0100,34.9800,34.0000,34.8600,34.0500,4550057,157911975.0000,3,8.666775,1,2.378859,3.674980,34.430666,5.284301,8.042474,0,2.378854625550675
