date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2016-02-18,sh.603608,11.7600,14.1100,11.7600,14.1100,9.8000,58617,819801.0000,3,0.083739,1,43.979600,4.930497,35.335887,2.317069,65.513968,0,
2016-02-19,sh.603608,15.5200,15.5200,15.5200,15.5200,14.1100,42024,652212.0000,3,0.060034,1,9.992900,5.423197,38.866972,2.548612,72.060722,0,9.99291282778172
2016-02-22,sh.603608,17.0700,17.0700,17.0700,17.0700,15.5200,26825,457903.0000,3,0.038321,1,9.987100,5.964818,42.748660,2.803145,79.257508,0,9.987113402061865
2016-02-23,sh.603608,18.7800,18.7800,18.7800,18.7800,17.0700,63727,1196793.0000,3,0.091039,1,10.017600,6.562348,47.031039,3.083952,87.197188,0,10.017574692442889
2016-02-24,sh.603608,20.6600,20.6600,20.6600,20.6600,18.7800,141260,2918432.0000,3,0.201800,1,10.010600,7.219281,51.739152,3.392676,95.926193,0,10.010649627263035
2016-02-25,sh.603608,22.7300,22.7300,22.7300,22.7300,20.6600,269322,6121689.0000,3,0.384746,1,10.019400,7.942607,56.923084,3.732600,105.537385,0,10.019361084220723
2016-02-26,sh.603608,25.0000,25.0000,25.0000,25.0000,22.7300,319395,7984875.0000,3,0.456279,1,9.986800,8.735820,62.607880,4.105368,116.077194,0,9.986801583809935
2016-02-29,sh.603608,27.5000,27.5000,27.5000,27.5000,25.0000,10746290,295522976.0000,3,15.351843,1,10.000000,9.609402,68.868667,4.515904,127.684913,0,10.000000000000009
2016-03-01,sh.603608,26.0000,28.8800,24.7500,26.3800,27.5000,33606961,863368640.0000,3,48.009944,1,-4.072700,9.218037,66.063834,4.331984,122.484655,0,-4.072727272727272
2016-03-02,sh.603608,27.0100,29.0200,25.4500,29.0200,26.3800,37286007,1036896944.0000,3,53.265724,1,10.007600,10.140539,72.675227,4.765511,134.742407,0,10.007581501137231
2016-03-03,sh.603608,31.1800,31.9200,27.5500,27.8100,29.0200,41163748,1241895968.0000,3,58.805354,1,-4.169500,9.717726,69.645005,4.566811,129.124270,0,-4.169538249483118
2016-03-04,sh.603608,26.3500,28.3300,25.5800,26.0400,27.8100,33747562,903503952.0000,3,48.210803,1,-6.364600,9.099230,65.212367,4.276151,120.906005,0,-6.364617044228693
2016-03-07,sh.603608,27.2700,27.8800,24.9000,26.0500,26.0400,28128124,746119696.0000,3,40.183034,1,0.038400,9.102724,65.237410,4.277793,120.952436,0,0.03840245775730278
2016-03-08,sh.603608,25.1000,25.8700,23.4500,25.4700,26.0500,26277542,644562624.0000,3,37.539346,1,-2.226500,8.900053,63.784908,4.182548,118.259445,0,-2.2264875239923265
2016-03-09,sh.603608,24.5000,26.5000,23.9500,24.5600,25.4700,21476181,540021856.0000,3,30.680259,1,-3.572800,8.582069,61.505981,4.033113,114.034235,0,-3.5728307813113425
2016-03-10,sh.603608,24.7900,26.5500,24.6000,24.9700,24.5600,24083717,612004800.0000,3,34.405310,1,1.669400,8.725337,62.532750,4.100441,115.937901,0,1.669381107491863
2016-03-11,sh.603608,24.0000,25.1600,23.8800,24.3500,24.9700,17452924,425743840.0000,3,24.932749,1,-2.483000,8.508688,60.980075,3.998628,113.059187,0,-2.4829795754905737
