date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-03-27,sh.603717,17.5600,21.0700,17.5600,21.0700,14.6300,11622,244525.0000,3,0.026917,1,44.019130,6.058866,33.108521,4.407687,2419.311942,0,
2017-03-28,sh.603717,23.1800,23.1800,23.1800,23.1800,21.0700,3300,76494.0000,3,0.007643,1,10.014240,6.665616,36.424087,4.849084,2661.587604,0,10.0142382534409
2017-03-29,sh.603717,25.5000,25.5000,25.5000,25.5000,23.1800,6400,163200.0000,3,0.014822,1,10.008630,7.332752,40.069639,5.334410,2927.976010,0,10.008628127696294
2017-03-30,sh.603717,28.0500,28.0500,28.0500,28.0500,25.5000,10300,288915.0000,3,0.023855,1,9.999997,8.066028,44.076603,5.867851,3220.773611,0,10.000000000000009
2017-03-31,sh.603717,30.8600,30.8600,30.8600,30.8600,28.0500,22400,691264.0000,3,0.051878,1,10.017830,8.874068,48.492120,6.455682,3543.425085,0,10.017825311942952
2017-04-05,sh.603717,33.9500,33.9500,33.9500,33.9500,30.8600,33790,1147171.0000,3,0.078258,1,10.012960,9.762625,53.347617,7.102087,3898.226883,0,10.012961762799755
2017-04-06,sh.603717,37.3500,37.3500,37.3500,37.3500,33.9500,38580,1440963.0000,3,0.089351,1,10.014720,10.740325,58.690236,7.813342,4288.623685,0,10.014727540500722
2017-04-07,sh.603717,41.0900,41.0900,41.0900,41.0900,37.3500,56930,2339254.0000,3,0.131850,1,10.013390,11.815796,64.567116,8.595722,4718.060166,0,10.013386880856757
2017-04-10,sh.603717,45.2000,45.2000,42.0200,45.2000,41.0900,17311517,762028432.0000,3,40.093467,1,10.002430,12.997663,71.025399,9.455504,5189.981005,0,10.002433682161115
2017-04-11,sh.603717,44.2000,49.3800,42.2600,46.3200,45.2000,24211937,1111964672.0000,3,56.074837,1,2.477874,13.319729,72.785320,9.689799,5318.582304,0,2.4778761061946764
2017-04-12,sh.603717,43.0000,43.6600,41.6900,41.6900,46.3200,5091623,214891173.0000,3,11.792197,1,-9.995685,11.988331,65.509931,8.721238,4786.953719,0,-9.995682210708123
2017-04-13,sh.603717,37.5200,41.0900,37.5200,39.2200,41.6900,15814559,620509328.0000,3,36.626513,1,-5.924676,11.278061,61.628676,8.204532,4503.341925,0,-5.924682177980333
2017-04-14,sh.603717,38.2500,41.3800,37.3000,39.7100,39.2200,12051396,472730352.0000,3,27.911029,1,1.249357,11.418964,62.398642,8.307037,4559.604994,0,1.2493625701172961
2017-04-17,sh.603717,37.4100,37.4300,35.7400,35.7400,39.7100,7597086,275085504.0000,3,17.594848,1,-9.997475,10.277356,56.160349,7.476542,4103.759317,0,-9.997481742634095
2017-04-18,sh.603717,35.0000,36.1600,33.7000,34.0900,35.7400,7919807,275581184.0000,3,18.342270,1,-4.616680,9.802883,53.567607,7.131374,3914.302046,0,-4.616675993284836
2017-04-19,sh.603717,33.6600,35.9400,33.6600,35.7900,34.0900,7952649,278244960.0000,3,18.418332,1,4.986802,10.291734,56.238917,7.487002,4109.500446,0,4.986799647990603
2017-04-20,sh.603717,35.4000,35.5500,33.2100,34.5200,35.7900,7432274,257140479.0000,3,17.213144,1,-3.548478,9.926534,54.243292,7.221327,3963.675759,0,-3.548477228276048
2017-04-21,sh.603717,34.1000,34.5200,33.2500,33.3400,34.5200,4612573,156176653.0000,3,10.682717,1,-3.418309,9.587214,52.389089,6.974480,3828.185104,0,-3.418308227114719
2017-04-24,sh.603717,33.0200,33.2800,31.6000,32.2200,33.3400,3943373,128418742.0000,3,9.132850,1,-3.359325,9.265148,50.629167,6.740184,3699.583805,0,-3.3593281343731407
2017-04-25,sh.603717,32.6900,33.6800,32.3200,32.7100,32.2200,4579909,151270425.0000,3,10.607068,1,1.520788,9.406052,51.399133,6.842689,3755.846873,0,1.5207945375543153
2017-04-26,sh.603717,32.5000,34.1000,32.3000,33.7500,32.7100,5817206,195221570.0000,3,13.472647,1,3.179459,9.705113,53.033346,7.060249,3875.262366,0,3.1794558239070625
2017-04-27,sh.603717,33.5000,37.1300,33.2600,37.1300,33.7500,10330243,370118800.0000,3,23.924839,1,10.014820,10.677062,58.344537,7.767320,4263.362715,0,10.014814814814832
2017-04-28,sh.603717,37.2800,37.8000,36.0000,37.0000,37.1300,10117943,371923168.0000,3,23.433152,1,-0.350124,10.639680,58.140260,7.740125,4248.435779,0,-0.3501211957985473
2017-05-02,sh.603717,36.3100,37.5300,36.1000,37.4800,37.0000,6540967,239972874.0000,3,15.148877,1,1.297296,5.421006,38.624998,6.585517,12.248941,0,1.297297297297284
2017-05-03,sh.603717,37.3000,38.8800,36.7000,38.3000,37.4800,9746847,369373168.0000,3,22.573694,1,2.187833,5.539609,39.470049,6.729597,12.516927,0,2.187833511205972
2017-05-04,sh.603717,37.7200,37.9800,36.1700,36.2600,38.3000,7295758,269267872.0000,3,16.896973,1,-5.326373,5.244549,37.367727,6.371153,11.850229,0,-5.326370757180154
2017-05-05,sh.603717,35.5200,36.9100,35.5000,35.5100,36.2600,5172452,187457814.0000,3,11.979397,1,-2.068395,5.136071,36.594815,6.239373,11.605120,0,-2.0683949255377865
2017-05-08,sh.603717,35.0200,35.6000,32.2000,32.5500,35.5100,4788910,162736911.0000,3,11.091114,1,-8.335677,4.707944,33.544389,5.719279,10.637754,0,-8.33568009011546
2017-05-09,sh.603717,32.7800,33.8300,32.5200,33.5400,32.5500,4180375,138853811.0000,3,9.681747,1,3.041480,4.851135,34.564633,5.893229,10.961299,0,3.041474654377896
2017-05-10,sh.603717,34.1000,35.2900,33.1300,33.1600,33.5400,6416640,220183637.0000,3,14.860936,1,-1.132979,4.796173,34.173024,5.826460,10.837110,0,-1.1329755515802065
2017-05-11,sh.603717,32.4600,35.2000,31.5000,34.9500,33.1600,7219261,243369000.0000,3,16.719806,1,5.398073,5.055074,36.017707,6.140977,11.422105,0,5.398069963811847
2017-05-12,sh.603717,34.6200,37.3600,34.0000,36.6300,34.9500,9628972,344837168.0000,3,22.300695,1,4.806868,5.298064,37.749031,6.436165,11.971150,0,4.80686695278969
2017-05-15,sh.603717,36.1500,36.9600,35.6900,36.2700,36.6300,6607347,239891115.0000,3,15.302613,1,-0.982803,5.245995,37.378033,6.372911,11.853497,0,-0.9828009828009798
2017-05-16,sh.603717,36.0000,38.0800,35.9500,37.9300,36.2700,8668544,322690688.0000,3,20.076345,1,4.576785,5.486093,39.088745,6.664585,12.396006,0,4.576785221946511
2017-05-17,sh.603717,37.6000,38.3600,36.7900,36.9100,37.9300,7834786,293133904.0000,3,18.145361,1,-2.689165,5.338563,38.037585,6.485363,12.062658,0,-2.689164249934095
