date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2020-02-24,sh.603719,17.1400,17.1400,17.1400,17.1400,11.9000,208178,3568171.0000,3,0.507800,1,44.033600,4.945915,20.334734,0.890303,35.991883,0,
2020-02-25,sh.603719,18.8500,18.8500,18.8500,18.8500,17.1400,54031,1018484.0000,3,0.131800,1,9.976700,5.439352,22.363462,0.979126,39.582672,0,9.976662777129519
2020-02-26,sh.603719,20.7400,20.7400,20.7400,20.7400,18.8500,31402,651277.0000,3,0.076600,1,10.026500,5.984730,24.605740,1.077298,43.551439,0,10.026525198938984
2020-02-27,sh.603719,22.8100,22.8100,22.8100,22.8100,20.7400,75926,1731872.0000,3,0.185200,1,9.980700,6.582049,27.061568,1.184820,47.898183,0,9.980713596914171
2020-02-28,sh.603719,25.0900,25.0900,25.0900,25.0900,22.8100,270154,6778164.0000,3,0.658900,1,9.995600,7.239966,29.766538,1.303250,52.685902,0,9.995615957913206
2020-03-02,sh.603719,27.6000,27.6000,27.6000,27.6000,25.0900,94695,2613582.0000,3,0.231000,1,10.004000,7.964251,32.744379,1.433627,57.956592,0,10.003985651654057
2020-03-03,sh.603719,30.3600,30.3600,30.3600,30.3600,27.6000,76914,2335109.0000,3,0.187600,1,10.000000,8.760676,36.018817,1.576990,63.752251,0,9.999999999999986
2020-03-04,sh.603719,33.4000,33.4000,33.4000,33.4000,30.3600,96142,3211143.0000,3,0.234500,1,10.013200,9.637897,39.625444,1.734896,70.135875,0,10.013175230566528
2020-03-05,sh.603719,36.7400,36.7400,36.7400,36.7400,33.4000,797394,29296256.0000,3,1.944900,1,10.000000,10.601687,43.587988,1.908386,77.149463,0,10.000000000000009
2020-03-06,sh.603719,40.4100,40.4100,40.4100,40.4100,36.7400,327803,13246519.0000,3,0.799500,1,9.989100,11.660702,47.942041,2.099017,84.856010,0,9.989112683723445
2020-03-09,sh.603719,44.4500,44.4500,44.4500,44.4500,40.4100,189965,8443944.0000,3,0.463300,1,9.997500,12.826483,52.735059,2.308867,93.339511,0,9.997525365008686
2020-03-10,sh.603719,48.9000,48.9000,48.9000,48.9000,44.4500,501783,24537189.0000,3,1.223900,1,10.011200,14.110574,58.014497,2.540013,102.683961,0,10.011248593925748
2020-03-11,sh.603719,53.7900,53.7900,53.7900,53.7900,48.9000,612481,32945353.0000,3,1.493900,1,10.000000,15.521632,63.815947,2.794014,112.952357,0,10.000000000000009
2020-03-12,sh.603719,59.1700,59.1700,59.1700,59.1700,53.7900,1068744,63237582.0000,3,2.606700,1,10.001900,17.074084,70.198728,3.073468,124.249693,0,10.001859081613684
2020-03-13,sh.603719,63.0000,65.0900,63.0000,65.0900,59.1700,18932855,1213460245.0000,3,46.177700,1,10.005100,18.782358,77.222160,3.380970,136.680962,0,10.00507013689369
