date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-04-17,sh.603773,40.0400,48.0500,40.0400,48.0500,33.3700,30025,1441900.0000,3,0.126962,1,43.991610,5.759506,21.197107,6.581780,61.253985,0,
2018-04-18,sh.603773,52.8600,52.8600,52.8600,52.8600,48.0500,25294,1337041.0000,3,0.106956,1,10.010410,6.336056,23.319023,7.240643,67.385758,0,10.01040582726327
2018-04-19,sh.603773,58.1500,58.1500,58.1500,58.1500,52.8600,21776,1266274.0000,3,0.092080,1,10.007570,6.970141,25.652690,7.965255,74.129433,0,10.007567158531971
2018-04-20,sh.603773,63.9700,63.9700,63.9700,63.9700,58.1500,266385,17040648.0000,3,1.126417,1,10.008600,7.667755,28.220165,8.762466,81.548750,0,10.008598452278594
2018-04-23,sh.603773,70.3700,70.3700,70.3700,70.3700,63.9700,321153,22599537.0000,3,1.358005,1,10.004690,8.434890,31.043505,9.639123,89.707449,0,10.004689698296087
2018-04-24,sh.603773,77.4100,77.4100,77.4100,77.4100,70.3700,109018,8439083.0000,3,0.460986,1,10.004260,9.278739,34.149178,10.603446,98.682019,0,10.004263180332519
2018-04-25,sh.603773,85.1500,85.1500,85.1500,85.1500,77.4100,109753,9345468.0000,3,0.464094,1,9.998705,10.206493,37.563655,11.663654,108.548946,0,9.998708177238091
2018-04-26,sh.603773,93.6700,93.6700,93.6700,93.6700,85.1500,859401,80500092.0000,3,3.634002,1,10.005870,11.227741,41.322226,12.830704,119.410214,0,10.00587199060481
2018-04-27,sh.603773,96.0000,96.0000,85.6200,86.3000,93.6700,15107683,1385734212.0000,3,63.883267,1,-7.868042,10.344337,38.070974,11.821178,110.014962,0,-7.868047400448386
2018-05-02,sh.603773,83.0000,83.8800,79.5100,82.7700,86.3000,8289092,681185948.0000,3,35.050661,1,-4.090390,9.921214,36.513726,11.337647,105.514930,0,-4.090382387022018
2018-05-03,sh.603773,81.9800,91.0000,81.5100,87.5300,82.7700,9465309,825486969.0000,3,40.024328,1,5.750879,10.491771,38.613585,11.989661,111.582962,0,5.750875921227494
