date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-04-27,sh.603787,7.3100,8.7700,7.3100,8.7700,6.0900,12800,111672.0000,3,0.025098,1,44.006570,3.263127,22.370826,0.830725,4.479600,0,
2017-04-28,sh.603787,9.6500,9.6500,9.6500,9.6500,8.7700,5600,54040.0000,3,0.010980,1,10.034200,3.590556,24.615561,0.914081,4.929093,0,10.034207525655647
2017-05-02,sh.603787,10.6200,10.6200,10.6200,10.6200,9.6500,8119,86224.0000,3,0.015920,1,10.051820,3.951472,27.089871,1.005963,5.424556,0,10.05181347150257
2017-05-03,sh.603787,11.6800,11.6800,11.6800,11.6800,10.6200,16500,192720.0000,3,0.032353,1,9.981172,4.345875,29.793756,1.106370,5.965990,0,9.981167608286267
2017-05-04,sh.603787,12.8500,12.8500,12.8500,12.8500,11.6800,31002,398376.0000,3,0.060788,1,10.017120,4.781206,32.778234,1.217197,6.563611,0,10.017123287671236
2017-05-05,sh.603787,14.1400,14.1400,14.1400,14.1400,12.8500,46600,658924.0000,3,0.091373,1,10.038910,5.261187,36.068811,1.339390,7.222526,0,10.038910505836585
2017-05-08,sh.603787,15.5500,15.5500,15.5500,15.5500,14.1400,145267,2258902.0000,3,0.284837,1,9.971710,5.785818,39.665489,1.472950,7.942735,0,9.971711456859978
2017-05-09,sh.603787,17.1100,17.1100,17.1100,17.1100,15.5500,329009,5629344.0000,3,0.645116,1,10.032160,6.366260,43.644792,1.620719,8.739563,0,10.032154340835998
2017-05-10,sh.603787,18.8200,18.8200,18.8200,18.8200,17.1100,202001,3801659.0000,3,0.396080,1,9.994150,7.002514,48.006721,1.782696,9.613008,0,9.994155464640574
2017-05-11,sh.603787,20.7000,20.7000,20.7000,20.7000,18.8200,375072,7763990.0000,3,0.735435,1,9.989379,7.702021,52.802291,1.960776,10.573287,0,9.989373007438896
2017-05-12,sh.603787,22.7700,22.7700,22.7700,22.7700,20.7000,295691,6732884.0000,3,0.579786,1,9.999998,8.472223,58.082520,2.156853,11.630616,0,10.000000000000009
2017-05-15,sh.603787,25.0500,25.0500,25.0500,25.0500,22.7700,619711,15523761.0000,3,1.215120,1,10.013170,9.320562,63.898425,2.372823,12.795210,0,10.013175230566551
2017-05-16,sh.603787,27.5500,27.5600,26.7000,27.5600,25.0500,28601350,785773728.0000,3,56.081078,1,10.019960,10.254478,70.301021,2.610579,14.077285,0,10.019960079840317
2017-05-17,sh.603787,28.7700,30.3200,28.0000,30.3200,27.5600,20812984,607686112.0000,3,40.809773,1,10.014510,11.281414,77.341327,2.872016,15.487057,0,10.0145137880987
2017-05-18,sh.603787,30.5000,30.8900,27.2900,27.2900,30.3200,30412567,879334976.0000,3,59.632484,1,-9.993400,10.154017,69.612296,2.585003,13.939372,0,-9.993403693931402
2017-05-19,sh.603787,25.3300,25.9800,24.5600,24.5600,27.2900,21313485,531826800.0000,3,41.791147,1,-10.003670,9.138243,62.648515,2.326408,12.544924,0,-10.003664345914254
2017-05-22,sh.603787,23.9900,24.3800,22.1000,22.1000,24.5600,19286452,443428736.0000,3,37.816573,1,-10.016280,8.222931,56.373460,2.093389,11.288389,0,-10.016286644951133
2017-05-23,sh.603787,21.8500,22.9500,21.1300,22.2500,22.1000,17336848,384521792.0000,3,33.993820,1,0.678731,8.278742,56.756086,2.107597,11.365007,0,0.6787330316742057
2017-05-24,sh.603787,21.2100,22.7700,21.2100,22.3200,22.2500,15354174,338924592.0000,3,30.106224,1,0.314605,8.304788,56.934644,2.114228,11.400762,0,0.31460674157304247
2017-05-25,sh.603787,22.4100,22.4100,20.0900,20.4600,22.3200,19744775,410455504.0000,3,38.715245,1,-8.333336,7.612722,52.190091,1.938042,10.450698,0,-8.333333333333325
2017-05-26,sh.603787,20.3900,22.2900,20.1800,21.3200,20.4600,18626536,392741344.0000,3,36.522620,1,4.203327,7.932709,54.383809,2.019504,10.889975,0,4.203323558162264
2017-05-31,sh.603787,22.3500,23.4500,21.6700,21.7000,21.3200,23595937,535044560.0000,3,46.266543,1,1.782369,8.074099,55.353126,2.055499,11.084074,0,1.7823639774859235
2017-06-01,sh.603787,20.7200,21.1800,19.5300,19.5300,21.7000,15616262,316457744.0000,3,30.620122,1,-10.000000,7.266689,49.817814,1.849949,9.975667,0,-9.999999999999986
2017-06-02,sh.603787,18.6500,19.5900,18.3500,19.0800,19.5300,11346031,214136627.0000,3,22.247120,1,-2.304151,7.099254,48.669938,1.807324,9.745813,0,-2.3041474654378002
2017-06-05,sh.603787,19.6500,19.9700,19.1000,19.1300,19.0800,10189484,199020884.0000,3,19.979380,1,0.262051,7.117858,48.797480,1.812060,9.771352,0,0.2620545073375391
2017-06-06,sh.603787,18.5000,18.9700,18.3800,18.7900,19.1300,6384254,119307381.0000,3,12.518145,1,-1.777304,6.991351,47.930196,1.779854,9.597684,0,-1.7773131207527437
2017-06-07,sh.603787,18.7700,19.5900,18.6600,19.4300,18.7900,8542714,164679242.0000,3,16.750420,1,3.406064,7.229481,49.562730,1.840477,9.924588,0,3.4060670569451945
2017-06-08,sh.603787,19.4200,19.4700,18.6100,18.8500,19.4300,8096482,153963174.0000,3,15.875455,1,-2.985074,7.013676,48.083246,1.785537,9.628332,0,-2.985074626865658
2017-06-09,sh.603787,18.5500,18.9500,18.4200,18.7700,18.8500,5048553,94301736.0000,3,9.899124,1,-0.424403,6.983910,47.879179,1.777959,9.587469,0,-0.42440318302388036
2017-06-12,sh.603787,18.2100,18.3700,17.0300,17.1500,18.7700,8947924,158294400.0000,3,17.544949,1,-8.630798,6.381143,43.746826,1.624507,8.759994,0,-8.630793819925419
2017-06-13,sh.603787,16.9900,17.8600,16.9900,17.5800,17.1500,5764455,101071388.0000,3,11.302853,1,2.507290,6.541137,44.843685,1.665239,8.979632,0,2.507288629737614
2017-06-14,sh.603787,17.4800,17.5800,17.1500,17.3000,17.5800,4180822,72495999.0000,3,8.197690,1,-1.592723,6.436955,44.129451,1.638716,8.836612,0,-1.5927189988623303
2017-06-15,sh.603787,17.3300,18.2000,17.3000,17.9100,17.3000,8157930,145744563.0000,3,15.995941,1,3.526015,6.663922,45.685460,1.696497,9.148192,0,3.5260115606936315
2017-06-16,sh.603787,17.7900,18.0700,17.6700,17.7900,17.9100,5080299,90667033.0000,3,9.961371,1,-0.670011,6.619273,45.379360,1.685130,9.086898,0,-0.6700167504187671
2017-06-19,sh.603787,17.7800,17.9500,17.5100,17.6600,17.7900,3874074,68403432.0000,3,7.596224,1,-0.730754,6.570903,45.047752,1.672816,9.020495,0,-0.7307476110174238
2017-06-20,sh.603787,17.7700,18.7500,17.6900,18.0200,17.6600,9087650,164788113.0000,3,17.818922,1,2.038509,6.704851,45.966052,1.706917,9.204379,0,2.0385050962627327
