date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-04-20,sh.603803,16.4600,19.7600,16.4600,19.7600,13.7200,22200,438342.0000,3,0.039085,1,44.023320,5.131245,32.700098,4.196583,-37.375522,0,
2017-04-21,sh.603803,21.7400,21.7400,21.7400,21.7400,19.7600,9670,210226.0000,3,0.017025,1,10.020240,5.645408,35.976728,4.617090,-41.120640,0,10.020242914979738
2017-04-24,sh.603803,23.9100,23.9100,23.9100,23.9100,21.7400,15970,381843.0000,3,0.028116,1,9.981601,6.208910,39.567781,5.077950,-45.225138,0,9.981600735970563
2017-04-25,sh.603803,26.3000,26.3000,26.3000,26.3000,23.9100,32735,860931.0000,3,0.057632,1,9.995815,6.829542,43.522904,5.585532,-49.745760,0,9.995817649519022
2017-04-26,sh.603803,28.9300,28.9300,28.9300,28.9300,26.3000,83513,2416031.0000,3,0.147030,1,10.000000,7.512496,47.875195,6.144086,-54.720337,0,9.999999999999986
2017-04-27,sh.603803,31.8200,31.8200,29.5800,31.8200,28.9300,20539132,631743360.0000,3,36.160444,1,9.989628,8.262966,52.657749,6.757857,-60.186696,0,9.989630141721406
2017-04-28,sh.603803,33.8000,35.0000,33.5000,35.0000,31.8200,24147498,832294944.0000,3,42.513201,1,9.993715,9.088744,57.920215,7.433218,-66.201582,0,9.99371464487744
2017-05-02,sh.603803,33.5700,33.7800,31.8800,32.7800,35.0000,23737601,776815120.0000,3,41.791551,1,-6.342860,8.512258,54.246418,6.961740,-62.002511,0,-6.342857142857139
2017-05-03,sh.603803,32.9000,36.0600,32.6400,36.0600,32.7800,25794087,914040992.0000,3,45.412125,1,10.006110,9.364003,59.674370,7.658338,-68.206545,0,10.006101281269064
2017-05-04,sh.603803,34.5000,37.8600,32.5000,36.4300,36.0600,29815973,1040277456.0000,3,52.492910,1,1.026065,9.460084,60.286669,7.736918,-68.906390,0,1.0260676650027722
2017-05-05,sh.603803,34.4000,35.4600,32.7900,32.7900,36.4300,17994262,610781872.0000,3,31.680039,1,-9.991763,8.514854,54.262967,6.963863,-62.021425,0,-9.991765028822396
2017-05-08,sh.603803,31.6000,32.3000,29.5300,29.8500,32.7900,12391444,383818848.0000,3,21.815923,1,-8.966149,7.751400,49.397669,6.339473,-56.460492,0,-8.966148215919478
2017-05-09,sh.603803,29.5500,31.2300,29.5000,30.4900,29.8500,9306417,284279232.0000,3,16.384537,1,2.144052,7.917594,50.456781,6.475395,-57.671036,0,2.1440536013400235
2017-05-10,sh.603803,30.3000,31.0500,28.0300,28.2300,30.4900,11004126,325536592.0000,3,19.373461,1,-7.412268,7.330721,46.716790,5.995421,-53.396305,0,-7.412266316825178
2017-05-11,sh.603803,27.7600,29.1700,26.7800,28.6300,28.2300,9728629,269858752.0000,3,17.127868,1,1.416931,7.434592,47.378736,6.080372,-54.152894,0,1.4169323414806811
2017-05-12,sh.603803,28.3200,29.8900,28.1200,29.5400,28.6300,10461815,304286112.0000,3,18.418688,1,3.178490,7.670900,48.884661,6.273636,-55.874136,0,3.17848410757946
2017-05-15,sh.603803,29.0800,29.4900,28.7000,28.7700,29.5400,7766417,225795085.0000,3,13.673269,1,-2.606637,7.470947,47.610416,6.110105,-54.417701,0,-2.6066350710900466
2017-05-16,sh.603803,28.5000,29.6900,27.0000,29.5000,28.7700,9178495,263464636.0000,3,16.159322,1,2.537364,7.660512,48.818467,6.265141,-55.798477,0,2.537365311087947
2017-05-17,sh.603803,29.4500,30.2500,29.0200,29.0500,29.5000,9042610,266477466.0000,3,15.920088,1,-1.525426,7.543657,48.073778,6.169571,-54.947313,0,-1.5254237288135575
2017-05-18,sh.603803,28.5100,28.7000,27.3900,27.4800,29.0500,7749051,217175877.0000,3,13.642695,1,-5.404474,7.135962,45.475643,5.836138,-51.977700,0,-5.404475043029255
2017-05-19,sh.603803,27.6000,27.8500,26.8100,27.0400,27.4800,4837597,131821405.0000,3,8.516896,1,-1.601160,7.021704,44.747503,5.742692,-51.145451,0,-1.6011644832605532
2017-05-22,sh.603803,26.8700,27.3000,24.8900,25.3800,27.0400,7570094,196005404.0000,3,13.327630,1,-6.139060,6.590637,42.000430,5.390145,-48.005605,0,-6.139053254437865
2017-05-23,sh.603803,25.0100,25.4800,23.8200,23.8600,25.3800,6349880,155493171.0000,3,11.179366,1,-5.988962,6.195926,39.485038,5.067331,-45.130564,0,-5.988967691095349
2017-05-24,sh.603803,23.9800,24.5800,23.6700,24.3900,23.8600,5229785,126731100.0000,3,9.207368,1,2.221286,6.333556,40.362115,5.179891,-46.133046,0,2.2212908633696626
2017-05-25,sh.603803,24.2800,24.5000,23.2000,24.1700,24.3900,5887180,140674009.0000,3,10.364754,1,-0.902006,6.276427,39.998045,5.133168,-45.716921,0,-0.9020090200901998
2017-05-26,sh.603803,24.2300,25.2500,24.1600,24.8100,24.1700,6761769,167039670.0000,3,11.904523,1,2.647908,6.442621,41.057158,5.269090,-46.927465,0,2.647910633016126
2017-05-31,sh.603803,25.9900,26.6700,24.7500,24.8100,24.8100,7791733,200941099.0000,3,13.717840,1,0.000000,6.442621,41.057158,5.269090,-46.927465,0,0.0
2017-06-01,sh.603803,24.4500,24.6400,22.7000,22.8000,24.8100,6034505,143563105.0000,3,10.624129,1,-8.101573,5.920667,37.730883,4.842211,-43.125602,0,-8.101571946795637
2017-06-02,sh.603803,22.6800,23.8500,22.4000,23.6600,22.8000,4334293,100746086.0000,3,7.630798,1,3.771933,6.143991,39.154065,5.024855,-44.752270,0,3.771929824561404
2017-06-05,sh.603803,24.0000,24.5300,23.8600,23.9300,23.6600,5258024,127156304.0000,3,9.257085,1,1.141168,6.214104,39.600878,5.082197,-45.262968,0,1.1411665257819115
