date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-12-01,sh.603848,9.4700,11.3600,9.4700,11.3600,7.8900,15400,174755.0000,3,0.037561,1,43.979720,6.677994,24.292066,4.430892,73.177754,0,
2017-12-04,sh.603848,12.5000,12.5000,12.5000,12.5000,11.3600,11760,147000.0000,3,0.028683,1,10.035210,7.348144,26.729826,4.875541,80.521296,0,10.035211267605648
2017-12-05,sh.603848,13.7500,13.7500,13.7500,13.7500,12.5000,38583,530516.0000,3,0.094105,1,10.000000,8.082959,29.402809,5.363095,88.573426,0,10.000000000000009
2017-12-06,sh.603848,15.1300,15.1300,15.1300,15.1300,13.7500,66980,1013407.0000,3,0.163366,1,10.036360,8.894194,32.353782,5.901355,97.462977,0,10.036363636363642
2017-12-07,sh.603848,16.6400,16.6400,16.6400,16.6400,15.1300,113736,1892567.0000,3,0.277405,1,9.980166,9.781850,35.582745,6.490320,107.189949,0,9.980171844018514
2017-12-08,sh.603848,18.3000,18.3000,18.3000,18.3000,16.6400,356287,6520052.0000,3,0.868993,1,9.975961,10.757684,39.132465,7.137792,117.883177,0,9.975961538461542
2017-12-11,sh.603848,20.1300,20.1300,20.1300,20.1300,18.3000,248050,4993247.0000,3,0.605000,1,10.000000,11.833452,43.045712,7.851571,129.671495,0,9.999999999999986
2017-12-12,sh.603848,22.1400,22.1400,22.1400,22.1400,20.1300,954431,21131102.0000,3,2.327880,1,9.985098,13.015034,47.343868,8.635558,142.619319,0,9.98509687034279
2017-12-13,sh.603848,23.7000,24.3500,23.0500,24.3500,22.1400,30759252,731252004.0000,3,75.022566,1,9.981937,14.314185,52.069701,9.497554,156.855485,0,9.981933152664869
2017-12-14,sh.603848,23.7000,25.7800,22.6800,25.5400,24.3500,28287326,673601428.0000,3,68.993478,1,4.887066,15.013729,54.614381,9.961705,164.521112,0,4.887063655030799
