date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2018-02-06,sh.603871,50.2700,60.3200,50.2700,60.3200,41.8900,19500,1165185.0000,3,0.097500,1,43.996180,8.949028,22.843422,1.705115,141.841104,0,
2018-02-07,sh.603871,66.3500,66.3500,66.3500,66.3500,60.3200,12100,802835.0000,3,0.060500,1,9.996682,9.843634,25.127006,1.875570,156.020512,0,9.996684350132611
2018-02-08,sh.603871,72.9900,72.9900,72.9900,72.9900,66.3500,169300,12357207.0000,3,0.846500,1,10.007530,10.828740,27.641601,2.063268,171.634320,0,10.007535795026378
2018-02-09,sh.603871,72.8700,80.2900,68.1000,80.2900,72.9900,9993285,749368207.0000,3,49.966425,1,10.001380,11.911762,30.406139,2.269624,188.800104,0,10.001370050691882
2018-02-12,sh.603871,80.0000,84.9400,77.5600,78.8900,80.2900,7753339,627613764.0000,3,38.766695,1,-1.743681,11.704059,29.875954,2.230049,185.508035,0,-1.7436791630340065
2018-02-13,sh.603871,76.8000,78.0000,71.0000,71.3900,78.8900,7096230,522235722.0000,3,35.481150,1,-9.506908,10.591365,27.035674,2.018040,167.871957,0,-9.506908353403476
2018-02-14,sh.603871,68.6600,70.6000,67.5000,67.5800,71.3900,4248708,292764765.0000,3,21.243540,1,-5.336878,10.026116,25.592812,1.910340,158.912828,0,-5.33688191623477
2018-02-22,sh.603871,68.5000,72.4800,67.6900,69.8500,67.5800,3708883,259630855.0000,3,18.544415,1,3.358977,10.362892,26.452470,1.974507,164.250682,0,3.358981947321693
2018-02-23,sh.603871,69.0000,72.9800,68.3700,72.3600,69.8500,4578169,326773124.0000,3,22.890845,1,3.593418,10.735273,27.403017,2.045460,170.152889,0,3.59341445955621
2018-02-26,sh.603871,75.0000,76.5000,73.0000,73.3000,72.3600,4844347,360301881.0000,3,24.221735,1,1.299064,10.874731,27.758999,2.072031,172.363278,0,1.2990602542841234
2018-02-27,sh.603871,72.0300,79.5000,71.1600,76.9600,73.3000,6088947,459763066.0000,3,30.444735,1,4.993173,11.417726,29.145055,2.175492,180.969685,0,4.993178717598901
2018-02-28,sh.603871,74.5000,74.9800,69.3300,70.0800,76.9600,5134179,366344426.0000,3,25.670895,1,-8.939706,10.397014,26.539572,1.981009,164.791521,0,-8.939708939708934
2018-03-01,sh.603871,68.9000,71.4800,68.7800,71.0100,70.0800,2984298,210568798.0000,3,14.921490,1,1.327055,10.534988,26.891767,2.007298,166.978395,0,1.3270547945205546
2018-03-02,sh.603871,70.0000,71.7800,68.5000,68.7500,71.0100,2677458,187507470.0000,3,13.387290,1,-3.182653,10.199697,26.035896,1.943413,161.664057,0,-3.1826503309393073
2018-03-05,sh.603871,69.0000,70.8800,68.3000,70.6500,68.7500,2362230,165083019.0000,3,11.811150,1,2.763639,10.481579,26.755433,1.997122,166.131863,0,2.763636363636368
2018-03-06,sh.603871,70.8800,72.8600,69.7600,71.2900,70.6500,3191184,227768991.0000,3,15.955920,1,0.905873,10.576529,26.997804,2.015213,167.636809,0,0.9058740268931276
2018-03-07,sh.603871,70.5100,71.9400,70.0200,70.5200,71.2900,2223293,157455692.0000,3,11.116465,1,-1.080101,10.462292,26.706202,1.993447,165.826171,0,-1.0800953850470085
2018-03-08,sh.603871,71.0000,74.8500,70.9900,73.1300,70.5200,4484282,329307917.0000,3,22.421410,1,3.701079,10.849510,27.694619,2.067226,171.963527,0,3.7010777084514945
