date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2017-09-08,sh.603882,9.9800,9.9800,9.9800,9.9800,6.9300,23363,233163.0000,3,0.034017,1,44.011540,3.858982,26.874952,1.418462,35.907888,0,
2017-09-11,sh.603882,10.9800,10.9800,10.9800,10.9800,9.9800,5234,57469.0000,3,0.007621,1,10.020040,4.245654,29.567833,1.560592,39.505873,0,10.020040080160332
2017-09-12,sh.603882,12.0800,12.0800,12.0800,12.0800,10.9800,9800,118384.0000,3,0.014269,1,10.018220,4.670992,32.530002,1.716936,43.463656,0,10.018214936247727
2017-09-13,sh.603882,13.2900,13.2900,13.2900,13.2900,12.0800,8652,114985.0000,3,0.012598,1,10.016560,5.138865,35.788388,1.888914,47.817217,0,10.01655629139071
2017-09-14,sh.603882,14.6200,14.6200,14.6200,14.6200,13.2900,20100,293862.0000,3,0.029266,1,10.007520,5.653138,39.369920,2.077947,52.602537,0,10.007524454477057
2017-09-15,sh.603882,16.0800,16.0800,16.0800,16.0800,14.6200,46963,755165.0000,3,0.068379,1,9.986320,6.217679,43.301526,2.285458,57.855595,0,9.986320109439117
2017-09-18,sh.603882,17.6900,17.6900,17.6900,17.6900,16.0800,67197,1188715.0000,3,0.097841,1,10.012440,6.840220,47.637065,2.514288,63.648350,0,10.012437810945297
2017-09-19,sh.603882,19.4600,19.4600,19.4600,19.4600,17.6900,117497,2286492.0000,3,0.171079,1,10.005640,7.524628,52.403464,2.765859,70.016783,0,10.005652911249285
2017-09-20,sh.603882,21.4100,21.4100,21.4100,21.4100,19.4600,159068,3405646.0000,3,0.231607,1,10.020560,8.278638,57.654582,3.043013,77.032854,0,10.020554984583763
2017-09-21,sh.603882,23.5500,23.5500,23.5500,23.5500,21.4100,135139,3182523.0000,3,0.196766,1,9.995326,9.106115,63.417347,3.347172,84.732541,0,9.995329285380672
2017-09-22,sh.603882,25.9100,25.9100,25.9100,25.9100,23.5500,264917,6863999.0000,3,0.385727,1,10.021230,10.018660,69.772546,3.682600,93.223785,0,10.021231422505306
2017-09-25,sh.603882,28.5000,28.5000,28.5000,28.5000,25.9100,400606,11417271.0000,3,0.583294,1,9.996141,11.020139,76.747108,4.050718,102.542566,0,9.996140486298732
2017-09-26,sh.603882,31.3500,31.3500,31.3500,31.3500,28.5000,329111,10317630.0000,3,0.479195,1,10.000000,12.122153,84.421819,4.455790,112.796822,0,10.000000000000009
2017-09-27,sh.603882,34.4900,34.4900,34.4900,34.4900,31.3500,539766,18616529.0000,3,0.785914,1,10.015950,13.336302,92.877465,4.902079,124.094494,0,10.015948963317388
2017-09-28,sh.603882,37.9400,37.9400,37.9400,37.9400,34.4900,1308013,49626013.0000,3,1.904503,1,10.002890,14.670319,102.167905,5.392429,136.507542,0,10.00289939112784
2017-09-29,sh.603882,41.7300,41.7300,41.7300,41.7300,37.9400,1915705,79942370.0000,3,2.789320,1,9.989460,16.135804,112.373924,5.931104,150.143904,0,9.989457037427506
2017-10-09,sh.603882,43.7900,43.7900,39.0000,39.5100,41.7300,40382715,1650693166.0000,3,58.798362,1,-5.319917,15.277393,106.395728,5.615574,142.156378,0,-5.319913731128678
2017-10-10,sh.603882,39.6300,43.4600,39.6300,43.4600,39.5100,26220153,1102678238.0000,3,38.177276,1,9.997472,16.804746,117.032608,6.176989,156.368418,0,9.997468995191095
2017-10-11,sh.603882,47.0000,47.8100,41.6600,42.1600,43.4600,35874041,1610798305.0000,3,52.233607,1,-2.991255,16.302073,113.531863,5.992220,151.691037,0,-2.991256327657621
2017-10-12,sh.603882,40.5000,41.4400,38.1000,39.4400,42.1600,23219100,923680500.0000,3,33.807659,1,-6.451616,15.250326,106.207226,5.605625,141.904519,0,-6.451612903225801
2017-10-13,sh.603882,38.6000,40.5500,38.2900,38.8300,39.4400,15714173,622007748.0000,3,22.880275,1,-1.546645,15.014457,104.564569,5.518925,139.709748,0,-1.54665314401623
2017-10-16,sh.603882,37.9600,37.9600,36.5000,36.5900,38.8300,13574467,503712169.0000,3,19.764803,1,-5.768739,14.148312,98.532515,5.200553,131.650262,0,-5.768735513777989
2017-10-17,sh.603882,36.8800,37.7800,36.6700,37.3600,36.5900,9286319,346053573.0000,3,13.521140,1,2.104401,14.446049,100.606034,5.309994,134.420711,0,2.104400109319471
2017-10-18,sh.603882,37.0500,39.9200,36.9300,38.1400,37.3600,13891075,536823707.0000,3,20.225794,1,2.087791,14.747653,102.706481,5.420855,137.227139,0,2.0877944325481845
2017-10-19,sh.603882,38.2000,39.9900,37.6100,39.4500,38.1400,13175765,517795320.0000,3,19.184282,1,3.434718,15.254193,106.234155,5.607046,141.940499,0,3.434714210802303
2017-10-20,sh.603882,38.6100,39.1900,37.1800,37.6300,39.4500,10362562,393282248.0000,3,15.088180,1,-4.613434,14.550451,101.333112,5.348369,135.392167,0,-4.613434727503174
2017-10-23,sh.603882,37.3900,38.4200,36.6100,38.0000,37.6300,7209188,270515758.0000,3,10.496779,1,0.983255,14.693519,102.329478,5.400957,136.723421,0,0.9832580387988177
2017-10-24,sh.603882,37.6300,37.9500,36.5400,36.9100,38.0000,6202889,230339774.0000,3,9.031580,1,-2.868421,14.272047,99.394237,5.246035,132.801617,0,-2.8684210526315868
2017-10-25,sh.603882,36.9400,38.2500,36.7400,37.5100,36.9100,5571945,209752193.0000,3,8.112908,1,1.625572,14.504050,101.009966,5.331313,134.960408,0,1.6255757247358504
2017-10-26,sh.603882,37.7900,37.8700,36.8800,37.1900,37.5100,6045781,225179976.0000,3,8.802826,1,-0.853105,14.380315,100.148244,5.285831,133.809053,0,-0.8531058384430801
2017-10-27,sh.603882,37.1200,37.8500,34.9900,35.2600,37.1900,10640770,387434208.0000,3,15.493259,1,-5.189568,9.717234,81.447997,4.376013,52.375913,0,-5.189567087926861
2017-10-30,sh.603882,34.1500,34.6800,31.7500,33.2500,35.2600,9068456,302175034.0000,3,13.203925,1,-5.700506,9.163302,76.805046,4.126558,49.390219,0,-5.700510493477018
2017-10-31,sh.603882,33.1500,34.9000,32.9300,34.5000,33.2500,6619687,225396990.0000,3,9.638449,1,3.759398,9.507787,79.692454,4.281691,51.246994,0,3.759398496240607
2017-11-01,sh.603882,34.6000,35.9300,34.2000,35.0600,34.5000,6844716,240428839.0000,3,9.966098,1,1.623192,9.662117,80.986012,4.351191,52.078829,0,1.6231884057971158
