date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-07-25,sh.603983,29.5800,29.5800,29.5800,29.5800,20.5400,97615,2887452.0000,3,0.238085,1,44.011680,7.931939,26.986885,7.388037,24.229635,0,
2019-07-26,sh.603983,32.5400,32.5400,32.5400,32.5400,29.5800,40362,1313379.0000,3,0.098400,1,10.006800,8.725669,29.687398,8.127340,26.654237,0,10.006761325219738
2019-07-29,sh.603983,35.7900,35.7900,35.7900,35.7900,32.5400,90629,3243612.0000,3,0.221046,1,9.987707,9.597164,32.652488,8.939075,29.316384,0,9.987707437000616
2019-07-30,sh.603983,39.3700,39.3700,39.3700,39.3700,35.7900,164112,6461089.0000,3,0.400300,1,10.002800,10.557148,35.918649,9.833232,32.248841,0,10.002794076557686
2019-07-31,sh.603983,43.3100,43.3100,43.3100,43.3100,39.3700,2084480,90278829.0000,3,5.084100,1,10.007600,11.613667,39.513251,10.817305,35.476183,0,10.007620015240049
2019-08-01,sh.603983,46.0000,47.6400,45.5000,47.6400,43.3100,19667177,924112911.0000,3,47.968700,1,9.997700,12.774766,43.463664,11.898786,39.022982,0,9.9976910644193
2019-08-02,sh.603983,47.6000,51.0100,45.8200,48.4000,47.6400,26796731,1277935967.0000,3,65.357900,1,1.595300,12.978562,44.157039,12.088607,39.645515,0,1.5952980688497043
2019-08-05,sh.603983,47.8000,47.8000,45.0100,46.0800,48.4000,15677673,727699619.0000,3,38.238200,1,-4.793400,12.356449,42.040421,11.509153,37.745151,0,-4.793388429752065
2019-08-06,sh.603983,44.2300,46.4600,43.5500,45.5000,46.0800,13401463,603638266.0000,3,32.686500,1,-1.258700,12.200921,41.511266,11.364289,37.270061,0,-1.258680555555547
2019-08-07,sh.603983,45.0000,45.8800,41.0000,41.0000,45.5000,14569652,627606015.0000,3,35.535700,1,-9.890100,10.994236,37.405756,10.240349,33.584011,0,-9.890109890109889
2019-08-08,sh.603983,40.2300,42.5000,40.0600,42.1400,41.0000,12986349,538126448.0000,3,31.674000,1,2.780500,11.299930,38.445819,10.525080,34.517810,0,2.7804878048780513
2019-08-09,sh.603983,41.9000,41.9200,40.5100,41.0300,42.1400,6522444,269344393.0000,3,15.908400,1,-2.634100,11.002281,37.433126,10.247842,33.608584,0,-2.6340768865685815
2019-08-12,sh.603983,41.0000,42.6600,40.7000,41.7000,41.0300,6503506,272631400.0000,3,15.862200,1,1.633000,11.181943,38.044391,10.415184,34.157396,0,1.6329514989032345
2019-08-13,sh.603983,41.0200,41.3500,39.4300,40.3700,41.7000,7063594,284495976.0000,3,17.228300,1,-3.189500,10.825300,36.830985,10.082997,33.067964,0,-3.1894484412470114
2019-08-14,sh.603983,41.3600,43.4800,40.6500,42.8800,40.3700,9295876,391159095.0000,3,22.672900,1,6.217500,11.498362,39.120947,10.709906,35.123960,0,6.21748823383701
2019-08-15,sh.603983,41.5300,46.0500,41.5300,45.5500,42.8800,10018287,438491151.0000,3,24.434800,1,6.226700,12.214328,41.556883,11.376778,37.311017,0,6.226679104477606
2019-08-16,sh.603983,44.5700,45.7800,44.3800,44.6600,45.5500,7240753,324971249.0000,3,17.660400,1,-1.953900,11.975673,40.744904,11.154487,36.581998,0,-1.9538968166849635
2019-08-19,sh.603983,44.6600,46.8800,44.5000,45.1300,44.6600,6932858,317044686.0000,3,16.909400,1,1.052400,12.101704,41.173702,11.271877,36.966985,0,1.0523958799820932
2019-08-20,sh.603983,44.6000,45.4400,43.3800,44.4100,45.1300,4377992,193957587.0000,3,10.678000,1,-1.595400,11.908635,40.516820,11.092046,36.377217,0,-1.595391092399745
2019-08-21,sh.603983,44.3900,45.6800,43.7800,44.5500,44.4100,3778983,169823925.0000,3,9.217000,1,0.315200,11.946176,40.644547,11.127013,36.491894,0,0.3152443143436212
2019-08-22,sh.603983,44.3000,45.0000,43.4800,45.0000,44.5500,3621925,159782144.0000,3,8.834000,1,1.010100,12.066845,41.055098,11.239407,36.860499,0,1.0101010101010166
2019-08-23,sh.603983,44.8800,49.5000,44.8800,49.5000,45.0000,11343329,548506413.0000,3,27.666700,1,10.000000,13.273529,45.160608,12.363348,40.546549,0,10.000000000000009
2019-08-26,sh.603983,47.8000,49.9000,46.6000,49.2000,49.5000,6928085,332579412.0000,3,16.897800,1,-0.606100,13.193083,44.886907,12.288418,40.300813,0,-0.6060606060605989
2019-08-27,sh.603983,49.0800,51.2000,47.8600,48.0000,49.2000,6944680,341691545.0000,3,16.938200,1,-2.439000,12.871301,43.792105,11.988701,39.317866,0,-2.4390243902439046
2019-08-28,sh.603983,47.8600,49.3800,46.8800,48.8800,48.0000,4503586,217658547.0000,3,10.984400,1,1.833300,13.107275,44.594960,12.208494,40.038694,0,1.8333333333333313
2019-08-29,sh.603983,49.9900,51.0500,48.4000,48.7100,48.8800,5017157,248855813.0000,3,12.237000,1,-0.347800,11.971922,40.967731,11.751913,33.497456,0,-0.34779050736497563
2019-08-30,sh.603983,48.5000,49.9100,47.5900,49.9100,48.7100,4770133,233046104.0000,3,11.634500,1,2.463600,12.266858,41.976996,12.041429,34.322686,0,2.4635598439745277
2019-09-02,sh.603983,50.3800,51.3800,48.8300,50.2200,49.9100,5004705,250140839.0000,3,12.206600,1,0.621100,12.343049,42.237723,12.116220,34.535870,0,0.6211180124223725
2019-09-03,sh.603983,49.6300,52.6300,49.6300,51.9400,50.2200,5720176,292889015.0000,3,13.951600,1,3.424900,12.765790,43.684335,12.531192,35.718699,0,3.424930306650742
2019-09-04,sh.603983,51.5000,51.8700,50.5000,51.7600,51.9400,3270033,167368481.0000,3,7.975700,1,-0.346600,12.721550,43.532945,12.487765,35.594915,0,-0.34655371582594796
2019-09-05,sh.603983,52.2400,53.2000,50.0000,50.3700,51.7600,4512575,232085538.0000,3,11.006300,1,-2.685500,12.379916,42.363881,12.152409,34.639024,0,-2.685471406491502
2019-09-06,sh.603983,50.1500,50.6700,47.3300,48.5700,50.3700,5946420,289730702.0000,3,14.503500,1,-3.573600,11.937513,40.849984,11.718136,33.401179,0,-3.5735556879094688
2019-09-09,sh.603983,48.6800,50.2800,48.2600,50.1300,48.5700,3921944,194294666.0000,3,9.565700,1,3.211900,12.320929,42.162028,12.094506,34.473978,0,3.2118591723286016
2019-09-10,sh.603983,50.1000,50.7000,49.0000,50.6100,50.1300,2842695,141809981.0000,3,6.933400,1,0.957500,12.438903,42.565733,12.210313,34.804070,0,0.957510472770795
2019-09-11,sh.603983,50.8400,55.5000,50.8400,53.0700,50.6100,6456437,343948015.0000,3,15.747400,1,4.860700,13.043521,44.634726,12.803819,36.495791,0,4.8606994665086
2019-09-12,sh.603983,53.7300,57.8600,52.8000,56.2500,53.0700,5763452,319159247.0000,3,14.057200,1,5.992100,13.825100,47.309277,13.571035,38.682650,0,5.992085924250978
2019-09-16,sh.603983,55.8000,58.5300,55.3600,57.0500,56.2500,3901496,221213517.0000,3,9.515800,1,1.422200,14.021724,47.982120,13.764045,39.232803,0,1.4222222222222136
2019-09-17,sh.603983,57.0000,58.5000,55.8200,57.2000,57.0500,3674168,209629521.0000,3,8.961400,1,0.262900,14.058591,48.108278,13.800235,39.335957,0,0.2629272567922891
