date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2019-08-26,sh.603992,19.5000,19.5000,19.5000,19.5000,13.5400,102040,1989780.0000,3,0.248900,1,44.017700,6.922165,30.471439,4.656990,39.153355,0,
2019-08-27,sh.603992,21.4500,21.4500,21.4500,21.4500,19.5000,30398,652037.0000,3,0.074100,1,10.000000,7.614381,33.518583,5.122689,43.068690,0,9.999999999999986
2019-08-28,sh.603992,23.6000,23.6000,23.6000,23.6000,21.4500,80189,1892460.0000,3,0.195600,1,10.023300,8.377594,36.878255,5.636152,47.385599,0,10.023310023310028
2019-08-29,sh.603992,25.9600,25.9600,25.9600,25.9600,23.6000,122601,3182722.0000,3,0.299000,1,10.000000,9.215353,40.566080,6.199767,52.124158,0,9.999999999999986
2019-08-30,sh.603992,28.5600,28.5600,28.5600,28.5600,25.9600,1109089,31675582.0000,3,2.705100,1,10.015400,10.138309,44.628939,6.820699,57.344606,0,10.015408320493059
2019-09-02,sh.603992,26.4900,28.4900,26.1200,26.8000,28.5600,23141603,619388483.0000,3,56.442900,1,-6.162500,9.513539,41.878696,6.400376,53.810764,0,-6.1624649859943865
2019-09-03,sh.603992,25.9000,27.1600,25.6000,26.9400,26.8000,16675047,438949752.0000,3,40.670800,1,0.522400,9.563236,42.097466,6.433811,54.091865,0,0.522388059701484
2019-09-04,sh.603992,26.4500,27.9700,26.2100,27.4900,26.9400,18932168,511414886.0000,3,46.176000,1,2.041600,9.758477,42.956916,6.565162,55.196191,0,2.041573867854485
2019-09-05,sh.603992,27.3000,27.4300,26.3800,26.5200,27.4900,16615095,446713487.0000,3,40.524600,1,-3.528600,9.414144,41.441158,6.333507,53.248562,0,-3.5285558384867133
2019-09-06,sh.603992,26.0700,26.2000,25.2000,25.3100,26.5200,12988168,333369453.0000,3,31.678500,1,-4.562600,8.984615,39.550366,6.044534,50.819047,0,-4.562594268476627
2019-09-09,sh.603992,25.3900,26.1500,25.0800,26.1400,25.3100,10047869,258865703.0000,3,24.507000,1,3.279300,9.279250,40.847355,6.242755,52.485574,0,3.2793362307388385
2019-09-10,sh.603992,26.0000,27.3800,25.8900,26.6500,26.1400,12397540,331089322.0000,3,30.237900,1,1.951000,9.460291,41.644301,6.364553,53.509585,0,1.9510328997704551
