date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2020-07-01,sh.688528,31.1600,34.0000,31.0000,32.4500,11.3300,27496547,877906950.0000,3,72.290000,1,186.407800,18.320778,122.089829,21.995923,-7676.124326,0,
2020-07-02,sh.688528,31.6700,32.3200,30.7000,30.9400,32.4500,18319787,571931391.0000,3,48.163800,1,-4.653300,17.468255,116.408607,20.972384,-7318.930251,0,-4.653312788906017
2020-07-03,sh.688528,30.5000,30.6000,29.0100,29.3800,30.9400,13844683,411199926.0000,3,36.398500,1,-5.042000,16.587502,110.539266,19.914952,-6949.908558,0,-5.042016806722693
2020-07-06,sh.688528,29.0800,30.8100,29.0300,30.2000,29.3800,11617912,348575098.0000,3,30.544200,1,2.791000,17.050462,113.624433,20.470782,-7143.881499,0,2.791014295439065
2020-07-07,sh.688528,30.2400,31.2400,29.5600,30.2400,30.2000,14235870,431853646.0000,3,37.426900,1,0.132400,17.073045,113.774929,20.497895,-7153.343594,0,0.13245033112583293
2020-07-08,sh.688528,30.0000,30.0000,29.4600,29.8300,30.2400,8354811,248608064.0000,3,21.965300,1,-1.355800,16.841566,112.232345,20.219981,-7056.357123,0,-1.3558201058201047
2020-07-09,sh.688528,29.9500,30.8400,29.7300,30.6100,29.8300,11172081,338860756.0000,3,29.372100,1,2.614800,17.281942,115.167016,20.748696,-7240.867970,0,2.614817298022132
2020-07-10,sh.688528,30.6200,31.0100,30.1100,30.2100,30.6100,7898658,241074009.0000,3,20.766000,1,-1.306800,17.056108,113.662057,20.477560,-7146.247023,0,-1.3067624959163582
2020-07-13,sh.688528,30.1100,30.9400,29.7800,30.7800,30.2100,9026879,275170474.0000,3,23.732200,1,1.886800,17.377921,115.806624,20.863929,-7281.081872,0,1.8867924528301883
2020-07-14,sh.688528,30.6400,30.8900,29.8000,30.3000,30.7800,6859851,208066355.0000,3,18.034900,1,-1.559500,17.106920,114.000672,20.538566,-7167.536736,0,-1.5594541910331383
2020-07-15,sh.688528,30.4500,30.5900,28.5500,28.7000,30.3000,6091862,179797717.0000,3,16.015900,1,-5.280500,16.203585,107.980835,19.454021,-6789.052948,0,-5.280528052805289
2020-07-16,sh.688528,28.5500,28.7900,26.4000,26.5000,28.7000,5255562,144462520.0000,3,13.817200,1,-7.665500,14.961498,99.703558,17.962772,-6268.637739,0,-7.665505226480828
2020-07-17,sh.688528,26.5500,26.9400,25.8000,26.3000,26.5000,2540527,67016301.0000,3,6.679200,1,-0.754700,14.848581,98.951079,17.827204,-6221.327266,0,-0.7547169811320753
2020-07-20,sh.688528,26.6300,26.8300,25.9900,26.6600,26.3000,2262910,59909667.0000,3,5.949300,1,1.368800,15.051832,100.305542,18.071226,-6306.486118,0,1.3688212927756682
2020-07-21,sh.688528,26.8200,27.1500,26.5700,26.8000,26.6600,1844539,49450165.0000,3,4.849400,1,0.525100,15.130874,100.832278,18.166124,-6339.603450,0,0.5251312828207011
