date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000007,13.3500,13.7000,13.0000,13.6700,13.3000,1033861,13922200.0800,3,1.299458,1,2.781954,7.529717,-63.082350,30.195796,-192.205029,0,
2001-01-03,sz.000007,13.6000,14.2300,13.5600,14.2300,13.6700,1450589,20340297.6900,3,1.823242,1,4.096558,7.838177,-65.666558,31.432785,-200.078827,0,4.096561814191668
2001-01-04,sz.000007,14.3000,14.3700,14.0000,14.0200,14.2300,1146629,16156859.1900,3,1.441196,1,-1.475749,7.722504,-64.697480,30.968914,-197.126152,0,-1.4757554462403455
2001-01-05,sz.000007,14.0300,14.5000,13.9100,14.3400,14.0200,1031447,14711658.0500,3,1.296424,1,2.282451,7.898767,-66.174170,31.675765,-201.625465,0,2.2824536376604865
2001-01-08,sz.000007,14.3500,14.5000,13.4000,13.4300,14.3400,1916618,26308595.7700,3,2.408993,1,-6.345884,7.397520,-61.974833,29.665657,-188.830544,0,-6.345885634588566
2001-01-09,sz.000007,13.3800,13.7000,13.0800,13.4700,13.4300,943563,12579804.2700,3,1.185962,1,0.297840,7.419553,-62.159419,29.754014,-189.392958,0,0.29784065524944836
2001-01-10,sz.000007,13.4700,13.6000,13.4000,13.6000,13.4700,684090,9236898.3800,3,0.859831,1,0.965109,7.491160,-62.759324,30.041172,-191.220804,0,0.9651076466221209
2001-01-11,sz.000007,13.6000,13.6100,13.3000,13.3000,13.6000,808476,10843988.9000,3,1.016172,1,-2.205884,7.325914,-61.374928,29.378499,-187.002698,0,-2.2058823529411686
2001-01-12,sz.000007,13.2600,13.6500,13.1200,13.4500,13.3000,570486,7667467.3000,3,0.717043,1,1.127817,7.408537,-62.067126,29.709835,-189.111751,0,1.1278195488721776
2001-01-15,sz.000007,13.4500,13.4600,12.8100,12.8200,13.4500,1346200,17488622.4800,3,1.692036,1,-4.684016,7.061520,-59.159893,28.318222,-180.253728,0,-4.684014869888465
2001-01-16,sz.000007,12.8200,13.3000,12.8100,13.2600,12.8200,655159,8566277.8500,3,0.823468,1,3.432142,7.303881,-61.190341,29.290143,-186.440284,0,3.43213728549141
2001-01-17,sz.000007,13.2600,13.5200,13.2600,13.3200,13.2600,533531,7147257.3200,3,0.670594,1,0.452485,7.336930,-61.467221,29.422677,-187.283905,0,0.4524886877828038
2001-01-18,sz.000007,13.2400,13.2500,12.5100,12.8600,13.3200,1880016,24104878.7700,3,2.362988,1,-3.453454,7.083552,-59.344479,28.406579,-180.816143,0,-3.453453453453459
2001-01-19,sz.000007,12.8700,12.9500,12.7500,12.8900,12.8600,862544,11086943.9300,3,1.084130,1,0.233287,7.100077,-59.482919,28.472846,-181.237953,0,0.2332814930015692
