date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000050,25.4600,25.6900,25.0100,25.6000,25.4600,282860,7168633.3400,3,1.679210,1,0.549887,8.471064,111.132475,9.887450,-175.129826,0,
2001-01-03,sz.000050,25.0300,25.4800,24.5800,24.7700,25.6000,763522,18971383.2600,3,4.532679,1,-3.242187,8.196417,107.529352,9.566880,-169.451789,0,-3.2421875000000044
2001-01-04,sz.000050,24.8100,25.7600,24.6100,25.3300,24.7700,1357544,34403421.1700,3,8.059115,1,2.260797,8.381721,109.960375,9.783168,-173.282754,0,2.260799354057319
2001-01-05,sz.000050,25.3300,25.3300,25.3300,25.3300,25.3300,0,0.0000,3,,0,0.000000,8.381721,109.960375,9.783168,-173.282754,0,0.0
2001-01-08,sz.000050,25.3300,25.3300,25.3300,25.3300,25.3300,0,0.0000,3,,0,0.000000,8.381721,109.960375,9.783168,-173.282754,0,0.0
2001-01-09,sz.000050,25.3300,25.3300,25.3300,25.3300,25.3300,0,0.0000,3,,0,0.000000,8.381721,109.960375,9.783168,-173.282754,0,0.0
2001-01-10,sz.000050,25.3300,25.3300,25.3300,25.3300,25.3300,0,0.0000,3,,0,0.000000,8.381721,109.960375,9.783168,-173.282754,0,0.0
2001-01-11,sz.000050,25.2000,25.5000,24.0000,24.1700,25.3300,504004,12396156.7400,3,2.992040,1,-4.579549,7.997876,104.924685,9.335143,-165.347184,0,-4.579549940781669
2001-01-12,sz.000050,24.0000,24.1000,23.2500,23.6800,24.1700,405950,9608940.4900,3,2.409939,1,-2.027306,7.835735,102.797540,9.145891,-161.995089,0,-2.0273065784029876
2001-01-15,sz.000050,23.4500,23.6000,22.7000,22.7800,23.6800,277907,6431070.7200,3,1.649806,1,-3.800674,7.537924,98.890539,8.798285,-155.838181,0,-3.8006756756756688
2001-01-16,sz.000050,22.8000,23.4500,22.6100,23.2900,22.7800,223923,5143405.0400,3,1.329328,1,2.238807,7.706683,101.104506,8.995262,-159.327096,0,2.238805970149249
2001-01-17,sz.000050,23.4800,23.5800,22.9100,22.9900,23.2900,81845,1887895.5900,3,0.485876,1,-1.288111,7.607413,99.802172,8.879393,-157.274793,0,-1.288106483469298
2001-01-18,sz.000050,22.9100,23.2000,22.7100,22.7300,22.9900,129300,2960508.9600,3,0.767595,1,-1.130928,7.521379,98.673483,8.778974,-155.496131,0,-1.1309264897781612
2001-01-19,sz.000050,22.7500,23.0600,22.7500,22.9300,22.7300,118200,2714882.0500,3,0.701699,1,0.879898,7.587559,99.541705,8.856219,-156.864333,0,0.8798944126704678
2001-02-05,sz.000050,22.8500,23.2300,22.1500,22.1900,22.9300,137420,3077940.6300,3,0.815799,1,-3.227212,7.342692,96.329282,8.570410,-151.801986,0,-3.2272132577409463
2001-02-06,sz.000050,22.1500,22.1900,21.7800,22.1800,22.1900,98210,2158920.1600,3,0.583028,1,-0.045066,7.339383,96.285871,8.566548,-151.733576,0,-0.04506534474989499
2001-02-07,sz.000050,22.2500,22.3300,22.0000,22.1600,22.1800,49541,1095964.8500,3,0.294102,1,-0.090173,7.332765,96.199049,8.558824,-151.596756,0,-0.09017132551848439
2001-02-08,sz.000050,22.0500,22.3200,21.2300,21.4400,22.1600,129124,2798284.8400,3,0.766550,1,-3.249094,7.094516,93.073448,8.280739,-146.671230,0,-3.2490974729241784
