date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000055,20.2900,21.3800,20.2300,20.8800,20.1700,3238016,67576951.0300,3,7.727257,1,3.520075,6.036210,104.447704,14.368237,93.518160,0,
2001-01-03,sz.000055,20.8000,21.2000,20.6200,21.1900,20.8800,1922291,40336516.7700,3,4.587388,1,1.484681,6.125828,105.998413,14.581558,94.906600,0,1.4846743295019227
2001-01-04,sz.000055,21.2000,22.2000,21.2000,21.5500,21.1900,2468147,53792786.8800,3,5.890029,1,1.698908,6.229901,107.799235,14.829286,96.518982,0,1.698914582350164
2001-01-05,sz.000055,21.3000,21.9800,21.1800,21.4100,21.5500,1002462,21548982.7600,3,2.392293,1,-0.649649,6.189428,107.098915,14.732948,95.891945,0,-0.649651972157772
2001-01-08,sz.000055,21.4100,21.5000,20.5000,21.0300,21.4100,1115906,23574328.7700,3,2.663017,1,-1.774868,6.079574,105.198047,14.471457,94.189986,0,-1.7748715553479677
2001-01-09,sz.000055,21.0000,21.2500,20.7600,20.9300,21.0300,507190,10610592.1600,3,1.210367,1,-0.475513,6.050664,104.697819,14.402643,93.742102,0,-0.4755111745126106
2001-01-10,sz.000055,20.9000,21.8100,20.9000,21.8000,20.9300,573866,12273657.0700,3,1.369484,1,4.156708,6.302173,109.049806,15.001320,97.638692,0,4.15671285236503
2001-01-11,sz.000055,20.8100,22.2000,20.8100,21.2500,21.8000,896582,19446736.4400,3,2.139619,1,-2.522932,6.143173,106.298550,14.622846,95.175331,0,-2.5229357798165153
2001-01-12,sz.000055,21.2000,21.4600,20.9000,21.0000,21.2500,526900,11142371.7800,3,1.257403,1,-1.176471,6.070901,105.047979,14.450813,94.055621,0,-1.17647058823529
2001-01-15,sz.000055,20.8500,20.9000,20.0000,20.0400,21.0000,763445,15563470.8200,3,1.821898,1,-4.571424,5.793374,100.245785,13.790204,89.755935,0,-4.571428571428571
2001-01-16,sz.000055,20.0400,20.3000,19.7900,20.1600,20.0400,414955,8302512.4000,3,0.990256,1,0.598797,5.828065,100.846059,13.872780,90.293396,0,0.5988023952095967
2001-01-17,sz.000055,20.3000,20.3500,19.9000,20.0000,20.1600,319103,6390356.6500,3,0.761513,1,-0.793650,5.781810,100.045694,13.762679,89.576782,0,-0.7936507936507908
2001-01-18,sz.000055,20.0000,20.1500,19.9000,20.0900,20.0000,246997,4947920.3400,3,0.589438,1,0.450001,5.807828,100.495900,13.824611,89.979877,0,0.44999999999999485
2001-01-19,sz.000055,20.2000,20.6500,20.2000,20.5600,20.0900,345262,7059832.2900,3,0.823939,1,2.339469,5.943701,102.846973,14.148034,92.084932,0,2.3394723743155765
2001-02-05,sz.000055,20.5600,20.7800,19.5000,19.6200,20.5600,404355,8020056.7000,3,0.964960,1,-4.571978,5.671956,98.144826,13.501188,87.874823,0,-4.571984435797649
2001-02-06,sz.000055,19.0000,19.0000,17.8500,18.1800,19.6200,386600,7039585.0000,3,0.922589,1,-7.339452,5.255666,90.941536,12.510275,81.425295,0,-7.339449541284415
2001-02-07,sz.000055,18.1500,18.3500,17.5500,17.8800,18.1800,361268,6449299.1200,3,0.862136,1,-1.650171,5.168938,89.440850,12.303835,80.081643,0,-1.650165016501659
2001-02-08,sz.000055,17.8000,17.8700,17.1100,17.1500,17.8800,240361,4223662.3500,3,0.573602,1,-4.082772,4.957902,85.789183,11.801497,76.812090,0,-4.082774049217008
2001-02-09,sz.000055,17.1000,17.9500,17.1000,17.5800,17.1500,188614,3303047.0700,3,0.450112,1,2.507290,5.082211,87.940165,12.097395,78.737991,0,2.507288629737614
2001-02-12,sz.000055,17.5500,17.5500,16.4000,17.1500,17.5800,481168,8114246.0900,3,1.148268,1,-2.445963,4.957902,85.789183,11.801497,76.812090,0,-2.4459613196814556
2001-02-13,sz.000055,17.0500,17.3500,17.0500,17.1800,17.1500,191255,3295048.9500,3,0.456414,1,0.174931,4.966575,85.939251,11.822141,76.946456,0,0.1749271137026387
2001-02-14,sz.000055,17.3000,17.3200,17.1000,17.2600,17.1800,72866,1255271.7200,3,0.173889,1,0.465657,4.989702,86.339434,11.877192,77.304763,0,0.465657741559955
2001-02-15,sz.000055,17.2600,17.3800,16.8000,16.8900,17.2600,227650,3871525.4900,3,0.543268,1,-2.143690,4.882739,84.488589,11.622582,75.647592,0,-2.1436848203939762
2001-02-16,sz.000055,16.6600,17.2800,16.6000,17.2200,16.8900,129966,2185095.4700,3,0.310153,1,1.953818,4.978139,86.139342,11.849666,77.125609,0,1.9538188277086865
2001-02-19,sz.000055,17.0000,17.5600,17.0000,17.4500,17.2200,143663,2480673.4100,3,0.342840,1,1.335665,5.044629,87.289868,12.007937,78.155742,0,1.3356562137049943
2001-02-20,sz.000055,17.5000,17.6000,16.8800,16.9800,17.4500,406920,6982548.2300,3,0.971081,1,-2.693417,4.908757,84.938794,11.684514,76.050688,0,-2.693409742120334
2001-02-21,sz.000055,16.8500,16.8500,15.3000,15.6000,16.9800,1114200,17705030.1000,3,2.658946,1,-8.127204,4.509812,78.035641,10.734889,69.869890,0,-8.127208480565374
2001-02-22,sz.000055,15.5000,15.8500,15.3000,15.6500,15.6000,352602,5511936.1600,3,0.841456,1,0.320508,4.524267,78.285756,10.769296,70.093832,0,0.3205128205128194
2001-02-23,sz.000055,15.8000,16.1600,15.5600,16.1200,15.6500,265802,4188226.8400,3,0.634314,1,3.003203,4.660139,80.636829,11.092719,72.198886,0,3.0031948881789283
2001-02-26,sz.000055,16.0000,16.5500,15.8800,16.5300,16.1200,261942,4248241.8400,3,0.625103,1,2.543423,4.791605,70.699855,11.354749,-168.313007,0,2.5434243176178706
2001-02-27,sz.000055,16.4800,16.7600,16.2000,16.7300,16.5300,376701,6196860.0600,3,0.898966,1,1.209914,4.849579,71.555267,11.492132,-170.349462,0,1.2099213551119092
2001-02-28,sz.000055,16.7300,16.7800,16.2800,16.4900,16.7300,194000,3189869.8200,3,0.462965,1,-1.434547,4.780010,70.528772,11.327272,-167.905716,0,-1.4345487148834546
2001-03-01,sz.000055,16.4200,16.5000,16.1500,16.3000,16.4900,173610,2834862.0200,3,0.414306,1,-1.152217,4.724934,69.716130,11.196758,-165.971084,0,-1.1522134627046543
2001-03-02,sz.000055,16.2000,16.6500,16.2000,16.4500,16.3000,235817,3871642.5400,3,0.562758,1,0.920255,4.768415,70.357689,11.299795,-167.498425,0,0.9202453987730008
2001-03-05,sz.000055,16.5000,16.5300,16.1500,16.2000,16.4500,178980,2916492.4500,3,0.427121,1,-1.519757,4.695947,69.288424,11.128066,-164.952856,0,-1.5197568389057725
2001-03-06,sz.000055,16.1000,16.1000,15.8100,15.9200,16.2000,208995,3333721.4300,3,0.498749,1,-1.728399,4.614782,68.090846,10.935729,-162.101819,0,-1.7283950617283939
2001-03-07,sz.000055,16.1900,16.3000,16.0000,16.2000,15.9200,260068,4210736.1600,3,0.620631,1,1.758798,4.695947,69.288424,11.128066,-164.952856,0,1.7587939698492372
2001-03-08,sz.000055,16.2000,16.2000,16.2000,16.2000,16.2000,0,0.0000,3,,0,0.000000,4.695947,69.288424,11.128066,-164.952856,0,0.0
2001-03-09,sz.000055,16.4100,17.1000,16.3500,16.8500,16.2000,470791,7933514.8600,3,1.123504,1,4.012343,4.884364,72.068515,11.574562,-171.571335,0,4.0123456790123635
2001-03-12,sz.000055,16.9000,17.0000,16.5000,16.5200,16.8500,281050,4685070.4200,3,0.670703,1,-1.958456,4.788706,70.657084,11.347879,-168.211185,0,-1.9584569732937762
2001-03-13,sz.000055,16.5000,16.5200,16.2600,16.2900,16.5200,228485,3729125.4700,3,0.545261,1,-1.392249,4.722035,69.673359,11.189888,-165.869261,0,-1.3922518159806274
2001-03-14,sz.000055,16.2800,16.5000,16.2800,16.3900,16.2900,138514,2267340.8700,3,0.330552,1,0.613864,4.751022,70.101066,11.258580,-166.887489,0,0.6138735420503361
2001-03-15,sz.000055,16.4000,16.8000,16.4000,16.7900,16.3900,237989,3940171.6300,3,0.567941,1,2.440522,4.866972,71.811891,11.533347,-170.960399,0,2.440512507626602
2001-03-16,sz.000055,16.7900,16.8000,16.5300,16.6700,16.7900,146427,2435994.5500,3,0.349436,1,-0.714716,4.832187,71.298643,11.450917,-169.738526,0,-0.7147111375818804
2001-03-19,sz.000055,16.5500,17.0800,16.3000,17.0000,16.6700,395167,6639030.6500,3,0.943033,1,1.979604,4.927845,72.710074,11.677600,-173.098677,0,1.9796040791841607
2001-03-20,sz.000055,17.0200,17.3500,17.0200,17.2000,17.0000,413925,7113045.5200,3,0.987798,1,1.176475,4.985820,73.565487,11.814983,-175.135132,0,1.17647058823529
2001-03-21,sz.000055,17.2500,17.3200,17.1100,17.3000,17.2000,287926,4963167.3600,3,0.687112,1,0.581386,5.014807,73.993193,11.883675,-176.153359,0,0.5813953488372103
2001-03-22,sz.000055,17.4500,17.6100,17.2600,17.6000,17.3000,554518,9671795.1700,3,1.323311,1,1.734111,5.101769,75.276312,12.089750,-179.208042,0,1.7341040462427681
2001-03-23,sz.000055,17.6500,17.7800,16.9800,17.0100,17.6000,453000,7831612.1100,3,1.081047,1,-3.352274,4.930744,72.752845,11.684469,-173.200499,0,-3.3522727272727315
2001-03-26,sz.000055,17.0000,17.3600,16.9600,17.2500,17.0100,237930,4095421.8000,3,0.567800,1,1.410933,5.000313,73.779340,11.849329,-175.644245,0,1.4109347442680775
2001-03-27,sz.000055,17.3500,17.6000,17.2500,17.3800,17.2500,299744,5208419.1200,3,0.715314,1,0.753618,5.037997,74.335358,11.938629,-176.967941,0,0.7536231884057942
2001-03-28,sz.000055,17.3800,17.3800,17.3800,17.3800,17.3800,0,0.0000,3,,0,0.000000,5.037997,74.335358,11.938629,-176.967941,0,0.0
2001-03-29,sz.000055,17.3000,17.3000,17.0000,17.1500,17.3800,242119,4144389.2100,3,0.577797,1,-1.323358,4.971326,73.351634,11.780637,-174.626018,0,-1.3233601841196818
2001-03-30,sz.000055,17.0000,17.2700,17.0000,17.1700,17.1500,200158,3421239.1300,3,0.477661,1,0.116621,4.977124,73.437175,11.794376,-174.829663,0,0.11661807580176653
2001-04-02,sz.000055,17.0000,17.1600,16.9500,17.1200,17.1700,351731,5988986.7300,3,0.839377,1,-0.291201,4.962630,73.223322,11.760030,-174.320550,0,-0.2912055911473588
2001-04-03,sz.000055,17.1000,17.7700,17.1000,17.6000,17.1200,579885,10170683.3600,3,1.383848,1,2.803735,5.101769,75.276312,12.089750,-179.208042,0,2.8037383177570208
2001-04-04,sz.000055,17.5900,17.7800,17.2000,17.2700,17.6000,384700,6749540.7000,3,0.918055,1,-1.875000,5.006111,73.864881,11.863068,-175.847891,0,-1.8750000000000155
