date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000099,24.4100,24.9800,24.3000,24.8400,24.3100,635472,15727832.9200,3,1.059120,1,2.180176,19.624491,98.621105,17.615108,84.102683,0,
2001-01-03,sz.000099,24.8000,25.1300,24.7500,24.9800,24.8400,841163,20999107.2500,3,1.401938,1,0.563605,19.735096,99.176941,17.714388,84.576692,0,0.5636070853462183
2001-01-04,sz.000099,25.0000,25.5200,24.8500,25.3600,24.9800,960509,24186798.2000,3,1.600848,1,1.521221,20.035310,100.685637,17.983862,85.863287,0,1.5212169735788539
2001-01-05,sz.000099,25.3600,25.4900,25.0100,25.0600,25.3600,650130,16444660.2900,3,1.083550,1,-1.182970,19.798299,99.494561,17.771119,84.847554,0,-1.1829652996845463
2001-01-08,sz.000099,25.1000,25.3100,24.3000,24.4400,25.0600,895553,22013552.1800,3,1.492588,1,-2.474058,19.308477,97.033003,17.331451,82.748373,0,-2.474062250598552
2001-01-09,sz.000099,24.3400,24.6600,24.1900,24.4000,24.4400,780472,18981619.6100,3,1.300787,1,-0.163670,19.276875,96.874193,17.303085,82.612942,0,-0.16366612111293755
2001-01-10,sz.000099,24.4500,24.7500,24.4500,24.6400,24.4000,423675,10427120.9900,3,0.706125,1,0.983606,19.466484,97.827054,17.473279,83.425528,0,0.9836065573770592
2001-01-11,sz.000099,24.7000,24.8500,24.1000,24.1900,24.6400,700803,17062543.9800,3,1.168005,1,-1.826294,19.110968,96.040440,17.154165,81.901929,0,-1.8262987012987009
2001-01-12,sz.000099,24.2000,24.3100,23.8800,24.0000,24.1900,850582,20458384.9800,3,1.417637,1,-0.785451,18.960861,95.286092,17.019428,81.258631,0,-0.7854485324514271
2001-01-15,sz.000099,23.9000,23.9000,22.8000,22.8400,24.0000,1357529,31511689.6600,3,2.262548,1,-4.833333,18.044419,90.680597,16.196822,77.331131,0,-4.833333333333334
2001-01-16,sz.000099,22.5500,23.0800,22.3000,22.9200,22.8400,924348,20937330.3700,3,1.540580,1,0.350262,18.107622,90.998218,16.253554,77.601993,0,0.3502626970227851
2001-01-17,sz.000099,22.9200,23.4000,22.7500,22.9900,22.9200,465799,10740625.0000,3,0.776332,1,0.305409,18.162925,91.276135,16.303194,77.838997,0,0.3054101221640293
2001-01-18,sz.000099,22.9900,23.3500,22.9900,23.1100,22.9900,353971,8192750.4000,3,0.589952,1,0.521970,18.257729,91.752566,16.388291,78.245290,0,0.5219660722053154
2001-01-19,sz.000099,23.1200,23.7500,23.1000,23.7300,23.1100,621942,14562352.0400,3,1.036570,1,2.682817,18.747551,94.214123,16.827959,80.344471,0,2.682821289485071
2001-02-05,sz.000099,23.7200,23.7200,22.5500,22.5600,23.7300,571900,13128253.0300,3,0.953167,1,-4.930468,17.823209,89.568926,15.998262,76.383113,0,-4.930467762326174
2001-02-06,sz.000099,22.3800,22.4000,21.5100,22.2200,22.5600,481758,10623881.0400,3,0.802930,1,-1.507093,17.554597,88.219040,15.757154,75.231949,0,-1.507092198581561
2001-02-07,sz.000099,22.2000,22.3800,21.8200,21.9700,22.2200,184018,4053471.1000,3,0.306697,1,-1.125113,17.357088,87.226477,15.579868,74.385505,0,-1.125112511251125
2001-02-08,sz.000099,21.9000,22.0000,20.5800,20.8000,21.9700,574500,12259994.0200,3,0.957500,1,-5.325444,16.432746,82.581280,14.750171,70.424147,0,-5.325443786982243
2001-02-09,sz.000099,21.0000,21.5000,20.8500,21.3800,20.8000,432114,9126869.5000,3,0.720190,1,2.788461,16.890967,84.884027,15.161474,72.387897,0,2.7884615384615286
2001-02-12,sz.000099,21.3800,21.4900,20.9800,21.3000,21.3800,192397,4071337.3000,3,0.320662,1,-0.374181,16.827764,84.566406,15.104742,72.117035,0,-0.3741814780168329
2001-02-13,sz.000099,21.3300,21.4600,21.1300,21.1400,21.3000,254550,5414278.5000,3,0.424250,1,-0.751173,16.701358,83.931166,14.991279,71.575311,0,-0.7511737089201831
2001-02-14,sz.000099,21.2000,21.4100,21.0000,21.2100,21.1400,209701,4432067.0600,3,0.349502,1,0.331124,16.756661,84.209084,15.040919,71.812315,0,0.3311258278145601
2001-02-15,sz.000099,21.2500,21.4000,21.1000,21.1900,21.2100,117400,2493357.3100,3,0.195667,1,-0.094288,16.740860,84.129679,15.026737,71.744600,0,-0.09429514380009385
2001-02-16,sz.000099,21.1000,21.1800,20.5500,21.1400,21.1900,408152,8510266.2700,3,0.680253,1,-0.235966,16.701358,83.931166,14.991279,71.575311,0,-0.23596035865974807
2001-02-19,sz.000099,21.1500,21.6200,21.0000,21.6000,21.1400,173821,3715274.4600,3,0.289702,1,2.175974,17.064775,85.757483,15.317485,73.132768,0,2.1759697256386046
2001-02-20,sz.000099,21.6100,21.9600,21.3100,21.3500,21.6000,289140,6246496.4000,3,0.481900,1,-1.157407,16.867266,84.764919,15.140199,72.286324,0,-1.157407407407407
2001-02-21,sz.000099,21.3500,21.3500,20.8000,21.0000,21.3500,281185,5911479.8200,3,0.468642,1,-1.639346,16.590753,83.375330,14.891999,71.101302,0,-1.6393442622950838
2001-02-22,sz.000099,20.9200,21.4200,20.9200,21.0500,21.0000,150502,3189869.1400,3,0.250837,1,0.238092,16.630255,83.573843,14.927457,71.270591,0,0.23809523809523725
