date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000596,28.6800,29.3900,28.6100,29.1400,28.7000,806263,23443201.5800,3,4.031315,1,1.533096,6.284807,53.566847,8.171371,-88.936122,0,
2001-01-03,sz.000596,29.2000,29.6500,28.6100,28.8800,29.1400,535971,15600598.4500,3,2.679855,1,-0.892245,6.228731,53.088900,8.098463,-88.142594,0,-0.8922443376801703
2001-01-04,sz.000596,28.9000,29.0500,28.0100,28.5000,28.8800,945850,26978955.5200,3,4.729250,1,-1.315787,6.146774,52.390362,7.991904,-86.982823,0,-1.3157894736842035
2001-01-05,sz.000596,28.7000,28.7000,27.5500,27.9200,28.5000,744102,20738797.9200,3,3.720510,1,-2.035088,6.021682,51.324172,7.829262,-85.212647,0,-2.035087719298234
2001-01-08,sz.000596,27.8000,28.1600,27.3000,27.6600,27.9200,251594,6940308.8500,3,1.257970,1,-0.931233,5.965606,50.846225,7.756353,-84.419119,0,-0.9312320916905481
2001-01-09,sz.000596,27.7000,28.4800,27.2000,27.2500,27.6600,461200,12840331.7400,3,2.306000,1,-1.482284,5.877179,50.092539,7.641382,-83.167787,0,-1.4822848879248007
2001-01-10,sz.000596,27.3000,27.7000,26.8600,27.1900,27.2500,778768,21236477.3800,3,3.893840,1,-0.220182,5.864238,49.982243,7.624557,-82.984665,0,-0.22018348623852324
2001-01-11,sz.000596,27.2000,27.5500,26.9300,27.0000,27.1900,531750,14406959.7500,3,2.658750,1,-0.698788,5.823260,49.632974,7.571277,-82.404780,0,-0.6987863184994558
2001-01-12,sz.000596,27.0000,27.7700,26.9100,27.7300,27.0000,656587,17904518.4800,3,3.282935,1,2.703702,5.980703,50.974903,7.775982,-84.632761,0,2.703703703703697
2001-01-15,sz.000596,27.8500,27.8500,25.3600,26.6100,27.7300,419220,11306951.6800,3,2.096100,1,-4.038943,5.739146,48.916054,7.461915,-81.214489,0,-4.038946988820779
2001-01-16,sz.000596,26.6100,27.0800,26.3600,26.8100,26.6100,434294,11604216.8200,3,2.171470,1,0.751593,5.782281,49.283705,7.517998,-81.824894,0,0.7515971439308489
2001-01-17,sz.000596,26.7100,26.8200,26.2000,26.4000,26.8100,173250,4575702.0200,3,0.866250,1,-1.529280,5.693854,48.530019,7.403027,-80.573563,0,-1.5292801193584449
2001-01-18,sz.000596,26.3500,27.5000,25.8000,25.9300,26.4000,431950,11394402.9000,3,2.159750,1,-1.780300,5.592486,47.666038,7.271231,-79.139109,0,-1.780303030303021
2001-01-19,sz.000596,25.8000,26.4000,25.8000,26.1200,25.9300,180701,4703736.7000,3,0.903505,1,0.732744,5.633465,48.015307,7.324510,-79.718995,0,0.7327419976860927
2001-02-05,sz.000596,26.1600,26.5000,25.9100,25.9900,26.1200,152900,3996308.0000,3,0.764500,1,-0.497707,5.605427,47.776333,7.288056,-79.322231,0,-0.4977029096477903
2001-02-06,sz.000596,25.9900,26.1300,25.8100,25.9300,25.9900,219200,5686818.7500,3,1.096000,1,-0.230856,5.592486,47.666038,7.271231,-79.139109,0,-0.2308580223162715
2001-02-07,sz.000596,26.0000,26.4000,25.9500,26.0400,25.9300,118300,3094219.1800,3,0.591500,1,0.424221,5.616210,47.868246,7.302076,-79.474832,0,0.4242190512919297
2001-02-08,sz.000596,26.0500,26.3300,25.9200,26.0900,26.0400,306278,8010052.2500,3,1.531390,1,0.192009,5.626994,47.960159,7.316097,-79.627434,0,0.19201228878649168
2001-02-09,sz.000596,26.0700,26.3500,25.9800,26.1100,26.0900,259901,6773011.0600,3,1.299505,1,0.076659,5.631308,47.996924,7.321706,-79.688474,0,0.07665772326561626
2001-02-12,sz.000596,26.1100,26.4900,26.0000,26.4800,26.1100,393681,10357491.4100,3,1.968405,1,1.417077,5.711108,48.677080,7.425460,-80.817725,0,1.417081577939494
2001-02-13,sz.000596,26.4900,26.5600,26.3000,26.4900,26.4800,210990,5581930.7000,3,1.054950,1,0.037765,5.713265,48.695463,7.428264,-80.848245,0,0.03776435045317328
2001-02-14,sz.000596,26.4900,26.6900,26.3000,26.6500,26.4900,584354,15525621.7500,3,2.921770,1,0.604001,5.747773,48.989584,7.473131,-81.336570,0,0.604001510003771
2001-02-15,sz.000596,26.4800,26.6400,25.6000,25.6100,26.6500,384376,10041621.4500,3,1.921880,1,-3.902435,5.386924,40.899879,6.571994,-184.005361,0,-3.9024390243902363
2001-02-16,sz.000596,25.4900,25.5800,23.7800,24.8000,25.6100,513624,12593290.2600,3,2.568120,1,-3.162832,5.216545,39.606286,6.364134,-178.185590,0,-3.162827020695036
2001-02-19,sz.000596,24.7000,26.0000,24.2000,25.4000,24.8000,528739,13068295.2000,3,2.643695,1,2.419356,5.342752,40.564503,6.518105,-182.496531,0,2.4193548387096753
2001-02-20,sz.000596,25.9900,25.9900,24.5200,25.2900,25.4000,401800,10080799.8900,3,2.009000,1,-0.433066,5.319614,40.388830,6.489877,-181.706192,0,-0.4330708661417271
2001-02-21,sz.000596,25.0000,25.0000,24.0100,24.5300,25.2900,373314,9102286.0000,3,1.866570,1,-3.005141,5.159752,39.175089,6.294847,-176.245666,0,-3.0051403716884084
2001-02-22,sz.000596,24.5000,24.5000,23.8500,24.0000,24.5300,227710,5478540.2000,3,1.138550,1,-2.160622,5.048269,38.328664,6.158839,-172.437667,0,-2.1606196494088903
