date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000619,25.6100,25.7000,25.3000,25.6200,25.6000,461381,11754876.8000,3,0.905468,1,0.078127,18.837609,62.009628,14.469970,-948.898865,0,
2001-01-03,sz.000619,25.5000,25.6700,25.4800,25.6600,25.6200,328490,8397621.1900,3,0.644667,1,0.156124,18.867020,62.106442,14.492562,-950.380362,0,0.15612802498048417
2001-01-04,sz.000619,25.6000,25.7500,25.3900,25.6800,25.6600,437260,11178136.0000,3,0.858130,1,0.077944,18.881726,62.154849,14.503858,-951.121111,0,0.0779423226812126
2001-01-05,sz.000619,25.6000,25.6800,25.5500,25.6800,25.6800,392860,10069493.2000,3,0.770994,1,0.000000,18.881726,62.154849,14.503858,-951.121111,0,0.0
2001-01-08,sz.000619,25.6500,25.6500,25.4000,25.5600,25.6800,145050,3704551.7000,3,0.284663,1,-0.467293,18.793493,61.864406,14.436083,-946.676620,0,-0.4672897196261738
2001-01-09,sz.000619,25.5900,25.7800,25.5000,25.7800,25.5600,212288,5443037.0800,3,0.416619,1,0.860725,18.955253,62.396885,14.560337,-954.824853,0,0.8607198748043832
2001-01-10,sz.000619,25.7500,25.8400,25.7000,25.8100,25.7800,153150,3950616.0000,3,0.300559,1,0.116364,18.977311,62.469496,14.577281,-955.935976,0,0.11636927851046419
2001-01-11,sz.000619,25.8800,25.9400,25.8000,25.9400,25.8100,211510,5472854.5000,3,0.415092,1,0.503685,19.072896,62.784143,14.650704,-960.750842,0,0.5036807438977275
2001-01-12,sz.000619,25.9400,25.9400,25.7300,25.8100,25.9400,113100,2918102.9000,3,0.221961,1,-0.501161,18.977311,62.469496,14.577281,-955.935976,0,-0.5011565150347064
2001-01-15,sz.000619,25.7800,25.8300,25.6000,25.8300,25.8100,239362,6160275.3600,3,0.469752,1,0.077491,18.992016,62.517903,14.588577,-956.676725,0,0.07748934521503159
2001-01-16,sz.000619,25.9800,25.9800,25.7000,25.8400,25.8300,118648,3055973.6000,3,0.232849,1,0.038716,18.999369,62.542107,14.594225,-957.047099,0,0.03871467286102881
2001-01-17,sz.000619,25.8000,25.9200,25.8000,25.8500,25.8400,75200,1945652.0000,3,0.147581,1,0.038701,19.006722,62.566311,14.599873,-957.417473,0,0.03869969040248833
