date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000667,12.2600,12.4900,12.2500,12.4100,12.2500,542111,6704054.0000,3,0.855297,1,1.306121,6.190690,2202.946163,24.783530,-43.632120,0,
2001-01-03,sz.000667,12.5100,12.7600,12.3000,12.6000,12.4100,1325427,16612011.3700,3,2.091147,1,1.531028,6.285471,2236.673784,25.162972,-44.300138,0,1.5310233682514163
2001-01-04,sz.000667,12.6500,12.6500,12.4000,12.4000,12.6000,761944,9514614.9800,3,1.202131,1,-1.587308,6.185702,2201.171025,24.763560,-43.596961,0,-1.5873015873015817
2001-01-05,sz.000667,12.3700,12.9800,12.3700,12.8000,12.4000,1420476,18011989.7300,3,2.241108,1,3.225811,6.385241,2272.176542,25.562384,-45.003315,0,3.2258064516129004
2001-01-08,sz.000667,12.8600,13.2800,12.5000,13.2100,12.8000,1740629,22415713.0400,3,2.746218,1,3.203124,6.589768,2344.957197,26.381179,-46.444827,0,3.2031249999999956
2001-01-09,sz.000667,13.0700,13.1500,12.5000,12.6800,13.2100,1620380,20785301.5800,3,2.556500,1,-4.012110,6.325379,2250.874887,25.322737,-44.581409,0,-4.012112036336113
2001-01-10,sz.000667,12.6800,12.9800,12.6500,12.7600,12.6800,679863,8710308.2700,3,1.072631,1,0.630914,6.365287,2265.075991,25.482502,-44.862680,0,0.6309148264984188
2001-01-11,sz.000667,12.8000,12.9800,12.6000,12.6300,12.7600,827653,10565679.4000,3,1.305801,1,-1.018810,6.300437,2241.999198,25.222884,-44.405615,0,-1.0188087774294585
2001-01-12,sz.000667,12.6300,12.7300,12.4100,12.4500,12.6300,494548,6191947.6200,3,0.780256,1,-1.425181,6.210644,2210.046715,24.863413,-43.772756,0,-1.4251781472684244
2001-01-15,sz.000667,12.4100,12.4200,11.7500,11.9800,12.4500,665131,8061282.1000,3,1.049388,1,-3.775103,5.976186,2126.615233,23.924794,-42.120290,0,-3.7751004016064127
2001-01-16,sz.000667,11.9000,12.2000,11.8000,12.1300,11.9800,346850,4162452.1600,3,0.547231,1,1.252092,6.051013,2153.242301,24.224353,-42.647673,0,1.2520868113522488
2001-01-17,sz.000667,12.0200,12.2200,12.0000,12.1000,12.1300,244712,2958659.1400,3,0.386086,1,-0.247318,6.036048,2147.916888,24.164441,-42.542196,0,-0.2473206924979432
2001-01-18,sz.000667,12.2000,12.9000,12.1000,12.3600,12.1000,2468205,30666540.1900,3,3.894127,1,2.148754,6.165748,2194.070474,24.683677,-43.456326,0,2.148760330578514
2001-01-19,sz.000667,12.4000,12.4900,12.3200,12.3900,12.3600,315300,3907312.5000,3,0.497454,1,0.242724,6.180713,2199.395887,24.743589,-43.561802,0,0.24271844660195274
2001-02-05,sz.000667,12.3800,12.5000,12.0800,12.1300,12.3900,328200,4036945.7400,3,0.517806,1,-2.098468,6.051013,2153.242301,24.224353,-42.647673,0,-2.098466505246166
2001-02-06,sz.000667,11.9400,12.1600,11.8600,12.0300,12.1300,241251,2884881.7500,3,0.380626,1,-0.824405,6.001129,2135.490922,24.024647,-42.296084,0,-0.8244023083264773
2001-02-07,sz.000667,12.0500,12.1500,11.6500,11.7100,12.0300,485329,5736960.4900,3,0.765711,1,-2.660014,5.841498,2078.686509,23.385587,-41.171001,0,-2.6600166251038893
2001-02-08,sz.000667,11.7000,11.8500,11.0000,11.0300,11.7100,583641,6645509.6600,3,0.920820,1,-5.807005,5.502282,1957.977130,22.027586,-38.780200,0,-5.807002561912911
2001-02-09,sz.000667,11.1000,11.5000,11.1000,11.4400,11.0300,358292,4065016.4800,3,0.565283,1,3.717134,5.706809,2030.757785,22.846381,-40.221713,0,3.717135086128742
2001-02-12,sz.000667,11.4000,11.4400,11.1000,11.4100,11.4400,285026,3205381.7100,3,0.449690,1,-0.262235,5.691843,2025.432371,22.786469,-40.116236,0,-0.2622377622377603
2001-02-13,sz.000667,11.5000,11.5900,11.3800,11.4400,11.4100,289250,3321215.8000,3,0.456354,1,0.262925,5.706809,2030.757785,22.846381,-40.221713,0,0.2629272567922891
2001-02-14,sz.000667,11.4400,11.5900,11.3800,11.4500,11.4400,108291,1237780.2700,3,0.170852,1,0.087415,5.711797,2032.532923,22.866351,-40.256872,0,0.08741258741258306
2001-02-15,sz.000667,11.5800,11.5800,11.2000,11.4400,11.4500,194089,2201169.1500,3,0.306217,1,-0.087338,5.706809,2030.757785,22.846381,-40.221713,0,-0.08733624454148048
2001-02-16,sz.000667,11.3000,11.5000,11.0100,11.2300,11.4400,369840,4158514.5000,3,0.583503,1,-1.835665,5.602051,1993.479888,22.426998,-39.483377,0,-1.8356643356643332
2001-02-19,sz.000667,11.2300,11.4500,11.2000,11.4300,11.2300,190600,2158021.0000,3,0.300713,1,1.780951,5.701820,2028.982647,22.826410,-40.186554,0,1.780943900267129
2001-02-20,sz.000667,11.5000,11.5000,11.2000,11.2700,11.4300,224900,2545548.0000,3,0.354828,1,-1.399824,5.622005,2000.580440,22.506880,-39.624012,0,-1.3998250218722696
2001-02-21,sz.000667,11.2700,11.3500,10.8500,10.8800,11.2700,440200,4840736.0000,3,0.694511,1,-3.460517,5.427455,1931.350061,21.728027,-38.252818,0,-3.4605146406388565
2001-02-22,sz.000667,10.8100,10.9500,10.4500,10.4700,10.8800,361690,3866996.1000,3,0.570644,1,-3.768381,5.222927,1858.569406,20.909231,-36.811305,0,-3.7683823529411797
2001-02-23,sz.000667,10.5000,10.6300,10.1200,10.3200,10.4700,450888,4674449.5000,3,0.711373,1,-1.432670,5.148100,1831.942337,20.609672,-36.283923,0,-1.4326647564469996
2001-02-26,sz.000667,10.3200,10.7000,10.3000,10.6000,10.3200,234953,2478029.2000,3,0.370689,1,2.713185,5.287777,1881.646199,21.168849,-37.268370,0,2.7131782945736482
2001-02-27,sz.000667,10.6100,10.7000,10.5100,10.6000,10.6000,262857,2788378.7200,3,0.414714,1,0.000000,5.287777,1881.646199,21.168849,-37.268370,0,0.0
2001-02-28,sz.000667,10.6000,10.6800,10.4000,10.6100,10.6000,184956,1948029.9500,3,0.291808,1,0.094333,5.292766,1883.421337,21.188820,-37.303529,0,0.09433962264151496
