date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000688,17.5500,17.7000,17.4000,17.6900,17.5700,214690,3777551.0000,3,0.213758,1,0.682987,7.840728,50.230953,18.236780,22.799267,0,
2001-01-03,sz.000688,17.7800,17.9800,17.6100,17.9100,17.6900,285443,5067481.4600,3,0.284204,1,1.243637,7.938239,50.855645,18.463580,23.082808,0,1.2436404748445318
2001-01-04,sz.000688,17.9500,18.1000,17.8000,18.0300,17.9100,321116,5772287.6800,3,0.319722,1,0.670022,7.991426,51.196386,18.587289,23.237467,0,0.670016750418756
2001-01-05,sz.000688,18.1000,18.4000,17.6000,17.7200,18.0300,348810,6253974.6000,3,0.347296,1,-1.719364,7.854025,50.316138,18.267708,22.837932,0,-1.7193566278424943
2001-01-08,sz.000688,17.8000,17.8000,17.0000,17.0800,17.7200,624707,10713102.0300,3,0.621995,1,-3.611735,7.570358,48.498851,17.607926,22.013086,0,-3.6117381489842004
2001-01-09,sz.000688,17.1000,17.3000,17.0000,17.1600,17.0800,465813,7958777.2000,3,0.463791,1,0.468384,7.605817,48.726012,17.690399,22.116192,0,0.4683840749414525
2001-01-10,sz.000688,17.1500,17.3000,17.0200,17.0600,17.1600,345857,5916982.1700,3,0.344356,1,-0.582753,7.561494,48.442060,17.587308,21.987309,0,-0.5827505827505908
2001-01-11,sz.000688,17.0700,17.2000,16.5000,16.7900,17.0600,757901,12755081.7500,3,0.754611,1,-1.582641,7.441822,47.675392,17.308962,21.639327,0,-1.5826494724501705
2001-01-12,sz.000688,16.7800,17.1700,16.5000,17.0000,16.7900,399660,6705542.9000,3,0.397925,1,1.250739,7.534900,48.271690,17.525453,21.909980,0,1.2507444907683185
2001-01-15,sz.000688,16.7200,17.0000,16.7000,16.8100,17.0000,463475,7788815.9900,3,0.461463,1,-1.117650,7.450686,47.732183,17.329580,21.665104,0,-1.1176470588235343
2001-01-16,sz.000688,16.7000,16.8500,16.4000,16.5800,16.8100,531958,8815755.3500,3,0.529649,1,-1.368230,7.348744,47.079095,17.092471,21.368675,0,-1.3682331945270687
2001-01-17,sz.000688,16.7800,17.0600,16.4800,16.6000,16.5800,458648,7636131.0100,3,0.456657,1,0.120630,7.357608,47.135885,17.113090,21.394451,0,0.12062726176118588
2001-01-18,sz.000688,16.6700,17.3500,16.6500,17.2500,16.6000,960518,16166454.4800,3,0.956349,1,3.915660,7.645707,48.981568,17.783180,22.232186,0,3.9156626506023917
2001-01-19,sz.000688,17.2900,17.4600,16.9000,17.3400,17.2500,1671286,28811603.0900,3,1.664031,1,0.521740,7.685598,49.237124,17.875962,22.348180,0,0.521739130434784
2001-02-05,sz.000688,17.0700,17.1000,16.5000,16.8700,17.1600,322800,5381359.2000,3,0.247230,1,-1.689971,8.612537,55.175478,20.031933,25.043532,0,-2.7104959630911085
2001-02-06,sz.000688,16.7800,16.9000,16.3200,16.8400,16.8700,295269,4890380.5900,3,0.226144,1,-0.177835,8.597221,55.077359,19.996310,24.998997,0,-0.1778304682869103
2001-02-07,sz.000688,16.7000,16.7000,16.3100,16.4500,16.8400,313500,5142283.0000,3,0.240107,1,-2.315911,8.398117,53.801815,19.533213,24.420042,0,-2.315914489311166
2001-02-08,sz.000688,16.7000,16.8000,16.2500,16.5300,16.4500,202530,3323403.7000,3,0.155116,1,0.486322,8.438959,54.063465,19.628207,24.538802,0,0.4863221884498614
2001-02-09,sz.000688,16.5000,16.7300,16.3200,16.6700,16.5300,453260,7483976.3000,3,0.347148,1,0.846941,8.510432,54.521353,19.794447,24.746632,0,0.8469449485783542
2001-02-12,sz.000688,16.6800,16.7300,16.3500,16.6600,16.6700,495131,8184733.9100,3,0.379217,1,-0.059989,8.505327,54.488646,19.782573,24.731787,0,-0.05998800239952473
2001-02-13,sz.000688,16.6500,16.8200,16.3800,16.4700,16.6600,463150,7638907.5600,3,0.354723,1,-1.140459,8.408327,53.867227,19.556961,24.449732,0,-1.140456182472993
2001-02-14,sz.000688,16.6000,16.7000,16.2800,16.4200,16.4700,316662,5204975.8800,3,0.242529,1,-0.303578,8.382801,53.703696,19.497590,24.375507,0,-0.30358227079536615
2001-02-15,sz.000688,16.3000,16.3900,16.2000,16.2400,16.4200,332430,5404533.9000,3,0.254605,1,-1.096226,8.290907,53.114983,19.283853,24.108297,0,-1.0962241169305886
2001-02-16,sz.000688,16.2600,16.4000,15.8900,16.3600,16.2400,962275,15513653.4600,3,0.736998,1,0.738922,8.352170,53.507458,19.426344,24.286437,0,0.7389162561576512
2001-02-19,sz.000688,16.3500,16.3500,16.0100,16.0900,16.3600,375140,6060731.0500,3,0.287317,1,-1.650370,8.214328,52.624389,19.105738,23.885622,0,-1.6503667481662543
2001-02-20,sz.000688,16.1100,16.3000,16.0500,16.0700,16.0900,123352,1991423.6000,3,0.094474,1,-0.124304,8.204118,52.558977,19.081990,23.855932,0,-0.12430080795524656
