date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000700,19.0000,19.4700,19.0000,19.2100,18.9900,799974,15383893.1600,3,2.076304,1,1.158501,5.777929,53.815251,10.402913,26.001772,0,
2001-01-03,sz.000700,19.2500,19.4000,18.6500,19.2400,19.2100,1386219,26214437.6700,3,3.597882,1,0.156172,5.786952,53.899294,10.419159,26.042379,0,0.1561686621551095
2001-01-04,sz.000700,19.2100,20.2000,18.9800,20.1100,19.2400,1145959,22559778.8300,3,2.974296,1,4.521834,6.048628,56.336528,10.890296,27.219971,0,4.521829521829535
2001-01-05,sz.000700,20.1000,20.4400,19.8400,20.1400,20.1100,906970,18296506.9200,3,2.354008,1,0.149173,6.057652,56.420570,10.906542,27.260578,0,0.1491795126802753
2001-01-08,sz.000700,20.1700,20.2500,19.0000,19.1100,20.1400,1108480,21476177.0000,3,2.877020,1,-5.114195,5.747851,53.535109,10.348759,25.866417,0,-5.1142005958292
2001-01-09,sz.000700,19.1000,19.4000,18.6300,19.1700,19.1100,793267,14996696.8200,3,2.058896,1,0.313969,5.765898,53.703194,10.381252,25.947630,0,0.31397174254317317
2001-01-10,sz.000700,19.0100,19.4500,19.0100,19.2100,19.1700,317930,6119179.9300,3,0.825176,1,0.208654,5.777929,53.815251,10.402913,26.001772,0,0.20865936358893666
2001-01-11,sz.000700,19.2100,19.3300,19.1000,19.1600,19.2100,388348,7450558.6800,3,1.007943,1,-0.260277,5.762890,53.675180,10.375836,25.934095,0,-0.26028110359188616
2001-01-12,sz.000700,19.1600,19.1800,18.6800,18.7000,19.1600,580600,10958750.7400,3,1.506927,1,-2.400830,5.624532,52.386528,10.126729,25.311460,0,-2.4008350730688965
2001-01-15,sz.000700,18.6000,18.6000,17.5200,17.5900,18.7000,1047466,18752579.0400,3,2.718661,1,-5.935832,5.290670,49.276953,9.525624,23.809015,0,-5.935828877005345
2001-01-16,sz.000700,17.4500,18.0800,17.2100,17.8300,17.5900,439454,7747724.5100,3,1.140587,1,1.364410,5.362856,49.949294,9.655593,24.133868,0,1.3644115974985604
2001-01-17,sz.000700,17.8300,18.1000,17.7500,17.9100,17.8300,219692,3943713.6500,3,0.570203,1,0.448682,5.386919,50.173407,9.698916,24.242152,0,0.44868199663490316
2001-01-18,sz.000700,17.9000,18.2500,17.7000,18.1100,17.9100,211185,3822919.1500,3,0.548123,1,1.116699,5.447074,50.733691,9.807223,24.512863,0,1.1166945840312525
2001-01-19,sz.000700,18.0900,18.2900,18.0900,18.2100,18.1100,259013,4717866.4800,3,0.672259,1,0.552173,5.477152,51.013833,9.861377,24.648218,0,0.5521811154058698
2001-02-05,sz.000700,18.2100,18.3000,17.5000,17.5600,18.2100,257687,4574673.8200,3,0.668817,1,-3.569465,5.281647,49.192911,9.509378,23.768408,0,-3.569467325645259
2001-02-06,sz.000700,17.2000,17.4900,17.0200,17.3500,17.5600,284191,4896113.0600,3,0.737608,1,-1.195895,5.218483,48.604613,9.395655,23.484162,0,-1.1958997722095521
2001-02-07,sz.000700,17.5000,17.5800,17.1000,17.1400,17.3500,127650,2203106.2400,3,0.331311,1,-1.210380,5.155320,48.016315,9.281933,23.199916,0,-1.2103746397694626
2001-02-08,sz.000700,17.1000,17.1500,16.1500,16.1800,17.1400,346040,5763988.2700,3,0.898135,1,-5.600928,4.866574,45.326953,8.762058,21.900504,0,-5.600933488914828
2001-02-09,sz.000700,16.2100,16.7500,16.2100,16.6800,16.1800,251465,4147432.3200,3,0.652668,1,3.090235,5.016963,46.727662,9.032826,22.577281,0,3.0902348578492056
2001-02-12,sz.000700,16.6800,16.8500,16.4000,16.8100,16.6800,158931,2641497.1300,3,0.412500,1,0.779371,5.056064,47.091847,9.103226,22.753243,0,0.7793764988009544
2001-02-13,sz.000700,16.9000,17.0300,16.6000,16.7000,16.8100,173372,2913006.0800,3,0.449981,1,-0.654365,5.022978,46.783691,9.043657,22.604352,0,-0.6543723973825077
2001-02-14,sz.000700,16.6500,16.9000,16.6500,16.8000,16.7000,96864,1623078.8600,3,0.251407,1,0.598793,5.053056,47.063832,9.097810,22.739707,0,0.5988023952095967
2001-02-15,sz.000700,16.9000,16.9300,16.6000,16.6500,16.8000,99192,1657853.5200,3,0.257449,1,-0.892855,5.007939,46.643620,9.016580,22.536674,0,-0.8928571428571508
2001-02-16,sz.000700,16.5000,16.8800,16.3000,16.8000,16.6500,142361,2339774.7800,3,0.369493,1,0.900899,5.053056,47.063832,9.097810,22.739707,0,0.9009009009009139
2001-02-19,sz.000700,16.8100,17.1800,16.7900,17.1500,16.8000,173194,2942952.0600,3,0.449519,1,2.083336,5.158328,48.044329,9.287348,23.213451,0,2.083333333333326
2001-02-20,sz.000700,17.0700,17.3600,16.9900,17.0400,17.1500,267842,4592602.9600,3,0.695174,1,-0.641392,5.125242,47.736173,9.227779,23.064560,0,-0.641399416909616
2001-02-21,sz.000700,16.7800,16.8000,16.2600,16.2800,17.0400,283500,4637732.4500,3,0.735814,1,-4.460095,4.896652,45.607095,8.816212,22.035859,0,-4.460093896713602
2001-02-22,sz.000700,16.2800,16.7000,16.2800,16.5500,16.2800,164101,2718655.3300,3,0.425918,1,1.658468,4.977862,46.363478,8.962426,22.401319,0,1.6584766584766486
2001-02-23,sz.000700,16.5500,16.7800,16.4700,16.7200,16.5500,109198,1811303.0000,3,0.283420,1,1.027191,5.028994,46.839719,9.054488,22.631423,0,1.0271903323262777
2001-02-26,sz.000700,17.2000,17.2000,16.8000,17.0200,16.7200,118992,2022417.9000,3,0.308840,1,1.794265,5.119227,47.680144,9.216948,23.037489,0,1.7942583732057482
2001-02-27,sz.000700,17.1800,17.1800,16.9000,17.0900,17.0200,147450,2509221.0000,3,0.382701,1,0.411279,5.140281,47.876244,9.254856,23.132238,0,0.4112808460634554
2001-02-28,sz.000700,17.5000,17.7000,17.4000,17.4600,17.0900,402362,7055001.7800,3,1.044316,1,2.165003,5.361098,41.565726,8.423856,29.701749,0,2.1650087770626048
2001-03-01,sz.000700,17.5000,18.1000,17.5000,17.9900,17.4600,584137,10448351.7500,3,1.516107,1,3.035514,5.523834,42.827458,8.679563,30.603348,0,3.0355097365406536
2001-03-02,sz.000700,18.0300,18.3500,18.0300,18.1000,17.9900,610481,11115672.6600,3,1.584482,1,0.611454,5.557610,43.089327,8.732634,30.790472,0,0.6114508060033552
2001-03-05,sz.000700,18.1500,18.1800,17.8500,17.9300,18.1000,287760,5174299.0000,3,0.746871,1,-0.939227,5.505411,42.684621,8.650615,30.501280,0,-0.939226519337022
2001-03-06,sz.000700,17.9200,17.9200,17.6000,17.8000,17.9300,243300,4317094.6000,3,0.631476,1,-0.725048,5.465495,42.375139,8.587894,30.280133,0,-0.7250418293363037
2001-03-07,sz.000700,18.0000,18.0500,17.8700,17.9000,17.8000,185076,3322588.4800,3,0.480358,1,0.561800,5.496200,42.613202,8.636141,30.450246,0,0.561797752808979
2001-03-08,sz.000700,18.0000,18.0500,17.6000,17.7800,17.9000,176182,3128476.4200,3,0.457274,1,-0.670385,5.459354,42.327527,8.578245,30.246111,0,-0.6703910614525022
2001-03-09,sz.000700,17.8000,18.1000,17.5500,18.0900,17.7800,364549,6495301.1000,3,0.946174,1,1.743529,5.554539,43.065521,8.727809,30.773461,0,1.7435320584926917
2001-03-12,sz.000700,18.1000,18.1700,17.8000,18.0000,18.0900,205695,3702943.1000,3,0.533874,1,-0.497513,5.526905,42.851264,8.684388,30.620359,0,-0.497512437810943
2001-03-13,sz.000700,18.0000,18.0100,17.6600,17.7500,18.0000,218900,3908755.7700,3,0.568147,1,-1.388889,5.450142,42.256108,8.563771,30.195077,0,-1.388888888888884
2001-03-14,sz.000700,17.7000,17.9900,17.6500,17.9900,17.7500,269748,4790114.3200,3,0.700121,1,1.352111,5.523834,42.827458,8.679563,30.603348,0,1.3521126760563273
2001-03-15,sz.000700,17.9500,17.9500,17.6900,17.7500,17.9900,253210,4505812.2900,3,0.657198,1,-1.334073,5.450142,42.256108,8.563771,30.195077,0,-1.3340744858254538
2001-03-16,sz.000700,17.7500,17.9000,17.5700,17.6700,17.7500,350716,6202526.3000,3,0.910271,1,-0.450704,5.425578,42.065658,8.525174,30.058986,0,-0.4507042253521054
2001-03-19,sz.000700,17.6700,18.0000,17.5000,17.9500,17.6700,402335,7104049.6300,3,1.044246,1,1.584611,5.511552,42.732233,8.660264,30.535303,0,1.5846066779852785
2001-03-20,sz.000700,18.0500,18.1400,17.8800,18.1200,17.9500,257345,4635378.4500,3,0.667930,1,0.947076,5.563751,43.136940,8.742283,30.824495,0,0.9470752089136614
2001-03-21,sz.000700,18.2000,18.2500,17.9600,18.1400,18.1200,250980,4543357.0000,3,0.651410,1,0.110367,5.569892,43.184552,8.751933,30.858518,0,0.1103752759381793
2001-03-22,sz.000700,18.1600,18.3000,18.1100,18.2600,18.1400,380866,6929241.1000,3,0.988524,1,0.661526,5.606738,43.470227,8.809829,31.062653,0,0.6615214994487362
2001-03-23,sz.000700,18.2800,18.3500,17.8000,17.8200,18.2600,434939,7879079.2700,3,1.128869,1,-2.409642,5.471636,42.422752,8.597544,30.314156,0,-2.4096385542168752
2001-03-26,sz.000700,17.8000,18.1800,17.7000,18.1600,17.8200,363463,6538172.5600,3,0.943355,1,1.907969,5.576033,43.232165,8.761582,30.892540,0,1.9079685746352437
2001-03-27,sz.000700,18.2000,18.4500,18.1800,18.3600,18.1600,344160,6304572.3600,3,0.893255,1,1.101326,5.637443,43.708290,8.858075,31.232767,0,1.1013215859030812
