date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000710,32.0000,32.0000,30.3100,30.9200,31.4300,324427,9988212.4400,3,1.031525,1,-1.622654,15.318756,488.316477,39.835397,-411.122949,0,
2001-01-03,sz.000710,31.0000,31.0000,29.9100,30.7600,30.9200,460595,14012620.1700,3,1.464475,1,-0.517464,15.239487,485.789613,39.629263,-408.995534,0,-0.5174644243208237
2001-01-04,sz.000710,30.5000,31.2000,30.4000,30.9600,30.7600,346929,10689614.8600,3,1.103071,1,0.650191,15.338573,488.948193,39.886930,-411.654803,0,0.6501950585175553
2001-01-05,sz.000710,30.9600,32.4900,29.9800,32.2800,30.9600,659349,20876019.9100,3,2.096419,1,4.263565,15.992543,509.794822,41.587536,-429.205977,0,4.263565891472876
2001-01-08,sz.000710,32.2000,32.5000,31.4800,32.3800,32.2800,493231,15877636.8500,3,1.568242,1,0.309796,16.042087,511.374112,41.716370,-430.535611,0,0.30978934324659146
2001-01-09,sz.000710,32.4800,32.6500,31.9200,32.3900,32.3800,1056233,34198188.6600,3,3.358323,1,0.030878,16.047041,511.532041,41.729253,-430.668574,0,0.030883261272385276
2001-01-10,sz.000710,32.3800,32.7000,30.5800,32.0300,32.3900,960428,30930315.9100,3,3.053709,1,-1.111456,15.868685,505.846597,41.265452,-425.881891,0,-1.1114541525162114
2001-01-11,sz.000710,31.7000,32.0600,29.7000,30.4700,32.0300,2039834,63358190.4400,3,6.485711,1,-4.870433,15.095812,481.209672,39.255645,-405.139594,0,-4.870433968154863
2001-01-12,sz.000710,30.0000,31.0000,29.0000,30.9100,30.4700,591200,17843252.9500,3,1.879737,1,1.444045,15.313802,488.158548,39.822514,-410.989986,0,1.4440433212996373
2001-01-15,sz.000710,30.9900,31.0500,29.8000,30.9800,30.9100,381680,11661213.4800,3,1.213563,1,0.226463,15.348482,489.264051,39.912697,-411.920730,0,0.22646392753153943
2001-01-16,sz.000710,30.0000,32.3100,30.0000,32.1200,30.9800,884090,28002847.7500,3,2.810990,1,3.679791,15.913274,507.267958,41.381402,-427.078562,0,3.6797934151065137
2001-01-17,sz.000710,31.8000,33.4000,31.5000,32.5000,32.1200,840211,27423349.8400,3,2.671475,1,1.183067,16.101538,513.269260,41.870970,-432.131172,0,1.1830635118306398
2001-01-18,sz.000710,32.1000,32.6000,31.6500,32.0500,32.5000,132575,4240902.7500,3,0.421526,1,-1.384618,15.878594,506.162455,41.291218,-426.147817,0,-1.3846153846153952
2001-01-19,sz.000710,31.7800,32.2900,31.4200,32.2700,32.0500,140814,4502459.6400,3,0.447722,1,0.686431,15.987589,509.636893,41.574653,-429.073013,0,0.6864274570983042
2001-02-05,sz.000710,32.3700,32.3700,30.2700,30.4100,32.2700,99000,3054886.2000,3,0.314773,1,-5.763869,15.066086,480.262098,39.178345,-404.341814,0,-5.76386736907345
2001-02-06,sz.000710,30.0000,30.0100,28.8000,29.7800,30.4100,177250,5227872.8400,3,0.563572,1,-2.071684,14.753964,470.312571,38.366692,-395.965117,0,-2.0716869450838504
2001-02-07,sz.000710,29.9000,29.9700,29.0100,29.4100,29.7800,62900,1852005.0000,3,0.199992,1,-1.242447,14.570654,464.469198,37.890007,-391.045470,0,-1.242444593687042
2001-02-08,sz.000710,28.9900,29.4900,28.4000,28.8900,29.4100,145500,4190118.3200,3,0.462621,1,-1.768108,14.313029,456.256890,37.220072,-384.131371,0,-1.7681060863651843
2001-02-09,sz.000710,29.1800,29.4000,28.5500,29.0000,28.8900,80396,2315814.3000,3,0.255621,1,0.380757,14.367527,457.994109,37.361789,-385.593969,0,0.3807545863620643
2001-02-12,sz.000710,28.9900,28.9900,28.0800,28.5000,29.0000,40970,1167416.0400,3,0.130265,1,-1.724138,14.119811,450.097659,36.717620,-378.945797,0,-1.7241379310344862
2001-02-13,sz.000710,28.9000,28.9500,28.0000,28.4700,28.5000,55758,1582651.3600,3,0.177284,1,-0.105266,14.104948,449.623872,36.678970,-378.546907,0,-0.10526315789474161
2001-02-14,sz.000710,28.8500,28.9000,27.3000,27.4800,28.4700,66750,1839390.0700,3,0.212234,1,-3.477344,13.614470,433.988900,35.403516,-365.383526,0,-3.477344573234975
2001-02-15,sz.000710,27.1000,27.8000,26.5300,27.0000,27.4800,342025,9207188.6900,3,1.087478,1,-1.746723,13.376663,426.408308,34.785114,-359.001281,0,-1.7467248908296984
2001-02-16,sz.000710,26.7000,26.7000,24.6000,25.2500,27.0000,240890,6096597.4000,3,0.765917,1,-6.481482,12.509657,398.770733,32.530523,-335.732680,0,-6.481481481481477
2001-02-19,sz.000710,25.2500,26.4600,24.3000,25.8400,25.2500,143267,3677709.1800,3,0.455522,1,2.336634,12.801962,408.088544,33.290642,-343.577523,0,2.3366336633663387
2001-02-20,sz.000710,25.8000,26.4600,25.4000,25.9900,25.8400,59650,1547111.0000,3,0.189659,1,0.580494,12.876276,410.457479,33.483893,-345.571974,0,0.5804953560371473
2001-02-21,sz.000710,25.9500,26.1000,25.0600,25.1000,25.9900,139100,3536628.6400,3,0.442272,1,-3.424392,12.435342,396.401798,32.337272,-333.738228,0,-3.4243939976914106
2001-02-22,sz.000710,25.0000,25.4500,25.0000,25.1500,25.1000,33914,853188.4000,3,0.107831,1,0.199200,12.460114,397.191443,32.401689,-334.403046,0,0.19920318725097363
