date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000785,23.1900,23.5000,22.7800,23.2500,23.2000,719000,16628963.6500,3,1.411361,1,0.215514,7.691942,83.666746,2.271762,150.241437,0,
2001-01-03,sz.000785,23.2500,23.7000,23.1900,23.6400,23.2500,1086422,25440864.4600,3,2.132591,1,1.677417,7.820968,85.070188,2.309869,152.761616,0,1.6774193548387162
2001-01-04,sz.000785,23.4000,23.9500,23.4000,23.7300,23.6400,634588,15006642.4300,3,1.245664,1,0.380711,7.850744,85.394060,2.318663,153.343195,0,0.3807106598984866
2001-01-05,sz.000785,23.8000,23.8800,23.5500,23.6800,23.7300,505392,11970925.0300,3,0.992059,1,-0.210701,7.834202,85.214131,2.313778,153.020096,0,-0.21070375052676393
2001-01-08,sz.000785,23.5000,23.7100,22.7800,23.3800,23.6800,564624,13197228.5500,3,1.108328,1,-1.266897,7.734951,84.134560,2.284464,151.081496,0,-1.266891891891897
2001-01-09,sz.000785,23.2500,23.5500,23.1100,23.4500,23.3800,406135,9494691.8100,3,0.797222,1,0.299408,7.758109,84.386460,2.291304,151.533836,0,0.29940119760478723
2001-01-10,sz.000785,23.4000,23.9600,23.4000,23.8700,23.4500,721780,17150642.4800,3,1.416818,1,1.791045,7.897061,85.897860,2.332342,154.247875,0,1.7910447761193993
2001-01-11,sz.000785,23.8100,24.1000,23.8000,23.8700,23.8700,626000,14974726.6500,3,1.228806,1,0.000000,7.897061,85.897860,2.332342,154.247875,0,0.0
2001-01-12,sz.000785,23.8900,23.8900,23.0100,23.6600,23.8700,488816,11496284.2200,3,0.959521,1,-0.879769,7.827585,85.142160,2.311823,152.890856,0,-0.8797653958944274
2001-01-15,sz.000785,23.6100,23.6300,23.0800,23.1100,23.6600,317698,7404025.1900,3,0.623625,1,-2.324595,7.645625,83.162947,2.258083,149.336757,0,-2.3245984784446394
2001-01-16,sz.000785,23.0000,23.0500,22.4000,22.8800,23.1100,597819,13575768.8200,3,1.173488,1,-0.995246,7.569533,82.335275,2.235609,147.850498,0,-0.9952401557767221
2001-01-17,sz.000785,22.8500,23.1000,22.8000,22.9500,22.8800,409811,9403692.3000,3,0.804438,1,0.305951,7.592691,82.587175,2.242449,148.302838,0,0.30594405594406293
2001-01-18,sz.000785,22.8500,23.1200,22.8500,22.9700,22.9500,445720,10234997.7000,3,0.874926,1,0.087140,7.599308,82.659147,2.244403,148.432077,0,0.08714596949890296
2001-01-19,sz.000785,22.9500,23.1400,22.9000,23.0400,22.9700,402636,9281603.0000,3,0.790354,1,0.304752,7.622467,82.911047,2.251243,148.884417,0,0.30474531998259113
2001-02-05,sz.000785,22.8800,22.8800,21.7700,21.8200,23.0400,538460,11944261.1200,3,1.056970,1,-5.295144,7.218846,78.520792,2.132037,141.000781,0,-5.295138888888884
2001-02-06,sz.000785,21.7600,21.7600,20.1600,20.8600,21.8200,507516,10535469.3400,3,0.996228,1,-4.399629,6.901244,75.066165,2.038235,134.797263,0,-4.3996333638863465
2001-02-07,sz.000785,20.8000,21.5200,20.7500,21.2600,20.8600,488214,10354830.3900,3,0.958339,1,1.917544,7.033578,76.505593,2.077319,137.382062,0,1.9175455417066223
2001-02-08,sz.000785,21.2500,21.5000,20.6500,20.7000,21.2600,318500,6741191.6300,3,0.625199,1,-2.634052,6.848310,74.490393,2.022601,133.763344,0,-2.6340545625588074
2001-02-09,sz.000785,20.7000,21.0400,20.6800,20.8000,20.7000,279111,5818498.4600,3,0.547881,1,0.483084,6.881393,74.850250,2.032372,134.409543,0,0.48309178743961567
2001-02-12,sz.000785,20.8000,21.0000,20.5800,20.8300,20.8000,385631,8021608.2200,3,0.756974,1,0.144234,6.891319,74.958208,2.035303,134.603403,0,0.14423076923075762
2001-02-13,sz.000785,20.7200,21.0500,20.6500,20.9100,20.8300,512200,10694047.9700,3,1.005423,1,0.384061,6.917785,75.246093,2.043120,135.120363,0,0.384061449831985
2001-02-14,sz.000785,20.8500,21.2000,20.8000,21.1900,20.9100,354757,7459399.4800,3,0.696370,1,1.339076,7.010420,76.253693,2.070479,136.929722,0,1.3390722142515576
2001-02-15,sz.000785,21.2100,21.3500,21.0900,21.1600,21.1900,368800,7831362.9000,3,0.723936,1,-0.141579,7.000495,76.145736,2.067548,136.735862,0,-0.14157621519584884
2001-02-16,sz.000785,21.1300,21.1500,20.8600,20.9400,21.1600,260560,5457907.4000,3,0.511466,1,-1.039694,6.927711,75.354050,2.046052,135.314223,0,-1.03969754253308
2001-02-19,sz.000785,20.9000,21.6200,20.9000,21.3700,20.9400,416301,8883096.8000,3,0.817178,1,2.053488,7.072639,64.267332,2.082209,355.862468,0,2.0534861509073465
2001-02-20,sz.000785,21.3800,21.5700,21.1600,21.2100,21.3700,605700,12948103.3100,3,1.188958,1,-0.748721,7.019685,63.786154,2.066619,353.198079,0,-0.7487131492746824
2001-02-21,sz.000785,21.1700,21.3100,20.4000,20.8700,21.2100,317200,6676056.5200,3,0.622648,1,-1.603009,6.907158,62.763651,2.033491,347.536252,0,-1.6030174446016066
2001-02-22,sz.000785,20.9100,21.0700,20.6400,20.7300,20.8700,290100,6042654.0000,3,0.569452,1,-0.670825,6.860824,62.342620,2.019850,345.204911,0,-0.6708193579300414
