date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000788,12.5800,13.7000,12.4500,13.7000,12.4500,1359007,17984421.3000,3,2.745469,1,10.040160,5.801129,-47.429341,12.558587,-256.033081,0,
2001-01-03,sz.000788,13.9800,15.0700,13.9500,14.1200,13.7000,4509790,65247378.2900,3,9.110687,1,3.065694,5.978974,-48.883379,12.943595,-263.882270,0,3.065693430656924
2001-01-04,sz.000788,13.9800,14.1000,13.7000,13.9500,14.1200,1069027,14843646.7400,3,2.159651,1,-1.203966,5.906989,-48.294840,12.787759,-260.705217,0,-1.2039660056657242
2001-01-05,sz.000788,13.9000,14.4900,13.7300,14.1500,13.9500,894094,12632316.6200,3,1.806251,1,1.433690,5.991677,-48.987239,12.971096,-264.442927,0,1.433691756272415
2001-01-08,sz.000788,14.1200,14.2800,13.7200,13.9400,14.1500,551103,7702545.2900,3,1.113339,1,-1.484099,5.902755,-48.260220,12.778592,-260.518332,0,-1.4840989399293347
2001-01-09,sz.000788,13.9300,13.9300,13.5000,13.6600,13.9400,432795,5923163.0100,3,0.874333,1,-2.008606,5.784192,-47.290861,12.521920,-255.285539,0,-2.0086083213773254
2001-01-10,sz.000788,13.5400,13.9800,13.5000,13.6600,13.6600,283527,3901055.4800,3,0.572782,1,0.000000,5.784192,-47.290861,12.521920,-255.285539,0,0.0
2001-01-11,sz.000788,13.7600,13.9500,13.6800,13.7600,13.6600,345440,4772698.1000,3,0.697859,1,0.732067,5.826536,-47.637061,12.613588,-257.154394,0,0.7320644216691097
2001-01-12,sz.000788,13.8000,13.9800,13.6500,13.7400,13.7600,283580,3922725.4000,3,0.572889,1,-0.145352,5.818067,-47.567821,12.595255,-256.780623,0,-0.14534883720930258
2001-01-15,sz.000788,13.7400,13.7400,12.8500,12.8700,13.7400,826606,10775542.9200,3,1.669911,1,-6.331877,5.449674,-44.555885,11.797739,-240.521588,0,-6.331877729257651
2001-01-16,sz.000788,12.8700,13.0000,12.5000,12.9200,12.8700,344986,4412924.7200,3,0.696941,1,0.388502,5.470846,-44.728985,11.843573,-241.456015,0,0.38850038850040125
2001-01-17,sz.000788,12.8500,12.9500,12.6000,12.7100,12.9200,220337,2813747.6300,3,0.445125,1,-1.625387,5.381924,-44.001965,11.651069,-237.531420,0,-1.6253869969040213
2001-01-18,sz.000788,12.7200,13.0000,12.7200,12.7700,12.7100,249091,3188932.9700,3,0.503214,1,0.472073,5.407330,-44.209685,11.706070,-238.652733,0,0.472069236821393
2001-01-19,sz.000788,12.8000,13.0900,12.8000,13.0600,12.7700,272660,3548453.2700,3,0.550828,1,2.270947,5.530128,-45.213664,11.971909,-244.072411,0,2.2709475332811424
2001-02-05,sz.000788,13.1000,13.1200,12.7000,12.7500,13.0600,161036,2066316.4000,3,0.325325,1,-2.373663,5.398861,-44.140445,11.687736,-238.278962,0,-2.3736600306278777
2001-02-06,sz.000788,12.6900,12.7000,12.0200,12.4100,12.7500,308069,3821365.1700,3,0.622362,1,-2.666668,5.254892,-42.963367,11.376063,-231.924856,0,-2.6666666666666616
2001-02-07,sz.000788,12.4100,12.5400,12.3900,12.4500,12.4100,144520,1800500.8500,3,0.291960,1,0.322320,5.271829,-43.101847,11.412731,-232.672398,0,0.3223207091055613
2001-02-08,sz.000788,12.5200,12.5200,11.5000,11.8400,12.4500,290557,3529858.8100,3,0.586984,1,-4.899596,5.013531,-40.990029,10.853553,-221.272385,0,-4.899598393574289
2001-02-09,sz.000788,11.8000,12.2000,11.8000,11.8900,11.8400,302844,3625420.2100,3,0.611806,1,0.422299,5.034703,-41.163129,10.899387,-222.206813,0,0.4222972972973027
2001-02-12,sz.000788,11.9100,11.9200,11.5000,11.6700,11.8900,269049,3140641.7100,3,0.543533,1,-1.850296,4.941546,-40.401490,10.697716,-218.095332,0,-1.850294365012617
2001-02-13,sz.000788,11.7600,12.1000,11.7000,11.9300,11.6700,237248,2840383.9400,3,0.479289,1,2.227937,5.051640,-41.301609,10.936054,-222.954354,0,2.227934875749793
2001-02-14,sz.000788,11.9300,11.9800,11.8800,11.9200,11.9300,83256,992173.8000,3,0.168194,1,-0.083824,5.047406,-41.266989,10.926888,-222.767469,0,-0.08382229673092878
2001-02-15,sz.000788,11.9200,12.0500,11.8000,11.8900,11.9200,122300,1462001.0000,3,0.247071,1,-0.251676,5.034703,-41.163129,10.899387,-222.206813,0,-0.251677852348986
2001-02-16,sz.000788,11.7600,11.8100,11.5200,11.7000,11.8900,161511,1888133.5200,3,0.326285,1,-1.597986,4.954249,-40.505350,10.725217,-218.655989,0,-1.5979814970563555
2001-02-19,sz.000788,11.9800,12.1600,11.9000,12.0000,11.7000,189913,2283753.3500,3,0.383663,1,2.564104,5.081281,-41.543949,11.000222,-224.262553,0,2.564102564102577
2001-02-20,sz.000788,12.1000,12.1000,11.9100,11.9800,12.0000,166950,2011217.0000,3,0.337273,1,-0.166670,5.072812,-41.474709,10.981889,-223.888782,0,-0.1666666666666594
2001-02-21,sz.000788,11.9400,11.9400,11.6000,11.6200,11.9800,201040,2345418.7100,3,0.406141,1,-3.005006,4.920374,-40.228390,10.651882,-217.160905,0,-3.005008347245419
2001-02-22,sz.000788,11.6000,11.7500,11.5000,11.5300,11.6200,205497,2371466.0300,3,0.415145,1,-0.774528,4.882264,-39.916811,10.569380,-215.478936,0,-0.7745266781411297
2001-02-23,sz.000788,11.5300,11.6000,10.5100,10.9900,11.5300,596120,6516333.0700,3,1.204283,1,-4.683434,4.653607,-38.047333,10.074370,-205.387121,0,-4.683434518647001
2001-02-26,sz.000788,10.9000,11.0500,10.5000,11.0400,10.9900,499784,5354377.9600,3,1.009665,1,0.454961,4.674779,-38.220433,10.120205,-206.321548,0,0.45495905368515555
2001-02-27,sz.000788,11.0700,11.2500,10.9100,11.2400,11.0400,253118,2808603.0300,3,0.511349,1,1.811592,4.759467,-38.912832,10.303542,-210.059258,0,1.8115942028985588
2001-02-28,sz.000788,11.1100,11.4000,11.1100,11.3000,11.2400,175640,1978131.7000,3,0.354828,1,0.533812,4.784873,-39.120552,10.358543,-211.180570,0,0.5338078291815096
2001-03-01,sz.000788,11.4000,11.4000,11.1500,11.2100,11.3000,183280,2063922.7600,3,0.370263,1,-0.796462,4.746764,-38.808972,10.276041,-209.498601,0,-0.7964601769911539
2001-03-02,sz.000788,11.2000,11.5800,11.1800,11.5800,11.2100,287561,3265554.1400,3,0.580931,1,3.300624,4.903436,-40.089910,10.615215,-216.413363,0,3.3006244424620856
2001-03-05,sz.000788,11.6500,11.7000,11.4500,11.5300,11.5800,216580,2499369.6400,3,0.437535,1,-0.431781,4.882264,-39.916811,10.569380,-215.478936,0,-0.43177892918826455
2001-03-06,sz.000788,11.5000,11.5000,11.2800,11.4300,11.5300,175411,1993202.2800,3,0.354366,1,-0.867298,4.839920,-39.570611,10.477712,-213.610081,0,-0.8673026886383273
2001-03-07,sz.000788,11.4300,11.4300,11.3200,11.3800,11.4300,183253,2085655.6700,3,0.370208,1,-0.437447,4.818748,-39.397511,10.431878,-212.675654,0,-0.43744531933507247
2001-03-08,sz.000788,11.5800,11.6700,11.4000,11.5200,11.3800,166329,1921624.2400,3,0.336018,1,1.230232,4.878030,-39.882191,10.560213,-215.292050,0,1.2302284710017375
2001-03-09,sz.000788,11.5200,11.8000,11.4200,11.6500,11.5200,250651,2918452.3000,3,0.506366,1,1.128465,4.933077,-40.332250,10.679383,-217.721561,0,1.128472222222232
2001-03-12,sz.000788,11.5500,11.8100,11.5500,11.8000,11.6500,198201,2328134.4600,3,0.400406,1,1.287559,4.996593,-40.851549,10.816885,-220.524843,0,1.2875536480686733
2001-03-13,sz.000788,11.8000,11.9000,11.5700,11.6100,11.8000,182353,2135461.7400,3,0.368390,1,-1.610174,4.916140,-40.193770,10.642715,-216.974020,0,-1.6101694915254372
2001-03-14,sz.000788,11.5000,11.8500,11.5000,11.7500,11.6100,166649,1944362.1500,3,0.336665,1,1.205860,4.975421,-40.678450,10.771051,-219.590416,0,1.2058570198105079
2001-03-15,sz.000788,11.8100,12.0900,11.8000,11.9400,11.7500,311316,3719450.1900,3,0.628921,1,1.617018,5.055875,-41.336229,10.945221,-223.141240,0,1.6170212765957315
2001-03-16,sz.000788,12.0000,12.1600,11.8000,12.0000,11.9400,330219,3959616.9600,3,0.667109,1,0.502516,5.081281,-41.543949,11.000222,-224.262553,0,0.5025125628140836
2001-03-19,sz.000788,12.1500,12.7000,12.1000,12.6800,12.0000,616435,7629022.2500,3,1.245323,1,5.666669,5.369220,-43.898106,11.623568,-236.970764,0,5.666666666666664
2001-03-20,sz.000788,12.7000,12.8600,12.5100,12.8500,12.6800,650842,8273857.1300,3,1.314832,1,1.340695,5.441205,-44.486645,11.779405,-240.147817,0,1.34069400630914
2001-03-21,sz.000788,12.8500,13.0000,12.6500,12.8900,12.8500,430800,5520562.0300,3,0.870303,1,0.311284,5.458143,-44.625125,11.816072,-240.895359,0,0.3112840466926059
2001-03-22,sz.000788,12.8900,13.0000,12.7300,12.7500,12.8900,387479,4964112.0300,3,0.782786,1,-1.086116,5.398861,-44.140445,11.687736,-238.278962,0,-1.0861132660977546
2001-03-23,sz.000788,12.8000,12.8000,12.2200,12.2500,12.7500,561350,6989280.8000,3,1.134040,1,-3.921569,5.187141,-42.409447,11.229394,-228.934689,0,-3.9215686274509776
2001-03-26,sz.000788,12.2500,12.7500,12.1200,12.5900,12.2500,347895,4361398.0000,3,0.702818,1,2.775512,5.331111,-43.586526,11.541067,-235.288795,0,2.7755102040816215
