date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000800,6.3400,6.5400,6.3100,6.5200,6.4700,6045566,39090200.6200,3,1.107577,1,0.772801,2.081126,18.667730,2.566821,20.058388,0,
2001-01-03,sz.000800,6.5200,6.5800,6.4000,6.4900,6.5200,5069465,32998355.0600,3,0.928751,1,-0.460126,2.071550,18.581835,2.555010,19.966095,0,-0.4601226993864893
2001-01-04,sz.000800,6.4900,6.7200,6.4400,6.6100,6.4900,11881444,78848806.6100,3,2.176739,1,1.849004,2.109853,18.925413,2.602253,20.335267,0,1.8489984591679498
2001-01-05,sz.000800,6.6100,6.7500,6.5800,6.7400,6.6100,8688001,58044499.5800,3,1.591684,1,1.966712,2.151348,19.297623,2.653431,20.735204,0,1.9667170953101332
2001-01-08,sz.000800,6.7800,6.9800,6.7800,6.8600,6.7400,16704116,114846001.6800,3,3.060276,1,1.780421,2.189651,19.641200,2.700674,21.104377,0,1.7804154302670572
2001-01-09,sz.000800,6.8600,6.9000,6.7500,6.8000,6.8600,6190078,42171632.5100,3,1.134053,1,-0.874635,2.170499,19.469412,2.677053,20.919791,0,-0.8746355685131268
2001-01-10,sz.000800,6.8100,6.9400,6.8100,6.9100,6.8000,7060194,48712206.4100,3,1.293462,1,1.617642,2.205610,19.784358,2.720358,21.258199,0,1.6176470588235237
2001-01-11,sz.000800,6.9400,6.9600,6.8500,6.8900,6.9100,5369055,36930097.6200,3,0.983637,1,-0.289435,2.199226,19.727095,2.712484,21.196670,0,-0.28943560057888007
2001-01-12,sz.000800,6.8900,6.9000,6.7000,6.7200,6.8900,4750735,32109774.6500,3,0.870358,1,-2.467345,2.144964,19.240360,2.645558,20.673676,0,-2.467343976777936
2001-01-15,sz.000800,6.7200,6.7200,6.5800,6.5900,6.7200,5170227,34322091.4300,3,0.947211,1,-1.934518,2.103469,18.868150,2.594379,20.273739,0,-1.9345238095238027
2001-01-16,sz.000800,6.5500,6.9500,6.5000,6.9200,6.5900,7936760,53747020.7200,3,1.454053,1,5.007586,2.208802,19.812989,2.724295,21.288964,0,5.0075872534142585
2001-01-17,sz.000800,6.9500,7.0900,6.8600,6.9700,6.9200,12819117,89717895.0300,3,2.348525,1,0.722539,2.224762,19.956147,2.743979,21.442786,0,0.7225433526011571
2001-01-18,sz.000800,7.0000,7.0200,6.8600,6.9000,6.9700,5824121,40486729.3900,3,1.067008,1,-1.004300,2.202418,19.755726,2.716421,21.227435,0,-1.0043041606886516
2001-01-19,sz.000800,6.9500,7.0800,6.9100,7.0600,6.9000,11637336,81750454.3600,3,2.132017,1,2.318838,2.253489,20.213830,2.779410,21.719665,0,2.318840579710124
2001-02-05,sz.000800,7.1500,7.3600,7.0500,7.1900,7.0600,17467887,125997303.8100,3,3.200202,1,1.841361,2.294984,20.586040,2.830589,22.119602,0,1.8413597733711207
2001-02-06,sz.000800,7.2000,7.3900,7.0200,7.3800,7.1900,18468268,133489345.2200,3,3.383477,1,2.642560,2.355630,21.130038,2.905389,22.704126,0,2.642559109874809
2001-02-07,sz.000800,7.4000,7.5500,7.2600,7.3400,7.3800,22005914,163674699.5500,3,4.031591,1,-0.542005,2.342862,21.015512,2.889642,22.581068,0,-0.5420054200542035
2001-02-08,sz.000800,7.3300,7.4500,7.0600,7.0900,7.3400,15146022,109921041.6500,3,2.774825,1,-3.405995,2.263064,20.299725,2.791221,21.811958,0,-3.4059945504087197
2001-02-09,sz.000800,7.1500,7.3600,7.1500,7.3000,7.0900,16563622,120405736.4300,3,3.034537,1,2.961919,2.330095,20.900986,2.873895,22.458011,0,2.961918194640334
2001-02-12,sz.000800,7.3000,7.4400,7.1900,7.4000,7.3000,12713148,93388981.9500,3,2.329111,1,1.369862,2.362014,21.187301,2.913263,22.765655,0,1.3698630136986356
2001-02-13,sz.000800,7.4200,7.4500,7.2800,7.2900,7.4000,9985589,73516518.8000,3,1.829409,1,-1.486488,2.326903,20.872354,2.869958,22.427246,0,-1.4864864864864935
2001-02-14,sz.000800,7.3000,7.4100,7.2800,7.3200,7.2900,7966427,58424602.4100,3,1.459488,1,0.411525,2.336478,20.958249,2.881768,22.519540,0,0.4115226337448652
2001-02-15,sz.000800,7.3500,7.3600,7.1600,7.1900,7.3200,7231821,52274937.8200,3,1.324905,1,-1.775958,2.294984,20.586040,2.830589,22.119602,0,-1.7759562841530019
2001-02-16,sz.000800,7.1800,7.2000,7.0600,7.1600,7.1900,7793090,55576003.8600,3,1.427732,1,-0.417249,2.285408,20.500145,2.818779,22.027309,0,-0.417246175243402
