date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000810,25.5000,25.6000,25.2000,25.4100,25.1000,251020,6391135.2000,3,0.896859,1,1.235058,12.519180,787.860127,7.875871,1884.619649,0,
2001-01-03,sz.000810,25.5000,26.4000,25.4600,26.0800,25.4100,284740,7387793.0000,3,1.017336,1,2.636757,12.849280,808.634085,8.083539,1934.312493,0,2.636757182211724
2001-01-04,sz.000810,26.0900,26.5000,25.4200,25.7300,26.0800,300240,7838691.4800,3,1.072715,1,-1.342026,12.676840,797.782017,7.975056,1908.353545,0,-1.3420245398772956
2001-01-05,sz.000810,25.7300,26.5000,25.7300,26.0200,25.7300,240340,6281835.7400,3,0.858701,1,1.127093,12.819719,806.773731,8.064942,1929.862387,0,1.1270890011659596
2001-01-08,sz.000810,26.0000,26.1000,25.3000,25.7900,26.0200,148702,3821391.2000,3,0.531291,1,-0.883934,12.706401,799.642372,7.993653,1912.803650,0,-0.8839354342813244
2001-01-09,sz.000810,25.9000,26.0000,25.7000,25.7900,25.7900,76000,1965021.8000,3,0.271537,1,0.000000,12.706401,799.642372,7.993653,1912.803650,0,0.0
2001-01-10,sz.000810,25.7900,26.0700,25.5500,25.8600,25.7900,221635,5749896.2000,3,0.791870,1,0.271422,12.740889,801.812785,8.015350,1917.995440,0,0.2714230321830158
2001-01-11,sz.000810,25.9200,26.4800,25.9200,26.1900,25.8600,187900,4925141.8800,3,0.671340,1,1.276102,12.903476,812.044735,8.117634,1942.471019,0,1.2761020881670637
2001-01-12,sz.000810,26.1800,26.3000,25.7500,25.9000,26.1900,203860,5302201.6000,3,0.728363,1,-1.107296,12.760597,803.053022,8.027748,1920.962177,0,-1.1072928598701903
2001-01-15,sz.000810,25.9000,26.4000,25.3300,25.7100,25.9000,228860,5903838.6500,3,0.817684,1,-0.733593,12.666986,797.161899,7.968857,1906.870176,0,-0.7335907335907277
2001-01-16,sz.000810,25.6000,25.9800,25.2000,25.6200,25.7100,167000,4278461.8400,3,0.596667,1,-0.350052,12.622644,794.371367,7.940961,1900.195018,0,-0.3500583430571802
2001-01-17,sz.000810,25.6000,26.0000,25.5000,25.7100,25.6200,246900,6377043.9800,3,0.882139,1,0.351281,12.666986,797.161899,7.968857,1906.870176,0,0.3512880562060783
2001-01-18,sz.000810,25.7100,26.0000,25.5000,25.9200,25.7100,196225,5064769.4000,3,0.701084,1,0.816807,12.770450,803.673140,8.033947,1922.445545,0,0.8168028004667427
2001-01-19,sz.000810,26.2000,26.5000,26.1500,26.5000,25.9200,300914,7943059.5400,3,1.075123,1,2.237654,13.056209,821.656567,8.213719,1965.463231,0,2.2376543209876365
2001-02-05,sz.000810,27.3000,27.4000,26.5000,26.6800,26.5000,314200,8417041.8000,3,1.122592,1,0.679246,11.643573,45.610746,8.171363,-326.929545,0,0.6792452830188589
2001-02-06,sz.000810,26.6800,26.7600,26.4500,26.5500,26.6800,79685,2118742.2500,3,0.284703,1,-0.487260,11.586839,45.388504,8.131548,-325.336560,0,-0.4872563718140932
2001-02-07,sz.000810,26.5600,26.7000,26.4500,26.5800,26.5500,81485,2165788.0500,3,0.291134,1,0.112997,11.599931,45.439791,8.140736,-325.704172,0,0.11299435028246929
2001-02-08,sz.000810,26.5200,26.7000,26.4300,26.4900,26.5800,63400,1684910.4500,3,0.226519,1,-0.338601,11.560654,45.285932,8.113171,-324.601336,0,-0.3386004514672636
2001-02-09,sz.000810,26.4100,26.8000,26.4000,26.6000,26.4900,62629,1663603.9800,3,0.223765,1,0.415253,11.608659,45.473982,8.146861,-325.949247,0,0.41525103812760644
