date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000826,17.0100,17.5500,16.8100,17.4100,17.1000,832918,14361783.0500,3,1.830589,1,1.812862,6.419956,98.076257,11.842307,81.214543,0,
2001-01-03,sz.000826,17.4200,18.2600,17.4200,17.8000,17.4100,534744,9585129.6400,3,1.175262,1,2.240088,6.563769,100.273255,12.107586,83.033823,0,2.240091901206198
2001-01-04,sz.000826,18.0000,18.0000,17.3600,17.3900,17.8000,328799,5793499.7100,3,0.722635,1,-2.303370,6.412581,97.963590,11.828703,81.121246,0,-2.3033707865168562
2001-01-05,sz.000826,17.3600,17.4900,17.2200,17.2700,17.3900,269485,4668382.0000,3,0.592275,1,-0.690046,6.368331,97.287591,11.747079,80.561468,0,-0.6900517538815487
2001-01-08,sz.000826,17.0500,17.2000,16.9000,17.1000,17.2700,419920,7133656.8000,3,0.922901,1,-0.984366,6.305644,96.329925,11.631445,79.768448,0,-0.9843659525188064
2001-01-09,sz.000826,17.0000,17.1000,16.9000,16.9400,17.1000,484501,8224797.7000,3,1.064837,1,-0.935672,6.246643,95.428592,11.522613,79.022077,0,-0.9356725146198785
2001-01-10,sz.000826,16.9000,17.0800,16.8000,17.0700,16.9400,266129,4517119.7900,3,0.584899,1,0.767409,6.294581,96.160925,11.611039,79.628503,0,0.7674144037780328
2001-01-11,sz.000826,16.9000,17.0600,16.9000,16.9800,17.0700,339200,5762228.5000,3,0.745495,1,-0.527242,6.261393,95.653925,11.549821,79.208669,0,-0.5272407732864637
2001-01-12,sz.000826,17.0700,17.0700,15.3000,15.9200,16.9800,4005756,64188461.5600,3,8.803859,1,-6.242635,5.870517,89.682597,10.828807,74.263959,0,-6.24263839811543
2001-01-15,sz.000826,15.8200,16.2000,15.3000,15.6200,15.9200,1098000,17370803.6100,3,2.413187,1,-1.884423,5.759892,87.992598,10.624747,72.864512,0,-1.8844221105527637
2001-01-16,sz.000826,15.1000,15.2800,14.8100,15.1400,15.6200,4336544,65332667.7600,3,6.672140,1,-3.072980,5.582891,85.288600,10.298250,70.625398,0,-3.0729833546734864
2001-01-17,sz.000826,15.1000,15.2500,14.9000,15.1100,15.1400,1711249,25889650.7100,3,2.632901,1,-0.198155,5.571829,85.119600,10.277844,70.485453,0,-0.19815059445179584
2001-01-18,sz.000826,15.0100,15.2300,15.0000,15.1200,15.1100,1433065,21703384.3700,3,2.204892,1,0.066183,5.575516,85.175934,10.284646,70.532101,0,0.06618133686300265
2001-01-19,sz.000826,15.2200,15.2500,15.0800,15.1900,15.1200,1010132,15317308.9700,3,1.554174,1,0.462961,5.601329,85.570267,10.332260,70.858639,0,0.4629629629629539
2001-02-05,sz.000826,15.1800,15.2000,14.5000,14.6800,15.1900,783252,11513006.8400,3,1.205099,1,-3.357467,5.413266,82.697269,9.985357,68.479580,0,-3.3574720210664877
2001-02-06,sz.000826,14.5000,15.0000,14.4000,14.7000,14.6800,502111,7407606.7000,3,0.772540,1,0.136236,5.420641,82.809935,9.998962,68.572876,0,0.13623978201635634
2001-02-07,sz.000826,14.9800,15.2200,14.6100,14.8200,14.7000,730150,10935599.6000,3,1.123398,1,0.816326,5.464891,83.485935,10.080586,69.132655,0,0.8163265306122547
2001-02-08,sz.000826,14.8600,15.1000,14.7000,14.7100,14.8200,313106,4677464.5200,3,0.481740,1,-0.742238,5.424329,82.866269,10.005764,68.619525,0,-0.7422402159244279
2001-02-09,sz.000826,14.8200,15.2000,14.7200,15.0800,14.7100,748109,11292066.1500,3,1.151029,1,2.515295,5.560766,84.950600,10.257438,70.345509,0,2.515295717199173
2001-02-12,sz.000826,15.0800,15.9800,15.0800,15.9100,15.0800,1582649,24763028.0000,3,2.435039,1,5.503978,5.866830,89.626263,10.822005,74.217310,0,5.503978779840857
2001-02-13,sz.000826,15.9100,15.9100,15.5100,15.5400,15.9100,717600,11267026.2700,3,1.104088,1,-2.325581,5.730392,87.541932,10.570331,72.491327,0,-2.3255813953488413
2001-02-14,sz.000826,15.1000,15.1000,14.4400,14.7000,15.5400,3088347,45515430.6100,3,4.751683,1,-5.405406,5.420641,82.809935,9.998962,68.572876,0,-5.405405405405405
2001-02-15,sz.000826,14.4000,14.8300,14.2000,14.6300,14.7000,1039121,15172067.8600,3,1.598776,1,-0.476188,5.394828,82.415602,9.951347,68.246339,0,-0.4761904761904634
2001-02-16,sz.000826,14.4000,14.7000,14.4000,14.6000,14.6300,424915,6193607.3200,3,0.653768,1,-0.205056,5.383766,82.246603,9.930941,68.106394,0,-0.2050580997949525
2001-02-19,sz.000826,14.7000,14.8000,14.5000,14.7000,14.6000,276301,4052239.5000,3,0.425112,1,0.684928,5.420641,82.809935,9.998962,68.572876,0,0.6849315068493178
2001-02-20,sz.000826,14.7600,14.8400,14.6200,14.8100,14.7000,308390,4556481.3000,3,0.474484,1,0.748304,5.461204,83.429602,10.073784,69.086007,0,0.7482993197279075
2001-02-21,sz.000826,14.8000,14.8000,14.4900,14.5300,14.8100,470600,6898460.7800,3,0.724058,1,-1.890619,5.357953,81.852270,9.883327,67.779857,0,-1.8906144496961597
2001-02-22,sz.000826,14.0100,14.8000,14.0000,14.4500,14.5300,220096,3181973.1000,3,0.338636,1,-0.550585,5.328453,81.401603,9.828911,67.406671,0,-0.550584996558845
2001-02-23,sz.000826,14.3500,14.8500,14.3500,14.7600,14.4500,600374,8844308.3400,3,0.923726,1,2.145332,5.442766,83.147935,10.039774,68.852766,0,2.145328719723194
2001-02-26,sz.000826,14.8000,14.8000,14.5500,14.6900,14.7600,212240,3109373.1400,3,0.326549,1,-0.474259,5.416953,82.753602,9.992160,68.526228,0,-0.47425474254743083
2001-02-27,sz.000826,14.7000,14.7500,14.5500,14.5900,14.6900,257220,3774261.0000,3,0.395755,1,-0.680731,5.380078,82.190269,9.924139,68.059746,0,-0.6807351940095296
2001-02-28,sz.000826,14.5000,14.6400,14.5000,14.5700,14.5900,307665,4488407.7500,3,0.473369,1,-0.137083,5.372703,82.077603,9.910535,67.966450,0,-0.1370801919122644
2001-03-01,sz.000826,14.5600,14.8200,14.5500,14.6100,14.5700,331690,4876724.4200,3,0.510333,1,0.274537,5.387453,82.302936,9.937743,68.153042,0,0.27453671928618917
2001-03-02,sz.000826,14.6300,15.2900,14.6300,15.0200,14.6100,721063,10778213.5400,3,1.109416,1,2.806303,5.538641,84.612601,10.216626,70.065619,0,2.806297056810414
2001-03-05,sz.000826,15.0500,15.2500,14.6900,15.2100,15.0200,602993,9136717.7700,3,0.927756,1,1.264977,5.608704,85.682933,10.345864,70.951935,0,1.2649800266311573
2001-03-06,sz.000826,15.2400,15.6500,15.0900,15.5900,15.2100,671137,10371869.4100,3,1.032601,1,2.498357,5.748829,87.823598,10.604341,72.724568,0,2.4983563445101886
2001-03-07,sz.000826,15.5800,16.1000,15.4700,15.8300,15.5900,1049929,16705564.5700,3,1.615405,1,1.539447,5.837330,89.175597,10.767589,73.844125,0,1.5394483643361045
2001-03-08,sz.000826,15.8000,16.4500,15.7000,16.3200,15.8300,1315553,21370675.4000,3,2.024090,1,3.095387,6.018018,91.935928,11.100888,76.129887,0,3.0953885028426997
2001-03-09,sz.000826,16.3000,17.0600,16.2500,16.7100,16.3200,1646378,27816780.8800,3,2.533092,1,2.389702,6.161831,94.132927,11.366166,77.949168,0,2.389705882352944
2001-03-12,sz.000826,16.9700,17.4000,16.5500,16.9800,16.7100,1638247,27934977.7400,3,2.520582,1,1.615802,6.261393,95.653925,11.549821,79.208669,0,1.6157989228007263
2001-03-13,sz.000826,16.9800,17.1000,16.9000,16.9700,16.9800,728248,12371888.4500,3,1.120471,1,-0.058894,6.257706,95.597592,11.543019,79.162021,0,-0.05889281507657218
