date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000830,12.7500,12.7500,12.4500,12.6900,12.5000,356384,4498338.4500,3,0.475509,1,1.519997,4.507325,46.843207,3.304937,-26.910456,0,
2001-01-03,sz.000830,12.7000,12.8800,12.5500,12.8400,12.6900,747194,9514214.3900,3,0.996951,1,1.182038,4.560603,47.396909,3.344003,-27.228546,0,1.1820330969267268
2001-01-04,sz.000830,12.9000,12.9000,12.6500,12.6800,12.8400,552344,7036700.1200,3,0.736970,1,-1.246105,4.503773,46.806293,3.302333,-26.889250,0,-1.2461059190031154
2001-01-05,sz.000830,12.6800,12.8800,12.5800,12.8300,12.6800,689634,8749322.8200,3,0.920151,1,1.182962,4.557051,47.359995,3.341399,-27.207340,0,1.1829652996845352
2001-01-08,sz.000830,12.8400,12.9000,12.5800,12.6800,12.8300,699493,8862587.6000,3,0.933305,1,-1.169132,4.503773,46.806293,3.302333,-26.889250,0,-1.1691348402182444
2001-01-09,sz.000830,12.6800,12.7500,12.5200,12.6300,12.6800,417295,5268363.1700,3,0.556780,1,-0.394323,4.486014,46.621726,3.289311,-26.783220,0,-0.39432176656150064
2001-01-10,sz.000830,12.5800,12.9000,12.5500,12.8300,12.6300,516385,6561585.6000,3,0.688991,1,1.583530,4.557051,47.359995,3.341399,-27.207340,0,1.5835312747426666
2001-01-11,sz.000830,12.8400,13.1000,12.8000,13.0000,12.8300,1556468,20204011.9100,3,2.076732,1,1.325020,4.617433,47.987525,3.385673,-27.567843,0,1.3250194855806807
2001-01-12,sz.000830,13.0000,13.0000,12.8300,12.8800,13.0000,499399,6436283.0800,3,0.666328,1,-0.923076,4.574811,47.544563,3.354420,-27.313370,0,-0.9230769230769154
2001-01-15,sz.000830,12.8500,12.8800,12.3500,12.3900,12.8800,784106,9793894.6700,3,1.046201,1,-3.804346,4.400769,45.735802,3.226807,-26.274275,0,-3.8043478260869623
2001-01-16,sz.000830,12.3900,12.4600,12.1000,12.3900,12.3900,479571,5897554.4100,3,0.639872,1,0.000000,4.400769,45.735802,3.226807,-26.274275,0,0.0
2001-01-17,sz.000830,12.4000,12.4600,12.2100,12.2500,12.3900,336277,4146291.4000,3,0.448681,1,-1.129946,4.351043,45.219014,3.190345,-25.977390,0,-1.1299435028248594
2001-01-18,sz.000830,12.2600,12.3600,12.2600,12.2800,12.2500,406334,4993774.2900,3,0.542155,1,0.244896,4.361698,45.329754,3.198159,-26.041008,0,0.2448979591836764
2001-01-19,sz.000830,12.3000,12.4700,12.3000,12.3600,12.2800,305167,3784091.0200,3,0.407172,1,0.651465,4.390113,45.625062,3.218993,-26.210657,0,0.6514657980456029
2001-02-05,sz.000830,12.4500,12.4800,12.1500,12.1700,12.3600,272462,3349962.0000,3,0.363535,1,-1.537213,4.322628,44.923706,3.169511,-25.807742,0,-1.53721682847896
2001-02-06,sz.000830,12.1000,12.1100,11.7000,12.0500,12.1700,421752,5032011.4900,3,0.562727,1,-0.986030,4.280005,44.480744,3.138258,-25.553270,0,-0.9860312243220926
2001-02-07,sz.000830,12.0000,12.1500,11.8000,11.8600,12.0500,224546,2672177.8800,3,0.299603,1,-1.576768,4.212520,43.779388,3.088775,-25.150355,0,-1.576763485477184
2001-02-08,sz.000830,11.9000,11.9000,11.5800,11.6100,11.8600,251834,2962680.3900,3,0.336012,1,-2.107926,4.123723,42.856551,3.023666,-24.620204,0,-2.1079258010118007
2001-02-09,sz.000830,11.7000,11.8600,11.6100,11.8200,11.6100,204015,2399587.2100,3,0.272209,1,1.808786,4.198312,43.631734,3.078358,-25.065531,0,1.8087855297157729
