date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000850,21.3000,21.9500,21.3000,21.6600,21.3000,255482,5542051.5600,3,0.511680,1,1.690144,7.157869,41.443871,6.402501,-38.396140,0,
2001-01-03,sz.000850,21.8300,22.1000,21.0100,22.0300,21.6600,580067,12575376.4800,3,1.161760,1,1.708222,7.280141,42.151823,6.511870,-39.052030,0,1.7082179132040576
2001-01-04,sz.000850,21.9900,22.5300,21.0000,22.4400,22.0300,1232040,26751503.5200,3,2.467535,1,1.861098,7.415632,42.936310,6.633062,-39.778826,0,1.8610985020426796
2001-01-05,sz.000850,22.2900,23.6500,22.2900,23.2800,22.4400,897782,20747818.9400,3,1.798081,1,3.743316,7.693222,44.543551,6.881359,-41.267873,0,3.743315508021383
2001-01-08,sz.000850,23.7000,23.7800,22.8000,23.4200,23.2800,708526,16396411.3300,3,1.419039,1,0.601372,7.739488,44.811425,6.922741,-41.516048,0,0.6013745704467333
2001-01-09,sz.000850,23.1800,23.6000,23.1000,23.3200,23.4200,271387,6339767.7800,3,0.543535,1,-0.426987,7.706441,44.620087,6.893182,-41.338780,0,-0.4269854824936026
2001-01-10,sz.000850,23.4000,24.0700,23.0000,23.9700,23.3200,617297,14605019.7900,3,1.236325,1,2.787305,7.921243,45.863785,7.085316,-42.491019,0,2.7873070325900473
2001-01-11,sz.000850,23.9000,24.2000,23.6200,23.7500,23.9700,228142,5443000.0800,3,0.456924,1,-0.917811,7.848541,45.442841,7.020286,-42.101031,0,-0.9178139340842661
2001-01-12,sz.000850,23.5100,23.7500,23.3200,23.6600,23.7500,275939,6502892.3200,3,0.552652,1,-0.378948,7.818799,45.270637,6.993683,-41.941490,0,-0.3789473684210565
2001-01-15,sz.000850,23.5800,23.5800,22.5800,23.1600,23.6600,485666,11206317.1900,3,0.972694,1,-2.113271,7.653567,44.313945,6.845888,-41.055152,0,-2.1132713440405793
