date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000878,9.7600,9.8900,9.7000,9.8700,9.6600,1612949,15877776.7700,3,0.747103,1,2.173913,5.087570,45.103687,3.285690,19.286014,0,
2001-01-03,sz.000878,9.9000,9.9000,9.8000,9.8500,9.8700,2190822,21578673.9800,3,1.014768,1,-0.202629,5.077261,45.012292,3.279032,19.246934,0,-0.20263424518742745
2001-01-04,sz.000878,9.8700,9.8800,9.6800,9.7200,9.8500,3658200,35664060.5300,3,1.694444,1,-1.319798,5.010251,44.418221,3.235755,18.992914,0,-1.3197969543147114
2001-01-05,sz.000878,9.7200,9.8000,9.7000,9.7800,9.7200,5190934,50568097.8700,3,2.404392,1,0.617278,5.041179,44.692408,3.255729,19.110154,0,0.6172839506172645
2001-01-08,sz.000878,9.3100,9.3100,9.1700,9.2000,9.5100,2288362,21133112.5600,3,0.815345,1,-3.259731,5.182748,45.947489,3.347159,19.646818,0,-5.9304703476482645
2001-01-09,sz.000878,9.2000,9.3000,9.1800,9.2900,9.2000,1290758,11944643.7400,3,0.459898,1,0.978263,5.233449,46.396975,3.379902,19.839015,0,0.9782608695652062
2001-01-10,sz.000878,9.2900,9.4500,9.2700,9.4400,9.2900,1605726,14977952.0000,3,0.572121,1,1.614635,5.317950,47.146119,3.434476,20.159343,0,1.6146393972013007
2001-01-11,sz.000878,9.4500,9.6000,9.4200,9.5300,9.4400,1993165,18950419.3200,3,0.710166,1,0.953391,5.368651,47.595605,3.467220,20.351541,0,0.9533898305084776
2001-01-12,sz.000878,9.5200,9.5500,9.3700,9.4500,9.5300,1127618,10622368.0400,3,0.401771,1,-0.839454,5.323584,47.196062,3.438114,20.180699,0,-0.8394543546694666
2001-01-15,sz.000878,9.4500,9.4500,9.2500,9.2500,9.4500,1006658,9350116.1000,3,0.358673,1,-2.116400,5.210915,46.197203,3.365350,19.753594,0,-2.116402116402105
2001-01-16,sz.000878,9.2000,9.2900,9.0600,9.2900,9.2500,1011989,9281621.3200,3,0.360572,1,0.432432,5.233449,46.396975,3.379902,19.839015,0,0.432432432432428
2001-01-17,sz.000878,9.3000,9.3100,9.1500,9.1700,9.2900,828450,7612294.7000,3,0.295177,1,-1.291710,5.165848,45.797660,3.336244,19.582752,0,-1.2917115177610294
2001-01-18,sz.000878,9.1800,9.2400,9.1600,9.1800,9.1700,1005441,9235152.4900,3,0.358239,1,0.109054,5.171481,45.847603,3.339882,19.604107,0,0.10905125408942062
2001-01-19,sz.000878,9.2000,9.2600,9.1800,9.2500,9.1800,1309960,12092862.7600,3,0.466739,1,0.762524,5.210915,46.197203,3.365350,19.753594,0,0.7625272331154731
2001-02-05,sz.000878,9.3000,9.3000,9.0400,9.0900,9.2500,1122650,10266793.2800,3,0.400001,1,-1.729728,5.120781,45.398116,3.307138,19.411910,0,-1.7297297297297343
2001-02-06,sz.000878,9.1000,9.2300,9.0800,9.2100,9.0900,795534,7284370.5500,3,0.283449,1,1.320131,5.188382,45.997431,3.350797,19.668173,0,1.320132013201336
2001-02-07,sz.000878,9.1800,9.3000,9.1800,9.2500,9.2100,638403,5907821.1000,3,0.227463,1,0.434310,5.210915,46.197203,3.365350,19.753594,0,0.43431053203040193
