date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000897,14.9800,15.2000,14.9000,15.1300,14.8800,1165220,17564277.7500,3,1.664600,1,1.680108,6.303997,64.268633,8.189307,-43.242642,0,
2001-01-03,sz.000897,15.1600,15.3900,15.0000,15.3400,15.1300,1416913,21521945.1200,3,2.024161,1,1.387971,6.391495,65.160663,8.302972,-43.842837,0,1.3879709187045508
2001-01-04,sz.000897,15.4800,15.4800,15.2000,15.2800,15.3400,1179162,18090332.5100,3,1.684517,1,-0.391137,6.366495,64.905797,8.270496,-43.671353,0,-0.39113428943937656
2001-01-05,sz.000897,15.4000,16.1500,15.4000,15.8100,15.2800,4491323,71343824.2400,3,6.416176,1,3.468591,6.587323,67.157111,8.557365,-45.186132,0,3.468586387434569
2001-01-08,sz.000897,15.9900,16.3500,15.5800,15.9000,15.8100,3327938,53279747.6400,3,4.754197,1,0.569255,6.624822,67.539410,8.606079,-45.443358,0,0.5692599620493288
2001-01-09,sz.000897,15.9000,16.3500,15.7100,16.0000,15.9000,2002787,32200595.3100,3,2.861124,1,0.628933,6.666487,67.964186,8.660205,-45.729165,0,0.6289308176100628
2001-01-10,sz.000897,16.0500,16.3300,15.8500,16.2900,16.0000,1926265,30980748.3600,3,2.751807,1,1.812506,6.787317,69.196037,8.817171,-46.558007,0,1.8124999999999947
2001-01-11,sz.000897,16.3100,16.3500,16.0000,16.0000,16.2900,1405195,22686693.8500,3,2.007421,1,-1.780239,6.666487,67.964186,8.660205,-45.729165,0,-1.7802332719459746
2001-01-12,sz.000897,15.9900,15.9900,15.5000,15.5200,16.0000,1811555,28325343.4300,3,2.587936,1,-2.999997,6.466493,65.925260,8.400399,-44.357290,0,-3.0000000000000027
2001-01-15,sz.000897,15.3500,15.3700,14.9000,14.9000,15.5200,1977260,29773270.1000,3,2.824657,1,-3.994851,6.208166,63.291648,8.064816,-42.585285,0,-3.994845360824739
2001-01-16,sz.000897,14.6000,15.0500,14.5300,14.9000,14.9000,907179,13410249.4700,3,1.295970,1,0.000000,6.208166,63.291648,8.064816,-42.585285,0,0.0
2001-01-17,sz.000897,14.9000,14.9200,14.6900,14.7400,14.9000,639205,9453840.7400,3,0.913150,1,-1.073825,6.141501,62.612006,7.978214,-42.127994,0,-1.0738255033557076
2001-01-18,sz.000897,14.7400,14.8700,14.6500,14.7200,14.7400,834217,12286952.0000,3,1.191739,1,-0.135682,6.133168,62.527051,7.967389,-42.070832,0,-0.13568521031207537
2001-01-19,sz.000897,14.8900,15.0700,14.7000,14.9200,14.7200,590540,8814121.3000,3,0.843629,1,1.358694,6.216499,63.376603,8.075641,-42.642447,0,1.3586956521739024
2001-02-05,sz.000897,15.0100,15.0800,14.4800,14.5200,14.9200,597548,8825025.6000,3,0.853640,1,-2.680963,6.049837,61.677498,7.859136,-41.499218,0,-2.680965147453085
2001-02-06,sz.000897,14.4800,14.7000,14.3000,14.5100,14.5200,367682,5301529.0300,3,0.525260,1,-0.068872,6.045671,61.635021,7.853724,-41.470637,0,-0.06887052341597588
2001-02-07,sz.000897,14.5200,14.7000,14.4000,14.4600,14.5100,301335,4378144.9000,3,0.430479,1,-0.344591,6.024838,61.422633,7.826661,-41.327733,0,-0.3445899379738049
2001-02-08,sz.000897,14.4500,14.4800,13.8500,13.8700,14.4600,456195,6442750.9500,3,0.651707,1,-4.080222,5.779011,58.916453,7.507315,-39.641470,0,-4.08022130013832
2001-02-09,sz.000897,13.8900,14.2600,13.8900,14.1600,13.8700,564797,7927081.1800,3,0.806853,1,2.090843,5.899841,60.148304,7.664282,-40.470311,0,2.0908435472242415
2001-02-12,sz.000897,14.2000,14.3700,14.0500,14.1200,14.1600,487185,6894293.5300,3,0.695979,1,-0.282486,5.883175,59.978394,7.642631,-40.355988,0,-0.28248587570621764
2001-02-13,sz.000897,14.1500,14.2900,13.9500,14.0300,14.1200,580528,8191959.5600,3,0.829326,1,-0.637395,5.845676,59.596095,7.593918,-40.098762,0,-0.6373937677053854
2001-02-14,sz.000897,14.0200,14.0200,13.8700,13.8800,14.0300,499323,6959470.7400,3,0.713319,1,-1.069135,5.783178,58.958931,7.512728,-39.670051,0,-1.0691375623663513
2001-02-15,sz.000897,13.9000,14.0000,13.7200,13.8000,13.8800,1147837,15915030.2800,3,1.639767,1,-0.576368,5.749845,58.619110,7.469427,-39.441405,0,-0.5763688760806907
2001-02-16,sz.000897,13.5500,13.9000,13.4100,13.8000,13.7400,377647,5138297.2400,3,0.414997,1,0.436684,6.197055,63.178374,8.050382,-42.509070,0,0.0
2001-02-19,sz.000897,13.6800,13.8500,13.5800,13.7500,13.8000,219813,3017078.8500,3,0.241553,1,-0.362320,6.174602,62.949467,8.021214,-42.355052,0,-0.36231884057971175
2001-02-20,sz.000897,13.8000,13.9400,13.6100,13.6900,13.7500,320870,4406893.8000,3,0.352604,1,-0.436367,6.147659,62.674779,7.986213,-42.170230,0,-0.43636363636363473
