date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000913,14.5600,15.0400,14.5600,14.9000,14.5600,396862,5912995.4900,3,0.610557,1,2.335159,4.940452,33.836795,1.292590,26.648483,0,
2001-01-03,sz.000913,15.0000,15.0000,14.6800,14.9500,14.9000,582729,8639436.8900,3,0.896506,1,0.335572,4.957030,33.950342,1.296927,26.737908,0,0.3355704697986406
2001-01-04,sz.000913,14.9700,14.9700,14.7800,14.8800,14.9500,444785,6596853.2000,3,0.684285,1,-0.468225,4.933820,33.791377,1.290855,26.612713,0,-0.4682274247491569
2001-01-05,sz.000913,14.8800,15.0500,14.7800,15.0100,14.8800,627320,9384689.1000,3,0.965108,1,0.873657,4.976925,34.086597,1.302132,26.845217,0,0.8736559139784772
2001-01-08,sz.000913,15.1000,15.3400,14.9100,15.1800,15.0100,985003,14946819.4600,3,1.515389,1,1.132579,5.033292,34.472655,1.316880,27.149260,0,1.1325782811459018
2001-01-09,sz.000913,15.1100,15.5000,15.1000,15.4400,15.1800,810917,12470879.5600,3,1.247565,1,1.712775,5.119502,35.063095,1.339435,27.614267,0,1.7127799736495364
2001-01-10,sz.000913,15.4000,15.6900,15.3800,15.4000,15.4400,908844,14114077.7600,3,1.398222,1,-0.259067,5.106239,34.972258,1.335965,27.542728,0,-0.2590673575129432
2001-01-11,sz.000913,15.4000,15.5000,15.0000,15.0300,15.4000,744610,11305425.9000,3,1.145554,1,-2.402597,4.983556,34.132016,1.303867,26.880987,0,-2.402597402597406
2001-01-12,sz.000913,15.0500,15.1800,14.9000,15.0000,15.0300,753450,11308424.7000,3,1.159154,1,-0.199599,4.973609,34.063888,1.301265,26.827332,0,-0.19960079840318778
2001-01-15,sz.000913,15.1000,15.1000,14.5000,14.5700,15.0000,712700,10525492.2000,3,1.096462,1,-2.866669,4.831032,33.087390,1.263962,26.058282,0,-2.866666666666662
2001-01-16,sz.000913,14.6800,14.8800,14.2500,14.8400,14.5700,1068272,15488836.6000,3,1.643495,1,1.853126,4.920557,33.700540,1.287385,26.541174,0,1.853122855181888
2001-01-17,sz.000913,14.8500,15.5500,14.8000,15.3300,14.8400,1757951,26997158.5100,3,2.704540,1,3.301885,5.083029,34.813294,1.329893,27.417533,0,3.301886792452824
2001-01-18,sz.000913,15.3000,15.8000,15.0600,15.1200,15.3300,639993,9775481.3200,3,0.984605,1,-1.369863,4.674843,28.286397,1.048671,-54.323965,0,-1.3698630136986356
2001-01-19,sz.000913,15.2000,15.4800,15.1500,15.2200,15.1200,772065,11846791.7000,3,1.187792,1,0.661378,4.705762,28.473476,1.055606,-54.683251,0,0.6613756613756738
2001-02-05,sz.000913,15.3900,15.4000,14.6800,14.7100,15.2200,702030,10485930.7000,3,1.080046,1,-3.350855,4.548078,27.519372,1.020234,-52.850895,0,-3.3508541392904045
2001-02-06,sz.000913,14.8000,14.8100,14.3200,14.7500,14.7100,465180,6753572.5000,3,0.715662,1,0.271924,4.560446,27.594203,1.023009,-52.994609,0,0.2719238613188235
2001-02-07,sz.000913,14.6800,14.7000,14.4600,14.4900,14.7500,240800,3518446.0000,3,0.370462,1,-1.762713,4.480058,27.107797,1.004976,-52.060467,0,-1.762711864406774
2001-02-08,sz.000913,14.4500,14.6000,14.3300,14.3900,14.4900,357000,5156838.5000,3,0.549231,1,-0.690127,4.449140,26.920718,0.998040,-51.701181,0,-0.6901311249137287
2001-02-09,sz.000913,14.3800,14.6000,13.9100,14.2400,14.3900,1438098,20393561.8500,3,2.212458,1,-1.042395,4.402763,26.640099,0.987637,-51.162253,0,-1.0423905489923557
2001-02-12,sz.000913,14.2400,14.5600,14.1000,14.5400,14.2400,371097,5351517.4000,3,0.570918,1,2.106743,4.495517,27.201337,1.008444,-52.240109,0,2.106741573033699
2001-02-13,sz.000913,14.5900,14.6600,14.4600,14.5300,14.5400,225460,3288167.6000,3,0.346862,1,-0.068777,4.492426,27.182629,1.007750,-52.204181,0,-0.06877579092159358
2001-02-14,sz.000913,14.5100,14.5100,14.3500,14.3800,14.5300,129700,1867439.0000,3,0.199538,1,-1.032344,4.446048,26.902010,0.997347,-51.665253,0,-1.0323468685478177
2001-02-15,sz.000913,14.4800,14.4800,13.9700,14.0500,14.3800,528620,7471993.7800,3,0.813262,1,-2.294853,4.344018,26.284648,0.974459,-50.479611,0,-2.294853963838661
2001-02-16,sz.000913,14.0600,14.2000,13.9800,14.1500,14.0500,194535,2733843.0000,3,0.299285,1,0.711740,4.374936,26.471727,0.981395,-50.838896,0,0.7117437722419906
2001-02-19,sz.000913,14.1500,14.1500,14.1500,14.1500,14.1500,0,0.0000,3,,0,0.000000,4.374936,26.471727,0.981395,-50.838896,0,0.0
2001-02-20,sz.000913,14.1500,14.3000,14.0200,14.0400,14.1500,232523,3280642.7400,3,0.357728,1,-0.777383,4.340926,26.265940,0.973766,-50.443682,0,-0.7773851590106129
2001-02-21,sz.000913,14.1000,14.1400,13.1800,13.4000,14.0400,663500,9031863.0000,3,1.020769,1,-4.558407,4.143049,25.068632,0.929377,-48.144255,0,-4.55840455840455
2001-02-22,sz.000913,13.4000,13.6000,13.1500,13.1500,13.4000,432800,5787199.0100,3,0.665846,1,-1.865672,4.065753,24.600934,0.912038,-47.246041,0,-1.8656716417910446
2001-02-23,sz.000913,13.1800,13.3500,13.1000,13.3000,13.1500,724946,9576381.7600,3,1.115302,1,1.140689,4.112131,24.881553,0.922442,-47.784969,0,1.1406844106463865
2001-02-26,sz.000913,13.5900,13.6000,13.3800,13.4000,13.3000,689490,9267291.4400,3,1.060754,1,0.751875,4.143049,25.068632,0.929377,-48.144255,0,0.7518796992481258
2001-02-27,sz.000913,13.4900,13.9500,13.4900,13.8500,13.4000,453175,6255548.2500,3,0.697192,1,3.358215,4.282181,25.910489,0.960588,-49.761040,0,3.3582089552238736
2001-02-28,sz.000913,13.9300,13.9300,13.7100,13.9000,13.8500,233106,3221191.1800,3,0.358625,1,0.361005,4.297640,26.004029,0.964056,-49.940682,0,0.3610108303249149
2001-03-01,sz.000913,13.8600,14.0400,13.8500,14.0200,13.9000,237460,3308708.6000,3,0.365323,1,0.863316,4.334742,26.228524,0.972378,-50.371825,0,0.8633093525179714
2001-03-02,sz.000913,14.0700,14.1800,13.9300,14.1700,14.0200,285366,4021862.3300,3,0.439025,1,1.069897,4.381120,26.509143,0.982782,-50.910753,0,1.0699001426533572
2001-03-05,sz.000913,14.1000,14.1800,13.9600,13.9700,14.1700,275699,3868243.9700,3,0.424152,1,-1.411431,4.319283,26.134985,0.968911,-50.192182,0,-1.4114326040931546
2001-03-06,sz.000913,13.9600,13.9600,13.8100,13.8700,13.9700,199810,2771893.2500,3,0.307400,1,-0.715822,4.288365,25.947905,0.961975,-49.832897,0,-0.7158196134574135
2001-03-07,sz.000913,13.8900,14.1400,13.5500,13.7200,13.8700,290600,4042825.5600,3,0.447077,1,-1.081468,4.241988,25.667286,0.951572,-49.293968,0,-1.0814708002883866
2001-03-08,sz.000913,13.8500,14.0000,13.5000,13.7500,13.7200,614681,8398493.7600,3,0.945663,1,0.218657,4.251263,25.723410,0.953652,-49.401754,0,0.21865889212826506
2001-03-09,sz.000913,13.7500,14.1500,13.7500,13.9400,13.7500,497040,6930714.4000,3,0.764677,1,1.381815,4.310008,26.078861,0.966830,-50.084396,0,1.381818181818173
2001-03-12,sz.000913,13.9900,14.5900,13.9200,14.5700,13.9400,920443,13148219.2800,3,1.416066,1,4.519370,4.504793,27.257461,1.010525,-52.347895,0,4.519368723098993
2001-03-13,sz.000913,14.5000,14.7900,14.4000,14.6100,14.5700,1674260,24583329.6200,3,2.575785,1,0.274537,4.517160,27.332292,1.013299,-52.491609,0,0.27453671928618917
2001-03-14,sz.000913,14.5500,14.7100,14.5000,14.6400,14.6100,707300,10345973.2000,3,1.088154,1,0.205344,4.526436,27.388416,1.015380,-52.599395,0,0.2053388090349051
2001-03-15,sz.000913,14.6400,14.7000,14.5800,14.6200,14.6400,683581,10025058.4100,3,1.051663,1,-0.136615,4.520252,27.351000,1.013992,-52.527538,0,-0.1366120218579292
2001-03-16,sz.000913,14.6000,14.7600,14.5000,14.5200,14.6200,396100,5796687.0000,3,0.609385,1,-0.683991,4.489334,27.163921,1.007057,-52.168252,0,-0.6839945280437743
2001-03-19,sz.000913,14.5900,14.6900,14.4800,14.5400,14.5200,702600,10219003.0000,3,1.080923,1,0.137738,4.495517,27.201337,1.008444,-52.240109,0,0.13774104683195176
2001-03-20,sz.000913,14.5900,14.7000,14.4000,14.5700,14.5400,591855,8595285.5000,3,0.910546,1,0.206325,4.504793,27.257461,1.010525,-52.347895,0,0.20632737276480295
2001-03-21,sz.000913,14.4000,14.7000,14.4000,14.6500,14.5700,659061,9608073.9400,3,1.013940,1,0.549073,4.529528,27.407124,1.016073,-52.635323,0,0.5490734385724005
2001-03-22,sz.000913,14.7000,15.1500,14.6900,15.0100,14.6500,1084698,16232269.7200,3,1.668766,1,2.457342,4.640833,28.080610,1.041041,-53.928751,0,2.457337883959032
2001-03-23,sz.000913,15.1000,15.1000,14.8100,14.8300,15.0100,804112,12027837.5200,3,1.237095,1,-1.199203,4.585180,27.743867,1.028557,-53.282037,0,-1.1992005329780175
2001-03-26,sz.000913,14.8200,15.0800,14.7500,15.0200,14.8300,828176,12424101.8400,3,1.274117,1,1.281190,4.643925,28.099318,1.041735,-53.964680,0,1.2811867835468504
2001-03-27,sz.000913,15.0300,15.2900,15.0200,15.2200,15.0200,1179518,17874934.7600,3,1.814643,1,1.331557,4.705762,28.473476,1.055606,-54.683251,0,1.331557922769644
2001-03-28,sz.000913,15.2500,15.4700,15.1500,15.3000,15.2200,1598720,24450055.3000,3,2.459569,1,0.525624,4.730496,28.623140,1.061155,-54.970679,0,0.5256241787122251
