date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000920,19.3300,19.3300,19.3300,19.3300,19.3300,0,0.0000,3,,0,0.000000,6.140099,58.250509,10.188153,15.023047,0,
2001-01-03,sz.000920,19.6500,19.8800,19.1400,19.5700,19.3300,1357858,26443149.0100,3,1.939797,1,1.241592,6.216334,58.973743,10.314648,15.209572,0,1.2415933781686705
2001-01-04,sz.000920,19.5900,19.6000,19.1000,19.1600,19.5700,711566,13703077.5500,3,1.016523,1,-2.095043,6.086099,57.738218,10.098552,14.890925,0,-2.0950434338272927
2001-01-05,sz.000920,19.2000,19.3000,18.9300,19.0500,19.1600,707882,13460235.8700,3,1.011260,1,-0.574116,6.051158,57.406735,10.040575,14.805434,0,-0.574112734864296
2001-01-08,sz.000920,19.0500,19.2600,18.6800,18.7200,19.0500,936875,17665927.4300,3,1.338393,1,-1.732283,5.946335,56.412288,9.866643,14.548962,0,-1.7322834645669416
2001-01-09,sz.000920,18.7500,18.9900,18.6600,18.8300,18.7200,504928,9479455.5300,3,0.721326,1,0.587610,5.981276,56.743770,9.924621,14.634453,0,0.5876068376068355
2001-01-10,sz.000920,19.0000,19.2500,18.8000,19.0100,18.8300,524636,10017549.4100,3,0.749480,1,0.955923,6.038452,57.286196,10.019492,14.774346,0,0.9559214020180784
2001-01-11,sz.000920,19.0900,19.3000,18.8000,18.8200,19.0100,541010,10341108.0000,3,0.772871,1,-0.999477,5.978099,56.713636,9.919350,14.626681,0,-0.9994739610731274
2001-01-12,sz.000920,18.7500,19.6400,18.5400,19.6200,18.8200,3191696,61423838.3800,3,4.559566,1,4.250803,6.232216,59.124417,10.341001,15.248431,0,4.250797024442088
2001-01-15,sz.000920,19.5500,19.6700,18.8000,19.0800,19.6200,2029571,39087098.6900,3,2.899387,1,-2.752298,6.060687,57.497140,10.056387,14.828750,0,-2.752293577981668
2001-01-16,sz.000920,19.0500,19.5600,19.0000,19.4700,19.0800,2111127,40901650.7200,3,3.015896,1,2.044022,6.184569,58.672396,10.261942,15.131853,0,2.0440251572326984
2001-01-17,sz.000920,19.4700,19.9000,19.3000,19.3100,19.4700,2202055,43345961.1000,3,3.145793,1,-0.821776,6.133746,58.190239,10.177611,15.007503,0,-0.8217770929635382
2001-01-18,sz.000920,19.2500,19.6000,18.6200,19.1400,19.3100,1860786,35669747.1900,3,2.658266,1,-0.880373,6.079746,57.677948,10.088010,14.875381,0,-0.8803728638011266
2001-01-19,sz.000920,19.2000,19.3000,18.8200,19.2300,19.1400,1148522,21980691.9600,3,1.640746,1,0.470220,6.108334,57.949161,10.135446,14.945328,0,0.4702194357366851
2001-02-05,sz.000920,19.2000,19.2100,18.0200,18.7200,19.2300,859881,15948325.3200,3,1.228401,1,-2.652107,5.946335,56.412288,9.866643,14.548962,0,-2.6521060842433775
2001-02-06,sz.000920,18.7000,18.7000,18.0700,18.6000,18.7200,727566,13337004.0500,3,1.039380,1,-0.641020,5.908217,56.050671,9.803396,14.455699,0,-0.6410256410256276
2001-02-07,sz.000920,18.6200,18.7500,18.1000,18.5300,18.6000,490351,9022662.9400,3,0.700501,1,-0.376342,5.885982,55.839727,9.766501,14.401296,0,-0.37634408602150726
2001-02-08,sz.000920,18.5000,18.7500,17.6500,17.6600,18.5300,653600,11854848.0000,3,0.933714,1,-4.695093,5.609630,53.218002,9.307955,13.725142,0,-4.695089044792233
2001-02-09,sz.000920,17.6600,17.9900,17.6500,17.8900,17.6600,551372,9791548.9700,3,0.787674,1,1.302376,5.682688,53.911102,9.429180,13.903896,0,1.3023782559456354
2001-02-12,sz.000920,17.4000,17.8000,17.2300,17.5100,17.8900,354904,6189995.5400,3,0.507006,1,-2.124087,5.561983,52.765981,9.228896,13.608564,0,-2.124091671324757
2001-02-13,sz.000920,17.6000,18.5700,17.5200,18.5500,17.5100,900105,16363527.2900,3,1.285864,1,5.939457,5.892335,55.899997,9.777043,14.416840,0,5.939463163906344
2001-02-14,sz.000920,18.3100,18.4000,17.9800,18.2500,18.5500,361595,6555193.4500,3,0.516564,1,-1.617247,5.939248,46.780094,8.482150,-20.169791,0,-1.6172506738544534
2001-02-15,sz.000920,18.1800,18.3600,17.9800,18.0900,18.2500,368895,6702028.3500,3,0.526993,1,-0.876711,5.887178,46.369967,8.407786,-19.992960,0,-0.8767123287671263
2001-02-16,sz.000920,18.0700,18.2900,17.8200,18.2800,18.0900,473990,8537471.5300,3,0.677129,1,1.050307,5.949011,46.856993,8.496093,-20.202947,0,1.0503040353786686
2001-02-19,sz.000920,18.3000,18.5500,18.1300,18.5500,18.2800,696618,12829289.2200,3,0.995169,1,1.477016,6.036879,47.549082,8.621583,-20.501349,0,1.4770240700218817
