date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000935,17.8100,18.3500,17.8000,18.1800,18.0400,355638,6479933.0100,3,0.613169,1,0.776050,6.736750,70.021158,8.081261,169.091646,0,
2001-01-03,sz.000935,18.2000,18.4800,18.0000,18.3600,18.1800,385516,7072317.7400,3,0.664683,1,0.990101,6.803451,70.714437,8.161273,170.765821,0,0.990099009900991
2001-01-04,sz.000935,18.5500,18.5900,18.3100,18.5000,18.3600,329480,6083670.3000,3,0.568069,1,0.762524,6.855329,71.253654,8.223505,172.067957,0,0.7625272331154731
2001-01-05,sz.000935,18.5000,18.6300,18.0900,18.4000,18.5000,774714,14192317.1000,3,1.335714,1,-0.540543,6.818273,70.868499,8.179054,171.137859,0,-0.5405405405405461
2001-01-08,sz.000935,18.4000,18.4500,18.0000,18.2500,18.4000,469109,8515669.6000,3,0.808809,1,-0.815215,6.762689,70.290767,8.112377,169.742714,0,-0.8152173913043348
2001-01-09,sz.000935,18.1000,18.4000,18.1000,18.3300,18.2500,504130,9206814.3000,3,0.869190,1,0.438356,6.792334,70.598891,8.147938,170.486792,0,0.4383561643835465
2001-01-10,sz.000935,18.4000,18.5500,18.2800,18.3400,18.3300,571200,10497821.7000,3,0.984828,1,0.054557,6.796040,70.637406,8.152383,170.579801,0,0.054555373704312515
2001-01-11,sz.000935,18.1000,18.4300,18.1000,18.3800,18.3400,791605,14529941.1000,3,1.364836,1,0.218097,6.810862,70.791468,8.170164,170.951840,0,0.21810250817884125
2001-01-12,sz.000935,18.1800,18.4000,18.1500,18.1900,18.3800,363920,6648768.0000,3,0.627448,1,-1.033725,6.740456,70.059674,8.085706,169.184656,0,-1.0337323177366575
2001-01-15,sz.000935,16.3700,18.3600,16.3700,17.6000,18.1900,1035880,18375652.8000,3,1.786000,1,-3.243541,6.521826,67.787260,7.823443,163.697083,0,-3.243540406816936
2001-01-16,sz.000935,17.6000,17.7700,17.2500,17.7600,17.6000,1603814,27970240.1700,3,2.765197,1,0.909090,6.581116,68.403508,7.894565,165.185238,0,0.9090909090909038
2001-01-17,sz.000935,18.0000,18.1900,17.7200,17.7800,17.7600,468270,8359624.3600,3,0.807362,1,0.112615,6.588527,68.480539,7.903455,165.371258,0,0.11261261261261701
2001-01-18,sz.000935,18.0000,18.1000,17.6900,17.8500,17.7800,270700,4848078.8800,3,0.466724,1,0.393699,6.614466,68.750147,7.934571,166.022326,0,0.3937007874015741
2001-01-19,sz.000935,18.0000,18.1500,17.9000,18.1000,17.8500,256936,4647059.8000,3,0.442993,1,1.400560,6.707106,69.713035,8.045700,168.347568,0,1.4005602240896309
2001-02-05,sz.000935,18.1500,18.1500,17.6300,17.6600,18.1000,562000,10019877.0000,3,0.968966,1,-2.430942,6.544060,68.018353,7.850114,164.255141,0,-2.4309392265193464
2001-02-06,sz.000935,17.6000,17.7900,16.6800,16.8100,17.6600,643800,11027952.0000,3,1.110000,1,-4.813139,6.229085,64.744537,7.472277,156.349316,0,-4.813137032842585
2001-02-07,sz.000935,17.0000,17.5000,16.9500,17.3100,16.8100,292300,5047235.0000,3,0.503966,1,2.974420,6.414365,66.670311,7.694534,160.999801,0,2.974419988102328
2001-02-08,sz.000935,17.0100,17.3800,16.7500,16.8100,17.3100,500900,8530433.4000,3,0.863621,1,-2.888504,6.229085,64.744537,7.472277,156.349316,0,-2.888503755054883
2001-02-09,sz.000935,16.8200,17.0500,16.8200,16.9700,16.8100,145585,2469923.5000,3,0.251009,1,0.951813,6.288375,65.360784,7.543399,157.837471,0,0.9518143961927406
2001-02-12,sz.000935,17.0000,17.0100,16.6800,16.9700,16.9700,211471,3545109.8400,3,0.364605,1,0.000000,6.288375,65.360784,7.543399,157.837471,0,0.0
2001-02-13,sz.000935,16.9900,17.2000,16.7100,17.2000,16.9700,156678,2667075.9400,3,0.270134,1,1.355342,6.373603,66.246641,7.645637,159.976695,0,1.3553329404832004
2001-02-14,sz.000935,17.3000,17.7000,17.1500,17.6500,17.2000,287061,5041242.8800,3,0.494933,1,2.616272,6.540354,67.979838,7.845668,164.162131,0,2.6162790697674465
2001-02-15,sz.000935,17.7000,18.0500,17.3500,17.5000,17.6500,320117,5670341.0600,3,0.551926,1,-0.849856,6.484771,67.402105,7.778991,162.766986,0,-0.8498583569405027
2001-02-16,sz.000935,17.4800,17.7500,17.3000,17.7000,17.5000,460780,8042315.3000,3,0.794448,1,1.142861,6.558882,68.172415,7.867894,164.627180,0,1.1428571428571344
2001-02-19,sz.000935,17.9900,17.9900,17.5000,17.7600,17.7000,96950,1727689.5000,3,0.167155,1,0.338980,6.581116,68.403508,7.894565,165.185238,0,0.3389830508474745
2001-02-20,sz.000935,17.6900,18.0000,17.6000,17.7800,17.7600,137150,2443917.5000,3,0.236466,1,0.112615,6.588527,68.480539,7.903455,165.371258,0,0.11261261261261701
2001-02-21,sz.000935,17.7000,17.7000,17.1100,17.3100,17.7800,87710,1513390.9000,3,0.151224,1,-2.643426,6.414365,66.670311,7.694534,160.999801,0,-2.6434195725534404
2001-02-22,sz.000935,17.1100,17.6800,17.1100,17.2200,17.3100,133310,2304522.1100,3,0.229845,1,-0.519932,6.381014,66.323672,7.654528,160.162714,0,-0.5199306759098743
2001-02-23,sz.000935,17.4800,17.4800,17.2000,17.3900,17.2200,71303,1234343.2000,3,0.122936,1,0.987225,6.444009,66.978435,7.730095,161.743879,0,0.9872241579558683
2001-02-26,sz.000935,17.1500,17.6500,17.1500,17.5200,17.3900,386040,6738996.9000,3,0.665586,1,0.747562,6.492182,67.479136,7.787882,162.953005,0,0.7475560667050019
2001-02-27,sz.000935,17.5000,18.0200,17.3200,17.9800,17.5200,274101,4892292.3100,3,0.472588,1,2.625566,6.662639,69.250849,7.992358,167.231452,0,2.6255707762557146
2001-02-28,sz.000935,17.9900,18.5000,17.8200,18.2500,17.9800,358530,6525472.9600,3,0.618155,1,1.501671,6.762689,70.290767,8.112377,169.742714,0,1.5016685205784253
2001-03-01,sz.000935,18.3800,18.4000,17.9800,18.1500,18.2500,222730,4031076.0000,3,0.384017,1,-0.547947,6.725634,69.905612,8.067925,168.812617,0,-0.5479452054794609
2001-03-02,sz.000935,18.1100,18.3500,18.1100,18.2000,18.1500,167260,3053661.1000,3,0.288379,1,0.275488,6.744161,70.098189,8.090151,169.277665,0,0.27548209366392573
2001-03-05,sz.000935,18.3000,18.3000,18.1600,18.2600,18.2000,86050,1567593.3000,3,0.148362,1,0.329667,6.766395,70.329282,8.116822,169.835724,0,0.3296703296703507
2001-03-06,sz.000935,18.2600,19.1000,17.5100,19.0900,18.2600,1137398,21419402.0700,3,1.961031,1,4.545454,7.073958,73.526068,8.485768,177.555529,0,4.545454545454541
2001-03-07,sz.000935,18.8000,20.2800,18.8000,20.0800,19.0900,1116485,22137319.2100,3,1.924974,1,5.185960,7.440811,77.339101,8.925837,186.763490,0,5.185961236249348
2001-03-08,sz.000935,20.0500,20.4000,19.5000,19.8700,20.0800,680376,13688830.2400,3,1.173062,1,-1.045812,7.362994,76.530276,8.832489,184.810286,0,-1.045816733067717
2001-03-09,sz.000935,19.3000,20.3000,19.3000,19.8800,19.8700,368100,7286003.0000,3,0.634655,1,0.050319,7.366699,76.568792,8.836934,184.903296,0,0.05032712632107028
2001-03-12,sz.000935,19.8800,20.9900,19.6000,20.7600,19.8800,967474,19885497.2400,3,1.668059,1,4.426565,7.692791,79.958155,9.228106,193.088150,0,4.426559356136828
2001-03-13,sz.000935,19.5000,21.4800,19.5000,20.8900,20.7600,1041630,21893119.4800,3,1.795914,1,0.626200,7.740963,80.458856,9.285893,194.297276,0,0.626204238920991
2001-03-14,sz.000935,20.8900,21.4000,20.5100,20.8700,20.8900,481861,10135743.9800,3,0.830795,1,-0.095733,7.733552,80.381825,9.277003,194.111257,0,-0.09573958831976537
2001-03-15,sz.000935,20.9100,21.4000,20.9100,21.2400,20.8700,650354,13808107.6200,3,1.121300,1,1.772875,7.870659,81.806898,9.441473,197.552616,0,1.772879731672239
2001-03-16,sz.000935,21.2400,21.5300,20.7200,20.9300,21.2400,344190,7275075.2200,3,0.593431,1,-1.459508,7.755786,80.612918,9.303674,194.669315,0,-1.4595103578154411
2001-03-19,sz.000935,20.9300,21.5000,20.9000,21.1900,20.9300,1436655,30461290.0600,3,2.476991,1,1.242237,7.852131,81.614321,9.419247,197.087567,0,1.2422360248447228
2001-03-20,sz.000935,21.1900,21.3400,20.9000,21.1900,21.1900,651466,13772529.8200,3,1.123217,1,0.000000,7.852131,81.614321,9.419247,197.087567,0,0.0
2001-03-21,sz.000935,21.1900,22.2000,21.0000,21.9500,21.1900,1499908,32209282.9600,3,2.586048,1,3.586598,8.133755,84.541498,9.757078,204.156305,0,3.5865974516281263
