date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000951,10.2700,10.4100,10.0800,10.3000,10.0700,1184262,12157895.5700,3,1.315847,1,2.284017,4.195235,105.902144,4.264494,10.888472,0,
2001-01-03,sz.000951,10.3000,11.3300,10.1600,10.9900,10.3000,7548787,81644437.5200,3,8.387541,1,6.699025,4.476275,112.996560,4.550174,11.617894,0,6.699029126213585
2001-01-04,sz.000951,10.9800,10.9800,10.5800,10.6200,10.9900,3812081,41000588.4100,3,4.235646,1,-3.366696,4.325572,109.192308,4.396983,11.226754,0,-3.3666969972702576
2001-01-05,sz.000951,10.6200,10.9100,10.5800,10.7400,10.6200,3006187,32447768.6100,3,3.340208,1,1.129943,4.374449,110.426119,4.446667,11.353610,0,1.1299435028248705
2001-01-08,sz.000951,10.7900,10.9400,10.4500,10.7300,10.7400,2605610,27947157.9400,3,2.895122,1,-0.093112,4.370375,110.323302,4.442526,11.343039,0,-0.09310986964617962
2001-01-09,sz.000951,10.7000,10.8400,10.4800,10.5500,10.7300,1429833,15172161.7000,3,1.588703,1,-1.677534,4.297061,108.472585,4.368001,11.152755,0,-1.6775396085740857
2001-01-10,sz.000951,10.6000,10.8000,10.5400,10.7400,10.5500,1357905,14505537.9500,3,1.508783,1,1.800944,4.374449,110.426119,4.446667,11.353610,0,1.8009478672985635
2001-01-11,sz.000951,10.8000,10.8300,10.5200,10.5400,10.7400,1379400,14723666.0000,3,1.532667,1,-1.862196,4.292988,108.369767,4.363861,11.142184,0,-1.862197392923659
2001-01-12,sz.000951,10.5400,10.8600,10.3900,10.6400,10.5400,1690925,17890083.4800,3,1.878806,1,0.948770,4.333718,109.397943,4.405264,11.247897,0,0.9487666034155628
2001-01-15,sz.000951,10.6800,10.6800,10.1800,10.2000,10.6400,1263840,13124449.9500,3,1.404267,1,-4.135343,4.154504,104.873968,4.223091,10.782759,0,-4.135338345864669
2001-01-16,sz.000951,10.0000,10.6000,10.0000,10.4900,10.2000,980285,10199232.0100,3,1.089206,1,2.843137,4.272622,107.855679,4.343159,11.089327,0,2.843137254901973
2001-01-17,sz.000951,10.4900,10.5700,10.3100,10.3200,10.4900,606932,6322016.8800,3,0.674369,1,-1.620592,4.203381,106.107779,4.272775,10.909615,0,-1.62059103908484
2001-01-18,sz.000951,10.3300,10.4500,10.3200,10.3400,10.3200,813437,8448508.2500,3,0.903819,1,0.193803,4.211527,106.313415,4.281055,10.930757,0,0.19379844961240345
2001-01-19,sz.000951,10.3500,10.6000,10.3500,10.4600,10.3400,692940,7264052.1500,3,0.769933,1,1.160540,4.260403,107.547226,4.330739,11.057613,0,1.1605415860735047
2001-02-05,sz.000951,10.4900,10.5100,10.1800,10.2100,10.4600,665050,6839801.2500,3,0.738944,1,-2.390057,4.158577,104.976786,4.227231,10.793330,0,-2.390057361376674
2001-02-06,sz.000951,10.2100,10.2500,9.9100,10.2400,10.2100,847613,8519426.0100,3,0.941792,1,0.293827,4.170796,105.285238,4.239652,10.825044,0,0.2938295788442735
2001-02-07,sz.000951,10.1800,10.2200,10.0500,10.0700,10.2400,535438,5404616.9000,3,0.594931,1,-1.660157,4.101555,103.537339,4.169267,10.645331,0,-1.66015625
2001-02-08,sz.000951,10.1000,10.1300,9.7500,9.7500,10.0700,880300,8749124.7800,3,0.978111,1,-3.177753,3.971217,100.247175,4.036778,10.307049,0,-3.177755710029795
2001-02-09,sz.000951,9.7700,10.2100,9.7700,10.0100,9.7500,497071,4954436.2300,3,0.552301,1,2.666669,4.077116,102.920433,4.144426,10.581903,0,2.6666666666666616
2001-02-12,sz.000951,10.0100,10.1600,9.8600,10.1500,10.0100,511937,5112191.5100,3,0.568819,1,1.398595,4.134139,104.359880,4.202390,10.729902,0,1.3986013986013957
2001-02-13,sz.000951,10.1100,10.2100,9.9700,10.0300,10.1500,377904,3813250.0000,3,0.419893,1,-1.182265,4.085262,103.126069,4.152706,10.603046,0,-1.1822660098522286
2001-02-14,sz.000951,10.0800,10.1400,9.7800,9.9600,10.0300,836779,8277466.3000,3,0.929754,1,-0.697903,4.056751,102.406345,4.123724,10.529047,0,-0.6979062811565129
2001-02-15,sz.000951,9.8000,10.0200,9.8000,9.8600,9.9600,349200,3452584.4000,3,0.388000,1,-1.004020,4.016021,101.378169,4.082321,10.423333,0,-1.0040160642570406
2001-02-16,sz.000951,9.9000,9.9000,9.6800,9.8600,9.8600,513753,5030965.9300,3,0.570837,1,0.000000,4.016021,101.378169,4.082321,10.423333,0,0.0
2001-02-19,sz.000951,9.8600,9.9900,9.8000,9.9400,9.8600,272010,2692972.1000,3,0.302233,1,0.811358,4.048605,102.200710,4.115444,10.507904,0,0.8113590263691739
2001-02-20,sz.000951,9.9400,10.0500,9.7800,9.7900,9.9400,598200,5929150.5000,3,0.664667,1,-1.509051,3.987509,100.658446,4.053339,10.349334,0,-1.5090543259557387
2001-02-21,sz.000951,9.7500,9.8100,9.3100,9.3600,9.7900,1329731,12611445.8900,3,1.477479,1,-4.392240,3.812369,96.237288,3.875307,9.894767,0,-4.392236976506636
2001-02-22,sz.000951,9.3000,9.4400,9.2000,9.3200,9.3600,535126,4993055.8700,3,0.594584,1,-0.427350,3.796076,95.826018,3.858746,9.852481,0,-0.42735042735041473
2001-02-23,sz.000951,9.3200,9.4900,9.2000,9.4400,9.3200,511765,4777961.2300,3,0.568628,1,1.287552,3.844953,97.059829,3.908429,9.979337,0,1.2875536480686511
2001-02-26,sz.000951,9.4600,9.6200,9.4500,9.5600,9.4400,486488,4633210.8300,3,0.540542,1,1.271195,3.893829,98.293641,3.958113,10.106193,0,1.271186440677985
2001-02-27,sz.000951,9.5700,9.6500,9.4900,9.6400,9.5600,560685,5370682.6300,3,0.622983,1,0.836819,3.926414,99.116182,3.991235,10.190764,0,0.8368200836819994
2001-02-28,sz.000951,9.6600,9.7500,9.5800,9.7200,9.6400,451652,4379390.0900,3,0.501836,1,0.829875,3.958998,99.938722,4.024357,10.275335,0,0.8298755186721962
2001-03-01,sz.000951,9.7500,9.7500,9.5500,9.6300,9.7200,508919,4894219.8000,3,0.565466,1,-0.925928,3.922341,99.013364,3.987095,10.180193,0,-0.9259259259259189
2001-03-02,sz.000951,9.6800,9.9100,9.6800,9.8800,9.6300,787612,7766905.4000,3,0.875124,1,2.596054,4.024167,101.583804,4.090602,10.444476,0,2.5960539979231534
2001-03-05,sz.000951,9.9000,9.9500,9.7800,9.8100,9.8800,408147,4008376.6000,3,0.453497,1,-0.708499,3.995655,100.864081,4.061620,10.370477,0,-0.7085020242915019
2001-03-06,sz.000951,9.8100,9.8200,9.6000,9.6900,9.8100,500380,4839096.5200,3,0.555978,1,-1.223250,3.946779,99.630270,4.011937,10.243621,0,-1.2232415902140747
2001-03-07,sz.000951,9.7000,9.9000,9.7000,9.8000,9.6900,352230,3458176.8200,3,0.391367,1,1.135197,3.991582,100.761263,4.057480,10.359905,0,1.1351909184726727
2001-03-08,sz.000951,9.8000,9.8800,9.7100,9.8200,9.8000,326831,3195256.0100,3,0.363146,1,0.204077,3.999729,100.966899,4.065760,10.381048,0,0.20408163265306367
2001-03-09,sz.000951,9.8300,9.8900,9.7500,9.7800,9.8200,547915,5374792.2400,3,0.608794,1,-0.407332,3.983436,100.555628,4.049199,10.338763,0,-0.40733197556008793
2001-03-12,sz.000951,9.7700,9.8000,9.6500,9.6900,9.7800,514620,4985109.9100,3,0.571800,1,-0.920247,3.946779,99.630270,4.011937,10.243621,0,-0.9202453987730008
2001-03-13,sz.000951,9.6900,9.6900,9.5000,9.5500,9.6900,736423,7040465.2800,3,0.818248,1,-1.444782,3.889756,98.190823,3.953973,10.095622,0,-1.4447884416924572
2001-03-14,sz.000951,9.5000,9.6800,9.4900,9.6500,9.5500,563770,5406565.7200,3,0.626411,1,1.047114,3.930487,99.218999,3.995375,10.201335,0,1.0471204188481575
2001-03-15,sz.000951,9.6500,9.7600,9.5900,9.6500,9.6500,497570,4809241.2000,3,0.552856,1,0.000000,3.930487,99.218999,3.995375,10.201335,0,0.0
2001-03-16,sz.000951,9.6200,9.8400,9.6200,9.8300,9.6500,669871,6512773.4700,3,0.744301,1,1.865288,4.003802,101.069716,4.069901,10.391619,0,1.865284974093262
2001-03-19,sz.000951,9.8300,9.8800,9.7100,9.8700,9.8300,563657,5537642.2200,3,0.626286,1,0.406917,4.020094,101.480987,4.086462,10.433905,0,0.4069175991861629
2001-03-20,sz.000951,9.8700,9.9900,9.8300,9.9100,9.8700,780150,7739291.5000,3,0.866833,1,0.405268,4.036386,101.892257,4.103023,10.476190,0,0.4052684903748771
2001-03-21,sz.000951,9.9500,10.2900,9.8800,10.1400,9.9100,1756800,17774187.5000,3,1.952000,1,2.320893,4.130066,104.257062,4.198249,10.719331,0,2.320887991927356
2001-03-22,sz.000951,10.1600,10.1900,10.0100,10.0800,10.1400,1046207,10544534.0900,3,1.162452,1,-0.591720,4.105628,103.640157,4.173408,10.655903,0,-0.591715976331364
2001-03-23,sz.000951,10.1500,10.1500,9.8200,9.8400,10.0800,1097284,10947080.2000,3,1.219204,1,-2.380950,4.007875,101.172534,4.074041,10.402191,0,-2.3809523809523836
2001-03-26,sz.000951,9.8500,10.0500,9.8400,10.0100,9.8400,604504,6024277.5100,3,0.671671,1,1.727643,4.077116,102.920433,4.144426,10.581903,0,1.7276422764227695
2001-03-27,sz.000951,10.0500,10.1500,10.0500,10.1400,10.0100,1022326,10330845.5500,3,1.135918,1,1.298702,4.130066,104.257062,4.198249,10.719331,0,1.2987012987013102
2001-03-28,sz.000951,10.2000,10.2100,10.0200,10.0700,10.1400,623550,6277589.9000,3,0.692833,1,-0.690342,4.101555,103.537339,4.169267,10.645331,0,-0.6903353057199246
2001-03-29,sz.000951,10.1000,10.1300,9.9800,10.0000,10.0700,1100600,11031452.7100,3,1.222889,1,-0.695131,4.073043,102.817616,4.140285,10.571332,0,-0.6951340615690249
2001-03-30,sz.000951,10.0000,10.0500,9.9600,10.0200,10.0000,763036,7628266.7900,3,0.847818,1,0.200005,4.081189,103.023251,4.148566,10.592475,0,0.20000000000000018
2001-04-02,sz.000951,10.1000,10.2000,10.0300,10.1400,10.0200,1094234,11054892.3000,3,1.215816,1,1.197604,4.130066,104.257062,4.198249,10.719331,0,1.1976047904191711
2001-04-03,sz.000951,9.9000,10.0900,9.9000,10.0000,10.1400,815248,8121539.4100,3,0.905831,1,-1.380674,4.035882,273.189000,3.840398,-24.775748,0,-1.3806706114398493
2001-04-04,sz.000951,10.0000,10.0000,9.8000,9.8200,10.0000,1434952,14216990.1600,3,1.594391,1,-1.800003,3.963236,268.271598,3.771270,-24.329785,0,-1.8000000000000016
2001-04-05,sz.000951,9.7600,10.1000,9.7500,10.0700,9.8200,923501,9135339.1300,3,1.026112,1,2.545825,4.064133,275.101323,3.867280,-24.949178,0,2.5458248472504996
2001-04-06,sz.000951,10.1000,10.1500,9.9800,9.9900,10.0700,756800,7593996.9700,3,0.840889,1,-0.794438,4.031846,272.915811,3.836557,-24.750972,0,-0.7944389275074459
2001-04-09,sz.000951,9.9500,10.3600,9.8500,10.3400,9.9900,3079212,31455855.4500,3,3.421347,1,3.503507,4.173102,282.477426,3.970971,-25.618124,0,3.5035035035035023
2001-04-10,sz.000951,10.5000,10.6800,10.2200,10.6200,10.3400,6348237,66786868.2500,3,7.053597,1,2.707928,4.286106,290.126718,4.078502,-26.311844,0,2.7079303675048294
2001-04-11,sz.000951,10.7000,10.7600,10.4500,10.4800,10.6200,9193506,97086803.1700,3,10.215007,1,-1.318271,4.229604,286.302072,4.024737,-25.964984,0,-1.3182674199623268
2001-04-12,sz.000951,10.5000,10.5400,10.3600,10.3900,10.4800,2116824,22090756.4000,3,2.352027,1,-0.858771,4.193281,283.843371,3.990173,-25.742002,0,-0.858778625954193
2001-04-13,sz.000951,10.3900,10.4500,10.3000,10.4000,10.3900,1255624,12997643.4800,3,1.395138,1,0.096239,4.197317,284.116560,3.994013,-25.766778,0,0.09624639076033503
2001-04-16,sz.000951,10.4000,10.4800,10.3000,10.3500,10.4000,1561995,16193152.7800,3,1.735550,1,-0.480762,4.177138,282.750615,3.974811,-25.642899,0,-0.48076923076924016
2001-04-17,sz.000951,10.3800,10.4000,10.2000,10.2400,10.3500,1666012,17091512.1000,3,1.851124,1,-1.062808,4.132743,279.745536,3.932567,-25.370366,0,-1.0628019323671412
2001-04-18,sz.000951,10.3000,10.3200,10.1600,10.2200,10.2400,1296525,13254762.1400,3,1.440583,1,-0.195308,4.124671,279.199158,3.924886,-25.320815,0,-0.1953125
2001-04-19,sz.000951,10.2200,10.2200,10.0600,10.1400,10.2200,1515688,15323934.2000,3,1.684098,1,-0.782778,4.092384,277.013646,3.894163,-25.122609,0,-0.7827788649706457
2001-04-20,sz.000951,10.1400,10.3000,10.1400,10.1600,10.1400,1377472,14055262.7500,3,1.530524,1,0.197234,4.100456,277.560024,3.901844,-25.172160,0,0.19723865877712132
2001-04-23,sz.000951,10.2000,10.3500,10.1000,10.2600,10.1600,833246,8529346.5900,3,0.925829,1,0.984256,4.140815,280.291914,3.940248,-25.419918,0,0.9842519685039353
2001-04-24,sz.000951,10.2600,10.3400,10.1800,10.2000,10.2600,667050,6832880.0000,3,0.741167,1,-0.584799,4.116599,278.652780,3.917205,-25.271263,0,-0.5847953216374324
2001-04-25,sz.000951,10.2100,10.2900,9.9000,9.9300,10.2000,1016458,10228017.4200,3,1.129398,1,-2.647054,4.007631,271.276677,3.813515,-24.602318,0,-2.6470588235294024
2001-04-26,sz.000951,9.8900,9.9800,9.8100,9.8300,9.9300,726710,7181269.2000,3,0.807456,1,-1.007053,3.967272,268.544787,3.775111,-24.354560,0,-1.0070493454179208
2001-04-27,sz.000951,9.8500,9.9400,9.8500,9.8600,9.8300,540989,5350669.3300,3,0.601099,1,0.305185,3.979379,269.364354,3.786632,-24.428888,0,0.3051881993896277
2001-04-30,sz.000951,9.8600,10.0900,9.8600,9.9200,9.8600,351644,3507443.3200,3,0.390716,1,0.608523,4.003595,271.003488,3.809674,-24.577542,0,0.6085192697768749
2001-05-08,sz.000951,10.0000,10.0200,9.9000,9.9600,9.9200,427531,4258005.5800,3,0.475034,1,0.403225,4.019738,272.096244,3.825036,-24.676645,0,0.40322580645162365
2001-05-09,sz.000951,10.0500,10.0500,9.9400,9.9700,9.9600,368600,3683136.4000,3,0.409556,1,0.100404,4.023774,272.369433,3.828876,-24.701421,0,0.10040160642570406
2001-05-10,sz.000951,9.9700,9.9700,9.9700,9.9700,9.9700,0,0.0000,3,,0,0.000000,4.023774,272.369433,3.828876,-24.701421,0,0.0
2001-05-11,sz.000951,10.0800,10.1000,9.9800,10.0400,9.9700,407110,4075322.6000,3,0.452344,1,0.702103,4.052025,274.281756,3.855759,-24.874851,0,0.7021063189568633
2001-05-14,sz.000951,10.0500,10.2100,10.0000,10.1900,10.0400,735245,7442080.0400,3,0.816939,1,1.494020,4.112563,278.379591,3.913365,-25.246487,0,1.4940239043824688
2001-05-15,sz.000951,10.1800,10.2500,10.0800,10.1100,10.1900,513843,5211600.6000,3,0.570937,1,-0.785083,4.080276,276.194079,3.882642,-25.048281,0,-0.7850834151128527
2001-05-16,sz.000951,10.1100,10.1500,10.0400,10.1000,10.1100,853268,8605814.7600,3,0.948076,1,-0.098905,4.076241,275.920890,3.878801,-25.023506,0,-0.09891196834816984
2001-05-17,sz.000951,10.1000,10.1300,9.9600,10.0000,10.1000,886422,8880706.7800,3,0.984913,1,-0.990103,4.035882,273.189000,3.840398,-24.775748,0,-0.990099009900991
2001-05-18,sz.000951,9.9900,10.0200,9.9200,10.0000,10.0000,830150,8268608.4800,3,0.922389,1,0.000000,4.035882,273.189000,3.840398,-24.775748,0,0.0
2001-05-21,sz.000951,10.0500,10.1800,9.9200,10.1800,10.0000,1091217,10921001.5500,3,1.212463,1,1.800003,4.108528,278.106402,3.909525,-25.221712,0,1.8000000000000016
2001-05-22,sz.000951,10.1800,10.2500,10.1300,10.2200,10.1800,765551,7807004.1300,3,0.850612,1,0.392927,4.124671,279.199158,3.924886,-25.320815,0,0.39292730844795454
2001-05-23,sz.000951,10.2200,10.2500,9.9800,10.0400,10.2200,709752,7150460.5300,3,0.788613,1,-1.761255,4.052025,274.281756,3.855759,-24.874851,0,-1.7612524461839696
2001-05-24,sz.000951,10.0300,10.1000,10.0000,10.0300,10.0400,652386,6536965.9300,3,0.724873,1,-0.099604,4.047989,274.008567,3.851919,-24.850075,0,-0.09960159362549792
2001-05-25,sz.000951,10.0100,10.0700,9.9100,9.9400,10.0300,614235,6118564.6000,3,0.682483,1,-0.897310,4.011666,271.549866,3.817355,-24.627094,0,-0.8973080757726848
