date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000961,10.0000,10.2000,9.9700,10.1700,9.9900,602171,6078267.1100,3,0.602171,1,1.801805,3.898005,36.382819,2.356440,7.522744,0,
2001-01-03,sz.000961,10.1700,10.4100,10.1700,10.4000,10.1700,1083829,11138564.7200,3,1.083829,1,2.261549,3.986160,37.205636,2.409732,7.692875,0,2.2615535889872307
2001-01-04,sz.000961,10.5000,10.5000,10.3000,10.3200,10.4000,808384,8376934.4800,3,0.808384,1,-0.769230,3.955498,36.919439,2.391196,7.633699,0,-0.7692307692307665
2001-01-05,sz.000961,10.3000,10.5000,10.2800,10.4800,10.3200,904092,9431604.6800,3,0.904092,1,1.550386,4.016823,37.491834,2.428268,7.752051,0,1.5503875968992276
2001-01-08,sz.000961,10.5000,10.5900,10.3700,10.5700,10.4800,1404144,14716967.0800,3,1.404144,1,0.858780,4.051319,37.813805,2.449122,7.818624,0,0.8587786259542041
2001-01-09,sz.000961,10.6000,10.6700,10.4800,10.5300,10.5700,1148740,12143577.2100,3,1.148740,1,-0.378429,4.035987,37.670707,2.439854,7.789036,0,-0.37842951750237663
2001-01-10,sz.000961,10.5000,10.6400,10.4600,10.5900,10.5300,940830,9943732.7700,3,0.940830,1,0.569805,4.058984,37.885355,2.453756,7.833418,0,0.5698005698005826
2001-01-11,sz.000961,10.6000,10.6500,10.5700,10.5800,10.5900,1165533,12364270.6800,3,1.165533,1,-0.094431,4.055152,37.849580,2.451439,7.826021,0,-0.09442870632672129
2001-01-12,sz.000961,10.5800,10.5800,10.4000,10.4100,10.5800,638896,6675820.3800,3,0.638896,1,-1.606806,3.989993,37.241411,2.412049,7.700272,0,-1.6068052930056753
2001-01-15,sz.000961,10.4000,10.4000,10.0800,10.0900,10.4100,883950,8992856.9900,3,0.883950,1,-3.073964,3.867342,36.096622,2.337904,7.463568,0,-3.073967339097028
2001-01-16,sz.000961,10.0000,10.3000,9.9800,10.1700,10.0900,771676,7804422.9000,3,0.771676,1,0.792864,3.898005,36.382819,2.356440,7.522744,0,0.7928642220019766
2001-01-17,sz.000961,10.2000,10.2500,10.1000,10.1500,10.1700,392221,3984315.6000,3,0.392221,1,-0.196661,3.890339,36.311270,2.351806,7.507950,0,-0.1966568338249708
2001-01-18,sz.000961,10.1800,10.2500,10.1500,10.1900,10.1500,371346,3785461.3400,3,0.371346,1,0.394088,3.905671,36.454369,2.361074,7.537538,0,0.39408866995072067
2001-01-19,sz.000961,10.2000,10.3400,10.2000,10.3100,10.1900,454220,4683878.5200,3,0.454220,1,1.177633,3.951665,36.883664,2.388879,7.626302,0,1.1776251226693013
2001-02-05,sz.000961,10.3100,10.4500,10.2800,10.3200,10.3100,476539,4931639.3000,3,0.476539,1,0.096986,3.955498,36.919439,2.391196,7.633699,0,0.09699321047527132
2001-02-06,sz.000961,10.2800,10.2800,10.0600,10.2200,10.3200,325037,3300808.0600,3,0.325037,1,-0.968987,3.917169,36.561693,2.368025,7.559729,0,-0.9689922480620172
2001-02-07,sz.000961,10.2300,10.4900,10.2000,10.3900,10.2200,763237,7939650.1300,3,0.763237,1,1.663406,3.982327,37.169862,2.407415,7.685478,0,1.6634050880626194
2001-02-08,sz.000961,10.4500,10.5200,10.0800,10.1600,10.3900,819463,8507756.0600,3,0.819463,1,-2.213672,3.894172,36.347045,2.354123,7.515347,0,-2.213666987487972
2001-02-09,sz.000961,10.1600,10.3100,10.1600,10.3000,10.1600,432222,4429044.6400,3,0.432222,1,1.377956,3.947832,36.847890,2.386562,7.618905,0,1.3779527559055094
2001-02-12,sz.000961,10.3500,10.6500,10.3000,10.6200,10.3000,2173982,22954813.3100,3,2.173982,1,3.106793,4.070483,37.992679,2.460707,7.855609,0,3.1067961165048397
2001-02-13,sz.000961,10.5800,10.5800,10.2800,10.4700,10.6200,1334817,13945437.0600,3,1.334817,1,-1.412426,4.012990,37.456059,2.425951,7.744654,0,-1.4124293785310549
2001-02-14,sz.000961,10.5000,10.7500,10.4000,10.7400,10.4700,2182280,23221636.2000,3,2.182280,1,2.578792,4.116477,38.421974,2.488512,7.944373,0,2.5787965616045794
2001-02-15,sz.000961,10.7500,10.8000,10.6300,10.6900,10.7400,1928964,20705100.0300,3,1.928964,1,-0.465551,4.097313,38.243101,2.476927,7.907388,0,-0.4655493482309203
2001-02-16,sz.000961,10.7000,10.7600,10.5000,10.7000,10.6900,1864281,19855687.0100,3,1.864281,1,0.093548,4.101146,38.278876,2.479244,7.914785,0,0.093545369504211
2001-02-19,sz.000961,10.7200,10.9600,10.7200,10.9000,10.7000,3090993,33681974.2100,3,3.090993,1,1.869157,4.177803,38.994369,2.525585,8.062725,0,1.869158878504673
2001-02-20,sz.000961,10.9200,10.9600,10.7800,10.8200,10.9000,1893466,20553065.9800,3,1.893466,1,-0.733944,4.147140,38.708172,2.507048,8.003549,0,-0.7339449541284404
2001-02-21,sz.000961,10.8200,10.8200,10.4000,10.5400,10.8200,1530254,16164861.3000,3,1.530254,1,-2.587798,4.039820,37.706481,2.442171,7.796433,0,-2.5878003696857776
2001-02-22,sz.000961,10.5200,10.6500,10.4500,10.5600,10.5400,847360,8969914.2600,3,0.847360,1,0.189758,4.047486,37.778031,2.446805,7.811227,0,0.189753320683117
2001-02-23,sz.000961,10.5600,10.7200,10.5100,10.7100,10.5600,814444,8631165.8000,3,0.814444,1,1.420451,4.104979,38.314650,2.481561,7.922182,0,1.4204545454545414
2001-02-26,sz.000961,10.7600,10.9000,10.7300,10.8600,10.7100,1344689,14561207.0600,3,1.344689,1,1.400557,4.162471,38.851270,2.516316,8.033137,0,1.4005602240896309
2001-02-27,sz.000961,10.9200,10.9400,10.7000,10.7500,10.8600,823900,8898929.5200,3,0.823900,1,-1.012888,4.120310,38.457749,2.490829,7.951770,0,-1.012891344383049
2001-02-28,sz.000961,10.7600,10.9000,10.6000,10.8800,10.7500,1096160,11874197.4200,3,1.096160,1,1.209303,4.170137,38.922820,2.520950,8.047931,0,1.2093023255814073
2001-03-01,sz.000961,10.8500,11.1000,10.8500,11.0500,10.8800,2749501,30180135.5700,3,2.749501,1,1.562501,4.235295,39.530989,2.560340,8.173680,0,1.5625
2001-03-02,sz.000961,11.0800,11.1400,11.0000,11.0300,11.0500,2097375,23194420.2000,3,2.097375,1,-0.181000,4.227630,39.459439,2.555706,8.158886,0,-0.18099547511313263
2001-03-05,sz.000961,11.1000,11.1800,10.9500,11.1600,11.0300,1851000,20518879.7600,3,1.851000,1,1.178605,4.277457,39.924510,2.585828,8.255047,0,1.1786038077969296
2001-03-06,sz.000961,11.2000,11.2500,11.0700,11.1800,11.1600,1381159,15405999.9600,3,1.381159,1,0.179216,4.285122,39.996059,2.590462,8.269841,0,0.17921146953405742
2001-03-07,sz.000961,11.1900,11.2400,10.9500,11.0100,11.1800,1894781,20998556.9800,3,1.894781,1,-1.520573,4.219964,39.387890,2.551072,8.144092,0,-1.5205724508050134
2001-03-08,sz.000961,11.0000,11.0800,10.8300,10.8900,11.0100,1465581,16054098.1500,3,1.465581,1,-1.089917,4.173970,38.958594,2.523268,8.055328,0,-1.089918256130784
2001-03-09,sz.000961,10.8900,11.1000,10.8300,10.9300,10.8900,1268316,13881720.5100,3,1.268316,1,0.367309,4.189301,39.101693,2.532536,8.084916,0,0.36730945821854544
2001-03-12,sz.000961,10.8500,10.9500,10.7000,10.8000,10.9300,1608690,17386201.0500,3,1.608690,1,-1.189388,3.961446,39.487342,2.487058,-10.344096,0,-1.1893870082342106
2001-03-13,sz.000961,10.8000,10.8800,10.6900,10.8600,10.8000,1217143,13110614.4500,3,1.217143,1,0.555551,3.983454,39.706716,2.500875,-10.401563,0,0.5555555555555536
2001-03-14,sz.000961,10.8800,10.9500,10.7700,10.9200,10.8600,891152,9706614.1900,3,0.891152,1,0.552490,4.005462,39.926090,2.514692,-10.459030,0,0.5524861878453136
2001-03-15,sz.000961,10.9200,10.9300,10.7200,10.7600,10.9200,1228016,13260528.5400,3,1.228016,1,-1.465200,3.946774,39.341093,2.477847,-10.305785,0,-1.465201465201471
2001-03-16,sz.000961,10.7500,10.8400,10.6800,10.7000,10.7600,1022759,10986848.6300,3,1.022759,1,-0.557625,3.924766,39.121719,2.464030,-10.248317,0,-0.5576208178438735
2001-03-19,sz.000961,10.7000,10.8300,10.6200,10.7700,10.7000,1077106,11569857.7400,3,1.077106,1,0.654212,3.950442,39.377655,2.480150,-10.315362,0,0.6542056074766434
2001-03-20,sz.000961,10.7800,11.0000,10.7400,10.9400,10.7700,1226907,13335497.7000,3,1.226907,1,1.578450,4.012798,39.999215,2.519298,-10.478186,0,1.5784586815227541
2001-03-21,sz.000961,11.0000,11.0000,10.9000,10.9300,10.9400,888152,9700842.5200,3,0.888152,1,-0.091401,4.009130,39.962653,2.516995,-10.468608,0,-0.0914076782449702
2001-03-22,sz.000961,10.9800,10.9800,10.8700,10.9200,10.9300,1180164,12878647.0300,3,1.180164,1,-0.091493,4.005462,39.926090,2.514692,-10.459030,0,-0.09149130832570851
2001-03-23,sz.000961,10.9300,11.1800,10.9000,10.9000,10.9200,1997288,22033531.5100,3,1.997288,1,-0.183154,3.998126,39.852966,2.510086,-10.439875,0,-0.1831501831501825
2001-03-26,sz.000961,10.9200,11.1500,10.9000,11.0600,10.9000,1416016,15688534.9100,3,1.416016,1,1.467897,4.056814,40.437963,2.546932,-10.593121,0,1.4678899082568808
2001-03-27,sz.000961,11.0800,11.1800,11.0300,11.1800,11.0600,1639299,18179538.3000,3,1.639299,1,1.084990,4.100831,40.876712,2.574566,-10.708055,0,1.0849909584086825
2001-03-28,sz.000961,11.1800,11.2000,11.0600,11.1300,11.1800,1054016,11716095.1800,3,1.054016,1,-0.447229,4.082491,40.693900,2.563052,-10.660166,0,-0.4472271914132242
2001-03-29,sz.000961,11.1300,11.1700,10.9600,10.9900,11.1300,1280010,14125598.9700,3,1.280010,1,-1.257865,4.031138,40.182027,2.530812,-10.526076,0,-1.2578616352201255
2001-03-30,sz.000961,11.0000,11.0100,10.8100,10.9500,10.9900,1151500,12547964.2000,3,1.151500,1,-0.363967,4.016466,40.035777,2.521601,-10.487764,0,-0.36396724294813776
2001-04-02,sz.000961,11.0000,11.3200,11.0000,11.2900,10.9500,2612698,29264304.3200,3,2.612698,1,3.105024,4.141179,41.278897,2.599897,-10.813412,0,3.1050228310502304
2001-04-03,sz.000961,11.3200,11.3600,11.1200,11.2500,11.2900,1519586,17101091.5400,3,1.519586,1,-0.354295,4.126507,41.132648,2.590686,-10.775100,0,-0.3542958370239102
2001-04-04,sz.000961,11.3000,11.3000,10.9000,11.0000,11.2500,1293870,14412080.8400,3,1.293870,1,-2.222222,4.034806,40.218589,2.533115,-10.535653,0,-2.2222222222222254
2001-04-05,sz.000961,11.0000,11.2000,10.9000,11.1600,11.0000,790074,8718982.4300,3,0.790074,1,1.454544,4.093495,40.803587,2.569960,-10.688899,0,1.454545454545464
2001-04-06,sz.000961,11.1000,11.2500,11.0000,11.0500,11.1600,741871,8222318.1800,3,0.741871,1,-0.985660,4.053146,40.401401,2.544629,-10.583543,0,-0.9856630824372714
2001-04-09,sz.000961,11.1000,11.1500,10.9500,11.0700,11.0500,799598,8793329.9800,3,0.799598,1,0.180991,4.060482,40.474526,2.549235,-10.602698,0,0.18099547511312153
2001-04-10,sz.000961,11.0700,11.1100,10.9700,11.1000,11.0700,934590,10306306.2400,3,0.934590,1,0.271009,4.071486,40.584213,2.556143,-10.631432,0,0.27100271002709064
2001-04-11,sz.000961,11.1500,11.2800,11.0900,11.1800,11.1000,971560,10871570.5700,3,0.971560,1,0.720720,4.100831,40.876712,2.574566,-10.708055,0,0.7207207207207134
2001-04-12,sz.000961,11.2500,11.2500,11.0000,11.0500,11.1800,897024,9953488.5600,3,0.897024,1,-1.162792,4.053146,40.401401,2.544629,-10.583543,0,-1.1627906976744096
2001-04-13,sz.000961,11.0000,11.0800,10.9000,11.0300,11.0500,1076741,11804564.4400,3,1.076741,1,-0.181000,4.045810,40.328276,2.540023,-10.564387,0,-0.18099547511313263
2001-04-16,sz.000961,11.0300,11.0300,11.0300,11.0300,11.0300,0,0.0000,3,,0,0.000000,4.045810,40.328276,2.540023,-10.564387,0,0.0
