date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000963,21.2000,22.4000,21.2000,22.1600,21.1300,2669158,58809960.5400,3,5.338316,1,4.874589,8.626951,121.500237,2.920142,14.616015,0,
2001-01-03,sz.000963,22.3000,22.6000,22.0000,22.2500,22.1600,1896491,42214449.0900,3,3.792982,1,0.406138,8.661989,121.993695,2.932002,14.675376,0,0.40613718411552924
2001-01-04,sz.000963,22.3000,22.3500,21.8900,22.2000,22.2500,1022405,22662412.7600,3,2.044810,1,-0.224716,8.642523,121.719551,2.925413,14.642398,0,-0.22471910112359383
2001-01-05,sz.000963,22.3000,22.8600,22.1000,22.2400,22.2000,1459823,32812001.8500,3,2.919646,1,0.180176,8.658095,121.938866,2.930684,14.668780,0,0.18018018018017834
2001-01-08,sz.000963,22.2500,22.7900,22.0000,22.2400,22.2400,642986,14331697.4300,3,1.285972,1,0.000000,8.658095,121.938866,2.930684,14.668780,0,0.0
2001-01-09,sz.000963,22.2000,22.4000,21.7500,21.7800,22.2400,1036550,22807730.0600,3,2.073100,1,-2.068341,8.479016,119.416749,2.870067,14.365379,0,-2.0683453237409943
2001-01-10,sz.000963,21.5000,22.1400,21.5000,21.9500,21.7800,732274,16081250.0800,3,1.464548,1,0.780533,8.545198,120.348836,2.892469,14.477506,0,0.7805325987144007
2001-01-11,sz.000963,22.0200,22.0300,21.3100,21.3800,21.9500,933510,20201973.0800,3,1.867020,1,-2.596818,8.323295,117.223604,2.817357,14.101552,0,-2.596810933940774
2001-01-12,sz.000963,21.3500,21.5100,21.1800,21.3300,21.3800,680844,14518321.4400,3,1.361688,1,-0.233860,8.303830,116.949461,2.810768,14.068574,0,-0.2338634237605275
2001-01-15,sz.000963,21.3300,21.3400,20.5800,20.6000,21.3300,905960,18875867.5200,3,1.811920,1,-3.422407,8.019639,112.946971,2.714572,13.587090,0,-3.4224097515236584
2001-01-16,sz.000963,20.5000,20.7900,20.0600,20.2700,20.6000,721653,14700498.7700,3,1.443306,1,-1.601941,7.891169,111.137626,2.671086,13.369433,0,-1.6019417475728215
2001-01-17,sz.000963,20.3800,20.5000,20.1900,20.2100,20.2700,426958,8660504.0200,3,0.853916,1,-0.296011,7.867811,110.808655,2.663180,13.329859,0,-0.296003946719281
2001-01-18,sz.000963,20.2000,20.5300,20.2000,20.4200,20.2100,446108,9079485.4300,3,0.892216,1,1.039094,7.949564,111.960056,2.690853,13.468368,0,1.0390895596239513
2001-01-19,sz.000963,20.4600,21.0200,20.3000,20.8800,20.4200,717117,14939676.8600,3,1.434234,1,2.252689,8.128644,114.482173,2.751469,13.771769,0,2.2526934378060526
2001-02-05,sz.000963,20.8000,20.8000,20.2000,20.2000,20.8800,918700,18754297.4800,3,1.837400,1,-3.256698,7.863918,110.753826,2.661862,13.323263,0,-3.256704980842906
2001-02-06,sz.000963,20.0000,20.1000,19.3000,19.5200,20.2000,704445,13816818.1000,3,1.408890,1,-3.366338,7.599192,107.025479,2.572255,12.874757,0,-3.3663366336633693
2001-02-07,sz.000963,19.5200,19.6900,19.0000,19.1800,19.5200,696922,13462364.3000,3,1.393844,1,-1.741804,7.466829,105.161306,2.527451,12.650504,0,-1.7418032786885251
2001-02-08,sz.000963,19.2000,19.4700,18.4600,18.6700,19.1800,1268275,23854906.5000,3,2.536550,1,-2.659021,7.268284,102.365046,2.460246,12.314125,0,-2.659019812304475
2001-02-09,sz.000963,18.7500,19.7700,18.7000,19.1100,18.6700,905970,17512206.1000,3,1.811940,1,2.356725,7.439578,104.777506,2.518227,12.604334,0,2.3567220139260714
2001-02-12,sz.000963,19.2900,19.3500,18.6500,18.9200,19.1100,375486,7102877.1600,3,0.750972,1,-0.994247,7.365610,103.735762,2.493190,12.479016,0,-0.9942438513867002
2001-02-13,sz.000963,19.0000,19.3600,19.0000,19.1900,18.9200,519600,9986590.0000,3,1.039200,1,1.427064,7.470722,105.216135,2.528769,12.657100,0,1.4270613107822294
2001-02-14,sz.000963,18.7800,19.3200,18.7800,19.2000,19.1900,273744,5254187.2800,3,0.547488,1,0.052112,7.474615,105.270963,2.530087,12.663695,0,0.05211047420530246
2001-02-15,sz.000963,19.2800,19.4800,18.4000,18.5500,19.2000,1075420,20606747.6600,3,2.150840,1,-3.385425,7.221568,101.707103,2.444433,12.234977,0,-3.385416666666663
2001-02-16,sz.000963,18.7000,18.7800,18.2100,18.5100,18.5500,1048681,19324065.7700,3,2.097362,1,-0.215628,7.205996,101.487788,2.439162,12.208594,0,-0.21563342318058343
2001-02-19,sz.000963,18.6800,19.2900,18.4700,19.0600,18.5100,627920,11896549.5000,3,1.255840,1,2.971363,7.420112,104.503363,2.511638,12.571356,0,2.9713668287411954
2001-02-20,sz.000963,19.1300,19.5000,18.7800,18.8600,19.0600,526800,10157111.8900,3,1.053600,1,-1.049312,7.342252,103.406790,2.485283,12.439442,0,-1.049317943336825
2001-02-21,sz.000963,18.8200,18.8600,18.3600,18.8600,18.8600,451520,8412157.0000,3,0.903040,1,0.000000,7.342252,103.406790,2.485283,12.439442,0,0.0
2001-02-22,sz.000963,18.5300,19.5000,18.3800,19.0500,18.8600,538063,10315062.4900,3,1.076126,1,1.007416,7.416219,104.448534,2.510321,12.564760,0,1.0074231177094495
2001-02-23,sz.000963,19.4000,19.5500,19.1700,19.5400,19.0500,564915,10961473.3500,3,1.129830,1,2.572187,7.606978,107.135137,2.574890,12.887948,0,2.57217847769029
2001-02-26,sz.000963,19.6000,19.8200,19.4900,19.8000,19.5400,368185,7245207.5800,3,0.736370,1,1.330595,7.708197,108.560681,2.609152,13.059436,0,1.3306038894575378
2001-02-27,sz.000963,19.8000,20.1500,19.6300,19.6500,19.8000,789800,15761113.0400,3,1.579600,1,-0.757574,7.649801,107.738252,2.589386,12.960501,0,-0.757575757575768
2001-02-28,sz.000963,19.7000,19.8000,19.4800,19.7500,19.6500,231784,4549757.3100,3,0.463568,1,0.508908,7.688731,108.286538,2.602563,13.026457,0,0.5089058524173184
2001-03-01,sz.000963,19.5100,19.8200,19.5100,19.6300,19.7500,146941,2893647.5200,3,0.293882,1,-0.607599,7.642015,107.628594,2.586750,12.947309,0,-0.6075949367088662
2001-03-02,sz.000963,19.8500,20.0600,19.6100,19.7000,19.6300,193845,3845254.3100,3,0.387690,1,0.356605,7.669266,108.012395,2.595975,12.993479,0,0.356597045338769
2001-03-05,sz.000963,20.0200,20.1500,19.5000,19.5200,19.7000,151099,2970392.9300,3,0.302198,1,-0.913707,7.599192,107.025479,2.572255,12.874757,0,-0.9137055837563413
2001-03-06,sz.000963,19.4000,19.9800,19.4000,19.6200,19.5200,149950,2936799.5000,3,0.299900,1,0.512297,7.638122,107.573766,2.585432,12.940714,0,0.5122950819672178
2001-03-07,sz.000963,19.8000,20.0000,19.4100,19.6200,19.6200,470216,9289884.7600,3,0.940432,1,0.000000,7.638122,107.573766,2.585432,12.940714,0,0.0
2001-03-08,sz.000963,19.6200,20.0400,19.5800,20.0000,19.6200,390412,7789890.3600,3,0.780824,1,1.936795,7.786057,109.657254,2.635507,13.191349,0,1.9367991845055998
2001-03-09,sz.000963,20.0000,20.2100,19.7600,20.0700,20.0000,426641,8565230.8500,3,0.853282,1,0.349998,7.813308,110.041054,2.644731,13.237519,0,0.35000000000000586
2001-03-12,sz.000963,20.1500,20.8000,19.9500,20.3000,20.0700,657395,13441888.1500,3,1.314790,1,1.145987,7.902848,111.302112,2.675040,13.389220,0,1.1459890383657134
2001-03-13,sz.000963,20.5000,20.6800,20.0200,20.0800,20.3000,632049,12767913.2600,3,1.264098,1,-1.083740,7.817201,110.095883,2.646049,13.244115,0,-1.0837438423645485
2001-03-14,sz.000963,20.0900,20.6500,20.0000,20.3000,20.0800,937205,19150639.5700,3,1.874410,1,1.095614,7.902848,111.302112,2.675040,13.389220,0,1.0956175298804993
2001-03-15,sz.000963,20.3000,20.4200,20.2000,20.3200,20.3000,241860,4916253.9000,3,0.483720,1,0.098524,7.910634,111.411770,2.677675,13.402411,0,0.09852216748769127
2001-03-16,sz.000963,20.4500,20.9800,20.3900,20.7000,20.3200,1070343,22200167.9500,3,2.140686,1,1.870084,8.058569,113.495257,2.727750,13.653047,0,1.870078740157477
2001-03-19,sz.000963,20.9000,20.9000,20.6100,20.6700,20.7000,199305,4122708.1100,3,0.398610,1,-0.144931,8.046890,113.330772,2.723797,13.633260,0,-0.14492753623187582
2001-03-20,sz.000963,20.6700,20.7700,20.5700,20.6400,20.6700,224829,4646355.6900,3,0.449658,1,-0.145141,8.035211,113.166286,2.719843,13.613473,0,-0.14513788098694524
2001-03-21,sz.000963,20.8000,20.8100,20.5000,20.6000,20.6400,208300,4289535.0000,3,0.416600,1,-0.193794,8.019639,112.946971,2.714572,13.587090,0,-0.19379844961240345
2001-03-22,sz.000963,20.6000,20.8400,20.5000,20.7700,20.6000,297614,6147374.4000,3,0.595228,1,0.825243,8.085820,113.879058,2.736974,13.699216,0,0.8252427184465949
2001-03-23,sz.000963,20.7700,20.8000,20.2000,20.2600,20.7700,316297,6464967.6200,3,0.632594,1,-2.455466,7.887276,111.082798,2.669769,13.362837,0,-2.455464612421754
2001-03-26,sz.000963,20.3000,20.7400,20.1500,20.6000,20.2600,388567,7944828.8500,3,0.777134,1,1.678184,8.019639,112.946971,2.714572,13.587090,0,1.6781836130306038
2001-03-27,sz.000963,20.6500,20.6800,20.3500,20.6000,20.6000,156270,3203217.2000,3,0.312540,1,0.000000,8.019639,112.946971,2.714572,13.587090,0,0.0
2001-03-28,sz.000963,20.6100,20.7000,20.4500,20.4700,20.6000,408700,8380078.2000,3,0.817400,1,-0.631073,7.969029,112.234199,2.697442,13.501346,0,-0.631067961165066
2001-03-29,sz.000963,20.4500,20.5000,20.0700,20.0800,20.4700,398800,8073623.0000,3,0.797600,1,-1.905224,7.817201,110.095883,2.646049,13.244115,0,-1.9052271617000516
2001-03-30,sz.000963,20.1000,20.3000,19.9000,20.1500,20.0800,479833,9597158.2700,3,0.959666,1,0.348604,7.844453,110.479683,2.655273,13.290284,0,0.3486055776892538
