date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2001-01-02,sz.000999,20.1200,21.3700,20.0800,21.1800,20.1500,5965872,124765988.3300,3,3.899263,1,5.111666,5.917418,64.874781,8.807967,0.000000,0,
2001-01-03,sz.000999,21.3000,21.6000,21.0500,21.1900,21.1800,6984060,149195755.3700,3,4.564745,1,0.047215,5.920212,64.905412,8.812126,0.000000,0,0.04721435316337175
2001-01-04,sz.000999,21.3100,21.4900,20.9800,21.0000,21.1900,1985276,41974008.0100,3,1.297566,1,-0.896652,5.867128,64.323438,8.733112,0.000000,0,-0.8966493629070427
2001-01-05,sz.000999,21.0100,21.2800,20.8400,21.0900,21.0000,1702864,35866709.6600,3,1.112983,1,0.428572,5.892273,64.599110,8.770540,0.000000,0,0.4285714285714226
2001-01-08,sz.000999,21.0900,21.1200,20.5200,20.5900,21.0900,1590019,32957987.4400,3,1.039228,1,-2.370792,5.752579,63.067599,8.562608,0.000000,0,-2.37079184447605
2001-01-09,sz.000999,20.6000,20.8800,20.5000,20.7400,20.5900,886201,18278612.8400,3,0.579216,1,0.728507,5.794488,63.527052,8.624988,0.000000,0,0.7285089849441428
2001-01-10,sz.000999,20.7500,21.0900,20.6200,20.9000,20.7400,729500,15257856.0800,3,0.476797,1,0.771455,5.839189,64.017136,8.691526,0.000000,0,0.7714561234329897
2001-01-11,sz.000999,20.9000,21.3000,20.8100,21.1400,20.9000,1112583,23359683.0800,3,0.727178,1,1.148324,5.906242,64.752261,8.791333,0.000000,0,1.1483253588516762
2001-01-12,sz.000999,21.1400,21.1500,20.6900,20.7900,21.1400,827767,17270004.8200,3,0.541024,1,-1.655622,5.808457,63.680203,8.645781,0.000000,0,-1.6556291390728561
2001-01-15,sz.000999,20.8000,20.8000,20.0000,20.0100,20.7900,1082118,21982064.9800,3,0.707267,1,-3.751807,5.590535,61.291047,8.321408,0.000000,0,-3.7518037518037395
2001-01-16,sz.000999,19.9000,20.3000,19.8100,20.1500,20.0100,986062,19739915.3300,3,0.644485,1,0.699647,5.629649,61.719870,8.379629,0.000000,0,0.6996501749125361
2001-01-17,sz.000999,20.2000,20.2300,19.9000,20.0000,20.1500,692000,13865289.5200,3,0.452288,1,-0.744415,5.587741,61.260417,8.317249,0.000000,0,-0.7444168734491274
2001-01-18,sz.000999,20.0000,20.2800,19.9800,20.0700,20.0000,570944,11466932.2200,3,0.373166,1,0.349998,5.607298,61.474828,8.346360,0.000000,0,0.35000000000000586
2001-01-19,sz.000999,20.2900,20.4700,20.1300,20.3900,20.0700,659893,13421475.5200,3,0.431303,1,1.594418,5.696702,62.454995,8.479436,0.000000,0,1.5944195316392573
2001-02-05,sz.000999,20.4000,20.4000,19.8000,19.8500,20.3900,614700,12321747.7200,3,0.401765,1,-2.648352,5.545833,60.800964,8.254870,0.000000,0,-2.6483570377636045
2001-02-06,sz.000999,19.7900,19.7900,19.0000,19.6500,19.8500,986001,19058019.8100,3,0.644445,1,-1.007560,5.489956,60.188360,8.171698,0.000000,0,-1.0075566750629816
2001-02-07,sz.000999,19.6000,19.7600,19.2000,19.4600,19.6500,324785,6320688.8900,3,0.212278,1,-0.966924,5.436872,59.606386,8.092684,0.000000,0,-0.9669211195928673
2001-02-08,sz.000999,19.3900,19.5800,19.0000,19.0500,19.4600,502105,9662702.7200,3,0.328173,1,-2.106885,5.322323,58.350547,7.922180,0.000000,0,-2.106885919835566
2001-02-09,sz.000999,19.0500,19.5000,18.9800,19.3100,19.0500,588248,11275695.1000,3,0.384476,1,1.364831,5.394964,59.146932,8.030304,0.000000,0,1.364829396325451
2001-02-12,sz.000999,19.4000,19.4200,18.9800,19.2100,19.3100,517851,9881775.5500,3,0.338465,1,-0.517868,5.367025,58.840630,7.988718,0.000000,0,-0.5178663904712444
2001-02-13,sz.000999,19.5000,19.5000,19.1600,19.2100,19.2100,336803,6497549.2800,3,0.220133,1,0.000000,5.367025,58.840630,7.988718,0.000000,0,0.0
2001-02-14,sz.000999,19.2100,19.3500,19.1600,19.2000,19.2100,288256,5537652.2900,3,0.188403,1,-0.052047,5.364231,58.810000,7.984559,0.000000,0,-0.052056220718388335
2001-02-15,sz.000999,19.2100,19.2800,19.0000,19.0200,19.2000,402051,7672081.9900,3,0.262778,1,-0.937501,5.313942,58.258656,7.909704,0.000000,0,-0.9375000000000022
2001-02-16,sz.000999,19.0000,19.0600,18.8000,19.0600,19.0200,423445,8008060.1800,3,0.276761,1,0.210300,5.325117,58.381177,7.926339,0.000000,0,0.2103049421661396
2001-02-19,sz.000999,19.0200,19.3000,18.9800,19.2000,19.0600,382506,7303107.6900,3,0.250004,1,0.734529,5.364231,58.810000,7.984559,0.000000,0,0.734522560335793
2001-02-20,sz.000999,19.2600,19.3900,18.9800,19.0100,19.2000,647672,12389694.0500,3,0.423315,1,-0.989586,5.311148,58.228026,7.905546,0.000000,0,-0.9895833333333215
2001-02-21,sz.000999,19.0100,19.0100,18.6200,18.7700,19.0100,821324,15424745.3500,3,0.536813,1,-1.262492,5.244095,57.492901,7.805739,0.000000,0,-1.2624934245134223
2001-02-22,sz.000999,18.7500,18.8500,18.3000,18.3100,18.7700,907150,16847806.8000,3,0.592908,1,-2.450725,5.115577,56.083912,7.614442,0.000000,0,-2.4507192328183325
2001-02-23,sz.000999,18.2900,18.4500,17.8800,18.3400,18.3100,1459343,26397166.8400,3,0.953819,1,0.163849,5.123959,56.175802,7.626918,0.000000,0,0.16384489350083076
2001-02-26,sz.000999,18.3400,18.6300,18.3000,18.6200,18.3400,593666,10988101.1300,3,0.388017,1,1.526721,5.202187,57.033448,7.743359,0.000000,0,1.526717557251911
2001-02-27,sz.000999,18.6800,18.7600,18.5100,18.6900,18.6200,454278,8460777.8300,3,0.296914,1,0.375938,5.221744,57.247860,7.772470,0.000000,0,0.3759398496240518
2001-02-28,sz.000999,18.7000,18.7800,18.3800,18.4800,18.6900,431163,7968979.7000,3,0.281806,1,-1.123601,5.163073,56.604625,7.685138,0.000000,0,-1.1235955056179803
2001-03-01,sz.000999,18.5000,18.6400,18.3600,18.4600,18.4800,401270,7413490.6700,3,0.262268,1,-0.108228,5.157485,56.543365,7.676821,0.000000,0,-0.10822510822510178
2001-03-02,sz.000999,18.5000,19.0500,18.4800,18.9500,18.4600,693668,13112358.1300,3,0.453378,1,2.654397,5.294385,58.044245,7.880594,0.000000,0,2.654387865655461
2001-03-05,sz.000999,19.0000,19.1000,18.8000,18.9400,18.9500,398310,7545747.6000,3,0.260333,1,-0.052772,5.291591,58.013615,7.876435,0.000000,0,-0.052770448548800086
2001-03-06,sz.000999,18.9100,18.9500,18.7300,18.8000,18.9400,392896,7384269.4400,3,0.256795,1,-0.739183,5.252477,57.584792,7.818214,0.000000,0,-0.7391763463569179
2001-03-07,sz.000999,18.9000,18.9600,18.7500,18.8200,18.8000,517873,9761094.0200,3,0.338479,1,0.106385,5.258064,57.646052,7.826532,0.000000,0,0.10638297872340718
2001-03-08,sz.000999,18.8000,18.9500,18.7700,18.9500,18.8200,489173,9220399.6100,3,0.319721,1,0.690760,5.294385,58.044245,7.880594,0.000000,0,0.6907545164718254
2001-03-09,sz.000999,19.0000,19.2100,18.9200,19.1000,18.9500,561228,10717394.9800,3,0.366816,1,0.791555,5.336293,58.503698,7.942973,0.000000,0,0.7915567282322122
2001-03-12,sz.000999,19.1800,19.1800,18.8500,18.9200,19.1000,439900,8340891.3200,3,0.287516,1,-0.942410,5.286003,57.952354,7.868118,0.000000,0,-0.942408376963344
2001-03-13,sz.000999,18.9000,18.9200,18.5700,18.6500,18.9200,445093,8327190.7000,3,0.290910,1,-1.427064,5.210569,57.125339,7.755835,0.000000,0,-1.4270613107822627
2001-03-14,sz.000999,18.6600,18.8000,18.6000,18.7900,18.6500,381670,7135681.6000,3,0.249458,1,0.750677,5.249683,57.554162,7.814056,0.000000,0,0.7506702412868771
2001-03-15,sz.000999,18.8100,18.8600,18.6000,18.7100,18.7900,473965,8875680.1900,3,0.309781,1,-0.425768,5.227332,57.309120,7.780787,0.000000,0,-0.42575838211813544
2001-03-16,sz.000999,18.7200,18.8000,18.6100,18.7500,18.7100,392231,7339357.0800,3,0.256360,1,0.213794,5.238507,57.431641,7.797421,0.000000,0,0.2137894174238264
2001-03-19,sz.000999,18.7000,18.7000,18.5000,18.6700,18.7500,615382,11422206.3300,3,0.402210,1,-0.426666,5.216156,57.186599,7.764152,0.000000,0,-0.426666666666653
2001-03-20,sz.000999,18.6700,18.9900,18.6200,18.7600,18.6700,563300,10609043.1100,3,0.368170,1,0.482058,5.241301,57.462271,7.801580,0.000000,0,0.48205677557577875
2001-03-21,sz.000999,18.7600,19.2400,18.7500,19.1400,18.7600,785693,14971365.1700,3,0.513525,1,2.025582,5.347468,58.626219,7.959608,0.000000,0,2.025586353944564
2001-03-22,sz.000999,19.2100,19.5800,19.2000,19.3100,19.1400,969828,18776710.2800,3,0.633875,1,0.888193,5.394964,59.146932,8.030304,0.000000,0,0.8881922675026077
2001-03-23,sz.000999,19.4000,19.4800,19.0000,19.0100,19.3100,823670,15762297.9000,3,0.538346,1,-1.553595,5.311148,58.228026,7.905546,0.000000,0,-1.5535991714137554
2001-03-26,sz.000999,19.0100,19.3000,18.8800,19.1900,19.0100,532613,10166663.8500,3,0.348113,1,0.946872,5.361438,58.779370,7.980401,0.000000,0,0.9468700683850528
2001-03-27,sz.000999,19.2000,19.3600,19.1000,19.2100,19.1900,915565,17565323.2400,3,0.598408,1,0.104213,5.367025,58.840630,7.988718,0.000000,0,0.10422094841062712
2001-03-28,sz.000999,19.3000,19.9000,19.3000,19.7300,19.2100,1780426,35107050.7900,3,1.163677,1,2.706926,5.512307,60.433401,8.204967,0.000000,0,2.7069234773555495
2001-03-29,sz.000999,19.5000,19.8500,19.5000,19.5700,19.7300,678198,13330407.3700,3,0.443267,1,-0.810947,5.467605,59.943318,8.138429,0.000000,0,-0.8109477952356836
2001-03-30,sz.000999,19.5800,19.6000,19.4000,19.4300,19.5700,853269,16608052.2200,3,0.557692,1,-0.715378,5.428491,59.514495,8.080208,0.000000,0,-0.7153806847215116
2001-04-02,sz.000999,19.3500,19.5300,19.2000,19.3500,19.4300,936180,18143172.1000,3,0.611882,1,-0.411734,5.642070,72.282257,7.970507,-128.085991,0,-0.4117344312918103
2001-04-03,sz.000999,19.4000,19.7800,19.2500,19.3900,19.3500,1051868,20436026.2400,3,0.687495,1,0.206713,5.653733,72.431678,7.986984,-128.350768,0,0.20671834625323182
2001-04-04,sz.000999,19.3800,19.4500,19.0000,19.0200,19.3900,784350,15063260.4000,3,0.512647,1,-1.908195,5.545848,71.049537,7.834576,-125.901578,0,-1.9082001031459517
2001-04-05,sz.000999,19.0000,19.1800,18.9700,19.1500,19.0200,649846,12364594.7700,3,0.424736,1,0.683487,5.583754,71.535154,7.888125,-126.762105,0,0.6834910620399537
2001-04-06,sz.000999,19.1500,19.2600,19.0200,19.0800,19.1500,445110,8501636.7600,3,0.290922,1,-0.365534,5.563343,71.273668,7.859291,-126.298744,0,-0.3655352480417817
2001-04-09,sz.000999,19.0500,19.0500,18.8900,18.9400,19.0800,650511,12310112.1200,3,0.425171,1,-0.733749,5.522522,70.750695,7.801623,-125.372024,0,-0.7337526205450584
2001-04-10,sz.000999,18.9000,19.1100,18.9000,19.0600,18.9400,484535,9209046.5600,3,0.316690,1,0.633574,5.557511,71.198958,7.851053,-126.166356,0,0.6335797254487741
2001-04-11,sz.000999,19.1100,19.1800,18.8500,18.9200,19.0600,758177,14352643.2500,3,0.495541,1,-0.734519,5.516690,70.675985,7.793385,-125.239635,0,-0.7345225603357708
2001-04-12,sz.000999,19.0000,19.3900,18.9000,19.2900,18.9200,913608,17434300.3300,3,0.597129,1,1.955607,5.624575,72.058126,7.945793,-127.688825,0,1.9556025369978691
2001-04-13,sz.000999,19.3000,19.4900,19.2200,19.3000,19.2900,681666,13188132.1400,3,0.445533,1,0.051832,5.627491,72.095482,7.949912,-127.755019,0,0.05184033177814129
2001-04-16,sz.000999,19.3000,19.6500,19.3000,19.5700,19.3000,1193907,23301748.9600,3,0.780331,1,1.398966,5.706217,73.104071,8.061128,-129.542266,0,1.3989637305699354
2001-04-17,sz.000999,19.6100,19.6500,19.4000,19.4400,19.5700,892308,17385163.1600,3,0.583208,1,-0.664278,5.668312,72.618454,8.007579,-128.681740,0,-0.6642820643842584
2001-04-18,sz.000999,19.4400,19.5000,19.1000,19.1900,19.4400,850300,16385020.6600,3,0.555752,1,-1.286008,5.595417,71.684575,7.904601,-127.026882,0,-1.2860082304526732
2001-04-19,sz.000999,19.2000,19.2500,19.0100,19.0700,19.1900,931297,17772590.5100,3,0.608691,1,-0.625330,5.560427,71.236313,7.855172,-126.232550,0,-0.6253256904637849
2001-04-20,sz.000999,19.1000,19.4600,19.1000,19.1500,19.0700,767261,14782089.5800,3,0.501478,1,0.419507,5.583754,71.535154,7.888125,-126.762105,0,0.41950707918194663
2001-04-23,sz.000999,19.1500,19.1800,18.9000,18.9400,19.1500,708506,13455494.6900,3,0.463076,1,-1.096601,5.522522,70.750695,7.801623,-125.372024,0,-1.0966057441253119
2001-04-24,sz.000999,19.0000,19.3000,18.9400,19.1000,18.9400,454453,8675235.8300,3,0.297028,1,0.844772,5.569175,71.348378,7.867529,-126.431133,0,0.8447729672650395
2001-04-25,sz.000999,19.0100,19.1000,18.7000,18.7500,19.1000,749000,14171179.5500,3,0.489542,1,-1.832463,5.467122,70.040947,7.723360,-124.114332,0,-1.832460732984298
2001-04-26,sz.000999,18.7000,18.9000,18.6300,18.6800,18.7500,563858,10544270.6000,3,0.368535,1,-0.373332,5.446711,69.779461,7.694526,-123.650972,0,-0.3733333333333366
2001-04-27,sz.000999,18.7000,18.8300,18.7000,18.7500,18.6800,424130,7957870.3600,3,0.277209,1,0.374731,5.467122,70.040947,7.723360,-124.114332,0,0.37473233404710093
2001-04-30,sz.000999,18.8000,19.1000,18.7500,18.8500,18.7500,241089,4538745.0900,3,0.157575,1,0.533335,5.496280,70.414499,7.764551,-124.776275,0,0.5333333333333412
2001-05-08,sz.000999,18.8500,19.0000,18.7800,18.8100,18.8500,280740,5285234.2800,3,0.183490,1,-0.212206,5.484616,70.265078,7.748075,-124.511498,0,-0.21220159151195128
2001-05-09,sz.000999,18.8000,18.9200,18.7400,18.7800,18.8100,370140,6970833.1700,3,0.241922,1,-0.159483,5.475869,70.153013,7.735717,-124.312915,0,-0.15948963317382603
2001-05-10,sz.000999,18.8000,19.0400,18.7000,19.0400,18.7800,438014,8224156.7100,3,0.286284,1,1.384453,5.551680,71.124247,7.842814,-126.033967,0,1.3844515441959526
