date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2004-07-05,sz.002012,15.0000,16.6500,14.6800,16.3400,7.0300,22283853,350263572.1600,3,74.279510,1,132.432400,12.320257,46.723804,8.787769,-352.007552,0,
2004-07-06,sz.002012,16.5100,17.1000,16.0100,16.8600,16.3400,7609632,126285043.3900,3,25.365440,1,3.180000,12.712334,48.210731,9.067429,-363.209750,0,3.182374541003674
2004-07-07,sz.002012,16.7500,17.2200,16.5400,16.7400,16.8600,4886285,82459257.6200,3,16.287617,1,-0.710000,12.621855,47.867594,9.002892,-360.624628,0,-0.7117437722420017
2004-07-08,sz.002012,16.5400,17.1700,16.4000,16.8800,16.7400,2699649,45397119.0800,3,8.998830,1,0.840000,12.727414,48.267920,9.078185,-363.640604,0,0.8363201911589124
2004-07-09,sz.002012,16.9100,17.4600,16.5100,16.8900,16.8800,3173531,54056009.8100,3,10.578437,1,0.060000,12.734954,48.296515,9.083563,-363.856031,0,0.05924170616113944
2004-07-12,sz.002012,16.9000,16.9800,15.9900,16.2400,16.8900,2457079,40236050.0800,3,8.190263,1,-3.850000,12.244858,46.437857,8.733988,-349.853283,0,-3.8484310242747344
2004-07-13,sz.002012,15.9000,16.2800,15.0000,16.0600,16.2400,3216331,50077522.6100,3,10.721103,1,-1.110000,12.109139,45.923152,8.637183,-345.975598,0,-1.1083743842364546
2004-07-14,sz.002012,15.8000,16.3100,15.4800,16.3100,16.0600,1730601,27513661.5000,3,5.768670,1,1.560000,12.297638,46.638020,8.771635,-351.361271,0,1.5566625155666314
2004-07-15,sz.002012,16.4500,17.0500,16.1500,16.5500,16.3100,2464107,40957415.7400,3,8.213690,1,1.470000,12.478596,47.324294,8.900709,-356.531516,0,1.471489883507071
2004-07-16,sz.002012,16.5000,18.2100,16.3800,18.2000,16.5500,7559848,134717149.9800,3,25.199493,1,9.970000,13.722686,52.042426,9.788090,-392.076955,0,9.969788519637458
2004-07-19,sz.002012,17.9600,18.3000,17.5200,18.3000,18.2000,3211804,57708647.9700,3,10.706013,1,0.550000,13.798085,52.328373,9.841871,-394.231224,0,0.5494505494505475
2004-07-20,sz.002012,18.2000,18.4100,17.4900,17.5000,18.3000,3824772,68326461.7700,3,12.749240,1,-4.370000,13.194890,50.040794,9.411625,-376.997072,0,-4.371584699453557
2004-07-21,sz.002012,17.4000,17.6500,16.9000,16.9900,17.5000,2480820,42865833.4500,3,8.269400,1,-2.910000,12.810353,48.582462,9.137344,-366.010300,0,-2.914285714285725
2004-07-22,sz.002012,17.3500,17.6000,16.6500,16.7000,16.9900,3125220,53494587.6100,3,10.417400,1,-1.710000,12.591695,47.753215,8.981380,-359.762920,0,-1.7068864037669162
2004-07-23,sz.002012,16.6000,17.7300,16.6000,17.6900,16.7000,2239861,38244996.6000,3,7.466203,1,5.930000,13.338149,50.584094,9.513809,-381.090183,0,5.928143712574863
2004-07-26,sz.002012,17.5800,17.6500,16.9000,17.1500,17.6900,1611003,27801980.0600,3,5.370010,1,-3.050000,12.930992,49.039978,9.223393,-369.457130,0,-3.0525720746184426
2004-07-27,sz.002012,17.0200,17.2600,15.9000,16.3100,17.1500,1984108,32614570.5600,3,6.613693,1,-4.900000,12.297638,46.638020,8.771635,-351.361271,0,-4.897959183673473
