date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2004-07-21,sz.002024,29.8800,33.0000,29.7000,32.7000,16.3300,20319344,634144742.3000,3,81.277376,1,100.244900,11.933591,30.801545,0.504885,73.473157,0,
2004-07-22,sz.002024,32.5500,35.3500,32.5500,33.6000,32.7000,4590007,155404703.0000,3,18.360028,1,2.750000,12.262038,31.649294,0.518781,75.495354,0,2.752293577981657
2004-07-23,sz.002024,33.5000,35.9400,33.5000,35.8500,33.6000,3241299,113217333.7500,3,12.965196,1,6.700000,13.083157,33.768666,0.553521,80.550846,0,6.696428571428581
2004-07-26,sz.002024,35.7900,35.7900,34.3500,35.0000,35.8500,2331728,81602729.3200,3,9.326912,1,-2.370000,12.772956,32.968014,0.540397,78.640994,0,-2.3709902370990243
2004-07-27,sz.002024,34.9900,35.2000,33.5200,34.6800,35.0000,1459142,50195355.8200,3,5.836568,1,-0.910000,12.656175,32.666593,0.535456,77.921990,0,-0.9142857142857119
2004-07-28,sz.002024,35.4500,36.4000,34.1100,36.3000,34.6800,1947066,69178154.2200,3,7.788264,1,4.670000,13.247381,34.192541,0.560469,81.561945,0,4.671280276816603
2004-07-29,sz.002024,36.0000,36.7900,35.6100,36.0700,36.3000,1238830,44608349.7500,3,4.955320,1,-0.630000,13.163444,33.975894,0.556917,81.045161,0,-0.6336088154269892
2004-07-30,sz.002024,35.8500,36.4800,35.5100,35.9400,36.0700,719457,25918194.3700,3,2.877828,1,-0.360000,13.116002,33.853441,0.554910,80.753066,0,-0.3604103132797465
2004-08-02,sz.002024,36.0000,38.7000,35.9000,37.8000,35.9400,1797378,67722831.4600,3,7.189512,1,5.180000,13.794793,35.605456,0.583628,84.932273,0,5.175292153589317
2004-08-03,sz.002024,37.9000,39.1100,37.6900,38.0000,37.8000,1538246,59221613.1700,3,6.152984,1,0.530000,13.867781,35.793844,0.586716,85.381650,0,0.5291005291005346
2004-08-04,sz.002024,37.8800,39.0000,36.8000,38.0900,38.0000,1124148,42528657.2300,3,4.496592,1,0.240000,13.900626,35.878619,0.588106,85.583870,0,0.23684210526315752
2004-08-05,sz.002024,37.8000,39.4000,37.6600,38.5000,38.0900,732792,28323224.0400,3,2.931168,1,1.080000,14.050252,36.264816,0.594436,86.505093,0,1.0763980047256316
2004-08-06,sz.002024,38.4900,39.6000,38.0000,38.8000,38.5000,776952,30169930.4300,3,3.107808,1,0.780000,14.159735,36.547399,0.599068,87.179159,0,0.7792207792207684
2004-08-09,sz.002024,39.2800,39.2800,37.0000,37.2000,38.8000,1630801,60981497.0300,3,6.523204,1,-4.120000,13.575828,35.040290,0.574364,83.584142,0,-4.123711340206171
2004-08-10,sz.002024,36.8800,39.1000,36.8800,38.3600,37.2000,998278,38480008.2000,3,3.993112,1,3.120000,13.999160,36.132944,0.592275,86.190529,0,3.118279569892457
2004-08-11,sz.002024,37.0500,38.3000,36.8800,37.5500,38.3600,690087,25922456.1100,3,2.760348,1,-2.110000,11.202003,26.790264,0.449432,84.370552,0,-2.1115745568300426
2004-08-12,sz.002024,37.4000,38.2800,37.2000,37.6800,37.5500,436133,16448237.9100,3,1.744532,1,0.350000,11.240785,26.883013,0.450988,84.662647,0,0.34620505992011275
2004-08-13,sz.002024,37.5000,37.9700,36.5000,36.7000,37.6800,1037803,38213539.5600,3,4.151212,1,-2.600000,10.948429,26.183827,0.439259,82.460699,0,-2.600849256900206
2004-08-16,sz.002024,36.6000,36.6000,35.8600,36.1000,36.7000,843627,30426494.3700,3,3.374508,1,-1.630000,10.769435,25.755753,0.432077,81.112568,0,-1.6348773841961872
2004-08-17,sz.002024,36.0100,36.8500,36.0000,36.5700,36.1000,287340,10427190.4400,3,1.149360,1,1.300000,10.909647,26.091078,0.437703,82.168604,0,1.3019390581717527
2004-08-18,sz.002024,36.4000,36.5700,36.0100,36.3500,36.5700,226960,8220190.0000,3,0.907840,1,-0.600000,10.844016,25.934117,0.435070,81.674289,0,-0.6015859994531025
2004-08-19,sz.002024,36.4800,36.4800,35.2100,36.0000,36.3500,395807,14281914.5300,3,1.583228,1,-0.960000,10.739603,25.684408,0.430881,80.887879,0,-0.9628610729023435
2004-08-20,sz.002024,36.0500,36.0500,33.9000,35.0100,36.0000,1079653,37527663.7900,3,4.318612,1,-2.750000,10.444264,24.978087,0.419031,78.663463,0,-2.750000000000008
2004-08-23,sz.002024,34.6800,35.3300,34.6800,35.1000,35.0100,143568,5027959.2700,3,0.574272,1,0.260000,10.471113,25.042298,0.420109,78.865682,0,0.25706940874037354
2004-08-24,sz.002024,34.8000,35.4000,34.8000,35.1000,35.1000,150158,5269536.5000,3,0.600632,1,0.000000,10.471113,25.042298,0.420109,78.865682,0,0.0
2004-08-25,sz.002024,34.9500,35.4800,34.7100,35.2600,35.1000,114689,4038166.3600,3,0.458756,1,0.460000,10.518845,25.156450,0.422024,79.225184,0,0.4558404558404394
2004-08-26,sz.002024,35.0000,35.5500,34.7500,35.2000,35.2600,266274,9326915.9900,3,1.065096,1,-0.170000,10.500945,25.113643,0.421305,79.090371,0,-0.1701644923425838
2004-08-27,sz.002024,36.0000,36.0000,35.2000,35.3700,35.2000,165379,5833665.5000,3,0.661516,1,0.480000,10.551660,25.234931,0.423340,79.472341,0,0.4829545454545281
