date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2005-03-03,sz.002039,9.7100,10.1000,9.1200,9.2400,5.9700,24380244,234728564.3200,3,60.950610,1,54.773870,5.731299,29.382057,5.149037,-17.709298,0,
2005-03-04,sz.002039,9.4500,10.1600,9.4500,9.8000,9.2400,17313930,170407960.3800,3,43.284825,1,6.060000,6.078651,31.162788,5.461100,-18.782588,0,6.060606060606055
2005-03-07,sz.002039,9.7000,9.7300,9.1000,9.3300,9.8000,9132147,85957688.1900,3,22.830368,1,-4.800000,5.787123,29.668246,5.199190,-17.881791,0,-4.795918367346941
2005-03-08,sz.002039,9.2800,9.5900,9.2000,9.5900,9.3300,6325955,59703462.1000,3,15.814887,1,2.790000,5.948394,30.495014,5.344076,-18.380104,0,2.7867095391211016
2005-03-09,sz.002039,9.6000,9.7400,9.2800,9.3200,9.5900,5412426,51320399.4100,3,13.531065,1,-2.820000,5.780921,29.636447,5.193617,-17.862625,0,-2.8154327424400383
2005-03-10,sz.002039,9.3600,9.6000,9.3100,9.3600,9.3200,4600511,43351441.7700,3,11.501278,1,0.430000,5.805732,29.763642,5.215908,-17.939288,0,0.42918454935620964
2005-03-11,sz.002039,9.4300,9.8600,9.4200,9.5000,9.3600,7815544,75285382.4200,3,19.538860,1,1.500000,5.892569,30.208825,5.293923,-18.207611,0,1.4957264957265126
2005-03-14,sz.002039,9.6000,10.0600,9.4800,9.9300,9.5000,8030683,78988285.0300,3,20.076707,1,4.530000,6.159286,31.576172,5.533543,-19.031745,0,4.526315789473689
2005-03-15,sz.002039,9.8900,9.9300,9.6400,9.7800,9.9300,3678782,35975965.3900,3,9.196955,1,-1.510000,6.066245,31.099190,5.449955,-18.744256,0,-1.5105740181268867
2005-03-16,sz.002039,9.7200,9.7500,9.3000,9.4500,9.7800,3758390,35626223.4600,3,9.395975,1,-3.370000,5.861556,30.049831,5.266061,-18.111782,0,-3.3742331288343586
2005-03-17,sz.002039,9.3700,9.5400,9.2500,9.3000,9.4500,2998112,28044935.6100,3,7.495280,1,-1.590000,5.768515,29.572850,5.182472,-17.824293,0,-1.5873015873015706
2005-03-18,sz.002039,9.3100,9.3900,9.1200,9.3900,9.3000,2495279,23130562.9400,3,6.238198,1,0.970000,5.824340,29.859038,5.232625,-17.996786,0,0.967741935483879
