date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2006-07-25,sz.002054,11.7100,12.1000,10.8000,11.6000,6.2000,20817732,238774479.6800,3,76.535779,1,87.096790,6.221718,42.813450,2.905044,113.464667,0,
2006-07-26,sz.002054,11.1700,11.3000,10.8200,10.9700,11.6000,8244877,90845531.0000,3,30.312048,1,-5.431035,5.883814,40.488236,2.747270,107.302362,0,-5.431034482758612
2006-07-27,sz.002054,10.9500,10.9500,10.4000,10.5200,10.9700,5677957,60277237.5600,3,20.874842,1,-4.102095,5.642455,38.827370,2.634574,102.900716,0,-4.102096627165008
2006-07-28,sz.002054,10.5500,10.9000,10.4800,10.7000,10.5200,4125380,44142902.9200,3,15.166838,1,1.711020,5.738999,39.491717,2.679653,104.661374,0,1.7110266159695797
2006-07-31,sz.002054,10.4600,10.5300,9.8000,9.8700,10.7000,5059669,51044887.6600,3,18.601724,1,-7.757009,5.293824,36.428340,2.471792,96.542782,0,-7.757009345794397
2006-08-01,sz.002054,9.8700,10.0200,9.6900,9.7500,9.8700,2184718,21474149.3500,3,8.032051,1,-1.215804,5.229461,35.985443,2.441740,95.369009,0,-1.2158054711246091
2006-08-02,sz.002054,9.7500,10.3800,9.6400,9.9800,9.7500,4859596,48676035.9700,3,17.866162,1,2.358970,5.352823,36.834330,2.499340,97.618740,0,2.358974358974364
2006-08-03,sz.002054,9.8000,10.0300,9.6100,9.6800,9.9800,2273399,22294087.4000,3,8.358085,1,-3.006005,5.191916,35.727086,2.424209,94.684309,0,-3.006012024048099
2006-08-04,sz.002054,9.6300,9.7200,9.0200,9.0800,9.6800,3169629,29414627.0000,3,11.653048,1,-6.198351,4.870103,33.512597,2.273948,88.815447,0,-6.198347107438018
2006-08-07,sz.002054,8.9000,9.1800,8.8400,9.0200,9.0800,1649338,14841509.9900,3,6.063743,1,-0.660787,4.837922,33.291148,2.258922,88.228560,0,-0.6607929515418554
2006-08-08,sz.002054,9.0100,9.3000,9.0100,9.2200,9.0200,1840558,16869182.3500,3,6.766757,1,2.217293,4.945193,34.029311,2.309009,90.184848,0,2.2172949002217335
2006-08-09,sz.002054,9.2000,9.2000,8.8200,8.9800,9.2200,1553713,13893287.1400,3,5.712180,1,-2.603045,4.816468,33.143515,2.248905,87.837303,0,-2.6030368763557465
2006-08-10,sz.002054,8.9300,9.0600,8.8900,9.0300,8.9800,1142055,10264540.9600,3,4.198732,1,0.556795,4.843286,33.328056,2.261426,88.326375,0,0.556792873051215
2006-08-11,sz.002054,9.0400,9.2800,8.9100,9.1600,9.0300,1527614,13881584.5200,3,5.616228,1,1.439647,4.913012,33.807862,2.293983,89.597962,0,1.439645625692143
2006-08-14,sz.002054,9.1400,9.1900,8.8600,8.8900,9.1600,1485201,13396531.3800,3,5.460298,1,-2.947593,4.768196,32.811342,2.226366,86.956974,0,-2.9475982532751077
2006-08-15,sz.002054,8.9000,9.2700,8.7100,9.1900,8.8900,2545543,23071671.2600,3,9.358614,1,3.374569,4.929102,33.918586,2.301496,89.891405,0,3.3745781777277717
2006-08-16,sz.002054,9.1500,9.2400,9.0000,9.2200,9.1900,1492905,13629254.0800,3,5.488621,1,0.326449,4.945193,34.029311,2.309009,90.184848,0,0.32644178454843686
2006-08-17,sz.002054,9.1500,9.6000,9.0300,9.3100,9.2200,3327575,31080161.1500,3,12.233732,1,0.976140,4.993465,34.361484,2.331548,91.065177,0,0.9761388286334105
2006-08-18,sz.002054,9.2000,9.3200,9.0800,9.1500,9.3100,1375051,12623282.9900,3,5.055335,1,-1.718591,4.907648,33.770954,2.291479,89.500147,0,-1.7185821697099923
