date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,pbMRQ,peTTM,psTTM,pcfNcfTTM,isST,p_change
2006-12-08,sz.002091,14.3200,14.6500,12.9000,14.1000,8.0000,16958881,236339976.9200,3,66.245629,1,76.250010,,31.102524,0.656882,-44.444350,0,
2006-12-11,sz.002091,12.9600,13.4700,12.7200,13.3000,14.1000,5301165,69418866.1800,3,20.707676,1,-5.673760,,29.337842,0.619612,-41.922685,0,-5.6737588652482245
2006-12-12,sz.002091,13.2900,13.4500,12.9300,13.0400,13.3000,3567717,46978545.0200,3,13.936395,1,-1.954889,,28.764320,0.607499,-41.103143,0,-1.9548872180451204
2006-12-13,sz.002091,12.9300,13.0500,12.7500,12.9000,13.0400,2769263,35607038.7800,3,10.817434,1,-1.073622,,28.455501,0.600977,-40.661852,0,-1.0736196319018343
2006-12-14,sz.002091,12.9300,13.1800,12.8300,12.9000,12.9000,2195241,28470712.8300,3,8.575160,1,0.000000,,28.455501,0.600977,-40.661852,0,0.0
2006-12-15,sz.002091,12.9100,12.9700,12.7900,12.9100,12.9000,2091186,26922408.6400,3,8.168695,1,0.077521,,28.477559,0.601443,-40.693373,0,0.07751937984497026
2006-12-18,sz.002091,12.8700,12.9300,12.8000,12.8200,12.9100,2082300,26759670.7900,3,8.133984,1,-0.697135,,28.279032,0.597250,-40.409685,0,-0.6971340046475594
2006-12-19,sz.002091,12.8400,13.3800,12.8000,13.1400,12.8200,3667112,48212147.2700,3,14.324656,1,2.496105,,28.984905,0.612158,-41.418352,0,2.496099843993771
2006-12-20,sz.002091,13.0800,13.1200,12.8800,13.0600,13.1400,1908045,24802000.2700,3,7.453301,1,-0.608827,,28.808437,0.608431,-41.166185,0,-0.60882800608828
2006-12-21,sz.002091,13.1000,13.3100,12.8900,12.9200,13.0600,1671255,21797349.5500,3,6.528340,1,-1.071978,,28.499618,0.601909,-40.724894,0,-1.071975497702915
2006-12-22,sz.002091,12.9400,13.2300,12.8600,12.8800,12.9200,1481443,19276506.6200,3,5.786887,1,-0.309597,,28.411384,0.600045,-40.598810,0,-0.3095975232198067
2006-12-25,sz.002091,12.9700,13.1800,12.8500,13.0500,12.8800,1623184,21155287.7500,3,6.340562,1,1.319876,,28.786379,0.607965,-41.134664,0,1.3198757763975166
2006-12-26,sz.002091,13.0300,13.0300,12.5500,12.5800,13.0500,1890006,24035901.2900,3,7.382836,1,-3.601535,,27.749628,0.586069,-39.653186,0,-3.6015325670498144
2006-12-27,sz.002091,12.5300,12.7500,12.3000,12.4300,12.5800,1158560,14396581.0300,3,4.525625,1,-1.192366,,27.418750,0.579081,-39.180374,0,-1.192368839427671
2006-12-28,sz.002091,12.2900,12.4300,11.8600,12.1300,12.4300,1696708,20487773.8500,3,6.627766,1,-2.413517,,26.756994,0.565105,-38.234749,0,-2.4135156878519637
2006-12-29,sz.002091,12.1500,12.2300,11.9700,12.1900,12.1300,1444082,17444357.9300,3,5.640945,1,0.494637,,26.889345,0.567900,-38.423874,0,0.4946413849958642
2007-01-04,sz.002091,12.2300,12.2500,11.9000,11.9500,12.1900,1329107,15897191.3500,3,5.191824,1,-1.968825,,26.359941,0.556719,-37.667374,0,-1.968826907301069
2007-01-05,sz.002091,11.8600,12.1600,11.8500,12.1600,11.9500,744447,8970764.7300,3,2.907996,1,1.757322,,26.823170,0.566502,-38.329312,0,1.7573221757322344
2007-01-08,sz.002091,12.1400,12.4300,12.0600,12.4000,12.1600,1101224,13532730.4200,3,4.301656,1,1.973682,,27.352574,0.577683,-39.085811,0,1.9736842105263275
2007-01-09,sz.002091,12.4100,12.5900,12.4000,12.4800,12.4000,1536047,19209222.4800,3,6.000184,1,0.645161,,27.529043,0.581410,-39.337978,0,0.6451612903225712
2007-01-10,sz.002091,12.4800,12.5800,12.3600,12.5700,12.4800,1173907,14617873.7200,3,4.585574,1,0.721155,,27.727569,0.585603,-39.621665,0,0.7211538461538547
2007-01-11,sz.002091,12.6000,12.9500,12.5700,12.7100,12.5700,1864909,23751079.3300,3,7.284801,1,1.113766,,28.036389,0.592125,-40.062956,0,1.1137629276054106
2007-01-12,sz.002091,12.7100,12.8500,12.2000,12.3500,12.7100,1374598,17236465.3200,3,5.369523,1,-2.832413,,27.242282,0.575354,-38.928207,0,-2.8324154209284136
2007-01-15,sz.002091,12.3600,12.6500,12.2900,12.6400,12.3500,1485584,18593276.6000,3,5.803063,1,2.348178,,27.881979,0.588864,-39.842311,0,2.348178137651824
2007-01-16,sz.002091,12.6600,12.8500,12.6100,12.8200,12.6400,1674802,21357145.8600,3,6.542195,1,1.424045,,28.279032,0.597250,-40.409685,0,1.4240506329114
2007-01-17,sz.002091,13.0500,13.4800,12.9000,13.1700,12.8200,3920848,51912771.7100,3,15.315812,1,2.730112,,29.051081,0.613555,-41.512914,0,2.7301092043681807
2007-01-18,sz.002091,13.1700,14.0100,13.1700,14.0100,13.1700,4621671,63258541.8000,3,18.053402,1,6.378134,,30.903997,0.652689,-44.160662,0,6.378132118451019
2007-01-19,sz.002091,14.1300,14.3500,13.7800,14.0900,14.0100,4221618,59203174.0000,3,16.490695,1,0.571020,,31.080466,0.656416,-44.412829,0,0.5710206995003464
2007-01-22,sz.002091,14.1100,14.7800,13.9400,14.7800,14.0900,3435016,49509491.2800,3,13.418031,1,4.897087,,32.602504,0.688561,-46.587765,0,4.897090134847404
2007-01-23,sz.002091,14.8000,14.9600,14.1000,14.5800,14.7800,2521089,36400836.9300,3,9.848004,1,-1.353179,,32.161333,0.679244,-45.957349,0,-1.3531799729363914
2007-01-24,sz.002091,14.5700,14.6500,14.2100,14.4000,14.5800,1790925,25842246.1100,3,6.995801,1,-1.234570,,31.764280,0.670858,-45.389974,0,-1.2345679012345623
2007-01-25,sz.002091,14.2500,14.2500,13.4500,13.4900,14.4000,2148160,29741385.3700,3,8.391250,1,-6.319444,,29.756954,0.628463,-42.521580,0,-6.319444444444445
2007-01-26,sz.002091,13.3000,13.7200,13.0600,13.5100,13.4900,2045485,27226953.4900,3,7.990176,1,0.148261,,29.801071,0.629395,-42.584622,0,0.148257968865817
2007-01-29,sz.002091,13.5000,14.5100,13.4500,14.4400,13.5100,2881997,40308160.7300,3,11.257801,1,6.883785,,31.852514,0.672721,-45.516058,0,6.883789785344185
2007-01-30,sz.002091,14.4200,14.8000,14.2300,14.3600,14.4400,2337291,34022595.6200,3,9.130043,1,-0.554016,,31.676046,0.668994,-45.263891,0,-0.5540166204986208
2007-01-31,sz.002091,14.2500,14.5600,13.7500,13.7500,14.3600,1820561,25905936.8700,3,7.111566,1,-4.247909,,30.330476,0.640576,-43.341121,0,-4.247910863509741
2007-02-01,sz.002091,13.7000,15.1200,13.5800,14.9500,13.7500,3967991,57579956.8500,3,15.499965,1,8.727271,,32.977499,0.696481,-47.123619,0,8.727272727272716
2007-02-02,sz.002091,14.9700,15.5200,14.7800,14.8000,14.9500,4728461,72126034.2600,3,18.470551,1,-1.003342,,32.646621,0.689493,-46.650807,0,-1.0033444816053394
2007-02-05,sz.002091,14.8500,15.7400,14.8000,15.3400,14.8000,2341834,35825523.3000,3,9.147789,1,3.648649,,33.837781,0.714650,-48.352931,0,3.6486486486486447
2007-02-06,sz.002091,15.3100,15.5800,15.0600,15.3300,15.3400,1703302,26041960.9600,3,6.653523,1,-0.065191,,33.815723,0.714184,-48.321410,0,-0.0651890482398998
2007-02-07,sz.002091,15.3400,15.6900,15.1200,15.2000,15.3300,1862308,28441272.4700,3,7.274641,1,-0.848011,,33.528962,0.708128,-47.911640,0,-0.8480104370515384
2007-02-08,sz.002091,15.2100,15.3000,14.8000,15.2900,15.2000,2074996,31284130.5400,3,8.105453,1,0.592106,,33.727489,0.712321,-48.195327,0,0.5921052631578938
2007-02-09,sz.002091,15.2500,16.3800,15.2100,16.1600,15.2900,3180863,50607565.2700,3,12.425246,1,5.689993,,35.646581,0.752852,-50.937638,0,5.689993459777631
2007-02-12,sz.002091,16.2000,16.8000,16.2000,16.6000,16.1600,2220315,36685319.8300,3,8.673105,1,2.722775,,36.617156,0.773350,-52.324554,0,2.722772277227725
2007-02-13,sz.002091,16.5900,16.9800,16.3300,16.8500,16.6000,2092706,34944633.5100,3,8.174633,1,1.506024,,37.168619,0.784997,-53.112574,0,1.5060240963855387
2007-02-14,sz.002091,16.9700,16.9700,16.5800,16.6700,16.8500,1514282,25396161.4600,3,5.915164,1,-1.068251,,36.771566,0.776611,-52.545199,0,-1.0682492581602365
2007-02-15,sz.002091,16.8000,17.1000,16.6000,16.8900,16.6700,1786645,30118769.6500,3,6.979082,1,1.319732,,37.256853,0.786860,-53.238657,0,1.319736052789433
2007-02-16,sz.002091,16.9500,17.5500,16.6100,17.1000,16.8900,1524500,26356537.1000,3,5.955078,1,1.243345,,29.376028,0.728398,-53.900594,0,1.243339253996445
2007-02-26,sz.002091,16.9900,17.0800,16.6800,16.9900,17.1000,2018818,33943185.4400,3,7.886008,1,-0.643278,,29.187059,0.723713,-53.553865,0,-0.6432748538011901
2007-02-27,sz.002091,17.0100,17.0500,15.2900,15.2900,16.9900,3056683,49098782.0300,3,11.940168,1,-10.005880,,26.266635,0.651299,-48.195327,0,-10.005885815185401
2007-02-28,sz.002091,15.4000,15.8200,15.1500,15.6600,15.2900,1643848,25481055.9700,3,6.421281,1,2.419882,,26.902257,0.667060,-49.361597,0,2.419882275997387
2007-03-01,sz.002091,15.6000,15.6500,14.6000,14.8800,15.6600,1893809,28610030.6000,3,7.397691,1,-4.980841,,25.562298,0.633834,-46.902973,0,-4.980842911877392
